k,start,end
1,1956-02-02,1956-07-07
1,1967-09-06,1968-01-26
1,1983-10-26,1984-05-04
1,1992-02-12,1992-07-22
1,1992-09-08,1993-03-05
1,2014-05-21,2014-12-05
2,1953-10-06,1954-04-30
2,1965-10-19,1966-05-06
2,1969-10-20,1970-03-20
2,1972-12-13,1973-06-20
2,1976-05-19,1976-12-08
2,1978-01-24,1978-06-23
2,1999-12-15,2000-07-07
2,2014-12-17,2015-07-03
2,2019-01-16,2019-06-28
3,1964-02-05,1964-07-29
3,1982-09-08,1982-11-12
3,1998-10-26,1999-05-07
3,2004-01-29,2004-07-02
3,2004-07-09,2004-12-03
3,2004-12-15,2005-05-12
3,2018-06-06,2018-12-14
4,1954-12-08,1955-06-23
4,1960-02-10,1960-07-01
4,1974-09-18,1975-03-21
4,1975-04-09,1975-10-17
4,1977-09-07,1978-01-20
4,1986-01-15,1986-06-27
4,1987-09-09,1988-03-11
4,1994-11-10,1995-06-02
5,1990-06-01,1990-11-22
6,1954-05-06,1954-11-19
6,1959-09-15,1960-01-27
6,1974-02-13,1974-07-25
6,1974-09-18,1975-03-21
6,1990-12-20,1991-06-21
6,1995-06-21,1995-12-08
6,1998-04-01,1998-10-16
6,1998-10-26,1999-05-07
7,1954-12-08,1955-06-23
7,1956-09-27,1957-03-15
7,1990-12-20,1991-06-21
7,1995-06-21,1995-12-08
7,1996-01-17,1996-07-09
7,1999-06-08,1999-12-03
7,2001-02-07,2001-07-06
7,2009-10-27,2010-05-21
7,2014-05-21,2014-12-05
7,2018-06-06,2018-12-14
8,1954-12-08,1955-06-23
8,1957-10-15,1958-05-09
8,1962-12-12,1963-06-28
8,1972-01-19,1972-06-23
8,1972-12-13,1973-06-20
8,1974-02-13,1974-07-25
8,1974-09-18,1975-03-21
8,1975-10-22,1976-05-14
8,1976-12-14,1977-06-24
8,1989-11-15,1990-05-31
8,1991-09-03,1992-01-24
9,1982-03-24,1982-06-25
9,1983-03-29,1983-10-14
9,1993-09-29,1994-04-15
9,1994-04-20,1994-09-21
10,1956-09-27,1957-03-15
10,1998-10-26,1999-05-07
11,2012-09-11,2013-03-22
11,2018-06-06,2018-12-14
11,2021-10-26,2022-06-03
12,1953-10-06,1954-04-30
12,1957-03-20,1957-08-29
12,1979-09-26,1980-03-21
12,1983-03-29,1983-10-14
12,1991-09-03,1992-01-24
12,1992-09-08,1993-03-05
12,1995-06-21,1995-12-08
12,1998-10-26,1999-05-07
12,2014-12-17,2015-07-03
12,2017-10-24,2018-05-18
13,1954-12-08,1955-06-23
13,1955-06-28,1956-01-20
13,1956-02-02,1956-07-07
13,1995-06-21,1995-12-08
13,2017-10-24,2018-05-18
15,1954-05-06,1954-11-19
15,1954-12-08,1955-06-23
15,1974-02-13,1974-07-25
15,1974-09-18,1975-03-21
15,1975-10-22,1976-05-14
15,1977-09-07,1978-01-20
15,1998-10-26,1999-05-07
15,2001-02-07,2001-07-06
15,2001-08-29,2002-03-21
15,2005-10-18,2006-05-11
15,2009-10-27,2010-05-21
15,2018-06-06,2018-12-14
16,1954-12-08,1955-06-23
16,1972-12-13,1973-06-20
16,1975-10-22,1976-05-14
16,1982-11-24,1983-01-20
16,1983-10-26,1984-05-04
16,1991-09-03,1992-01-24
16,2010-12-16,2011-07-08
16,2017-10-24,2018-05-18
17,1954-12-08,1955-06-23
17,1958-12-09,1959-06-25
17,1962-12-12,1963-06-28
17,1972-12-13,1973-06-20
17,1974-02-13,1974-07-25
17,1974-09-18,1975-03-21
17,1975-10-22,1976-05-14
17,1979-03-07,1979-09-21
17,2018-06-06,2018-12-14
18,1965-10-19,1966-05-06
18,1972-12-13,1973-06-20
18,1990-12-20,1991-06-21
19,2017-10-24,2018-05-18
20,1983-03-29,1983-10-14
20,1994-11-10,1995-06-02
21,2008-02-13,2008-06-27
21,2008-09-16,2009-03-27
21,2010-12-16,2011-07-08
22,1983-10-26,1984-05-04
22,1990-12-20,1991-06-21
22,1991-09-03,1992-01-24
22,1998-10-26,1999-05-07
22,2001-08-29,2002-03-21
22,2010-12-16,2011-07-08
22,2013-10-22,2014-05-09
22,2014-05-21,2014-12-05
22,2017-10-24,2018-05-18
22,2021-10-26,2022-06-03
23,1954-05-06,1954-11-19
