"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","länder","länder","länder","länder","länder","studenten","jugend","studenten","wissenschaft","bund","neubau","bund","hochschulen","gemeinden","länder","bund","studenten","hochschulen","bund","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","hochschulen","bildung","bildung","wissenschaft","wissenschaft","bildung","bildung","bildung","hochschulen","bildung","hochschulen","bildung","bildung","bildung","studenten","bildung","bildung","ausbildung","bildung","gesamtschule","bildung","bildung","bildung","bildung","bildung","hochschulen","bildung","bildung","ausbildung","ausbildung","ausbildung","ausbildung","hochschulen","ausbildung","mädchen","bildung","bildung","ausbildung","hochschulen","ausbildung","akademie","bildung","ausbildung","jugendlichen","bildung","bildung","bildung","ausbildung","ausbildung","bildung","bildung","hochschulen","ausbildung","rüttgers","hochschulen","forschung","forschung","ausbildung","forschung","forschung","bildung","bildung","bildung","bildung","ausbildung","bildung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","ausbildung","bildung","bildung","bildung","bildung","bildung","bildung","hochschulen","bildung","hochschulen","bildung","bildung","bildung","bildung","ausbildung","bildung","bildung","bildung","bildung","bafög","bildung","ausbildung","bildung","bildung","bildung"
"2","bund","bund","bund","bund","bund","bund","jugendlichen","länder","förderung","hochschulen","instituts","bundesinnenminister","kulturpolitik","bund","bund","kulturpolitik","hochschulen","wissenschaft","schulen","bund","bund","wissenschaft","wissenschaft","wissenschaftliche","wissenschaftliche","hochschulen","hochschulen","wissenschaftliche","wissenschaftliche","numerus","wissenschaft","wissenschaft","bildung","bildung","wissenschaft","lehre","wissenschaft","bildung","bildungsgesamtplan","bildung","ausbildung","ausbildung","ausbildung","bildung","ausbildungsplätze","bildungspolitik","studenten","studenten","schule","hochschulen","engholm","studenten","ausbildung","ausbildung","studenten","bafög","ausbildungsplätze","ausbildungsplätze","jugendlichen","jugendlichen","hochschulen","jungen","jugendlichen","jugendlichen","ausbildung","möllemann","bildung","möllemann","bildung","bildung","ausbildung","jugendlichen","ausbildung","ausbildung","hochschulen","ausbildung","bildung","jugendlichen","bafög","ausbildung","rüttgers","rüttgers","bildung","forschung","hochschulen","bildung","bildung","bildung","bildung","hochschulen","forschung","schulen","forschung","ausbildungsplätze","forschung","hochschulen","bildung","hochschulen","bafög","bildung","bildung","bildung","bildung","bildung","forschung","hochschulen","hochschulen","forschung","forschung","forschung","bildung","forschung","bildung","forschung","hochschulen","ausbildung","forschung","bildung","forschung","forschung","bafög","hochschulen","bildung","ausbildung","bildung","schulen","handwerk","bafög"
"3","ländern","ländern","gemeinden","ländern","gemeinden","länder","forschung","hochschulen","hochschulen","ländern","universität","zuständigkeit","wissenschaft","aufgaben","gemeinden","forschung","länder","forschung","länder","wissenschaft","hochschulen","hochschulen","hochschulen","stoltenberg","stoltenberg","wissenschaftliche","studenten","stoltenberg","hochschulen","clausus","martin","leussink","dohnanyi","dohnanyi","bildungspolitik","universität","meinecke","studenten","beruflichen","wissenschaft","beruflichen","beruflichen","beruflichen","ausbildung","ausbildung","dregger","bildung","ausbildung","eltern","ausbildung","ausbildung","bafög","beruflichen","wissenschaft","bildung","bildungspolitik","ausbildung","jungen","jungen","hochschulen","bildung","jugendlichen","jungen","bildung","jugendlichen","wissenschaft","jugendlichen","ausbildung","wissenschaft","hochschulen","beruflichen","bildung","bildung","beruflichen","wissenschaft","jugendlichen","wissenschaft","bildung","ausbildung","rüttgers","bildung","bildung","forschung","rüttgers","rüttgers","hochschulen","forschung","ausbildung","bulmahn","forschung","hochschulen","hochschulen","bulmahn","bildung","hochschulen","bildung","hochschulen","bildung","bildung","hochschulen","hochschulen","ausbildung","ausbildung","forschung","hochschulen","ausbildung","studierenden","hochschulen","ausbildung","hochschulen","forschung","ausbildung","forschung","bafög","bafög","hochschulen","hochschulen","forschung","bafög","ausbildung","ausbildung","forschung","ausbildung","handwerk","weiterbildung","schüler","schulen","schulen"
"4","art","bundes","ländern","bundes","ländern","schulen","institut","bund","studenten","studenten","studenten","studenten","bund","länder","universitäten","wissenschaft","bund","studenten","wissenschaft","hochschulen","wissenschaftliche","bund","stoltenberg","schulen","kulturpolitik","stoltenberg","universitäten","hochschulen","wissenschaftlichen","wissenschaft","hochschulen","bildungsbericht","hochschulen","universität","dohnanyi","wissenschaft","hochschulen","wissenschaft","wissenschaft","hochschulrahmengesetz","berufliche","ausbildungsplätze","ausbildungsplätze","hochschulen","wissenschaft","gesamtschule","jungen","wissenschaft","gesamtschulen","juristenausbildung","schule","ausbildung","berufsbildung","ausbildungsplätze","jungen","ausbildung","bafög","jugendlichen","mädchen","jungen","jungen","bildung","bildung","ausbildung","jungen","ausbildung","weiterbildung","fachhochschulen","berufsausbildung","möllemann","wissenschaft","hochschulen","hochschulen","bafög","erfurt","wissenschaft","jugendlichen","jungen","rüttgers","forschung","ausbildung","forschung","ausbildung","bildung","bildung","bulmahn","jugendlichen","gmd","hochschulen","bulmahn","ausbildung","studiengebühren","ganztagsschulen","bulmahn","ausbildung","bulmahn","bulmahn","studiengebühren","hochschulen","ausbildung","schavan","hochschulen","bafög","wissenschaft","schavan","forschung","forschung","stipendienprogramm","bund","bafög","bund","hochschulen","wissenschaft","ausbildung","forschung","forschung","ausbildung","hochschulen","wissenschaft","hochschulen","forschung","berufliche","studium","berufliche","schulen","schülerinnen","ausbildung","forschung"
"5","grundgesetzes","grundgesetzes","föderalismus","bundesrat","stiftung","ländern","studenten","ländern","forschung","länder","institut","gemeinden","wissenschaftlichen","wissenschaftlichen","hochschulen","länder","wissenschaftlichen","wissenschaftlichen","hochschulen","länder","ausbildung","länder","wissenschaftliche","hochschulen","bund","universitäten","wissenschaftliche","moersch","universitäten","bildung","leussink","kulturpolitik","gesamthochschule","bremen","ausbildung","breiteren","dohnanyi","numerus","berufliche","hochschule","maier","glotz","jungen","ausbildungsplätze","jugendlichen","jugendlichen","bildungspolitik","förderung","studenten","studenten","pfeifer","wissenschaft","wissenschaft","jugendlichen","bildungspolitik","studenten","wissenschaft","mädchen","bildung","ausbildungsplätze","jugendlichen","ausbildung","mädchen","jugendliche","hochschulen","jugendlichen","möllemann","bildung","jugendlichen","wissenschaft","bildungspolitik","beruflichen","berufe","berufe","hochschule","ausbildungsplätze","beruflichen","jugendliche","wissenschaft","förderung","forschung","ausbildungsplätze","lehrstellen","wissenschaft","wissenschaft","studierenden","bulmahn","bulmahn","bafög","studenten","schulen","forschung","schulen","forschung","bulmahn","ausbildung","ausbildung","bafög","studiengebühren","bafög","ausbildung","schavan","schavan","hochschulen","weiterbildung","schulen","bafög","schavan","jungen","bund","ausbildung","wissenschaft","bund","bund","bund","bund","wanka","wissenschaft","hochschulen","schulen","schulen","bund","forschung","beruflichen","bafög","schule","hochschulen","hochschulen"
"6","bundes","bundesrat","finanzausgleich","gemeinden","bundes","bayern","jugendliche","schulen","ingenieurschulen","studierenden","krankenanstalten","ländern","studenten","selbstverwaltung","schulen","ländern","ausbildungsförderung","bund","auswärtigen","ländern","ländern","bildung","bund","wissenschaft","wissenschaft","wissenschaftsrat","wissenschaft","bund","universität","dohnanyi","stoltenberg","walz","bundländerkommission","forschung","schule","clausus","bildungspolitik","clausus","hochschulen","studenten","berufsbildung","wissenschaft","generation","bafög","hochschulen","ausbildung","bafög","ausbildungsförderung","schulen","wissenschaft","jungen","daweke","system","jungen","ausbildung","hochschulen","wilms","jugendliche","ausbildungsplätze","jugendliche","mädchen","mädchen","studenten","hochschulen","beruflichen","weiterbildung","beruflichen","wissenschaft","hochschulen","weiterbildung","weiterbildung","ausbildungsplätze","neuen","hochschulen","jugendlichen","jungen","berufliche","wissenschaft","hochschulen","ausbildungsplätze","wissenschaft","hochschulen","technologie","ausbildung","ausbildung","ausbildung","jugendliche","bafög","ausbildung","edelgard","jugendlichen","bulmahn","ausbildung","jugendlichen","ausbildungsplätze","ausbildungsplätze","ministerin","ausbildung","bulmahn","weiterbildung","hochschulpakt","jungen","hochschulen","jugendlichen","hochschulpakt","hochschulpakt","schavan","bafög","hochschulen","schavan","wissenschaft","studiengebühren","schule","hochschulen","ausbildung","wanka","wissenschaft","wanka","schulen","wanka","berufliche","wissenschaft","hochschulen","schulen","studenten","ausbildung","wissenschaft","ausbildung"
"7","gemeinden","föderalismus","finanzreform","finanzreform","preussischen","studierenden","wissenschaft","forschung","studierenden","gemeinden","hochschulen","forschung","länder","ländern","ausbildung","wissenschaftlichen","universitäten","länder","kulturpolitik","lohmar","schule","ländern","wissenschaftlichen","wissenschaftsrat","wissenschaftlichen","wissenschaftlichen","stoltenberg","wissenschaftlichen","bund","stoltenberg","dohnanyi","martin","forschung","leussink","zwischenbericht","numerus","ausbildung","studienreform","ausbildung","glotz","rohde","berufliche","berufliche","schüler","ausbildungsplatzförderungsgesetz","hochschulen","beruflichen","hochschulen","bildung","graduiertenförderung","beruflichen","mädchen","wilms","pfeifer","förderung","wilms","jugendlichen","wilms","jugendliche","bildung","wissenschaft","wissenschaft","junge","jungen","junge","bildungspolitik","berufsausbildung","studenten","möllemann","ausbildung","förderung","ländern","jugendliche","studenten","ausbildung","hochschulen","weiterbildung","berufe","beruflichen","beruflichen","bafög","wissenschaft","wissenschaft","studenten","studierenden","bafög","programm","jugendlichen","ministerin","bafög","bulmahn","bildungspolitik","bildungspolitik","ausbilden","jugendlichen","jungen","wissenschaftler","bulmahn","studierenden","schavan","hightechstrategie","ministerin","ministerin","ausbildungsbonus","bildungsgipfel","jungen","ausbildung","bund","schavan","hochschulpakt","lehrerausbildung","bafög","ausbildung","wanka","wissenschaft","schulen","beruflichen","weiterbildung","wanka","wissenschaft","junge","ausbildung","schulen","weiterbildung","studierenden","karliczek","berufliche","studierende"
"8","land","art","art","föderalismus","kulturbesitz","ingenieure","bund","gemeinden","schulen","aufgaben","länder","kultusminister","forschung","finanzausgleich","ländern","kulturellen","ländern","wissenschaftsrat","forschung","wissenschaftliche","wissenschaft","wissenschaftlichen","länder","wissenschaftlichen","länder","studenten","universität","länder","heppe","leussink","bund","hochschulen","hochschule","bremer","raffert","bildungspolitik","bildungsgesamtplan","hochschule","studenten","schäuble","ausbildungsordnungen","betriebe","numerus","ausbildungsförderung","engholm","beruflichen","schulen","schüler","schüler","jungen","darlehen","engholm","rossmanith","kuhlwein","wissenschaft","braunstützer","bildungspolitik","bildung","junge","wilms","wilms","wilms","jugendliche","wissenschaft","jugendliche","bafög","jungen","akademie","jungen","bafög","hochschulen","neuen","freien","studium","studenten","ausbildungsplatz","hochschulen","beruflichen","jugendlichen","wissenschaft","studenten","berufsausbildung","studiengebühren","studiengebühren","bafög","raumfahrt","ausbildungsplätze","ausbildungsplätze","studierenden","studium","jugendliche","schule","hochschulen","ausbildungsplatz","jungen","edelgard","edelgard","wissenschaft","jungen","bund","ausbildungsplätze","jugendlichen","studiengebühren","jungen","schulen","studierenden","studium","länder","schule","wissenschaft","ländern","schavan","ganztagsschulen","schulen","wanka","deutschlandstipendium","ministerin","exzellenzinitiative","ausbildung","nachwuchs","beruflichen","beruflichen","junge","wissenschaft","berufliche","lehrkräfte","forschung","wissenschaft"
"9","baden","bayern","finanzverfassung","bayern","bundesrat","hochschulen","jugendfragen","wissenschaft","länder","schulraumnot","förderung","dollar","stiftung","hochschulen","universität","aufgaben","schulen","ländern","ausland","wissenschaftsrat","länder","lohmar","ländern","lohmar","hochschulen","studienreform","wissenschaftlichen","hochschulwesen","moersch","studenten","universitäten","gesamtschule","studenten","hochschulen","leussink","ausbildung","bildungsreform","pfeifer","bildungspolitik","beruflichen","ausbildungsplätze","jugendlichen","clausus","schuchardt","jungen","engholm","bund","schmude","hochschulen","engholm","wissenschaft","berufsbildung","berufsbildungsbericht","berufsbildungsbericht","wissenschaftlichen","kuhlwein","jungen","junge","studenten","ausbildungsplatz","studenten","frau","bafög","beruflichen","berufliche","jugendliche","studenten","fachhochschule","mädchen","bildungspolitik","berufliche","jugendliche","ländern","berufliche","studium","beruflichen","berufsausbildung","neuen","studenten","aufstiegsfortbildung","förderung","jugendlichen","ausbildungsplätze","handwerk","technologie","möllemann","junge","weiterbildung","jugendlichen","studierenden","reform","schavan","edelgard","jungen","ausbildungsplatz","bundesministerin","juniorprofessur","studierenden","studium","ministerin","wissenschaft","hochschulpakt","hightechstrategie","ausbildungsplätze","ausbildung","weiterbildung","stipendien","studierenden","studiengebühren","ländern","lehrer","duale","schulen","länder","länder","jungen","meisterbafög","beruflichen","programm","erasmus","schule","schulen","schüler","forschung","schüler","lehrer","schüler","studium"
"10","grundgesetz","aufgaben","bundes","inanspruchnahmegesetz","nordrheinwestfalen","universität","länder","schule","bund","lohmar","ländern","hochschule","universitäten","studenten","kommunalen","hochschulen","stipendien","wissenschaftliche","amt","bildung","schulen","bildungsrat","wissenschaftsrat","lehrer","moersch","bund","länder","universität","stoltenberg","forschung","ländern","dohnanyi","leussink","dring","bundländerkommission","hoffe","zander","gölter","dohnanyi","pfeifer","wissenschaft","wirtschaft","pfeifer","beruflichen","rohde","jungen","ländern","jugendlichen","schmude","leitvorstellungen","bildungspolitik","jungen","duale","beruflichen","bund","förderung","frau","ausbildungsplatz","schüler","kuhlwein","kuhlwein","kuhlwein","beruflichen","weiterbildung","studiengebühren","jungen","jugendliche","kuhlwein","ausbildungsstätten","förderung","berufsausbildung","weiterbildung","wissenschaft","freien","neuen","berufsausbildung","handwerk","jugendarbeit","studierenden","technologie","jungen","lehrstellen","hochschulen","technologie","studenten","jungen","bafögreform","catenhusen","edelgard","ministerin","universitäten","ganztagsschulen","schüler","bildungsplanung","jugendliche","jugendlichen","bundesministerin","kasparick","ausbildung","jungen","ministerin","wissenschaft","weiterbildung","schule","annette","bafög","stipendienprogramm","schulen","länder","länder","schavan","jugendlichen","wissenschaftlichen","schüler","studierenden","wissenschaft","bund","berufliche","bund","bund","studierenden","digitalpakt","berufliche","hochschulen","friedensforschung","hochschulen","karliczek","schule"
