"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","massnahmen","massnahmen","massnahmen","massnahmen","massnahmen","forschung","gebiet","massnahmen","massnahmen","zonenrandgebiet","massnahmen","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","massnahmen","entwicklungsländern","seeschiffahrt","massnahmen","förderung","massnahmen","entwicklungshilfe","massnahmen","raumfahrtindustrie","entwicklung","entwicklung","zusammenarbeit","entwicklung","förderung","massnahmen","entwicklung","technologiepolitik","massnahmen","schwerpunkt","massnahmen","bereich","forschung","kernenergie","forschung","kernenergie","forschung","kernenergie","forschung","forschung","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","forschung","kernenergie","forschung","kommission","mikroelektronik","forschung","forschung","kernenergie","forschung","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","forschung","forschung","kernenergie","tschernobyl","kernenergie","grossforschungseinrichtungen","forschung","forschung","forschung","forschung","kernenergie","raumfahrtindustrie","kernenergie","energien","kernenergie","energien","merkel","ausstieg","ukraine","energien","trittin","transporte","kernenergie","energiepolitik","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","asse","energien","energien","energien","energien","energien","energiewende","energiewende","energiewende","energiewende","energien","energiewende","energien","energiewende","energiewende","energiewende","co","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","energien"
"2","massnahmen","gebiet","gebiet","gebiet","aufgaben","gebiet","wissenschaft","massnahmen","förderung","besonders","massnahmen","bundesregierung","hilfe","zonenrandgebiet","entwicklungsländer","massnahmen","entwicklungsländern","bundesregierung","entwicklungshilfe","massnahmen","entwicklungspolitik","massnahmen","hilfe","entwicklung","entwicklung","luft","massnahmen","zusammenarbeit","entwicklung","zusammenarbeit","wirtschaftliche","zusammenarbeit","hilfe","bereich","entwicklung","entwicklung","bedeutung","massnahmen","bereich","forschung","bereich","energie","krebsforschung","forschung","kernenergie","bundesregierung","forschung","forschung","kohle","forschung","forschung","enquetekommission","technologie","entsorgung","technologie","snr","forschung","riesenhuber","technologie","energiepolitik","kernenergie","eureka","forschung","tschernobyl","tschernobyl","transnuklear","brüter","energien","kernenergie","kernenergie","forschung","kernenergie","energiepolitik","forschung","energieversorgung","technologie","kernenergie","energien","energien","morsleben","tschernobyl","stromeinspeisungsgesetz","gorleben","kernenergie","kernenergie","trittin","kernenergie","kernenergie","kernenergie","trittin","energien","energien","erneuerbaren","wale","erneuerbaren","erneuerbaren","erneuerbaren","steinkohle","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","energien","energien","energien","erneuerbaren","energien","energiewende","erneuerbaren","energien","energien","energiewende","energiewende","klimaschutz","co","erneuerbaren","energien","energien","erneuerbaren"
"3","notwendig","entwicklung","aufgaben","forschung","besonders","forschung","massnahmen","besonders","wissenschaft","bundesregierung","zonenrandgebieten","gebiet","entwicklungsländer","massnahmen","entwicklungsländern","hilfe","entwicklungsländer","zusammenarbeit","massnahmen","handelsflotte","bundesregierung","entwicklung","förderung","zusammenarbeit","wirtschaftliche","entwicklungshilfe","entwicklungshilfe","massnahmen","wirtschaftliche","massnahmen","hilfe","technischen","bereich","entwicklung","gebiet","darf","aufgabe","förderung","forschungspolitik","bereich","technologie","nutzung","technologie","technologie","technologie","kernenergie","brüter","grundlagenforschung","forschung","energiepolitik","kohle","programm","energieforschung","enquetekommission","enquetekommission","brüter","technologie","kommission","mikroelektronik","forschung","wiederaufarbeitung","forschung","tschernobyl","cattenom","gentechnologie","töpfer","tschernobyl","nutzung","riesenhuber","technologie","energien","energiepolitik","tschernobyl","elektrofahrzeuge","kernenergie","vosen","braunkohle","kernenergie","forschung","luft","endlager","windenergie","energien","grill","transporte","kernenergie","stadtwerke","ausstieg","energien","gorleben","energiepolitik","grill","eeg","erneuerbaren","eeg","eeg","energiepolitik","erneuerbaren","sellafield","energiepolitik","gabriel","klimaschutz","strom","strom","erneuerbaren","strom","fotovoltaik","energiekonzept","kernenergie","energiewende","erneuerbaren","erneuerbaren","gorleben","erneuerbaren","energiewende","erneuerbaren","erneuerbaren","energien","erneuerbaren","erneuerbaren","energien","erneuerbaren","energiewende","energien","energien","erneuerbaren","klimaschutzgesetz","gas"
"4","besonders","bedeutung","schule","besonders","notwendig","förderung","förderung","förderung","ländern","insbesondere","aufgaben","besonders","massnahmen","hilfe","hilfe","entwicklungspolitik","entwicklungspolitik","entwicklungshilfe","entwicklungsländer","reedereien","hilfe","mittel","wirtschaftliche","hilfe","hilfe","entwicklungsländern","wirtschaftliche","gebieten","massnahmen","wirtschaftliche","entwicklungsländer","entwicklung","zusammenarbeit","industrie","bedeutung","gerade","entwicklung","energie","massnahmen","energie","probleme","forschung","entwicklung","energie","nutzung","energie","energiepolitik","energie","energie","nutzung","energiepolitik","energiepolitik","stahl","energiepolitik","stahl","inbetriebnahme","snr","technik","technik","steinkohle","technologien","brüter","technologie","wallmann","ausstieg","nutzung","kernkraftwerke","technologie","töpfer","riesenhuber","wasserstoff","energien","energieversorgung","energien","brunsbüttel","kernenergie","morsleben","steinkohle","energiepolitik","dasa","morsleben","stromeinspeisungsgesetzes","transporte","nordrheinwestfalen","bundesministerin","energien","ausstieg","energiepolitik","energiepolitik","kernenergie","ausstieg","erneuerbaren","biomasse","eeg","energiepolitik","erneuerbare","kernenergie","energieforschung","kernenergie","energie","endlager","kernenergie","klimaschutz","klimaschutz","strom","biogas","gorleben","laufzeitverlängerung","japan","energieeffizienz","strom","altmaier","altmaier","eeg","energieeffizienz","fracking","strom","fracking","endlager","strom","erneuerbaren","energien","energien","erneuerbaren","wasserstoff","energiewende","klimapolitik","ausbau"
"5","gebiet","förderung","immer","gebieten","gebiet","wissenschaft","gebiet","wissenschaft","gebiet","grossen","gebiet","wirtschaftlich","entwicklungsländern","entwicklung","entwicklungspolitik","entwicklung","massnahmen","hilfe","aufgaben","bundesregierung","bundesrepublik","bundesrepublik","besonders","entwicklungspolitik","wirtschaft","entwicklungspolitik","zusammenarbeit","wirtschaftliche","hilfe","entwicklungshilfe","bereich","bereich","wirtschaftliche","massnahmen","probleme","neue","bereich","programm","energie","nutzung","kernenergie","probleme","forschungspolitik","nutzung","kernkraftwerke","technologie","fortschreibung","energiepolitik","nutzung","kohle","laermann","forschung","forschungs","forschung","schnellen","forschung","steger","technologien","technologien","energieversorgung","technologie","wiederaufarbeitungsanlage","technik","brokdorf","kernkraftwerke","entsorgung","kalkar","forschung","technologie","brasilien","forschungs","energieversorgung","töpfer","mosdorf","risse","wissenschaftler","steinkohle","technologie","nutzung","kernenergie","energien","erneuerbare","morsleben","strom","atomenergie","energiepolitik","trittin","erneuerbaren","transporte","atomenergie","atomenergie","hirche","energiepolitik","walfang","photovoltaik","rohstoffe","endlager","kernenergie","energiepolitik","biokraftstoffe","fell","kohle","erneuerbare","kraftwärmekopplung","gorleben","energie","erneuerbare","erneuerbare","erneuerbare","röttgen","röttgen","eegumlage","erneuerbaren","strom","klimaschutz","krischer","klimaschutz","strom","gorleben","mieterstrom","klimaschutz","klimaschutz","erneuerbaren","wasserstoff","energiewende","wasserstoff","erneuerbaren","klimaschutz"
"6","unserer","deutschen","einzelnen","darf","einzelnen","besonders","aufgaben","notwendigen","aufgaben","gebiet","zonenrandgebiete","grossen","ländern","jahren","bundesregierung","gebiet","zusammenarbeit","entwicklungsländer","wirtschaft","deutschen","zusammenarbeit","hilfe","zusammenarbeit","massnahmen","bundesregierung","entwicklung","industrie","verbesserung","wirtschaftlichen","technischen","zusammenarbeit","wirtschaftliche","massnahmen","bundesregierung","zukunft","sowie","gebiet","bundesregierung","entwicklung","förderung","entwicklung","anlagen","bereich","bundesregierung","energie","forschungs","schnellen","öl","energiepolitik","forschungs","energie","fernwärme","kernenergie","abfälle","kernenergie","risiko","enquetekommission","technologie","grossforschungseinrichtungen","nutzung","technik","technologie","riesenhuber","kernkraftwerke","nutzung","technologie","töpfer","wackersdorf","wackersdorf","energien","technologie","atomenergie","greifswald","technologie","technologie","gesundheitsforschung","energiepolitik","energiepolitik","kohle","raumfahrt","stoffe","forschung","energiepolitik","ahaus","ausstieg","wiederaufbereitung","strom","kraftwärmekopplung","atommüll","castortransporte","trittin","energieversorgung","strom","bergbau","erneuerbare","biomasse","energie","erneuerbare","energieeffizienz","kernenergie","gorleben","energieeffizienz","gabriel","energie","energie","erneuerbare","röttgen","röttgen","kernkraftwerke","energie","energieeffizienz","strom","solarindustrie","energieeffizienz","eeg","kwk","kohle","stahlindustrie","endlagerung","kohle","emissionshandel","strom","gas","energiewende","strom","strom","strom","energie"
"7","einzelnen","aufgabe","besonders","notwendig","allgemein","arbeit","besonders","aufgaben","besonders","teil","gebiete","untersuchungen","länder","förderung","massnahmen","wirtschaftliche","hilfe","wirtschaftliche","zusammenarbeit","hilfe","wirtschaftliche","wirtschaft","mittel","entwicklungsländern","zusammenarbeit","zusammenarbeit","bundesregierung","gebiet","förderung","förderung","massnahmen","bundesregierung","technischen","aufgaben","aufgabe","geschaffen","förderung","entwicklung","forschungs","massnahmen","massnahmen","kernkraftwerke","bundesregierung","kernkraftwerke","energiepolitik","energiepolitik","technologie","kohle","technik","kommission","nutzung","energie","programm","fortschreibung","brüter","kernenergie","riesenhuber","kernenergie","forschungs","gentechnologie","forschungs","technologien","atomenergie","energiepolitik","energiepolitik","gorleben","gutachten","riesenhuber","forschungspolitik","nutzung","grundlagenforschung","kernkraftwerke","kozloduj","wissenschaftler","kernkraftwerke","energien","technologie","artikelgesetz","atomenergie","endlager","reaktorsicherheit","regenerativen","energieversorgung","schütz","entsorgung","energieversorgung","energien","strom","morsleben","ausstieg","hustedt","kernenergie","erneuerbarer","steinkohle","biomasse","förderung","erneuerbare","energie","atomenergie","energiegipfel","strom","erneuerbare","prozent","prozent","gabriel","energieeffizienz","kernenergie","brennelementesteuer","strom","gorleben","photovoltaik","eeg","klimaschutz","unternehmen","strom","strom","energieeffizienz","ausbau","atomenergie","tihange","energie","klimawandel","strom","strom","eeg","energie","industrie","fossilen"
"8","länder","gebieten","kultusminister","einzelnen","insbesondere","unserer","wissenschaftler","besondere","etwa","problem","zahl","umfang","aufgaben","gebiet","wirtschaft","besonders","ausbildung","bundesrepublik","bundesregierung","wirtschaft","mittel","bundesregierung","entwicklung","wirtschaftliche","mittel","industrie","technischen","technischen","gebiete","gebieten","besonders","bedeutung","förderung","zusammenarbeit","bundesregierung","rahmen","einrichtungen","forschung","bundesregierung","programm","kohle","technologie","forschungs","entwicklung","entsorgung","fortschreibung","energie","technologie","energieversorgung","programm","kernkraftwerke","industrie","technologien","kernkraftwerke","thtr","enquetekommission","lenzer","energiepolitik","industrie","technologie","industrie","technik","ausstieg","ausstieg","atomenergie","forschung","risiken","biblis","forschungs","dara","nutzung","nutzung","kernkraftwerke","riesenhuber","töpfer","grundlagenforschung","raumfahrt","forschungspolitik","mochovce","forschung","abfälle","umwelt","castortransporte","morsleben","atomwirtschaft","atomenergie","kraftwärmekopplung","grill","kraftwärmekopplung","zwischenlager","grill","eeg","energie","müller","energieversorgung","klimaschutz","gorleben","energiepolitik","energie","fell","umwelt","prozent","energie","erneuerbare","klimaschutz","ccs","eeg","strom","energiekonzept","strom","asse","cent","emissionshandel","eegumlage","kohle","gabriel","prozent","eeg","strom","netzentgelte","kohleausstieg","anlagen","kohleausstieg","emissionshandel","eegumlage","nord","copreis","strom"
"9","müssen","insbesondere","förderung","immer","förderung","aufgaben","ländern","programm","insbesondere","bisher","förderung","förderung","entwicklungspolitik","besonders","kalbitzer","wirtschaft","wirtschaftliche","entwicklungsländern","hilfe","reeder","besonders","zusammenarbeit","bundesregierung","wirtschaft","verbesserung","hilfe","entwicklungshelfer","förderung","technischen","hilfe","verbesserung","aufgaben","probleme","gebiet","bereich","diktatur","jedoch","gebiet","förderung","energieforschung","bedeutung","bundesregierung","massnahmen","bau","forschungs","nutzung","nutzung","nutzung","laermann","energie","grundlagenforschung","riesenhuber","gutachten","gorleben","nutzung","empfehlung","technologien","entwicklung","steger","technik","gentechnologie","laermann","eureka","nutzung","technik","wiederaufarbeitung","energien","töpfer","technik","raumfahrt","energie","energie","energie","elektroautos","tschernobyl","catenhusen","energien","industrieforschung","stromeinspeisungsgesetz","technologie","reaktoren","technologie","entsorgung","stromeinspeisungsgesetz","gewusst","wiederaufarbeitung","tschernobyl","anlagen","gorleben","endlager","erneuerbaren","hustedt","erneuerbare","agentur","kernenergie","energie","klimaschutz","abfälle","energiemix","energieeffizienz","kernenergie","energiepolitik","hill","eeg","kernenergie","klimaschutz","strom","gorleben","ccs","ausbau","energie","energie","netzausbau","industrie","energie","klimaschutz","kwk","fukushima","kosten","anlagen","sektoren","wald","stream","kohleausstieg","kohleausstieg","co","energiewende","energieversorgung"
"10","bundesregierung","darf","darf","aufgaben","öffentlichkeit","gebiete","gebieten","länder","unserer","aufgaben","wirtschaftlichen","gebiete","kalbitzer","bundesregierung","aufgaben","zusammenarbeit","wirtschaft","technischen","mittel","förderung","aufgaben","besonders","rund","technischen","gebiete","wirtschaftliche","wirtschaft","zukunft","bereich","ländern","entwicklung","förderung","entwicklungsländer","forschung","förderung","gesundheitlicher","verbesserung","wald","unserer","probleme","förderung","massnahmen","förderung","energieversorgung","bundesregierung","energieversorgung","bundesregierung","bundesregierung","technologie","laermann","energiepolitischen","kernkraftwerke","bereich","endlagerung","snr","technik","inbetriebnahme","nutzung","riesenhuber","braunkohle","entwicklung","energiepolitik","kernkraftwerke","forschung","enquetekommission","nukem","technologie","energie","wiederaufarbeitung","daniels","faktenbericht","energieträger","bulgarien","kernenergie","energiepolitik","zentren","endlager","kohle","gorleben","energien","sachsenanhalt","plutonium","strom","landesregierung","grill","ukraine","anlagen","trittin","ausstieg","atommüll","anlagen","kurtdieter","energieversorgung","japan","kosten","windenergie","eeg","endlager","kernkraftwerke","energieversorgung","erneuerbare","gabriel","kohle","energiepreise","atomenergie","energieversorgung","klimaschutz","kernenergie","energiewende","kernenergie","kraftwärmekopplung","ausbau","strom","energie","krischer","energieeffizienz","erneuerbare","gabriel","abfälle","energiepolitik","ausbau","ausbau","energie","energie","ausbau","ausbau","wasserstoff","energiewende"
