"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","schumanplan","film","fischer","kohle","stahlhelm","kohle","kohle","europäischen","behörde","freihandelszone","kohle","kohle","ewg","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","ewg","gemeinschaft","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","gemeinschaft","europäischen","gemeinschaft","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","konferenz","europäischen","staaten","europa","europäischen","europäischen","staaten","sowjetunion","staaten","sowjetunion","sowjetunion","europa","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","waffen","sowjetunion","sowjetunion","sowjetunion","waffen","waffen","sowjetunion","waffen","waffen","europa","sowjetunion","europäischen","europa","europa","europäischen","europäischen","europa","europäischen","europäischen","russland","europa","europäischen","europäischen","europäischen","europa","europa","europäischen","europäischen","europäischen","europäischen","europa","europa","europäischen","europäischen","europa","europäischen","europa","europa","europäischen","europäischen","europa","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europa","europa","europa","europa","europa","griechenland","europa","europa","europa","europa","europa","europa","europa","europäischen","europa","europäischen","europa","europa"
"2","kohle","kohle","knechtsand","montanunion","ausschreibung","markt","bergbau","wirtschaftsgemeinschaft","kohle","europäischen","europäischen","bergbau","europäischen","ewg","oecd","ewg","ewg","brüssel","brüssel","ministerrat","brüssel","parlament","kommission","ewg","europäischen","ewg","ewg","ewg","ewg","gemeinschaft","europäische","gemeinschaft","europäischen","gemeinschaft","europäischen","gemeinschaft","gemeinschaft","gemeinschaft","europa","europa","europa","europäischen","europäischen","europa","europäischen","europäischen","europa","europa","sowjetunion","staaten","sowjetunion","bundeskanzler","abrüstung","sowjetunion","frieden","bündnis","europa","waffen","waffen","waffen","europa","sowjetunion","waffen","reykjavik","abrüstung","abrüstung","abrüstung","waffen","sowjetunion","europa","sowjetunion","europa","europa","europäischen","europäischen","europa","europa","europäischen","europa","europa","europäischen","europäischen","europa","europa","europa","europäischen","europäischen","europa","nizza","europa","europa","europäischen","europäischen","europa","europa","europäischen","türkei","europäischen","europäischen","europa","europa","europäischen","europäischen","europa","europa","europäische","europa","europa","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","griechenland","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europäischen","europa","europäischen","europäischen"
"3","behörde","eisen","bombardierung","filme","gemeinschaft","gemeinsamen","kernenergie","europäische","bergbau","wirtschaftsgemeinschaft","zoll","heizölsteuer","efta","lücker","ewg","gemeinsamen","wirtschaftsgemeinschaft","ewg","ministerrat","europäische","wirtschaftsgemeinschaft","parlaments","gemeinschaft","brüssel","gemeinschaft","europäischen","gemeinschaft","gemeinschaft","mitgliedstaaten","europäische","ewg","währungsunion","europäische","europäische","europäische","gipfelkonferenz","europa","europäische","gemeinschaft","gemeinschaft","staaten","gemeinschaft","puerto","gemeinschaft","europa","gemeinschaft","gemeinschaft","europäische","afghanistan","europa","europa","europa","frieden","staaten","staaten","staaten","staaten","staaten","europa","europa","waffen","staaten","amerikanischen","waffen","nulllösung","sowjetunion","sowjetunion","europa","abrüstung","sowjetunion","waffen","staaten","europäische","europäische","maastricht","europäische","union","union","russland","europäische","europa","europäische","währungsunion","europäische","euro","europäische","europäische","union","europa","union","union","europäische","europäische","europäische","europäische","europäische","europa","türkei","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europa","europäische","europäische","europäische","europäische","griechenland","griechenland","europäische","europäische","europäische","europäischen","europäischen","abkommen","ceta","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische"
"4","stahl","montanunion","bomben","stahl","goslar","kernenergie","kohlenbergbau","vertrag","montanunion","europäische","bergbau","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaftsgemeinschaft","europäische","brüssel","brüssel","wirtschaftsgemeinschaft","ewg","brüssel","ewg","europäische","ewg","gemeinschaft","brüssel","beitritt","europäische","kommission","gemeinschaft","ewg","gemeinschaft","europäische","währungsunion","europa","europa","europa","europäische","europa","europäische","europäische","gemeinschaft","europäische","gemeinschaft","europäische","gemeinschaft","staaten","europäische","gemeinschaft","europa","europäischen","welt","staaten","europa","polen","europa","frieden","europäischen","verhandlungen","stationierung","sowjetischen","amerikanischen","europa","usa","europa","europa","europa","europa","abrüstung","europa","nato","nato","europäischen","sowjetunion","staaten","europäische","gemeinschaft","europäische","europäische","union","union","nato","union","europäische","union","währungsunion","union","union","europäische","union","europäische","europäische","union","türkei","union","türkei","verfassung","europäische","europäische","türkei","union","union","union","union","union","kommission","vertrag","griechenland","union","mitgliedstaaten","griechenland","europäische","europäische","kroatien","union","eu","europäische","europäische","europäische","europäische","grossbritannien","union","union","union","union","union","eu","eu","union"
"5","schumanplans","behörde","kohle","behörde","kohle","gemeinschaft","enquete","gemeinsamen","atomenergie","ewg","entwicklung","heizöl","europäische","energiewirtschaftsgesetzes","wirtschaftsgemeinschaft","gemeinschaft","europäische","gemeinsamen","mitgliedstaaten","ewg","europäische","gemeinschaften","gemeinsamen","europäische","europäische","kommission","griechenland","gemeinschaften","kommission","kommission","europa","wirtschafts","europa","zusammenarbeit","ewg","argentinien","staaten","vereinigten","vereinigten","konferenz","konferenz","staaten","rico","staaten","vereinigten","vereinigten","staaten","staaten","europäischen","moskau","europäischen","verhandlungen","staaten","bundeskanzler","amerikanischen","europa","verhandlungen","europa","bündnis","abrüstung","staaten","sdi","europa","abrüstung","waffen","konventionellen","nuklearen","staaten","verhandlungen","abrüstung","europäischen","baltischen","maastricht","maastricht","vertrag","staaten","nato","staaten","europäische","währungsunion","europäische","osze","euro","nato","europäische","kommission","euro","regierungskonferenz","europäische","nizza","konvent","nato","union","nato","verfassung","union","union","verfassung","union","eu","bulgarien","eu","kommission","vertrag","union","lissabon","eu","kommission","union","kommission","fiskalpakt","union","union","eu","union","griechischen","union","ceta","abkommen","union","eu","eu","eu","eu","eu","union","union","moldau"
"6","eisen","filme","filme","oeec","stahl","marktes","kommission","gemeinschaft","steinkohlenbergbau","markt","verträge","feierschichten","freihandelszone","europäische","margulies","wirtschaftsgemeinschaft","abschöpfungen","kommission","europäische","parlament","gemeinsamen","gemeinschaft","brüssel","kommission","kommission","griechenland","mitgliedstaaten","gemeinsamen","brüssel","haag","zusammenarbeit","union","französischen","konferenz","erweiterung","frankreich","vereinigten","staaten","staaten","staaten","vereinigten","europas","staaten","europas","europäische","amerikanischen","währungssystem","sowjetunion","gemeinschaft","afghanistan","gleichgewicht","vereinigten","vereinigten","europäischen","vereinigten","abrüstung","vereinigten","stationierung","staaten","staaten","vereinigten","usa","staaten","staaten","reichweite","bundeskanzler","sicherheit","europäischen","bündnis","staaten","staaten","sowjetischen","union","nato","gemeinschaft","nato","gemeinschaft","ksze","tschetschenien","frankreich","union","währungsunion","union","vertrag","union","nato","gipfel","mitgliedstaaten","mitgliedstaaten","erweiterung","mitgliedstaaten","staaten","europas","verfassung","union","eu","eu","union","eu","mitgliedstaaten","rumänien","mitgliedstaaten","mitgliedstaaten","eu","mitgliedstaaten","union","union","eu","eu","union","union","mitgliedstaaten","bundeskanzlerin","europas","abkommen","eu","ceta","union","union","eu","europas","brexit","brexit","staaten","mitgliedstaaten","mitgliedstaaten","mitgliedstaaten","eu"
"7","ruhrbehörde","stahlindustrie","royal","aktivität","beschaffung","bergbau","hausbrand","markt","atomkommission","sechs","feierschichten","europäischen","zusammenarbeit","verhandlungen","lücker","europäische","ministerrat","europäische","parlaments","wirtschaftsgemeinschaft","ministerrat","fusion","frankreich","gemeinsamen","gemeinsamen","europäische","gemeinschaften","europäische","gemeinschaften","verhandlungen","hallstein","europa","brüssel","ewg","staaten","pompidou","amerikanischen","neun","usa","ksze","europäische","tindemans","narjes","vereinigten","amerikanischen","europäische","vereinigten","bündnis","entspannungspolitik","gemeinschaft","bündnis","amerikanischen","verhandlungen","frieden","bundeskanzler","bundeskanzler","bundeskanzler","abrüstung","frieden","krieg","nato","genf","sdi","amerikanischen","pershing","staaten","konventionellen","zusammenarbeit","nato","bündnis","vertrag","nato","gemeinschaft","gemeinschaft","union","abrüstung","staaten","präsidentschaft","russischen","französischen","abrüstung","vertrag","nato","amsterdam","währung","agenda","türkei","türkei","erweiterung","osterweiterung","nizza","europas","kopenhagen","konvent","regierungskonferenz","europas","kommission","eu","verfassung","verfassung","kommission","kommission","vertrag","kommission","eu","eu","mitgliedstaaten","mitgliedstaaten","kommission","eurobonds","esm","kommission","griechenland","bundeskanzlerin","irland","abkommen","abkommen","ttip","eu","macron","kommission","grossbritannien","grossbritannien","frankreich","ratspräsidentschaft","ratspräsidentschaft","europas","europas"
"8","demontage","stahl","eisenerzbergbau","film","öffentliche","tonne","atomfragen","freihandelszone","gemeinsamen","frankreich","tonnen","kohlenbergbau","wirtschaftsgemeinschaft","frankreich","staaten","brüsseler","gemeinsamen","ministerrat","wirtschaftsgemeinschaft","kommission","europa","gemeinsamen","wirtschaftsgemeinschaft","ministerrat","vertrag","gemeinschaften","grossbritannien","mitgliedstaaten","verhandlungen","europa","haag","integration","ewg","währungsunion","mitgliedstaaten","argentinischen","zusammenarbeit","mitgliedstaaten","europas","vereinigten","bündnis","frankreich","europa","entspannungspolitik","konferenz","amerikanische","aussenpolitik","entspannungspolitik","welt","welt","amerikanischen","waffen","rüstungskontrolle","verhandlungen","waffen","sicherheitspolitik","waffen","raketen","nato","chemischen","verhandlungen","chemischen","abrüstung","bündnis","sicherheit","sicherheit","nato","usa","staaten","europäischen","europas","waffen","nato","waffen","währungsunion","eg","russland","nato","atomwaffen","französische","staaten","regierungskonferenz","staaten","währungsunion","wirtschafts","bundeskanzler","mitgliedstaaten","aussenminister","osterweiterung","staaten","ungarn","vertrag","frankreich","mitgliedstaaten","eu","mitgliedstaaten","europas","mitgliedstaaten","frankreich","brüssel","eu","ratspräsidentschaft","eu","mitgliedstaaten","brüssel","kommission","island","irland","griechenland","mitgliedstaaten","kommission","bundeskanzlerin","mitgliedstaaten","kommission","kommission","griechische","ttip","grossbritannien","europas","frankreich","mitgliedstaaten","europas","frankreich","brexit","europas","europas","staaten","kommission"
"9","europäischen","films","bombenabwürfe","markt","kesselring","behörde","behörde","sechs","kohlenbergbau","entwicklung","wirtschaftsgemeinschaft","ruhr","europa","gemeinsamen","oeec","agrarpolitik","staaten","mitgliedstaaten","gemeinsamen","nationalen","gemeinschaft","ministerrat","kennedyrunde","ewgkommission","kennedyrunde","verhandlungen","kommission","handelspolitik","gemeinsamen","mitgliedstaaten","gemeinschaften","politischen","wirtschafts","mitgliedstaaten","gemeinschaften","europäische","währungsunion","europas","einigung","neun","bündnisses","zusammenarbeit","amerikanischen","amerikanischen","internationalen","entspannungspolitik","amerikanischen","vereinigten","entspannung","frieden","gemeinschaft","bündnis","sicherheit","bündnis","politik","aussenpolitik","abrüstung","frieden","verhandlungen","frieden","sdi","amerikanischen","nato","usa","mittelstreckenraketen","bündnis","staaten","frankreich","usa","atomwaffen","abrüstung","europäische","währungsunion","sowjetunion","maastrichter","atomwaffen","europas","europas","staaten","sicherheitspolitik","jelzin","nato","russland","euro","stabilität","euro","erweiterung","eu","charta","europas","bundeskanzler","erweiterung","erweiterung","europas","europas","türkei","rat","europas","europas","kommission","beitritt","europas","reformvertrag","lissabon","europas","mitgliedstaaten","kommission","europäischer","europas","eu","mitgliedstaaten","europas","wachstum","griechenland","mitgliedstaaten","union","eu","eu","mitgliedstaaten","europas","frankreich","abkommen","vertrag","abkommen","kommission","kommission","europäischer","konferenz"
"10","hohe","filmwirtschaft","kohlenbergbau","gemeinsamen","versammlung","atomfragen","kernbrennstoffe","montanunion","ratzel","gemeinsamen","einfuhr","entwicklung","kommission","vertrag","deutsche","beschlüsse","verordnungen","verhandlungen","parlament","parlaments","parlament","nationalen","krise","gemeinsame","beitritt","grossbritanniens","europa","erweiterung","europäische","gipfelkonferenz","erweiterung","ewg","sechs","gemeinsamen","währungsunion","erweiterten","mitgliedstaaten","frankreich","frankreich","genf","versammlung","nato","aussenminister","parlament","verhandlungen","welt","europas","europas","vereinigten","sowjetischen","bundeskanzler","politik","amerikanischen","vereinigten","krieg","waffen","gemeinschaft","nato","sowjetischen","usa","strategie","vereinigten","sowjetischen","vereinigten","raketen","nato","verhandlungen","nato","sicherheit","verhandlungen","europäische","verträge","staaten","europas","europas","waffen","vertrag","aussenpolitik","nato","atomwaffen","währungsunion","mitgliedstaaten","europol","russland","bundeskanzler","gipfel","tampere","österreich","aussenminister","eu","europas","konvent","konvent","staaten","staaten","erweiterung","mitgliedstaaten","nato","bundeskanzler","europas","mitgliedstaaten","türkei","europas","irland","vertrag","parlament","rat","griechenland","ungarn","europas","wachstum","krise","rat","mitgliedstaaten","bundeskanzlerin","regierung","kommission","griechenland","ttip","brexit","staaten","macron","mitgliedstaaten","europas","solidarität","rechtsstaatlichkeit","kommission","staaten"
