"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bundesbahn","bundesbahn","bundesbahn","bundesbahn","verkehr","verkehr","verkehr","bundesbahn","bundesbahn","bundesbahn","bundesbahn","verkehr","verkehr","bundesbahn","verkehr","bundesbahn","verkehr","verkehr","verkehr","bundesbahn","bundesbahn","verkehr","verkehr","bundesbahn","verkehr","verkehr","bundesbahn","verkehr","verkehr","verkehr","verkehr","verkehr","verkehr","post","post","bundesbahn","verkehr","bundesbahn","verkehr","fernmeldewesen","post","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundespost","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundespost","de","bundesbahn","bundesbahn","bundesbahn","bahn","bundesbahn","bundesbahn","bundesbahn","strassen","bahn","bundesbahn","bundesbahn","verkehr","bahn","bundesbahn","bundesbahn","krause","verkehr","krause","bahn","bahn","transrapid","verkehr","bahn","verkehr","verkehr","bahn","bahn","bahn","bahn","verkehr","bahn","bahn","bahn","verkehr","verkehr","verkehr","verkehr","maut","bahn","verkehr","verkehr","verkehr","flugsicherung","bahn","verkehr","bahn","bahn","bahn","verkehr","bahn","stuttgart","bahn","verkehr","bahn","ramsauer","lärmschutz","bahn","pkwmaut","maut","vw","verkehr","infrastruktur","fahren","mobilität","fahrverbote","bahn","bahn","bahn","schiene","schiene","mobilität"
"2","verkehr","verkehr","verkehr","verkehr","bundesbahn","bundesbahn","strassenbau","strassenbau","bundesverkehrsminister","bundesverkehrsminister","verkehr","strassenbau","bundesverkehrsminister","verkehr","bundesbahn","verkehr","bundesbahn","seebohm","seebohm","verkehr","verkehr","bundesbahn","bundesbahn","verkehr","bundesbahn","börner","verkehr","börner","bundesbahn","post","fernmeldewesen","post","post","börner","fernmeldewesen","verkehr","haar","verkehr","fernmeldewesen","post","fernmeldewesen","bundespost","verkehr","wrede","bahn","haar","bundespost","wrede","verkehr","post","verkehr","bundespost","mahne","bahn","mahne","deutsche","la","verkehrspolitik","bahn","bahn","bundesbahn","bahn","verkehr","bahn","autobahnen","bundesbahn","verkehr","bahn","bundesbahn","bundesbahn","km","verkehr","autobahnen","verkehrspolitik","verkehr","verkehrspolitik","transrapid","bahn","bahn","verkehr","transrapid","wissmann","ag","verkehr","transrapid","verkehr","bau","verkehr","verkehr","verkehr","bau","bau","bau","wohnungswesen","verkehr","schiene","bahn","bahn","seeschifffahrt","verkehr","db","bahn","tempolimit","verkehr","ag","bahn","verkehr","bahn","stuttgart","bahn","bürgerbeteiligung","bahn","strassen","infrastruktur","infrastruktur","infrastruktur","verkehr","dobrindt","bundesverkehrswegeplan","verkehr","grenzwerte","grenzwerte","mobilität","mobilität","scheuer","mobilität","bahn","öpnv"
"3","kaffee","strasse","müllerhermann","müllerhermann","bundesverkehrsminister","bundesverkehrsminister","strassen","bundespost","verkehr","verkehr","seebohm","müllerhermann","bundesbahn","seebohm","seebohm","seebohm","seebohm","bundesbahn","dring","seebohm","seebohm","seiermann","seebohm","seebohm","seiermann","bundesbahn","börner","bundesbahn","börner","fernmeldewesen","post","bundesbahn","fernmeldewesen","fernmeldewesen","verkehr","lemmrich","bundesbahn","haar","post","verkehr","verkehr","jung","bahn","zeittakt","post","verkehr","verkehr","bundespost","bundespost","strassen","mahne","post","jobst","mahne","bundespost","post","et","de","zonenrandgebiet","km","verkehr","verkehr","strassen","strassen","bundesbahn","verkehr","zonenrandgebiet","verkehr","österreich","schiene","bahn","bahn","tempolimit","bahn","verkehrspolitik","bahnreform","bahnreform","verkehrspolitik","verkehrspolitik","transrapid","bahn","bahn","verkehr","wissmann","schiene","bau","bahn","transrapid","ag","schiene","wohnungswesen","bahn","bahn","bau","schiene","verkehr","wohnungswesen","bau","bau","bau","schiene","bau","autobahnen","db","verkehr","bau","schiene","verkehr","verkehr","bau","tempo","bau","verkehr","verkehr","lkwmaut","infrastrukturabgabe","infrastruktur","infrastruktur","schiene","dobrindt","öpnv","mobilität","fahrverbote","schiene","verkehr","bahn","mobilität","schiene"
"4","deutschen","post","strasse","verkehrsfinanzgesetz","fahrzeuge","schmidt","zehnjahresplan","müllerhermann","tarife","bundespost","bundesverkehrsminister","gemeinden","strassenbau","dring","müllerhermann","dring","dring","dring","bundesbahn","dring","dring","seebohm","seiermann","dring","leber","wittrock","leber","leber","strassen","börner","börner","fernmeldewesen","bundesbahn","verkehr","bundespost","fernmeldewesen","post","verkehrspolitik","bundesbahn","bundesbahn","bundesbahn","post","jung","bundespost","bundespost","post","post","post","wrede","strassenbau","verkehrspolitik","mahne","bundespost","bundesverkehrsminister","poststellen","fernmeldewesen","les","strassenbau","eisenbahner","sbahn","dollinger","senfft","verkehrssicherheit","verkehr","verkehr","strecke","flughäfen","strassen","bahn","verkehr","autobahnen","verkehrspolitik","strassen","krause","schiene","verkehr","verkehr","verkehr","schiene","strecke","telematik","transrapid","strecke","verkehrspolitik","verkehrspolitik","wohnungswesen","schiene","bau","schiene","bau","bahn","wohnungswesen","wohnungswesen","bahn","bau","ag","bau","wohnungswesen","wohnungswesen","bahn","ag","stadtentwicklung","verkehr","ag","bau","stadtentwicklung","stadtentwicklung","mobilität","ag","stadtentwicklung","ramsauer","verkehr","bahn","mobilität","dobrindt","pkwmaut","dobrindt","bahn","dobrindt","mobilität","fahrverbote","fahrzeuge","schiene","auto","bürgerbeteiligung","scheuer","scheuer","bahn"
"5","bundespost","bundesverkehrsminister","bundesverkehrsminister","bundesverkehrsminister","schmidt","fahrzeuge","zweckbindung","bundesverkehrsminister","strasse","strassenbau","dring","luftverkehrsverwaltung","seebohm","bundesverkehrsminister","dring","bundesverkehrsminister","seiermann","seiermann","seiermann","verkehrsträger","seiermann","dring","dring","bundesminister","börner","bundesminister","verkehrspolitischen","bundesminister","leber","bundesbahn","bundesbahn","leber","börner","bundesbahn","leber","post","fernmeldewesen","post","autobahnen","haar","haar","bahn","post","nahbereich","zeittakt","bundespost","wrede","verkehr","strassen","verkehr","bundespost","hauff","bundesverkehrsminister","verkehr","container","bundesbahn","le","km","verkehr","öpnv","fläche","lkw","bedarfsplan","verkehrspolitik","verkehrssicherheit","strassenbau","münchen","zonenrandgebiet","schiene","flugsicherung","schiene","schiene","feige","flugsicherung","strassen","schiene","binnenschiffahrt","strecke","lärm","wissmann","binnenschiffahrt","altmann","schiene","altmann","verkehr","ibrügger","transrapid","wohnungswesen","bau","wohnungswesen","schiene","bodewig","ag","ag","bahn","wohnungswesen","stolpe","maritimen","mertens","stadtentwicklung","verkehr","ag","bau","stadtentwicklung","db","flugsicherung","bau","elektromobilität","schiene","stuttgart","verkehr","schlichtungsstelle","bau","dobrindt","maut","dobrindt","fahrzeuge","stuttgart","bahn","bahn","luft","scheuer","grenzwerte","scheuer","ausbau","verkehr","fahren","auto"
"6","post","verkehrs","strassen","strassen","post","müllerhermann","bundesbahn","schmidt","tariferhöhung","km","strassenbau","bundesverkehrsminister","strassen","müllerhermann","bleiss","seiermann","bundesverkehrsminister","strassen","strassenbau","verkehrspolitik","bundesverkehrsminister","bundesminister","bundesminister","müllerhermann","bundesminister","staatssekretär","strassen","strassen","bundesverkehrsminister","leber","leber","börner","leber","lemmrich","haar","strassenverkehr","mineralölsteuer","bahn","wittrock","jung","gscheidle","verkehr","fernmeldewesen","post","gscheidle","bahn","haar","strassenverkehr","mahne","mondscheintarifs","ruhnau","verkehr","bahn","bundespost","merker","lufthansa","que","verkehrslärmschutzgesetz","jobst","personennahverkehr","verkehrspolitik","strassen","schulte","strassenbau","unfälle","öpnv","ausbau","verkehrspolitik","alpen","strasse","lärm","reichsbahn","verkehr","verkehrsträger","feige","bundesverkehrswegeplan","verkehrspolitik","hamburg","flughäfen","schiene","kombinierten","ausbau","transrapid","ag","wissmann","lothar","wohnungswesen","strecke","wohnungswesen","ag","bodewig","schiene","lkwmaut","grossmann","wohnungswesen","bau","flughafen","häfen","angelika","friedrich","bau","db","ag","bau","tiefensee","häfen","ag","projekt","bau","elbe","flughafen","stuttgart","tempolimit","schiene","verkehr","bahn","digitale","digitale","verkehr","infrastruktur","bahn","luft","fahrzeuge","verkehr","mobilität","auto","ländlichen","euroticket"
"7","strasse","bundespost","verkehrsfinanzgesetz","strassenbau","sonn","verkehrsausschuss","gemeinden","strassen","schmidt","bleiss","strassen","bleiss","müllerhermann","verkehrsträger","bundesverkehrsminister","strassenbau","strecke","lufthansa","autobahn","müllerhermann","müllerhermann","strasse","herr","seiermann","ramms","beim","bundesverkehrsminister","gerstenmaier","verkehrspolitik","staatssekretär","müllerhermann","bundesverkehrsminister","bundesverkehrsminister","gemeinden","bundesbahn","bundesminister","technologie","lauritzen","bundespost","bundespost","jung","verkehrspolitik","bundespost","einführung","wrede","wrede","bahn","fernmeldewesen","post","cbfunk","ländlichen","bahn","lufthansa","hauff","verkehr","oberpostdirektion","qui","daubertshäuser","strecken","schiene","verkehrsminister","schulte","strassenbau","schulte","geschwindigkeit","fläche","bahn","strasse","verkehrspolitik","verkehrspolitik","verkehrspolitik","krause","kmh","schiene","bahn","strasse","promille","wissmann","promille","donau","schiene","strecke","db","schiene","ferner","müntefering","ibrügger","hamburg","db","strecke","ag","schweiz","verkehrspolitik","achim","stolpe","häfen","schiene","stolpe","kapitän","verkehrsträger","netz","hofreiter","stadtentwicklung","schiene","stadtentwicklung","kasparick","verkehrspolitik","schiene","lärm","ag","projekt","stadtentwicklung","schiene","flughafen","schiene","strassen","strasse","fahrzeuge","maut","auto","automobilindustrie","städten","scheuer","elektromobilität","kmh","öpnv","verkehr","verkehr"
"8","senkung","seebohm","schmidt","lasten","bundesverkehrsministerium","strassen","bundesverkehrsminister","rademacher","seebohm","autobahn","müllerhermann","strassen","bleiss","bleiss","strassen","müllerhermann","ausbau","strasse","bundesminister","bundesverkehrsminister","bundesstrasse","xi","xi","zusatzfrage","strecke","münchen","strasse","staatssekretär","verkehrs","bundesminister","staatssekretär","lemmrich","mineralölsteuer","bundespost","gebührenerhöhung","kollege","verkehrspolitik","fluglotsen","technologie","verkehrspolitik","verkehrspolitik","gscheidle","deutschen","fernmeldewesen","verkehr","fernmeldewesen","gscheidle","mahne","lärmschutz","mondscheintarif","schulte","fernmeldewesen","verkehr","verkehrspolitik","bayern","bundespostminister","en","kanal","vorstand","fläche","km","verkehrspolitik","ausbau","dollinger","schulte","schiene","strecke","strecke","lkw","verkehrsträger","fahrzeuge","ausbau","verkehrspolitik","öpnv","verkehrssicherheit","bundesbahn","promillegrenze","km","wissmann","ag","strecke","carstens","lärm","gila","österreich","schiene","lothar","klimmt","scheffler","db","db","staatsvertrag","gleicke","bundesverkehrswegeplan","minister","bahnreform","gleicke","maritime","goldmann","schiene","stadtentwicklung","achim","db","privatisierung","schiene","elektromobilität","strasse","fahren","stadtentwicklung","schiene","elbe","flughafen","ramsauer","strassen","strassen","lkwmaut","kraftfahrtbundesamt","automobilindustrie","mobilität","automobilindustrie","diesel","verkehr","elektromobilität","automobilindustrie","lärmschutz","verkehrswende","auto","infrastruktur"
"9","dm","schmidt","verkehrs","bahn","passagierschiffahrt","strassenverkehr","müllerhermann","verkehr","berufsverkehr","rademacher","strecke","bundesbahn","dring","km","bundesstrassen","bundesminister","strassen","bundesminister","strassen","strasse","bleiss","xii","schoettle","tarife","wittrock","parlamentarischer","eisenbahn","bundesstrasse","ausbau","parlamentarischer","strassenbau","strassen","lemmrich","mineralölsteuer","gscheidle","abdeckung","bundespost","personennahverkehr","strassen","personennahverkehr","deutschen","fernmeldewesen","personennahverkehr","verkehr","strassen","km","fernmeldewesen","strecken","verkehrspolitik","fernmeldewesen","strassen","personennahverkehr","kölnbonn","verkehrsminister","deutsche","schiffen","dans","personennahverkehrs","leitlinien","bahnhof","schiene","hoffie","autobahnen","senfft","verkehrstoten","strasse","zonenrandgebietes","deutsche","strasse","öpnv","ausgewiesen","verkehrsträger","geschwindigkeit","strassen","öpnv","krause","daubertshäuser","feige","ausbau","ausbau","verkehrsträger","elbe","bahnreform","bahnreform","strasse","ag","investitionsprogramm","scheffler","strecke","binnenschifffahrt","lkwmaut","bundesverkehrswegeplan","strecke","schiene","strasse","bundesverkehrswegeplan","ag","package","börnsen","kapitalprivatisierung","infrastruktur","grossmann","hofreiter","bahnreform","flugsicherung","privatisierung","stuttgart","bau","db","ramsauer","infrastruktur","schiene","verkehrssicherheit","pkwmaut","bahn","verkehr","automobilindustrie","bundesverkehrswegeplan","fahren","fahrzeuge","städten","diesel","mikrogramm","fahren","strassen","infrastruktur","infrastruktur","bus"
"10","eisenbahn","fernmeldewesen","eisenbahn","bundespost","feiertagen","verkehrssicherheit","km","verkehrspolitik","müllerhermann","deutschen","rademacher","europäischen","lastkraftwagen","verkehrspolitik","strassenbau","richtlinien","fahrzeuge","karlsruhe","bundesstrasse","bleiss","bundesminister","planung","strecke","bundesverkehrsminister","zusatzfrage","leber","wittrock","trennscheibe","programm","bundespost","bundesminister","verkehrsbericht","bedarfsplan","werkfernverkehr","gebührenerhöhungen","unbefriedigend","wittrock","fernmeldewesen","verkehrsausschuss","folgekosten","bundesminister","zeittakt","personennahverkehrs","bahn","fernmeldewesen","fahrzeuge","verkehrspolitik","poststellen","verkehrs","km","personennahverkehr","verkehrspolitik","deutschen","strassenbau","verkehrsausschuss","raum","nous","richtlinien","verkehrspolitik","dollinger","strassen","km","daubertshäuser","strasse","raserei","warnke","fluglotsen","verkehrsminister","schweiz","lkw","pkw","strasse","verkehrswege","raumordnungspolitik","bundesbahn","ausbau","wissmann","dagmar","strasse","projekt","ausbau","donau","strecken","ausbau","ag","pallas","strasse","siegfried","verkehrspolitik","netz","hilsberg","donau","stolpe","mertens","bundesverkehrswegeplan","stolpe","strecke","port","bahn","dfs","strasse","schiene","verkehrssicherheit","finanzierungsvereinbarung","grossmann","tonnen","mobilität","stadtentwicklung","elbe","db","bau","projekt","pkwmaut","brandenburg","erhalt","schiene","alexander","vw","digitale","radverkehr","saubere","auto","verkehr","verkehrswende","schiene","kilometer","strassen","ländlichen"
