"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","antrag","dr","dr","herren","dr","gesetz","gesetz","ausschuss","gesetz","antrag","antrag","handwerker","antrag","selbständigen","antrag","selbständigen","selbständigen","mittelständischen","berufsausbildung","wein","handwerks","schiller","schiller","bundesbank","schiller","schiller","aufwertung","schiller","schiller","bundesbank","schiller","schiller","schiller","schiller","strauss","bundesbank","strauss","inflation","strauss","wirtschaft","strauss","strauss","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","wachstum","wachstum","arbeitslosigkeit","biedenkopf","wirtschaft","wirtschaft","wirtschaft","arbeitslosigkeit","investitionszulage","investitionen","investitionen","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","wirtschaft","unternehmen","marktwirtschaft","marktwirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","mittelstand","deutschland","unternehmen","deutschland","unternehmen","deutschland","deutschland","deutschland","unternehmen","unternehmen","unternehmen","deutschland","unternehmen","unternehmen","unternehmen","wachstum","wachstum","wirtschaft","wachstum","wachstum","deutschland","mittelstand","wirtschaft","wirtschaft","unternehmen","wirtschaft","unternehmen","unternehmen","digitalisierung","digitalisierung","digitalisierung","unternehmen","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung"
"2","antrag","herr","herr","herr","gesetz","herr","dr","präsident","antrag","herr","selbständigen","gesetz","selbständigen","ausschuss","gesetz","selbständigen","mittelständischen","mittelstand","mittelstand","entwurf","empfindungen","handwerk","gutachten","bundesbank","wachstum","wirtschaft","wirtschaftspolitik","wirtschaft","aufwertung","aufwertung","schiller","stabilität","bundesbank","inflation","strauss","bundeskanzler","inflation","bundesbank","bundesbank","inflation","aufschwung","wirtschaft","wirtschaft","investitionen","wachstum","jahreswirtschaftsbericht","marktwirtschaft","arbeitslosigkeit","wachstum","wachstum","investitionen","bundesbank","investitionen","investitionen","investitionen","arbeitslosigkeit","wirtschaft","investitionen","wirtschaft","wirtschaft","wirtschaft","politik","arbeitslosigkeit","arbeitsplätze","wirtschaft","investitionen","arbeitslosigkeit","wirtschaftspolitik","wirtschaft","unternehmen","wirtschaft","marktwirtschaft","marktwirtschaft","investitionen","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","wirtschaft","deutschland","mittelstand","unternehmen","mittelstand","handwerk","unternehmen","deutschland","unternehmen","unternehmen","unternehmen","deutschland","deutschland","deutschland","wirtschaft","deutschland","wirtschaft","krise","unternehmen","wirtschaft","handwerk","wirtschaft","wirtschaft","wirtschaft","wirtschaft","unternehmen","unternehmen","wirtschaft","unternehmen","digitalisierung","digitalisierung","unternehmen","unternehmen","intelligenz","digitalisierung","wirtschaft","unternehmen","unternehmen","wirtschaft","wirtschaft"
"3","dr","dr","antrag","antrag","antrag","präsident","lesung","herr","dr","präsident","schmücker","lesung","handwerk","selbständigen","mittelschichten","ausschuss","mittelstand","gewerblichen","mittelständische","gewerbeordnung","ausbildung","entwurf","bundeskanzler","schmücker","stabilität","ergänzungsabgabe","rezession","schiller","wirtschaft","bundesbank","stabilität","bundesbank","stabilität","stabilität","bundesbank","inflation","stabilitätspolitik","stabilitätspolitik","strauss","arbeitslosigkeit","bundeskanzler","arbeitslosigkeit","aufschwung","strauss","strauss","wirtschaft","biedenkopf","investitionen","biedenkopf","wirtschaft","leistungsbilanzdefizit","arbeitslosigkeit","zinsen","wirtschaft","wettbewerbsfähigkeit","wirtschaft","arbeitsplätze","wirtschaft","wachstum","zinsen","investitionen","arbeitsplätze","unternehmen","wirtschaft","wirtschaftspolitik","arbeitsplätze","investitionen","arbeitslosigkeit","fusion","wirtschaft","investitionen","investitionen","arbeitsplätze","arbeitsplätze","wirtschaftspolitik","arbeitsplätze","unternehmen","unternehmen","unternehmen","wirtschaft","wirtschaft","wirtschaft","deutschland","deutschland","deutschland","wirtschaft","deutschland","wirtschaft","wachstum","wirtschaft","deutschland","deutschland","unternehmen","deutschland","wirtschaft","mittelstand","prozent","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","arbeitsplätze","krise","wirtschaft","krise","deutschland","maritimen","deutschland","unternehmen","wachstum","unternehmen","deutschland","wachstum","deutschland","digitalisierung","deutschland","wirtschaft","wirtschaft","wirtschaft","unternehmen","wirtschaft","unternehmen","wirtschaft","wirtschaft","unternehmen","digitalen"
"4","möchte","gesetz","gesetz","vizepräsident","präsident","antrag","herren","dr","herr","dr","handwerker","herr","schmücker","gesetz","demokraten","kollege","betriebe","betriebe","handel","berufsausbildungsgesetz","novellierung","handwerksordnung","regierungserklärung","bundeskanzler","wirtschaftspolitik","bundeswirtschaftsminister","stabilität","bundeswirtschaftsminister","bundesbank","wirtschaft","aufwertung","stoltenberg","müllerhermann","preissteigerungen","wirtschaft","versprochen","stabilität","inflation","stabilitätspolitik","bundesbank","investitionen","aufschwung","arbeitslosigkeit","arbeitslosigkeit","investitionen","wachstum","arbeitslosigkeit","bundesbank","marktwirtschaft","wirtschaftspolitik","wirtschaftspolitik","investitionen","arbeitslosigkeit","bundesbank","wirtschaft","lambsdorff","arbeitslosigkeit","wachstum","arbeitsplätze","wachstum","arbeitsplätze","investitionen","arbeitsplätze","politik","arbeitsplätze","wachstum","wachstum","wachstum","wachstum","wachstum","wachstum","wirtschaftspolitik","investitionen","marktwirtschaft","osten","solidarpakt","wachstum","arbeitslosigkeit","rexrodt","deutschland","deutschland","deutschland","wirtschaft","wirtschaft","wirtschaft","wirtschaftspolitik","politik","deutschland","deutschland","arbeitsplätze","wirtschaft","wirtschaft","wachstum","wirtschaft","handwerk","wirtschaft","mittelstand","wirtschaft","prozent","mittelstand","wirtschaft","wirtschaft","aufschwung","wirtschaft","mittelstand","arbeitsplätze","wirtschaft","unternehmen","unternehmen","unternehmen","deutschland","unternehmen","wachstum","investitionen","deutschland","investitionen","industrie","forschungsförderung","entwicklung","digitalen","mittelstand","wirtschaft","innovationen","intelligenz","innovationen","innovation","innovationen","unternehmen"
"5","glaube","herren","präsident","kollege","dr","lesung","antrag","abgeordnete","gesetz","herren","mittelstandsausschuss","atzenroth","handwerks","fraktion","antrag","aufgeworfen","schmücker","antrag","antrag","wirtschaft","reichsregierung","masten","schmücker","stabilitätsgesetz","schiller","wachstum","wirtschaft","bundesbank","stabilität","bundeswirtschaftsminister","wirtschaft","wirtschaft","wirtschaft","rezession","inflation","stabilität","stabilitätsabgabe","bundesfinanzminister","stabilität","wirtschaft","arbeitslosigkeit","rezession","bundeskanzler","wachstum","marktwirtschaft","investitionen","wirtschaft","inflation","vollbeschäftigung","staatsverschuldung","arbeitslosigkeit","japan","lambsdorff","arbeitsplätze","arbeitslosigkeit","arbeitsplätze","marktwirtschaft","arbeitsplätze","investitionen","protektionismus","wachstum","wachstum","wirtschaftspolitik","unternehmen","roth","unternehmen","arbeitsplätze","investitionen","arbeitsplätze","haussmann","arbeitsplätze","wirtschaftlichen","unternehmen","unternehmen","investitionen","investitionen","deutschland","politik","wirtschaftspolitik","politik","arbeitslosigkeit","wachstum","arbeitslosigkeit","arbeitslosigkeit","neuen","politik","wirtschaft","entwicklung","politik","mittelstand","arbeitsplätze","arbeitsplätze","wirtschaft","arbeitsplätze","wachstum","arbeitsplätze","arbeitsplätze","mittelstand","wachstum","wirtschaft","wachstum","wachstum","arbeitsplätze","wachstum","arbeitsplätze","mittelstand","brüderle","brüderle","deutschland","rösler","mittelstand","mittelstand","deutschland","wachstum","investitionen","wachstum","deutschland","wirtschaft","deutschland","entwicklung","digitalen","künstliche","digitalen","digitale","digitale","ki","digitalen","digitale"
"6","herren","glaube","herren","herren","herr","herren","damen","antrag","vorlage","lesung","herr","eingebracht","antrag","fdp","schmücker","neue","mittelstandes","mittelstandes","selbständigen","berufsausbildungsgesetzes","unterschätzt","novelle","preissteigerungen","konjunktur","regierungserklärung","konjunkturprogramm","bundesbank","wirtschaftspolitik","bundeswirtschaftsminister","müllerhermann","massnahmen","müllerhermann","aufwertung","wirtschaft","stabilität","regierung","strauss","konjunkturpolitik","lambsdorff","lambsdorff","friderichs","investitionen","investitionen","wirtschaftspolitik","wirtschaft","wirtschaftspolitik","jahreswirtschaftsbericht","konjunktur","sachverständigenrat","subventionen","lambsdorff","leistungsbilanzdefizit","bundesbank","investitionszulage","gemeinschaftsinitiative","graf","unternehmen","unternehmen","unternehmen","investitionen","bangemann","wirtschaft","bangemann","finanzpolitik","unternehmen","wirtschaft","weltwirtschaft","unternehmen","roth","wirtschaftspolitik","unternehmen","roth","bundesbank","bundesbank","arbeitsplätze","osten","investitionen","wirtschaftspolitik","deutschland","rexrodt","mehr","politik","politik","politik","prozent","deutschland","wachstum","prozent","arbeitsplätze","prozent","prozent","prozent","arbeitsplätze","mittelstand","clement","prozent","wachstum","wachstum","mittelstand","wachstum","mittelstand","mittelstand","wachstum","entwicklung","deutschland","deutschland","deutschland","krise","wachstum","entwicklung","arbeitsplätze","opel","industrie","mittelstand","mittelstand","entwicklung","mittelstand","industrie","mittelstand","agenda","digitale","digitale","digitale","forschung","blockchain","digitale","digitale","transformation"
"7","gesetz","möchte","vizepräsident","lesung","damen","abgeordnete","präsident","lesung","kollege","ausschuss","gesetz","kollege","arbeiterrentenversicherung","kollege","weber","erkennen","handwerk","mittelschichten","mittelschichten","handwerk","weiterbildung","vorlegen","wirtschaftspolitik","stabilität","wirtschaft","wirtschaftspolitik","wachstum","aussenwirtschaftlichen","rezession","jahreswirtschaftsbericht","stoltenberg","inflation","freigabe","strauss","wirtschafts","wirtschaft","narjes","lambsdorff","müllerhermann","friderichs","müllerhermann","inflation","rezession","arbeitsplätze","friderichs","biedenkopf","bundesbank","mehr","wirtschaft","arbeitslosigkeit","kiep","ausland","arbeitsplätze","zinsen","wirtschaftspolitik","wachstum","lambsdorff","lambsdorff","lambsdorff","wirtschaftspolitik","unternehmen","arbeitsmarkt","politik","investitionen","wachstum","wirtschaftspolitik","unternehmen","roth","banken","wirtschafts","wirtschafts","unternehmen","wirtschaftlichen","neuen","wachstum","deutschland","müssen","rexrodt","wachstum","müssen","beschäftigung","mehr","mehr","mehr","politik","neuen","prozent","politik","prozent","wachstum","wachstum","wachstum","clement","wachstum","prozent","innovationen","wirtschaft","prozent","wirtschaft","mehr","investitionen","glos","mehr","müssen","investitionen","investitionen","arbeitsplätze","aufschwung","maritime","mittelstand","müssen","arbeitsplätze","arbeitsplätze","entwicklung","entwicklung","arbeitsplätze","innovationen","entwicklung","digitalen","maritime","zukunft","zukunft","intelligenz","digitalen","investitionen","intelligenz","zukunft","innovation"
"8","kollege","damen","glaube","gesetz","ausschuss","gesetz","herr","vizepräsident","abgeordnete","damen","mittelschichten","becker","häftlinge","herr","fraktion","kinderarbeit","mittelschichten","betroffen","betrieben","ausbildung","et","juni","erhard","wachstum","bundeskanzler","konjunktur","finanzpolitik","stabilität","stabilitätsgesetz","stabilität","wachstum","preissteigerungen","mai","bundesbank","müllerhermann","jahr","massnahmen","stabilität","ehrenberg","ehrenberg","rezession","müllerhermann","rico","lambsdorff","inflation","marktwirtschaft","lambsdorff","wirtschaft","lambsdorff","investitionen","graf","kiep","graf","lambsdorff","bundesbank","wirtschaftspolitik","bundesbank","zinsen","wirtschaftspolitik","politik","wirtschaftspolitik","unternehmen","roth","wirtschaftspolitik","investitionen","bangemann","wirtschaftspolitik","arbeitsplätze","haussmann","arbeitsplätze","wirtschaftspolitik","neuen","neuen","aufschwung","marktwirtschaft","müssen","wirtschaftspolitik","wachstum","entwicklung","wirtschaftspolitik","müssen","arbeitslosigkeit","investitionen","neuen","mehr","neue","investitionen","wachstum","entwicklung","politik","wirtschaftspolitik","politik","prozent","prozent","arbeitsplätze","clement","clement","clement","politik","investitionen","land","investitionen","müssen","mehr","wachstum","müssen","müssen","arbeitsplätze","mittelstand","brauchen","entwicklung","bochum","entwicklung","arbeitsplätze","industrie","wohlstand","entwicklung","forschung","investitionen","maritimen","müssen","digitalen","startups","zukunft","zukunft","zukunft","forschung","innovationen"
"9","vizepräsident","kollege","möchte","abgeordnete","vizepräsident","vizepräsident","abgeordnete","herren","herren","gesetze","präsident","abgeordnete","handwerkerversorgung","cducsufraktion","ausschuss","spd","lange","handwerk","merkmale","novellierung","mittelständische","bundesgericht","gutachtens","kuponsteuer","finanzpolitik","mittelfristige","investitionen","rezession","wirtschaftspolitik","wirtschaftspolitik","bundeswirtschaftsminister","bundeswirtschaftsminister","strauss","aufwertung","wechselkurse","schiller","konjunkturzuschlag","schmidt","graf","wirtschaftspolitik","bundesbank","ehrenberg","wirtschaftspolitik","bundeswirtschaftsminister","wirtschaftspolitik","bundeswirtschaftsminister","investitionen","vollbeschäftigung","wirtschaftspolitik","marktwirtschaft","bundesbank","lambsdorff","gestern","gemeinschaftsinitiative","arbeitsplätze","unternehmen","graf","aufschwung","jahreswirtschaftsbericht","unternehmen","politik","finanzpolitik","wachstum","mehr","mehr","politik","politik","bundesrepublik","entwicklung","bundesbank","arbeitslosigkeit","aufschwung","wachstum","wirtschaftspolitik","neuen","wirtschaftspolitik","neue","lafontaine","müssen","mittelstand","politik","beschäftigung","wachstum","investitionen","arbeitslosigkeit","arbeitslosigkeit","globalisierung","neuen","mittelstand","entwicklung","entwicklung","globalisierung","politik","betriebe","innovationen","wachstum","innovationen","mehr","brauchen","bürokratie","müssen","bürokratie","investitionen","investitionen","müssen","zukunft","investitionen","land","brüderle","politik","brauchen","land","wohlstand","müssen","innovationen","industrie","müssen","innovationen","industrie","forschung","entwicklung","entwicklung","brauchen","innovationen","müssen","daten","innovation","deutschland"
"10","damen","vizepräsident","lesung","damen","möchte","damen","vizepräsident","damen","präsident","abgeordnete","fraktion","kollegen","gesetz","worden","herren","vorgetragen","antrag","wirtschaft","schmücker","industrie","geboren","grosswirtschaft","starke","wirtschaftspolitik","stabilitätsgesetz","rezession","jahreswirtschaftsbericht","starke","konjunktur","strauss","wirtschaftspolitik","konjunkturpolitik","preissteigerungen","steuererhöhungen","jahreswirtschaftsbericht","bundesbank","stabilitätsprogramm","friderichs","konjunkturpolitik","milliarden","wachstum","bundeskanzler","°o","inflation","nachfrage","mehr","nachfrage","nachfrage","arbeitsplätze","graf","arbeitsplätze","marktwirtschaft","wirtschaftspolitik","kiep","gewerkschaften","politik","roth","graf","aufschwung","aufschwung","roth","mehr","pazifischen","beschäftigung","bangemann","roth","steuerreform","politik","marktwirtschaft","wirtschaftlichen","wirtschaftlichen","arbeitsplätze","bundesländern","wachstum","bundesländern","marktwirtschaft","lafontaine","deutschland","politik","neuen","neue","prozent","rahmenbedingungen","wachstum","mittelstand","investitionen","neuen","neue","neuen","wirtschaftspolitik","politik","entwicklung","bürokratie","handwerksordnung","politik","brauchen","mehr","entwicklung","mehr","entwicklung","glos","müssen","mittelstand","cebit","entwicklung","wachstum","zukunft","investitionen","arbeitsplätze","müssen","politik","heil","innovationen","brauchen","arbeitsplätze","zukunft","investitionen","investitionen","zukunft","zukunft","investitionen","ki","forschungsförderung","künstliche","digitalen","forschung","deutschland","forschung"
"11","präsident","wort","kollege","wort","abgeordnete","kollege","möchte","wort","vizepräsident","antrag","lesung","ausschuss","unselbständigen","vizepräsident","georgenau","cducsufraktion","kreditversorgung","mittelständischen","mittleren","folger","magischen","steuerberater","leber","gemeinden","starke","september","sachverständigenrat","absicherung","dmark","massnahmen","konjunktur","konjunktur","bundesregierung","konjunktur","vollbeschäftigung","vollbeschäftigung","stabilitätspolitischen","graf","vermögensbildung","graf","kohl","friderichs","finanzpolitik","marktwirtschaft","konjunktur","strauss","sachverständigenrat","lambsdorff","gewerkschaften","lambsdorff","finanzpolitik","zinsen","leistungsbilanzdefizit","beschäftigungsprogramm","mehrwertsteuererhöhung","nachfrage","wirtschaftspolitik","marktwirtschaft","politik","arbeitsplätze","beschäftigung","arbeitslosen","mehr","roth","konjunktur","wirtschafts","roth","mehr","mehr","bundesrepublik","sozialen","arbeitslosigkeit","wirtschaftspolitik","entwicklung","müssen","rexrodt","politik","aufschwung","damen","entwicklung","wachstum","brauchen","prozent","rexrodt","investitionen","mehr","mehr","arbeitslosigkeit","mehr","neuen","neuen","arbeitslosigkeit","brauchen","clement","bürokratie","mehr","bürokratieabbau","land","land","land","aufschwung","bürokratieabbau","entwicklung","neue","land","entwicklung","mittelstand","mittelstand","aufschwung","wirtschaftspolitik","innovationen","entwicklung","marktwirtschaft","land","rahmenbedingungen","infrastruktur","arbeitsplätze","china","wachstum","arbeitsplätze","deutschland","innovationen","forschung","industrie","arbeitsplätze","digitalen","intelligenz","zukunft"
"12","ausschuss","präsident","damen","präsident","weihnachten","wort","frau","bitten","kollegen","bitten","mittelstand","herren","selbständig","damen","mittelständischen","arbeitskreis","grosswirtschaft","sollten","entstehen","lehrlinge","erwogen","gewerbe","sachverständigenrat","politik","aktion","finanzpolitik","wirtschafts","wachstum","möller","luda","müllerhermann","aufwertung","dienstag","regierung","wirtschaftspolitik","barzel","steuererhöhungen","preise","friderichs","investitionen","inflation","lambsdorff","müllerhermann","bundeskanzler","bundesbank","vollbeschäftigung","inflation","verschuldung","bundesbank","jahreswirtschaftsbericht","leistungsbilanz","politik","inflation","mehrwertsteuererhöhung","politik","öffentlichen","wachstum","finanzpolitik","wirtschaftlichen","finanzpolitik","mehr","aufschwung","investitionen","zinsen","mittwoch","finanzpolitik","bundesrepublik","haussmann","daimlerbenz","entwicklung","betriebe","wirtschafts","wirtschafts","bundesländern","wirtschaftlichen","wirtschaftlichen","produkte","mehr","mehr","brauchen","entwicklung","entwicklung","beschäftigung","entwicklung","neue","wachstum","wettbewerb","globalisierung","neue","neue","wirtschaftswachstum","bürokratie","wirtschaftspolitik","mehr","mehr","neue","politik","brauchen","marktwirtschaft","müssen","prozent","aufschwung","prozent","land","unsere","prozent","politik","politik","krise","krise","investitionen","rösler","investitionen","industrie","wohlstand","müssen","wandel","unsere","regionen","deutschland","innovationen","forschung","ki","brauchen","brauchen","deutschland","brauchen","müssen"
"13","sagen","kollegen","wort","möchte","sonntage","möchte","kollege","dritten","rücküberweisung","kollege","darüber","damen","mensing","existenzen","landwirte","grundlinien","mittelständische","mittleren","erbrachten","anfrage","freitag","bundesfinanzhofes","luda","mittelfristige","investitionen","bundesbank","konjunktur","preisstabilität","jahreswirtschaftsbericht","bundesregierung","konjunkturpolitik","jahreswirtschaftsbericht","wechselkurse","vollbeschäftigung","opposition","opposition","arndt","milliarden","investitionen","müllerhermann","programm","bundesbank","inflation","programm","lambsdorff","strukturpolitik","wirtschaftspolitik","gewerkschaften","investitionen","vollbeschäftigung","marktwirtschaft","leistungsbilanz","matthöfer","graf","unserer","zinsen","gewerkschaften","roth","marktwirtschaft","internationalen","usa","wirtschaftspolitik","damen","wachstum","politik","steuerreform","wirtschafts","entwicklung","wirtschaftspolitik","wettbewerb","soziale","betriebe","sozialen","wirtschaftlichen","westen","rezession","rexrodt","beschäftigung","arbeitslosigkeit","neue","investitionen","globalisierung","mittelstand","prozent","wachstum","mittelstand","neue","mehr","arbeitslosigkeit","brüderle","brüderle","wirtschaftspolitik","land","politik","brauchen","entwicklung","rahmenbedingungen","investitionen","rahmenbedingungen","bürokratieabbau","schaffen","mehr","politik","mittelstand","mittelständischen","wirtschaftskrise","unsere","zukunft","entwicklung","arbeitsplätze","wettbewerb","reeder","produkte","europa","unsere","unsere","rahmenbedingungen","arbeitsplätze","forschungsförderung","branche","regionen","investitionen","müssen","müssen","startups","innovationen","neue","investitionen"
