"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","staat","politischen","politischen","unserer","staat","politischen","unserer","unserer","unserer","unserer","politischen","unserer","unserer","unserer","regierungserklärung","unserer","unserer","politische","politischen","unserer","unserer","menschen","gesellschaft","gesellschaft","unserer","unserer","unserer","freiheit","unserer","staat","menschen","freiheit","freiheit","freiheit","freiheit","unserer","demokratie","freiheit","unserer","unserer","politik","menschen","unserer","menschen","menschen","bundeskanzler","menschen","unserer","menschen","parteien","menschen","menschen","menschen","menschen","menschen","menschen","menschen","geschichte","menschen","demokratie","demokratie","demokratie","menschen","menschen","gewalt","menschen","menschen","verfassung","menschen","menschen","menschen","menschen","menschen","menschen","demokratie","demokratie","mahnmal","demokratie","demokratie","demokratie","freiheit","gewalt","demokratie","juden","antisemitismus","demokratie","ukraine","demokratie","ukraine","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","versöhnung","demokratie","türkei","rechtsextremismus","roma","beschneidung","antisemitismus","demokratie","roma","israel","gewalt","demokratie","religionsfreiheit","antisemitismus","afd","menschenrechte","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","glaube","aufgabe","politischen","politischen","aufgabe","politischen","aufgabe","politischen","staat","politischen","unserer","unserer","unserer","politischen","unserer","unserer","politischen","politischen","politischen","politischen","unserer","politischen","unseres","politischen","unserer","politischen","demokratie","politischen","unserer","menschen","politischen","unserer","unserer","unserer","gesellschaft","demokratie","gesellschaft","unserer","staat","unserer","freiheit","sozialismus","menschen","unserer","unsere","bundeskanzler","bundeskanzler","unserer","freiheit","menschen","bundeskanzler","bundeskanzler","politik","unserer","generation","unsere","politik","menschen","parteien","demokratie","politik","unserer","unserer","geschichte","politischen","demokratie","demokratie","menschen","demokratie","menschen","menschen","verfassung","demokratie","geschichte","menschen","gewalt","demokratie","menschen","demokratie","demokratie","religionsunterricht","demokratie","ausstellung","kultur","menschen","freiheit","demokratie","menschen","gewalt","islam","demokratie","demokratie","freiheit","jüdischen","juden","geschichte","demokratie","brandenburger","demokratie","rechtsextremismus","rechtsextremismus","rechtsextremismus","gewalt","israel","politische","grundgesetz","stiftung","gewalt","roma","demokratie","rechtsextremismus","rechtsextremismus","npd","verfassungsschutz","todesstrafe","gewalt","freiheit","gewalt","demokratie","demokratie","religionsfreiheit","chemnitz","menschenrechte","meinungsfreiheit","afd","afd","antisemitismus","freiheit"
"3","politischen","politischen","aufgabe","unsere","entwicklung","aufgabe","politischen","staat","politischen","staat","politischen","unsere","staat","staat","politischen","aufgabe","aufgabe","staat","unseres","staat","unseres","unseres","unsere","aufgabe","unsere","unsere","staat","unserer","gesellschaft","demokratie","menschen","gesellschaft","menschen","reformen","menschen","unseres","freiheit","bürger","freiheit","gesellschaft","unserer","menschen","unserer","politik","demokratie","unsere","freiheit","menschen","politik","politischen","unsere","unserer","menschen","unsere","politik","politik","unserer","freiheit","politik","freiheit","freiheit","politik","unsere","demokratie","demokratie","gewalt","politischen","demokratie","freiheit","geschichte","geschichte","menschen","geschichte","demokratie","demokratie","demokratie","verfassung","grundgesetz","leben","geschichte","demokratie","gesellschaft","demokratie","gesellschaft","geschichte","menschen","bonn","freiheit","jüdischen","menschen","geschichte","gesellschaft","menschen","deutschland","demokratie","leben","npd","tor","mauer","menschen","npd","rassismus","roma","npd","hdj","freiheit","türkei","religionsfreiheit","religionsfreiheit","gewalt","demokratie","rassismus","bahai","polizei","verfassungsschutz","folter","demokratie","sachsen","gewalt","meinungsfreiheit","gewalt","demokratie","gewalt","hass","rassismus","rassismus","afd","afd"
"4","sagen","glaube","immer","aufgabe","politischen","staat","entwicklung","verantwortung","entwicklung","volkes","volkes","heute","opposition","aufgabe","kräfte","volkes","volkes","aufgabe","staat","aufgabe","staat","freiheit","regierungserklärung","unseres","koalition","koalition","unsere","bildung","unsere","politische","politische","demokratie","reformen","menschen","demokratie","mehr","ordnung","menschen","menschen","freiheit","staat","unserer","bürger","unsere","menschen","demokratie","partei","unsere","unsere","freiheit","menschen","jungen","unsere","bundeskanzler","unsere","unserer","unseres","unsere","unsere","unserer","unserer","freiheit","demokratie","volk","gewalt","politischen","gesellschaft","politischen","volk","demokratischen","volk","freiheit","verfassung","politischen","leben","leben","gewalt","demokratie","freiheit","freiheit","brandenburg","freiheit","wehrmacht","demokratie","deutschen","berlin","denkmal","deutschen","geschichte","geschichte","menschen","antisemitismus","geschichte","demokratie","denkmal","menschen","menschen","geschichte","islam","muslime","islam","roma","pkk","gewalt","juden","türkei","vertreibung","stiftung","christen","verfassungsschutz","nazis","npd","türkei","sicherheitsbehörden","sinti","demokratie","sicherheitsbehörden","völkermord","freiheit","gewalt","antisemitismus","religionsfreiheit","afd","gewalt","hass","freiheit","freiheit","gewalt"
"5","immer","lösung","verantwortung","gerade","gerade","unseres","verantwortung","gerade","unseres","unsere","unsere","aufgabe","heute","heute","freiheit","staat","kräfte","heute","aufgabe","verantwortung","heute","leben","staat","unsere","politischen","politische","politischen","demokratie","unseres","gesellschaft","gesellschaft","staat","unsere","unsere","unsere","unsere","staat","regierungserklärung","gesellschaft","bürger","demokratischen","sozialdemokraten","staat","staat","unserer","politik","unserer","politischen","menschen","politik","unserer","politik","freiheit","freiheit","unserer","menschen","bundeskanzler","demokratie","unserer","unsere","volk","unsere","politischen","demokratischen","freiheit","leben","unsere","leben","geschichte","volk","kultur","geschichte","leben","politische","unsere","geschichte","geschichte","geschichte","geschichte","einheit","kirchen","geschichte","geschichte","freiheit","freiheit","geschichte","juden","christen","menschen","gesellschaft","leben","geschichte","gewalt","leben","geschichte","bundespräsident","leitkultur","israel","opfer","demokratischen","muslime","npd","türkei","minderheiten","antisemitismus","gewalt","vertriebenen","christen","demokratie","opfer","polizei","antisemitismus","rechtsextremismus","rechtsextremismus","folter","freiheit","polizei","armeniern","religion","juden","demokratie","afd","chemnitz","afd","gewalt","gewalt","gewalt","rassismus"
"6","regierung","gerade","staat","immer","staat","gerade","staat","glaube","verantwortung","probleme","opposition","staat","aufgabe","immer","aufgabe","unseres","verantwortung","unseres","volkes","heute","aufgabe","verantwortung","politischen","verantwortung","volkes","politik","menschen","unseres","menschen","politischen","unseres","unseres","freiheit","freiheit","unseres","bürger","menschen","mitbestimmung","unsere","menschen","unsere","unsere","brandt","bürger","politischen","unseres","politischen","bürger","bundeskanzler","unsere","staat","generation","frieden","politik","staat","freiheit","parteien","politik","freiheit","menschen","unsere","volk","freiheit","leben","unseres","gesellschaft","leben","gesellschaft","kultur","politischen","freiheit","volk","freiheit","verfassung","verfassung","deutschen","verfassungskommission","freiheit","gewalt","gesellschaft","gewalt","deutschen","gewalt","geschichte","enquetekommission","gedenkstätten","geschichte","stiftung","freiheit","gewalt","denkmal","leben","gesellschaft","geschichte","jüdischen","gedenken","integration","berliner","menschen","pressefreiheit","dialog","christen","sinti","diskriminierung","jüdischen","verfassung","steinbach","polizei","sinti","extremismus","türkei","demokratie","vertreibung","gewalt","rechtsextremismus","religionsfreiheit","opfer","opfer","opfer","rassismus","christen","freiheit","freiheit","antisemitismus","rechtsextremismus","hass","meinungsfreiheit","hanau"
"7","unsere","unsere","glaube","staat","unseres","glaube","gerade","entwicklung","regierung","regierung","entwicklung","kräfte","unsere","unsere","unseres","unsere","staat","freiheit","verantwortung","unseres","politische","staat","gesellschaft","staat","unseres","regierungserklärung","unseres","unsere","volkes","unsere","unsere","reformen","politischen","herren","ordnung","menschen","regierungserklärung","gesellschaft","demokratischen","demokratie","politischen","staat","politik","menschen","staat","freiheit","bürger","bundeskanzler","demokratie","bundeskanzler","unseres","unsere","bundeskanzler","politischen","jungen","unseres","unsere","parteien","politischen","politik","leben","politischen","gesellschaft","politischen","unsere","unsere","unseres","freiheit","politischen","freiheit","verfassung","grundgesetz","kultur","deutschen","deutschen","volk","grundgesetz","gewalt","demokratischen","leben","leben","unserer","opfer","deutschen","einheit","gesellschaft","freiheit","geschichte","gedenkstätten","leben","gesellschaft","menschen","kultur","zentralrat","gesellschaft","opfer","land","religionsunterricht","land","halberstadt","toleranz","toleranz","rechtsextremismus","opfer","israel","polizei","demokratie","demonstrationen","gewalt","bundeszentrale","rasse","juden","demokratie","empfehlungen","opfer","polizei","rechtsextremismus","türkei","christen","rechtsextremismus","israel","islam","opfer","freiheit","gesellschaft","hetze","hass","hass"
"8","gerade","opposition","gerade","lösung","verantwortung","haltung","unseres","situation","volkes","aufgabe","freiheit","opposition","unseres","opposition","probleme","kräfte","unsere","volkes","ordnung","unsere","menschen","unsere","verantwortung","volkes","bundeskanzler","volkes","generation","staat","demokratie","unseres","freiheit","politischen","unseres","gesellschaftlichen","staat","bundeskanzler","unsere","demokratie","unseres","unsere","leben","bürger","sozialismus","demokratie","unseres","menschen","generation","unseres","unseres","geschichte","freiheit","staat","partei","jungen","bundeskanzler","demokratie","freiheit","volk","demokratie","partei","demokratie","bundeskanzler","volk","unsere","unserer","politische","politische","unsere","unserer","leben","leben","unsere","politischen","vergangenheit","deutschland","unserer","leben","verfassungskommission","volk","deutschen","opfer","demokratischen","demokratischen","sprache","demokratischen","deutschen","deutschen","volk","jüdische","stolz","solidarität","juden","leben","jüdische","opfer","freiheit","geschichte","staat","freiheit","freiheit","demokratischen","sinti","rassismus","rechtsextremismus","npd","gesellschaft","flucht","rechtsextremismus","kommunismus","freiheit","frankfurt","religionsfreiheit","religionsfreiheit","freiheit","nsu","juden","verfassungsschutz","freiheit","bericht","gesellschaft","gesellschaft","religion","geschichte","halle","freiheit","muslime","juden","opfer"
"9","aufgabe","regierung","lösung","entwicklung","gefahr","verantwortung","zusammenhang","immer","gefahr","unseres","unseres","probleme","gefahr","kräfte","vorstellungen","müssen","öffentlichkeit","müssen","probleme","volkes","verantwortung","volk","volkes","heute","staat","menschen","gesellschaft","menschen","leben","regierungserklärung","volkes","unsere","grossen","unseres","freiheit","gesellschaft","bürger","ordnung","demokratie","politischen","unseres","demokratie","unsere","solidarität","bundeskanzler","staat","politik","demokratie","politischen","bürger","generation","gesellschaft","politischen","bürger","freiheit","staat","partei","staat","frieden","unseres","unseres","gesellschaft","geschichte","unserer","geschichte","geschichte","unserer","demokratischen","unsere","unsere","unsere","leben","demokratischen","leben","geschichte","bundeskanzler","bürger","deutschen","opfer","verfassung","volk","leben","krieg","kulturellen","gesellschaft","einheit","menschen","kunst","leben","muslime","volk","möllemann","krieg","opfer","homosexuellen","gesellschaft","leben","menschen","islamismus","islamischen","christen","menschen","kurden","pressefreiheit","rechtsextremismus","grundgesetzes","bdv","freiheit","charta","toleranz","verfassungsschutz","jüdischen","juden","nsu","rassismus","verfassungsschutz","köln","volk","gesellschaft","hass","hass","gesellschaft","juden","hetze","antifa","meinungsfreiheit","rassismus","rechts"
"10","entwicklung","staat","unseres","unseres","volkes","gefahr","haltung","unsere","immer","opposition","aufgabe","regierung","volkes","volkes","heute","situation","grundlage","verantwortung","versuch","eigenen","volk","menschen","aufgabe","bundeskanzler","aufgabe","unseres","volkes","gesellschaft","heute","staat","heute","ordnung","damen","ordnung","politische","reformen","unseres","staat","ordnung","demokratischen","gesellschaft","gesellschaft","politischen","unseres","politik","politischen","staat","geschichte","geschichte","unseres","jungen","politischen","unseres","geschichte","politiker","partei","dienstag","gesellschaft","volkes","politischen","politischen","unseres","toten","bundeskanzler","demokratischen","staat","staat","staat","leben","politische","frieden","frieden","volk","freiheit","demokratischen","unsere","volk","volk","gesellschaft","deutschlands","denkmal","unseres","leben","leben","unserer","kultur","heute","berlin","demokratischen","freiheit","kampf","israel","werte","menschen","leben","deutschland","freiheit","neonazis","teilung","geschichte","gewalt","opfer","npd","demokratischen","geschichte","eigentum","gewalt","religion","polizei","linksextremismus","datei","sicherheitsbehörden","minderheiten","untersuchungsausschuss","demokratie","opfer","npd","polizei","türkei","unserer","freiheit","leben","israel","juden","partei","islam","gesellschaft","gesellschaft"
