"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","immunität","immunität","schmidtwittmack","schmeisser","werbung","strafverfahren","raststätte","crossman","lenz","bremen","pferde","fleisch","künstlerhilfe","petenten","steuererklärung","unfallverletzten","petitionen","petitionsausschuss","diäten","vorstand","petitionen","kurlbaumbeyer","petitionen","reichstag","sport","sport","olympischen","petitionsausschuss","olympischen","olympischen","olympischen","spiele","meinike","spiele","münchen","sport","sports","heichert","sport","revision","sport","sport","stiftung","dsb","satelliten","stiftung","luft","sport","umweltpolitik","umweltschutz","nordsee","nordsee","übereinkommen","hamburg","umweltschutz","konvention","umweltschutz","umweltschutz","buschhaus","umweltschutz","umweltschutz","umweltschutz","umwelt","umweltschutz","umwelt","töpfer","töpfer","umwelt","töpfer","umwelt","umwelt","umwelt","rio","umwelt","umwelt","umwelt","umwelt","merkel","naturschutz","umwelt","umwelt","umwelt","umweltpolitik","umweltbildung","umweltpolitik","umweltpolitik","umwelt","klimaschutz","naturschutz","naturschutz","nachhaltigkeit","umweltpolitik","naturschutz","klimaschutz","emissionshandel","umweltpolitik","klimaschutz","reach","umweltpolitik","umwelt","klimaschutz","klimaschutz","klimaschutz","klimaschutz","klimaschutz","kopenhagen","klimaschutz","cancún","durban","wasser","umwelt","klimaschutz","klimaschutz","klimaschutz","klimaschutz","paris","klimaschutz","klimaschutz","afrika","klimaschutz","afrika","entwicklungszusammenarbeit","entwicklungszusammenarbeit","afrika","afrika","weltweit","globalen"
"2","abgeordneten","abgeordneten","strafverfahren","wohnsitz","blankenhorn","petitionen","immunität","bundesmonopolverwaltung","schweden","morgenstern","revolution","ausfuhr","touré","ernährung","ei","gemeinsame","luftfahrtunternehmen","petitionsstelle","krankenschwestern","abgeordneten","bundestages","petitionsausschuss","brese","ausrüstungshilfe","norddeutschen","sports","sportmedizin","sport","sport","spiele","spiele","spiele","olympischen","olympischen","olympischen","spiele","sportbund","sportförderung","leistungssport","sports","bundesfinanzhof","sports","streitwert","olympischen","sportbund","satellit","konrad","ta","amtierender","umweltschutz","luft","elbe","gutachten","ta","sport","global","zeichnung","wald","umwelt","umweltschutz","umwelt","tempolimit","luft","umweltschutz","umwelt","töpfer","umwelt","umwelt","töpfer","umwelt","wälder","töpfer","ökologischen","umwelt","naturschutz","rio","töpfer","enquetekommission","umwelt","umwelt","merkel","naturschutz","naturschutz","merkel","umwelt","umwelt","umwelt","nachhaltigkeit","umweltpolitik","klimaschutz","umweltpolitik","klimaschutz","umwelt","wald","umweltpolitik","naturschutz","reach","nachhaltigkeit","klimaschutz","umwelt","klimaschutz","klimawandel","bali","klimawandel","nachhaltige","nachhaltige","klimaschutz","klimawandel","klimaschutz","klimaschutz","umwelt","ökologischen","hochwasserschutz","nachhaltigkeit","umwelt","nachhaltige","klimaschutz","palmöl","klimaschutzplan","klimaschutz","afrika","klimaschutz","afrika","afrika","entwicklungszusammenarbeit","globalen","lieferkettengesetz","entwicklungszusammenarbeit"
"3","geschäftsordnung","genehmigung","genehmigung","immunität","ziebell","petitionsausschuss","zivilprozess","monopolverwaltung","strafverfahren","aussagegenehmigung","länge","pferden","tieren","forsten","ungestempelte","petenten","beschwerden","petitionsausschuss","krankenpflege","bundestagsabgeordneten","rutschke","petition","unfallverhütungsvorschrift","zimmer","reichstages","leibeserziehung","olympischen","spiele","olympischen","flammenpfennig","kassel","münchen","schwächsten","nutzfahrzeuge","münchen","münchener","riedl","sport","haft","sportkonferenz","oberlandesgerichte","stiftung","stiftung","sportorganisationen","sportbundes","sports","adenauer","umweltschutz","sports","olympischen","umweltpolitik","schiffe","abfallbeseitigung","umweltschutz","wasser","luft","hamburg","waldsterben","umweltpolitik","wald","umweltpolitik","umwelt","umwelt","umweltpolitik","nordsee","industrie","umweltschutz","umweltpolitik","umweltpolitik","nordsee","tropischen","ökologischen","umweltpolitik","ostsee","töpfer","töpfer","verwertung","umweltpolitik","umweltpolitik","merkel","umweltpolitik","merkel","merkel","naturschutz","naturschutz","nachhaltigkeit","ökologische","umweltpolitik","umwelt","nachhaltigkeit","klimaschutz","johannesburg","ökologischen","verpackungsverordnung","trittin","klimaschutz","klimaschutz","umwelt","umwelt","klimaschutz","naturschutz","umwelt","gabriel","natur","umwelt","beirat","entwicklungsländer","nachhaltige","nachhaltigkeit","wald","rohstoffen","ökologische","umwelt","klimawandel","lima","umwelt","ziele","umwelt","paris","umwelt","entwicklungszusammenarbeit","entwicklungszusammenarbeit","nachhaltigkeit","müller","globalen","entwicklungszusammenarbeit","welt","hunger"
"4","ausschuss","wahlprüfung","abgeordneten","radioaktiven","reifferscheidt","bayern","genehmigung","restaurant","april","crossman","beurteilung","ritzel","wagen","komponisten","kontrolle","petitionsausschuss","hubschrauber","petitionsausschusses","petitionen","hauses","bürohaus","einführungsgesetzes","sicherungsmassnahmen","räume","kurlbaumbeyer","spiele","goldenen","sports","petenten","schmid","sportförderung","verbraucherzentralen","organisationskomitee","oberhausen","sport","abzugeben","sports","evers","tunesischen","sportförderung","vereinen","vereine","oberlandesgericht","marken","bürgerinitiativen","erdatmosphäre","nachlass","sport","luft","umwelt","teilnahme","umweltschutz","elbe","volmer","gewässer","umwelt","grunenberg","umwelt","natur","nordsee","zimmermann","benzin","ta","wallmann","naturschutz","umweltpolitik","umweltpolitik","fckw","umweltschutz","umweltschutz","enquetekommission","umweltpolitik","reaktorsicherheit","konferenz","umweltschutz","naturschutz","umweltpolitik","töpfer","umweltschutz","umweltschutz","naturschutz","umweltschutz","natur","umwelt","umweltpolitik","ökologische","klimaschutz","nachhaltige","haag","umwelt","umwelt","nachhaltige","ökologische","wälder","emissionshandel","trittin","trittin","wald","wälder","reach","gabriel","natur","co","nutzung","nachhaltigkeit","meere","wald","holz","wasser","waldstrategie","rohstoffe","nachhaltigkeit","hochwasser","umwelt","nachhaltige","nachhaltigkeit","klimawandel","nachhaltige","afrika","entwicklungspolitik","entwicklungspolitik","müller","klimaschutz","weltweit","globale","lieferkettengesetz","staaten","entwicklungspolitik"
"5","ausschusses","schreiben","vulkan","wahlprüfungsausschuss","angeklagten","prozess","verfahrens","bundeshausrestaurant","rüstung","decke","worden","tiere","ansonsten","kulmbach","eier","beschwerden","arzteinsatzwagen","brese","petitionsausschusses","bezüge","räume","petentin","verwaltungsberufsgenossenschaft","ausbildungshilfe","zeitschrift","goldenen","petitionsausschuss","sportförderung","spiele","vereine","sport","zusatzfrage","olympiabaugesellschaft","spiele","sports","spd","kulturbesitz","landgerichte","bundesausschusses","vereine","revisionen","sporthilfe","hauser","sportvereine","sport","schirmer","adenauers","umweltpolitik","umweltschutz","umweltschutzes","umweltschutzes","bucht","nordseegutachten","emissionen","gewässerschutz","seeschiffahrt","werften","luft","waldsterben","umwelt","auto","luft","umweltpolitik","industrie","umweltpolitik","umweltschutz","nordsee","umweltschutz","ökologischen","stoffe","schutz","umweltschutz","enquetekommission","entwicklungsländer","ökologischen","verpackungsverordnung","umweltschutz","ökologische","klimaschutz","reaktorsicherheit","umweltschutz","umweltpolitik","umweltpolitik","umweltschutz","nachhaltigkeit","loske","loske","enquetekommission","nachhaltigkeit","umweltpolitik","enquetekommission","umweltpolitik","ökologisch","ökologisch","ökologisch","industrie","umwelt","nachhaltige","trittin","nachhaltigkeit","klimawandel","emissionshandel","entwicklungsländer","umwelt","klimawandel","klimawandel","umwelt","nachhaltigkeit","umwelt","umwelt","klimaschutz","flächen","wasser","ziele","nachhaltigkeit","paris","globalen","paris","marrakesch","nachhaltigkeit","müller","entwicklungspolitik","nachhaltige","klimaschutz","welt","welt","afrika","weltweit"
"6","berichterstatter","meinungsstreit","verfahren","wetterdienst","verfahren","konkursverwalter","niedersachsen","brauereien","getrieben","haushaltsreferenten","fast","pferd","freischaffenden","erwähnten","buchführung","petent","elektrizität","petenten","schlachtpferden","brese","bundestagsvorstand","petitionsausschusses","mitglieder","waffen","unfallverhütungsvorschrift","olympischen","ombudsman","sportbund","petitionsausschusses","münchen","sports","sports","amerikahäuser","schmidt","olympische","politik","stiftung","bundessportplan","bundesausschuss","sportpolitik","finanzgerichtsbarkeit","sportförderung","überraschungsurteile","sportler","bundesregierung","atmosphäre","rhöndorf","pflanzen","blei","sportler","umwelt","umwelt","see","wolfgramm","wolfgramm","hamburg","seeschiffahrt","späth","ökologischen","umweltpolitik","autos","wald","nordsee","rhein","natur","stoffe","industrie","naturschutz","natur","umweltpolitik","umweltschutz","schmidbauer","naturschutz","ökologischen","umweltpolitik","umweltpolitik","naturschutz","feige","lippold","natur","ökologische","reaktorsicherheit","nachhaltigen","kioto","umweltschutz","ökologischen","ökologischen","ökologische","trittin","ökologische","energien","umwelt","trittin","novelle","umwelt","umwelt","kiotoprotokoll","trittin","mechanismen","umweltschutz","umweltpolitik","naturschutz","naturschutz","meere","gabriel","nutzung","konferenz","vielfalt","meere","rohstoffe","asbest","holz","klimawandel","nachhaltige","ziele","lima","nachhaltigkeit","entwicklung","umwelt","entwicklung","klimawandel","globalen","welt","welt","who","müller","globalen","welt"
"7","aufhebung","ausschusses","weis","atmosphäre","immunität","arrest","oberbundesanwalt","hotel","krankenzahl","nachrichtenhändler","leichtfertige","stunden","künstler","gewerbliche","stempelung","schmalz","hubschraubern","petentin","berufsausübung","unabhängigkeit","gradl","eingaben","bundestages","dorn","mitglieder","sportstätten","sports","sportler","petitionen","bundesligavereine","sicherungsgruppe","ausbildungsberater","organisationskomitees","landesplanung","olympiade","ausgelaufen","goldenen","olympischen","olympischen","bundessportplan","bundesgerichtshof","sportvereine","vereine","jugendmarken","dtsb","absturz","unfälle","bundesimmissionsschutzgesetzes","sportbericht","sport","ta","milligramm","geldern","hartenstein","ddr","ta","senator","umweltpolitik","luft","luft","benzin","umweltpolitik","stoffe","chemischen","grundwasser","buschhaus","ökologischen","reaktorsicherheit","naturschutz","ökologischen","ökologischen","naturschutz","töpfer","industrieländer","feige","ökologischen","reaktorsicherheit","lippold","massnahmen","umweltpolitik","expo","caspersmerk","rio","klimaschutz","merkel","enquetekommission","naturschutz","ökologischen","ökosteuer","natur","natur","enquetekommission","nachhaltigkeit","natur","kiotoprotokoll","emissionshandels","industrie","reach","industrie","beirat","natur","ostsee","klimawandel","rohstoffe","umweltgesetzbuch","nachhaltigkeit","klimawandel","umwelt","nachhaltige","kormoran","ressourcen","jagd","ziele","klimapolitik","klimawandel","entwicklung","nachhaltige","hendricks","hendricks","nachhaltigkeitsstrategie","global","globale","weltweit","kinderarbeit","entwicklungsländern","weltweit","menschenrechte","afrika"
"8","dr","herrn","wahlprüfung","wahlprüfung","wuermeling","petition","sichtvermerke","immunität","rüstungsaufwand","gestützt","räumlichkeiten","landwirtschaft","material","tiere","eierprämie","petitionsausschusses","petenten","vorstand","krankenschwester","aufwandsentschädigung","bauen","ausübung","henrichs","verwaltung","verwaltung","vereinen","sportförderung","sportrat","beschwerden","komitee","sportkonferenz","ötvjugend","augsburg","unterschied","kiel","unterstreicht","münchen","breitensport","rebus","sportvereine","vereine","schäuble","verfahrens","sportsondermarken","bayern","verglühen","gedenkstätte","volmer","sportförderung","komitee","kühbacher","baum","duve","baum","sports","duve","zeichnen","schäden","benzin","zimmermann","wald","ibbenbüren","umweltschutzes","stoffe","umweltschutzes","nordsee","natur","nordsee","fckw","anlagen","lippold","enquetekommission","stoffe","enquetekommission","genehmigungsverfahren","dsd","caspersmerk","umweltschutz","ozon","ökologischen","ökologischen","angela","wald","flächen","wald","umweltschutz","wasser","ökosteuer","ökologische","ökologischen","ökosteuer","rio","naturschutz","umwelt","verpackungsverordnung","nachhaltigkeit","umweltschutz","emissionshandel","dött","stoffe","marktanreizprogramm","meere","tonnen","wald","industrie","naturschutz","prozent","naturschutz","klimawandel","ressourcen","weltweit","baustoffe","emissionshandels","ökologische","ökologische","climate","umwelt","ziele","ziele","aktionsplan","globalen","ziele","plastik","globalen","lieferkettengesetz","nachhaltigkeit","globale","globale"
"9","herrn","berichterstatter","justiz","wahlgesetzes","verfahrens","radioaktiven","steuerzuwiderhandlungen","formalen","ziebell","adenauer","camberg","transport","oft","ausfuhr","gelebt","unnötige","petent","wessel","schwester","böhm","petitionen","kostenerstattung","oberschleissheim","frehsee","parlamentarischen","leibesübungen","petitionen","münchen","sportlichen","leistungszentren","komitee","staatssekretär","stadt","berlinförderungsgesetzes","ioc","verleumden","vier","breitensports","todesstreifen","sportorganisationen","sports","sportbericht","verbänden","schäuble","kolumbianische","weltraum","bundeskanzleradenauerhaus","immissionswerte","sportorganisationen","olympische","klärschlamm","ökologie","freitag","schadstoffe","elbe","hamburger","sitz","bundesinnenminister","massnahmen","waldsterben","tempolimit","auto","wasser","massnahmen","wallmann","chemischen","fckw","industrie","wasser","naturschutz","töpfer","reaktorsicherheit","umweltschutz","töpfer","natur","umweltschutz","feige","ökologischen","naturschutz","angela","pvc","verpackungsverordnung","umweltschutz","bundesministerin","ökologische","naturschutz","trittin","arten","lippold","trittin","umweltschutz","emissionshandel","ökosteuer","innovationsklausel","allokationsplan","allokationsplan","naturschutz","kiotoprotokoll","kelber","überwachung","nachhaltigkeit","arten","konferenz","vielfalt","batterien","umwelt","röttgen","kopenhagen","nachhaltigkeitsstrategie","klimawandel","antrag","rohstoffe","ökologischen","klima","weltweit","weltweit","nachhaltigkeitsstrategie","textilbündnis","entwicklungsländern","müller","bmz","bmz","klimawandel","china","weltweit","staaten","indigene","bmz"
"10","schreiben","justiz","odenthal","strafverfahren","abgeordneten","petitionsausschusses","beschäftigungen","brauer","nominelle","anklageschrift","ordentlicher","rosenheim","bundesminister","pferden","petent","interessant","pflegezulage","hubschrauber","schwestern","vorlage","räumen","petenten","marburg","petitionsausschuss","riese","sportstättenbau","plan","wörner","sports","bundesleistungszentrum","bundes","vereine","münchen","landschaftsplanung","olympiabedingten","xx","olympischen","landgerichten","genscher","landgerichte","bundesgerichtshofes","sportkonferenz","oberlandesgerichte","spiele","sportbegegnungen","risiko","sport","tiere","tiere","dick","ökologischen","liter","wolfgramm","luft","duve","umweltpolitik","seerechtskonvention","grossfeuerungsanlagenverordnung","grossfeuerungsanlagenverordnung","ehmke","automobilindustrie","zimmermann","technik","hauff","töpfer","naturschutz","naturschutz","lennartz","industrie","reaktorsicherheit","ökologische","hartenstein","schäfer","umweltpolitik","rio","feige","ökologischen","naturschutz","reaktorsicherheit","homburger","reaktorsicherheit","bundesministerin","boden","umweltplan","nachhaltige","ökologie","umweltschutz","entwicklung","naturschutz","ökologisch","ökologische","konferenz","energien","waldbesitzer","arbeitsplätze","reach","emissionshandel","industrie","kosten","nachhaltige","nairobi","vielfalt","coemissionen","müssen","ostsee","natur","wattenmeer","cancún","prozent","nachhaltige","prozent","nutzung","antrag","hendricks","paris","meere","entwicklung","weltweit","völker","menschenrechte","welt","entwicklungshilfe","globalen","klimawandel","gesundheit","globale","entwicklungszusammenarbeit","zusammenarbeit"
