"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","abs","abs","antrag","unertl","arzneimitteln","verordnungen","apotheke","arzneimitteln","arzt","radioaktivität","schwarzhaupt","frau","verbraucher","frau","frau","frau","frau","frau","frau","gesundheitswesen","frau","frau","gesundheitswesen","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","arzneimittel","zander","ärzte","versorgung","wolters","ausbildung","zander","psychisch","therapie","krebs","therapie","ärzte","arzneimittel","wein","neumeister","behinderten","bundesgesundheitsamt","filme","kultur","formaldehyd","formaldehyd","tierversuche","gesundheit","aids","bundesgesundheitsamt","asbest","aids","gentechnologie","gentechnik","embryonen","aids","therapie","ru","gentechnik","aids","blut","gesundheit","seehofer","gesundheit","tod","konvention","tod","gentechnik","gentechnik","bse","schwangerschaftsabbruch","gesundheit","gesundheit","forschung","stammzellen","forschung","demenz","gentechnik","klonen","gentechnik","stammzellen","gentechnik","gentechnik","gentechnik","gentechnik","gentechnisch","gentechnik","stammzellen","cannabis","gentechnik","studien","ethikrat","pid","kinderarbeit","organspende","munition","gesundheit","krankheiten","gesundheit","munition","edeka","ministererlaubnis","ministererlaubnis","elbe","facebook","facebook","post","paketbranche","fleischindustrie","fleischindustrie","saisonarbeitskräfte","lara"
"2","abs","umdruck","umdruck","abs","abs","abs","antrag","antrag","abs","kennzeichnungspflicht","dittrich","gewerbeordnung","apotheker","arzneimittel","erben","bechert","frau","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","frau","gesundheitspolitik","gesundheitswesen","frau","frau","jugend","jugend","jugend","jugend","jugend","familie","familie","jugend","jugend","jugend","jugend","gesundheit","prinz","zander","ärzte","zander","zander","gesundheit","kranken","stoffe","therapie","gesundheit","fuchs","bundesgesundheitsamt","kontrolle","biologisch","schwerbehinderten","chory","film","kunst","tierversuche","sprache","tierversuchen","meldepflicht","pflanzenschutzmittel","befruchtung","lebensmittel","asbest","gentechnik","gentechnologie","tiere","enquetekommission","enquetekommission","tiere","gentechnisch","gentechnik","gentechnik","bundesgesundheitsamt","verbraucher","pyrethroide","bse","arzneimittel","menschen","verbraucher","scientology","grossbritannien","gentechnik","gentechnik","mifegyne","pid","forschung","stammzellen","forschung","sars","gentechnik","gentechnisch","forschung","forschung","biotechnologie","gentechnisch","gentechnisch","gentechnik","studie","forschung","krankheiten","mon","who","technikfolgenabschätzung","kind","krankheiten","forschung","uranmunition","meeresforschung","erkrankungen","munition","krankheiten","tengelmann","edeka","fusion","gesamtkonzept","plattformen","regierungsparteien","zensus","pakete","arbeitsschutz","kontrollen","freiheitspolitik","zeitarbeit"
"3","ziffer","abs","abs","umdruck","volksentscheid","umdruck","satz","schwestern","text","frau","arzneimittel","frau","kanka","elbrächter","gesundheitsamt","gesundheitswesen","gesundheitswesen","schwarzhaupt","frau","werbung","schwarzhaupt","mütter","schwarzhaupt","schwarzhaupt","strobel","strobel","ärzte","strobel","heuser","familie","familie","familie","familie","familie","familie","jugend","jugend","familie","familie","familie","zander","jugend","versorgung","patienten","gesundheit","ärzte","gesundheit","jugend","versorgung","chemikaliengesetz","lebensmitteln","krankenkassen","arzneimittel","arzneimittelgesetz","weingesetz","lebensmitteln","behinderte","hickel","jugendschutz","kulturpolitik","arzneimittel","gesundheit","arzneimittel","aids","pflanzenschutzmitteln","gesundheit","aids","enquetekommission","bundesgesundheitsamt","risiken","forschung","gentechnik","bundesgesundheitsamt","zulassung","verbraucher","walfang","gesundheit","tiere","bse","produkte","menschen","mikrotesla","hirntod","kennzeichnung","mensch","tiere","arzneimittel","gentechnisch","widmannmauz","embryonen","embryonalen","enquetekommission","gentechnik","gentechnisch","enquetekommission","pflanzen","stammzellforschung","organspende","forschern","zulassung","sicherheitsforschung","pflanzen","gentechnisch","embryonalen","pflanzen","pflanzen","klinische","patente","kinderarbeit","glyphosat","kinderarbeit","krankheiten","erkrankungen","forschung","uranmunition","argentinien","ministererlaubnis","tengelmann","marktmacht","fluss","netzdg","völkerrechtliche","amazon","nachunternehmerhaftung","entsenderichtlinie","branche","ausbeutung","narrenschiff"
"4","fassung","änderungsantrag","ziffer","ziffer","satz","ziffer","umdruck","umdruck","bitten","stammberger","stammberger","krabben","nr","lange","seidl","luft","ministerin","ministerin","werbung","arzneimittel","hubert","schwarzhaupt","ministerin","ministerin","wein","mangerkoenig","strobel","heuser","mangerkoenig","jugend","psychisch","umweltschutz","krankenhäuser","umweltschutz","krankenhäuser","westphal","westphal","stoffe","wolters","zander","ärzte","arzneimittelsicherheit","gesundheit","ärztlichen","zander","erkrankungen","krankenpflege","ärzte","therapie","zander","cadmium","krankenhäuser","krankenversicherung","gesundheit","winzer","lebensmittel","behindertenpolitik","kohlefrachthilfe","kindern","künstler","bundesgesundheitsamt","krebs","tier","krankheit","enquetekommission","tierversuche","gesundheit","tiere","enquetekommission","gentechnikgesetz","tier","gentechnologie","krankheit","tierschutz","gentechnikgesetz","gesundheit","blutprodukte","seehofer","rindfleisch","pharmaindustrie","organentnahme","gesundheit","klonen","gesundheit","menschen","verbraucher","vertriebsweg","menschlichen","pid","stammzellen","embryonen","embryonen","enquetekommission","forschung","china","forschung","embryonalen","heiderich","ausserhalb","forschung","gentechnikfrei","forschung","strahlung","stammzellforschung","gentechnisch","forschung","klinischen","kältemittel","leben","nanotechnologie","menschen","gesundheit","psychischen","gesundheit","uran","impfungen","kaisers","fusion","tengelmann","umweltverbände","nutzer","plattformen","facebook","branche","werkverträge","arbeitsschutz","schwarze","kneipe"
"5","präsident","fassung","änderungsantrag","änderungsantrag","änderungsantrag","streichen","siehe","änderungsantrag","spd","stoffe","gesundheit","lebensmittelgesetz","dittrich","apotheken","stammberger","frau","rezeptpflicht","ärzte","schwarzhaupt","gesundheit","ministerin","entbindung","hamm","dr","ministerin","jugendherbergen","heuser","gesundheit","strobel","strobel","strobel","westphal","mangerkoenig","mangerkoenig","krankenhaus","dissertation","mangerkoenig","grundgesetzänderung","lebensmittelrechts","arzneimittel","familie","familie","saynwittgensteinhohenstein","gesundheit","jugend","arzneimittel","ärzte","krankenkassen","psychiatrie","drogen","krebsbekämpfung","zander","gesundheitswesen","werbung","verbraucher","biologischen","anfrage","höchstmengen","eltern","kulturellen","arzneimitteln","krebserzeugend","wein","sprache","krankheit","rauchen","frau","krankheit","gesundheit","enquetekommission","krankheiten","risiken","risiken","präparat","forschung","iwc","seehofer","verbraucher","kennzeichnung","schmidbauer","organspende","werbung","organe","lebensmittel","lenzer","berufsgenossenschaften","drogenpolitik","patentamt","parr","gentechnik","import","menschenwürde","krankheit","china","klonens","biotechnologie","gentechnik","pid","gentechnisch","happachkasan","agrogentechnik","happachkasan","leukämie","stammzelllinien","befruchtung","befruchtung","forschung","ethikbeirat","eltern","kabinenluft","nanotechnologie","forschung","patente","wirkstoff","krankheiten","rüstungsaltlasten","monopolkommission","monopolkommission","monsanto","ökologie","wettbewerb","krankheiten","wettbewerb","paketboten","branche","werkverträgen","abgeschafft","kontrollen"
"6","satz","ziffer","präsident","personalversammlung","ziffer","anlage","worte","ziffer","patienten","regierungsvorlage","apotheke","borsäure","stammberger","hubert","hof","niederschläge","arzneimittel","butter","verbrauchers","auflagen","hamm","hubert","dr","hubert","rollmann","pflanzenschutzmittel","gesundheitswesen","bechert","jungmann","westphal","psychiatrischen","umwelt","ärzte","umweltschutzes","westphal","bundesgesundheitsamt","ärzte","focke","bundesministerium","wolters","versorgung","patienten","neumeister","gesundheitswesen","logopäden","rheumatischen","krankenhäuser","familie","gesundheit","gesundheit","krebsforschung","chemischer","kostendämpfung","patienten","fuchs","gesundheit","behinderung","arzneimittel","kinder","kulturelle","bundesgesundheitsamtes","stoff","tiere","krankheiten","lebensmittel","dehp","bundesgesundheitsamt","tierschutz","freisetzung","forschung","verbot","krankheit","aids","tierversuche","pflanzen","forschung","bga","lebensmittel","gesundheit","seehofer","organe","menschen","mensch","gentechnisch","bio","arbeitsschutz","apotheken","kampfhunde","bse","menschlichen","gentechnik","renesse","klonen","deutschland","forschung","veränderte","embryonen","biotechnologie","gentechnologie","koexistenz","gentechnikfreien","tests","pflanzen","embryonen","gentechnik","gentechnisch","registrierung","ethikrates","stammzellen","forschung","entscheidung","kabinenluft","uranmunition","menschen","studien","grazien","fusion","kaisers","edeka","umweltrechtsbehelfsgesetz","nutzerinnen","warnung","plattformen","subunternehmer","kontrollen","arbeitsbedingungen","arbeitsbedingungen","carearbeit"
"7","umdruck","präsident","fassung","präsident","neugliederung","siehe","meldepflicht","ausbildung","begründen","gesetz","arzneimittelgesetz","bier","apotheken","bestimmung","zuweisung","werte","hubert","dr","ministerin","schwarzhaupt","verbraucher","frauen","offenbach","ärzte","säure","rauchen","gesundheit","kollegin","bevölkerung","funcke","kranken","mangerkoenig","gesundheitspolitik","umwelt","mangerkoenig","erkrankungen","bundesministerium","umweltschutz","werbung","arzneimitteln","gesundheitswesen","prinz","patienten","arzt","medizinstudenten","fiebig","krankenhaus","patienten","krebsbekämpfung","hasinger","gesundheit","jugend","selbstverwaltung","zander","tierarzneimitteln","bericht","stiftung","gesundheit","jugendschutzes","tierversuche","medikamente","pharmaindustrie","tierschutz","dioxan","trinkwasserverordnung","verbot","pflanzenschutzmitteln","freisetzung","asbest","befruchtung","befruchtung","genomanalyse","titze","tieren","lebensmittel","verbraucher","blutprodukten","institute","verbraucherschutz","verbraucher","seehofer","nachzulassung","zustimmungslösung","verbraucherzentralen","religiöse","antibiotika","gesundheit","menschliche","medikamentösen","embryonalen","adulten","wissenschaft","verbot","drogen","gentechnisch","veränderten","erfindungen","gentechnikgesetz","spenden","mon","organismen","anbau","forschung","stichtag","forschung","tests","studie","tab","präimplantationsdiagnostik","zulassung","krankheiten","personenstandsrecht","krankheiten","zulassungsverfahren","resolution","uranmunition","cruz","entscheidung","bundeskartellamt","herzog","marktmacht","mittel","play","kontrollen","arbeitsbedingungen","tönnies","leiharbeit","marktmacht"
"8","herr","absatz","unserem","satz","umdruck","änderungsantrag","arzt","frau","bärsch","ausnahmen","gesetz","lange","apothekers","werbung","erbrecht","atomwaffenversuche","contergan","ärzten","ware","hubert","beyer","hamm","bargatzky","kollegin","schwarzhaupt","kollegin","vorsorge","ärzte","gesundheit","mangerkoenig","frau","ärzte","strobel","bundesministerium","krankenhäusern","bauer","ärztlichen","landschaftspflege","gesamtreform","gewässer","gesundheitswesens","zander","krankenhäuser","neumeister","praktischen","patienten","jugend","becker","krebs","stoffen","huber","chemischen","ärzten","arzneimittelgesetzes","faltlhauser","gebührenordnung","haftung","wirkungen","zulassung","tiere","kinder","kulturpolitik","industrie","chemischen","gesundheit","embryonen","innenräumen","organismen","zwischenbericht","anwendung","menschlichen","kommission","anwendung","enquetekommission","gentechnologie","prävention","bundesgesundheitsamt","arzneimittel","lebensmittel","pyrethroiden","hirntod","chemikalien","leben","schweiz","medizin","zulassung","gentechnisch","verbot","präimplantationsdiagnostik","lebens","menschlichen","embryo","menschenwürde","robertkochinstitut","ethik","organismen","china","pflanzen","forscher","anbau","raps","veränderten","happachkasan","krankheiten","mon","medizinprodukten","register","ethische","medizin","studien","organspender","uran","psychische","psychische","familienplanung","risiken","arbeitsplätze","arbeitsplätze","kaisers","ökonomie","daten","ideologische","nachunternehmerhaftung","subunternehmen","fleischwirtschaft","fleischwirtschaft","arbeitsschutz","grüne"
"9","herren","dr","bitten","fassung","fassung","präsident","anlage","gestrichen","dr","antrag","ausübung","reisegewerbe","erlaubnis","stammberger","arztwahl","radioaktiven","herstellung","fachlich","verbraucheraufklärung","hamm","gesundheit","schutzfristen","bechert","probst","schoettle","bechert","krankheiten","krankenhäuser","kollegin","meinecke","westphal","frau","liter","umweltprogramm","abfallbeseitigung","bevölkerung","versorgung","gewässer","verbraucher","arzneimittelsicherheit","krankenhäuser","arzneimitteln","abwasserabgabe","ärzten","krankenhäuser","schriften","versorgung","krankenhaus","stoffe","tierversuche","patienten","aufklärung","zahnärzte","arzneimitteln","gesundheit","ärzte","dolata","angewendet","bundesgesundheitsamt","künstlern","ärzte","österreichischen","stoffe","feten","verbot","menschen","aidspolitik","gesundheit","organismen","technik","therapie","anwendung","erkrankungen","methode","risiken","hoechst","lebensmittel","medizinprodukte","gentechnisch","stiftung","zustimmungslösung","verordnung","angehörigen","antibiotika","catenhusen","rinder","biotechnologie","forschung","schwangerschaftsabbruch","embryo","antrag","import","wissenschaftlich","erreger","medizin","happachkasan","forscher","gentechnisch","loske","drobinskiweiss","gentechnologie","koexistenz","krebs","embryonale","künstlichen","künstlichen","weltgesundheitsorganisation","dsf","verbot","vernachlässigten","biobanken","erkrankungen","nanotechnologie","impfungen","abgereichertem","fliegerbomben","marktmacht","gabriel","bayer","gesamtkonzeptes","whatsapp","freien","marktmacht","wettbewerb","ausbeutung","leiharbeit","faire","treten"
"10","nr","satz","herr","beantragen","streichung","satz","gestrichen","krankenpflege","steinbiss","elbrächter","ausnahmen","dittrich","verpachtung","apotheke","betrieb","atomkernenergie","orthophosphorsäure","säuglingssterblichkeit","verbraucherpolitik","dr","dr","ministerin","kaiserslautern","bechert","weingesetz","schoettle","gesundheitsvorsorge","krankheiten","arzneimittel","ärzte","psychiatrie","umweltschutzes","gesundheitsbericht","gruhl","krankenhausträger","ärztlichen","untersuchungen","gesamtreform","lebensmittel","saynwittgensteinhohenstein","ärztlichen","naturheilmittel","ärztlichen","kassenärztlichen","egert","gesundheitliche","gesundheitswesen","krankenkasse","bundesgesundheitsamt","ärzte","bestrahlung","drogen","versorgung","arzneimittelsicherheit","amtliche","nahrungsmitteln","schwerbehinderte","kosverfahren","behinderten","auswärtigen","verboten","kultur","patienten","bundesgesundheitsamt","pflanzenschutz","wissenschaftler","lebensmitteln","tier","gentechnisch","zulassung","arbeitsschutz","empfehlungen","bergmannpohl","tierschutzgesetzes","patent","blunck","blunck","tierschutz","aids","arzneimittel","rindfleisch","verboten","organspende","menschen","leben","britisches","zulassung","stoffe","krankheiten","präimplantationsdiagnostik","mensch","stammzelllinien","schutz","heiderich","verbot","heiderich","richtlinie","ressortforschung","forschung","gentechnikgesetz","pflanzen","mais","kikkstudie","verschiebung","infektionen","agrogentechnik","medikamenten","forschung","krankheiten","pflanzen","polarforschung","thema","forschung","vielen","expertise","bomben","bundeskartellamt","minister","facebook","entschliessungsantrag","interoperabilität","klagerechte","paketbranche","paketdienste","unterkünfte","werkverträge","kontrollen","berliner"
