"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","vertriebenen","vertriebenen","vertriebenen","vertriebenen","flüchtlinge","vertriebenen","vertriebenen","vertriebenen","flüchtlinge","flüchtlinge","vertriebenen","vertriebenen","flüchtlinge","flüchtlinge","flüchtlinge","rehs","flüchtlinge","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","flüchtlinge","novelle","novelle","novelle","novelle","the","novelle","novelle","assoziierten","novelle","entwicklungspolitik","flüchtlinge","unterhaltshilfe","besoldungsvereinheitlichungs","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","bundesrechnungshof","köhler","entwicklungspolitik","nairobi","entwicklungshilfe","afrika","vereinten","libanon","vietnam","afrika","entwicklungsländer","entwicklungshilfe","entwicklungspolitik","entwicklungspolitik","entwicklungspolitik","libanon","entwicklungsländern","entwicklungspolitik","entwicklungsländer","südafrika","entwicklungsländer","südafrika","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","menschenrechte","nationen","südafrika","irak","irak","türkei","nationen","menschenrechte","nationen","türkei","nationen","türkei","menschenrechte","china","menschenrechte","iran","entwicklungspolitik","menschenrechte","kosovo","kosovo","kosovo","menschenrechte","kosovo","afghanistan","nato","irak","krieg","afghanistan","afrika","russland","china","afghanistan","iran","nationen","afrika","russland","kosovo","russland","iran","menschenrechte","israel","saudiarabien","russland","staaten","russland","syrien","ukraine","russland","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","sudan","russland","russland","ukraine"
"2","heimatvertriebenen","flüchtlinge","heimatvertriebenen","flüchtlinge","vertriebene","flüchtlinge","aussiedler","flüchtlinge","vertriebenen","evakuierten","bundesfinanzhofs","heimatvertriebenen","vertriebenen","vertriebenen","novelle","unterhaltshilfe","personenkreis","zone","novelle","flüchtlinge","vertriebene","wiedergutmachung","vertriebenen","flüchtlinge","flüchtlinge","entschädigung","flüchtlinge","entschädigung","flüchtlinge","vertriebenen","flüchtlinge","flüchtlinge","kiep","unterhaltshilfe","fircks","kriegsteilnehmer","entwicklungspolitik","eppler","eppler","zusammenarbeit","fonds","entwicklungshilfe","entwicklungsländer","brück","entwicklungsländer","nationen","afrika","nationen","südafrika","welt","entwicklungspolitik","welt","brasilien","entwicklungshilfe","abkommen","entwicklungspolitik","zusammenarbeit","entwicklungsländern","nicaragua","welt","welt","nationen","afghanistan","chile","entwicklungsländer","welt","welt","namibia","vereinten","vereinten","menschenrechte","kuwait","menschenrechte","vereinten","hilfe","vereinten","menschenrechte","vereinten","entwicklungspolitik","nationen","menschenrechte","afrika","türkei","entwicklungszusammenarbeit","kosovo","nato","türkei","afrika","entwicklungszusammenarbeit","menschenrechte","terrorismus","terrorismus","afghanistan","afrika","russland","afghanistan","afghanistan","menschenrechte","entwicklungszusammenarbeit","menschenrechte","vereinten","russland","pakistan","china","staaten","kosovo","abrüstung","menschenrechte","region","menschenrechte","kosovo","nationen","iran","russland","ukraine","ukraine","syrien","syrien","syrien","türkei","türkei","türkei","iran","syrien","syrien","türkei","ukraine","russland"
"3","menschen","eingliederung","eingliederung","eingliederung","heimatvertriebenen","heimatvertriebenen","flüchtlinge","oberländer","oberländer","vertriebenen","schiffe","einheimischen","vertriebene","hauptentschädigung","hauptentschädigung","vertriebenen","landbeschaffung","vertriebene","unterhaltshilfe","weber","kriegsgeschädigte","milliarden","auslandsvertretungen","reserven","vertriebenen","flüchtlinge","heimatvertriebenen","flüchtlinge","entschädigung","flüchtlinge","novelle","gleichstellung","eppler","aufbaudarlehen","kriegsschadensrente","vertriebenen","entwicklungsländer","jugoslawien","entwicklungspolitik","brück","matthöfer","entwicklungsländer","todenhöfer","köhler","entwicklungspolitik","afrika","vereinten","vereinten","entwicklungshilfe","entwicklungspolitik","zusammenarbeit","entwicklungsländer","neumann","welt","entwicklungsländern","entwicklungsländer","entwicklungshilfe","unctad","afrika","nicaragua","entwicklungsländer","welt","welt","sanktionen","chile","menschenrechte","apartheid","türkei","china","nationen","nationen","krieg","nationen","jugoslawien","nationen","welt","entwicklungspolitik","entwicklungspolitik","auswärtigen","vereinten","auswärtigen","entwicklungspolitik","menschenrechte","irak","vereinten","menschenrechte","menschenrechte","russland","afrika","nationen","mazedonien","frieden","terrorismus","nato","terrorismus","staaten","irak","nationen","kosovo","nationen","israel","afrikanischen","china","staaten","pakistan","menschenrechte","entwicklungszusammenarbeit","kosovo","ägypten","entwicklungszusammenarbeit","nationen","vereinten","menschenrechte","syrien","syrien","waffen","saudiarabien","russland","russland","ukraine","russland","syrien","nato","iran","türkei","menschenrechte","israel","krieg"
"4","flüchtlinge","heimatvertriebenen","sowjetzonenflüchtlinge","vertriebene","vertriebenen","eingliederung","vertriebene","sowjetzonenflüchtlinge","eingliederung","rückführung","eingliederung","ladung","kriegsgeschädigte","novelle","unterhaltshilfe","vertriebene","beihilfe","vertriebenen","flüchtlinge","unterhaltshilfe","gleichstellung","flüchtlinge","novelle","entschädigung","vertriebene","heimkehrer","vertriebenen","of","häftlinge","gleichstellung","fircks","vertriebenen","entwicklungshilfe","indien","lastenausgleichsgesetz","gewährten","eppler","wirtschaftliche","todenhöfer","wirtschaftliche","entwicklungshilfe","bahr","entwicklungsländern","entwicklungspolitik","südafrika","entwicklungsländer","befreiungsbewegungen","flüchtlinge","welt","entwicklungshilfe","entwicklungsländer","entwicklungsländern","welt","zusammenarbeit","welt","welt","dritten","belgrad","region","afghanistan","dritten","vereinten","entwicklungsländer","welt","südafrika","chile","chile","südafrika","namibia","welt","welt","nationen","vereinten","welt","welt","türkei","afrika","welt","staatsminister","china","welt","auswärtigen","china","türkei","nationen","milosevic","vereinten","menschenrechte","internationalen","vereinten","internationalen","afghanistan","krieg","kongo","irak","afrikanischen","menschenrechte","vereinten","internationalen","vereinten","region","darfur","afrika","russland","menschenrechte","staaten","aussenpolitik","aussenpolitik","menschenrechte","entwicklungspolitik","vereinten","syrien","russland","afrika","irak","syrien","nationen","humanitäre","irak","humanitäre","region","vereinten","region","russland","russland","iran","russischen","putin"
"5","land","menschen","flüchtlinge","heimatvertriebenen","bauern","sowjetzonenflüchtlinge","schleswigholstein","vertriebene","vertriebene","beweissicherung","flüchtlinge","waldkappel","weltflüchtlingsjahr","rehs","vertriebenen","flüchtlinge","vertriebene","gleichstellung","hirsch","ansprüche","heimatvertriebenen","entschädigung","gleichstellung","milliarden","heimatvertriebenen","vertriebenen","gleichstellung","and","rutschke","kinderkriminalität","schäden","fircks","chile","zusammenarbeit","unterhaltshilfeempfänger","bevorsteht","chile","zusammenarbeit","wirtschaftliche","vertriebenen","todenhöfer","entwicklungsländern","welt","entwicklungsländer","entwicklungsländern","entwicklungspolitik","entwicklungsländer","namibia","vereinten","entwicklungsländern","welt","zusammenarbeit","entwicklungshilfe","entwicklungsländern","neumann","handwerk","welt","iwf","el","entwicklungspolitik","guatemala","zusammenarbeit","menschenrechte","menschenrechte","welt","nicaragua","entwicklungsländer","welt","welt","türkei","vereinten","jugoslawien","jugoslawien","menschenrechte","türkei","menschenrechte","nationen","menschenrechte","welt","welt","iran","china","auswärtigen","staaten","internationalen","krieg","nationen","krieg","jugoslawien","mazedonien","staaten","afrika","internationalen","irak","menschenrechte","region","internationalen","entwicklungszusammenarbeit","vereinten","staaten","libanon","iran","menschenrechte","streumunition","nato","internationalen","haiti","entwicklungszusammenarbeit","libyen","aussenpolitik","menschenrechte","staaten","staaten","staaten","hilfe","hilfe","is","türkischen","is","frieden","südsudan","nationen","usa","region","vereinten","nationen","frieden","russische"
"6","umsiedlung","vertriebene","umsiedlung","evakuierten","oberländer","evakuierten","oberländer","verbände","flüchtlingen","vertriebene","heimatvertriebenen","schiff","eingliederung","geschädigten","geschädigten","lastenausgleichsgesetz","lastenausgleich","flüchtlingen","verfolgten","milliarden","vertriebenen","schäden","schäden","vertriebenen","aschaffenburg","schäden","verbesserungen","that","kriegsgefangenen","lastenausgleichsgesetzes","eingliederung","hauptentschädigung","entwicklungsländern","ausgleichsfonds","flüchtlinge","unbestimmte","wirtschaftliche","gutachten","jugoslawien","rechnungshof","wolfsburg","todenhöfer","bahr","zusammenarbeit","schwarzen","entwicklungsländern","entwicklungsländern","entwicklungsländern","entwicklungsländer","nationen","dritten","entwicklungshilfe","internationalen","entwicklungsländer","zusammenarbeit","dritten","köhler","welt","salvador","währungsfonds","afrika","dritten","entwicklungspolitik","namibia","entwicklungsländern","entwicklungsländer","staaten","iran","menschenrechte","staatsminister","kuwait","kurden","entwicklungspolitik","südafrika","vereinten","uno","zusammenarbeit","afrika","menschenrechte","staaten","beziehungen","aussenminister","nationen","auswärtigen","entwicklungspolitik","jugoslawien","osze","kuba","bmz","nato","welt","internationalen","nationen","nationen","internationalen","internationalen","terrorismus","region","nationen","usa","staaten","staaten","aussenpolitik","menschenrechte","entwicklungszusammenarbeit","regierung","aussenminister","iran","arabischen","vereinten","entwicklungszusammenarbeit","menschenrechte","kosovo","ruanda","humanitäre","staaten","vereinten","krieg","humanitäre","krieg","irak","aussenpolitik","saudiarabien","aussenminister","region","belarus","menschenrechte","russischen"
"7","bauern","bauern","menschen","sowjetzonenflüchtlinge","kriegsgeschädigte","oberländer","heimatvertriebenen","trakehner","lager","rehs","rehs","vertriebene","geflüchteten","lastenausgleichsgesetz","zone","kriegsgeschädigte","ersten","korspeter","juden","schäden","entschädigung","hauptentschädigung","entschädigung","lastenausgleich","rechnungsprüfungsausschuss","hassel","sowjetzonenflüchtlinge","vertriebene","gleichstellung","sowjetzonenflüchtlinge","vertriebenen","lastenausgleichsgesetzes","entwicklungsländer","wirtschaftliche","geschädigten","berechnungen","kapitalhilfe","minister","zusammenarbeit","stahl","zusage","entwicklungshelfer","weltwirtschaftsordnung","afrika","südlichen","entwicklungshilfe","gewalt","flüchtlingen","nationen","hilfe","afrikanischen","ärmsten","entwicklungsländern","dritten","picotrac","armut","verpflichtungsermächtigungen","industrieländer","staaten","zusammenarbeit","entwicklungsländern","afghanistan","nicaragua","menschenrechtsverletzungen","saudiarabien","tibet","internationalen","afghanistan","türkei","menschenrechte","staaten","türkei","irak","türkei","jugoslawien","entwicklungspolitik","vereinten","gorazde","amt","auswärtigen","chinesischen","staaten","vereinten","algerien","milosevic","flüchtlinge","krieg","entwicklungszusammenarbeit","auswärtigen","krieg","krieg","staaten","nato","internationalen","entwicklungszusammenarbeit","moldau","china","aufhebung","entwicklungspolitik","belarus","kongo","china","staaten","lateinamerika","indien","indien","atomwaffen","region","waffen","syrien","iran","waffen","region","aussenpolitik","waffen","region","waffen","erdogan","aleppo","hilfe","waffen","iran","türkei","aussenpolitik","nationen","vereinten","russische","waffen"
"8","problem","oberländer","land","oberländer","mittelschicht","vertriebene","richtlinien","heimatvertriebenen","heimatvertriebenen","heimatvertriebenen","kriegs","gestaut","bauern","vertriebene","zwangslage","aufbaudarlehen","ausgleichsfonds","heimatvertriebenen","vertriebene","novelle","novelle","rehs","vertriebene","schätzungen","kriegsgeschädigte","personen","korspeter","geschädigten","schäden","unterhaltshilfe","gleichstellung","sowjetzonenflüchtlinge","gewandt","entwicklungshilfe","unterhaltshilfeanpassungsgesetz","stiftung","entwicklungsländern","bundesrechnungshof","minister","bundesrechnungshofes","sondergeneralversammlung","entwicklungspolitischen","rohstoffabkommen","todenhöfer","befreiungsbewegungen","welt","nationen","vertreibung","staaten","dritten","entwicklungsländern","hilfe","dritten","hilfe","hilfe","zusammenarbeit","entwicklungspolitischen","währungsfonds","welt","dritten","zusammenarbeit","afrika","internationalen","internationalen","prensa","apartheid","kurden","menschenrechtsverletzungen","südafrika","khmer","saddam","vereinten","china","china","auswärtigen","hilfe","china","ruanda","hoyer","lateinamerika","tibet","kinkel","indonesien","nationen","auswärtigen","nationen","osttimor","china","vereinten","region","nato","mazedonien","menschenrechte","entwicklungspolitik","nationen","menschenrechte","entwicklungszusammenarbeit","staaten","zusammenarbeit","internationalen","afghanistan","menschenrechte","nationen","entwicklungszusammenarbeit","region","region","internationalen","staaten","nationen","nationen","region","israel","beziehungen","humanitäre","nationen","afrika","region","hilfe","hilfe","nationen","humanitäre","krieg","aussenpolitik","ukraine","hongkong","nawalny","türkei","nato"
"9","müssen","sowjetzonenflüchtlinge","vertriebene","verbände","bundesvertriebenengesetzes","kather","vertreibung","eingliederung","aussiedler","sowjetzonenflüchtlinge","gemeinden","stauereibetriebe","rehs","lastenausgleich","kriegssachgeschädigten","mischnick","hauptentschädigung","eichelbaum","entschädigung","regierungsentwurf","korspeter","unterhaltshilfe","geschädigten","verbesserungen","rehs","unterhaltshilfe","mick","schäden","heimatvertriebenen","fircks","ansprüche","heimatvertriebenen","wirtschaftliche","hilfe","ehemals","zweites","hilfe","hilfe","hilfe","entwicklungsländer","übereinkommen","zusammenarbeit","industrieländer","schlei","todenhöfer","dritten","entwicklungshilfe","swapo","todenhöfer","vereinten","entwicklungsbank","länder","zusammenarbeit","nichtregierungsorganisationen","kakaoabkommen","global","wirtschaftliche","williamsburg","entwicklungshilfe","staaten","nicaragua","entwicklungsländer","entwicklungshilfe","entwicklungsländer","la","israel","dritten","nationen","staaten","auswärtigen","südafrika","saddam","staaten","afrika","humanitäre","somalia","auswärtigen","un","internationalen","uno","staaten","indonesien","beziehungen","menschenrechte","staaten","vereinten","internationalen","staaten","entwicklungspolitik","internationalen","menschenrechte","krieg","vereinten","staaten","vereinten","sudan","russischen","internationalen","internationale","terrorismus","iran","simbabwe","usa","serbien","usa","hilfe","kosovo","internationalen","tunesien","staaten","russland","entwicklungszusammenarbeit","china","waffen","entwicklungszusammenarbeit","türkei","russland","libyen","aussenpolitik","waffen","is","region","frieden","china","china","china","krieg","frieden"
"10","not","evakuierten","ha","umsiedlung","warten","bauern","sowjetzonenflüchtlinge","aussiedler","friedland","flüchtlingen","sauberkeit","zirndorf","reitzner","lastenausgleichsgesetzes","lastenausgleichsgesetz","stichtag","kriegsgeschädigte","mischnick","israel","personen","einrichtungshilfe","schätzungen","fonds","unterhaltshilfe","fänge","vertriebene","haushaltsausschuss","kriegsgeschädigte","vertriebenen","lastenausgleich","personenkreis","chile","sohn","eppler","vertriebenen","juli","zusammenarbeit","todenhöfer","matthöfer","gutachten","gutachten","welt","internationalen","entwicklungsländern","welt","swapo","südafrika","entwicklungshilfe","hilfe","internationalen","bank","dritten","flüchtlinge","köhler","wirtschaftliche","handwerks","warnke","zusammenarbeit","südlichen","südafrika","warnke","uno","zusammenarbeit","apartheid","internationalen","hilfe","vereinten","vereinten","staatsminister","entwicklungspolitik","internationalen","hussein","welt","entwicklungspolitik","staaten","menschenrechtsverletzungen","entwicklungszusammenarbeit","auswärtigen","nationen","dialog","entwicklungspolitik","welt","staaten","vereinten","entwicklungszusammenarbeit","internationalen","russland","region","aussenpolitik","milosevic","usa","nationen","frieden","armut","entwicklungspolitik","internationale","iran","welt","region","russland","menschenrechte","regierung","aussenminister","internationale","internationalen","auswärtigen","staaten","nahen","vereinten","arabischen","südsudan","auswärtigen","internationalen","frieden","region","saudiarabien","irak","staaten","nationen","staaten","nationen","hilfe","humanitäre","irak","humanitäre","aussenpolitik","staaten","aussenpolitik"
