"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","preisbindung","bundeswirtschaftsminister","unternehmungen","privatisierung","konzentration","deist","unternehmen","vermögensbildung","bundeswirtschaftsminister","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","kurlbaum","wirtschaft","kohle","kohle","wirtschaft","kohle","wirtschaft","wirtschaft","saar","wirtschaft","strukturpolitik","zonenrandgebiet","heizölsteuer","unternehmen","unternehmen","wirtschaft","preisbindung","wirtschaft","wirtschaft","wirtschaft","grüner","kohle","verbraucher","energiepolitik","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","stahlindustrie","unternehmen","stahlindustrie","stahlindustrie","bremen","nordrheinwestfalen","nordrheinwestfalen","nordrheinwestfalen","landesregierung","kohle","kohle","rheinhausen","nordrheinwestfalen","kohle","nordrheinwestfalen","saarland","steinkohle","möllemann","mecklenburgvorpommern","stahlindustrie","stahlindustrie","stahlindustrie","eko","dessau","skarpelissperk","vulkan","sket","bergleute","schröder","bvs","werften","untersuchungsausschuss","kohl","hessischen","untersuchungsausschuss","werften","untersuchungsausschuss","untersuchungsausschuss","kyi","akten","konto","untersuchungsausschuss","patientenverfügung","untersuchungsausschuss","untersuchungsausschuss","journalisten","informationsfreiheitsgesetz","ströbele","libyen","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","parlamentarischen","überhangmandate","überhangmandate","rechtsschutz","wahlrecht","demokratie","abgeordneten","demokratie","karenzzeit","parteien","demokratie","sponsoring","parteien","demokratie","parteien","grundgesetz","demokratie","wahlkreise","bundestag","grundgesetz","bundestag"
"2","millionen","wirtschaftspolitik","marktwirtschaft","kartelle","volkswirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","deist","deist","unternehmungen","bundeswirtschaftsminister","niedersachsen","deist","wirtschaft","deist","deist","wirtschaftspolitik","wettbewerb","wettbewerb","kohle","unternehmen","bergbau","wirtschaft","kohle","ruhr","ruhr","zonenrandgebiet","wirtschaft","wettbewerb","wirtschaft","wirtschaft","zonenrandgebiet","wirtschaft","wirtschaft","granitindustrie","unternehmen","grüner","grüner","grüner","wirtschaft","unternehmen","unternehmen","unternehmen","mittelstand","strukturpolitik","zonenrandgebiet","grüner","kohle","kohle","stahlindustrie","stahlindustrie","stahlindustrie","grüner","stahlindustrie","unternehmen","stahlindustrie","werften","unternehmen","saarland","saarland","hessen","landesregierung","werften","stahlindustrie","rheinhausen","nordrheinwestfalen","kohle","steinkohle","landesregierung","ministerpräsident","möllemann","region","möllemann","bremen","textilindustrie","bergbau","eisenhüttenstadt","skarpelissperk","sigrid","bremer","bvs","sanierung","preussag","untersuchungsausschuss","schiffbau","kiep","untersuchungsausschuss","cdu","cdu","bankgeheimnis","cdu","möllemann","suu","untersuchungsausschuss","girokonto","untersuchungsausschusses","informationsfreiheitsgesetz","untersuchungsausschusses","kontrollgremium","bnd","gebühren","rettungsassistenten","belarus","untersuchungsausschusses","ströbele","untersuchungsausschusses","parlamentarische","wahlrecht","wahlrecht","wahl","beamten","staatsleistungen","geschäftsordnung","kirchen","wahl","spenden","deg","parteien","npd","antrag","stiftungen","demokratie","wahlrecht","abgeordneten","demokratie","bundestag","abgeordneten"
"3","milliarden","konsumgenossenschaften","milliarden","wettbewerb","bundeswirtschaftsminister","investitionen","deist","kartellbehörde","hellwig","unternehmen","deist","unternehmen","wirtschaft","wirtschaft","unternehmen","unternehmen","wirtschaft","kohle","investitionen","konjunkturpolitik","unternehmen","preisbindung","wirtschaft","bergbau","bergbau","bergbau","kohle","massnahmen","saarland","strukturpolitik","saar","regionalen","wirtschaft","mittelständischen","mittlere","bord","wettbewerb","heizöl","bundeskartellamt","russe","energieprogramm","tonnen","mittelstandspolitik","wirtschaft","mittleren","wirtschaft","wettbewerb","wirtschaft","grüner","bergbau","kohle","grüner","wettbewerb","welttextilabkommen","grüner","europäischen","europäischen","unternehmen","wolfram","unternehmen","unternehmen","landesregierung","hessen","hamburg","arbeitsplätze","nordrheinwestfalen","landesregierung","ruhrgebiet","nordrheinwestfalen","saarland","nordrheinwestfalen","nordrheinwestfalen","steinkohle","werften","krise","brüssel","kohlerunde","textil","bergbau","urbaniak","bvs","werften","region","niedersachsen","treuhandanstalt","metro","cdu","werften","akten","landowsky","konten","kohl","untersuchungsausschusses","akten","hirsch","kreditwirtschaft","visastellen","selbstbestimmung","fischer","elmasri","untersuchungsausschuss","opposition","journalisten","skandal","kurnaz","kontrolle","informationen","gremium","stimmgewicht","untersuchungsausschuss","wahlrecht","bundesverfassungsgericht","akten","minderheitenrechte","beamten","tätigkeit","demokratie","wahl","parteiengesetz","demokratie","enquetekommission","demokratie","grundgesetzes","parteien","wahlrecht","abgeordneten","demokratie","demokratie"
"4","heute","milliarden","wirtschaftspolitischen","industrie","wirtschaftspolitik","deist","preis","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","deist","eigentum","eigentum","kurlbaum","wirtschaft","kohle","wirtschaft","marktwirtschaft","bundesregierung","wirtschaft","privatisierung","schmücker","stahlindustrie","textilindustrie","bundeswirtschaftsminister","saar","arndt","unternehmen","zonenrandgebiet","zonenrandgebiet","unternehmen","zonenrandförderung","selbständigen","regionalen","verbraucher","wirtschaft","friderichs","preise","wolfram","wolfram","steinkohle","wirtschaft","grüner","kohle","kohle","wirtschaft","heizöl","wolfram","berufe","wolfram","subventionen","grüner","förderabgabe","wettbewerb","saar","arbeitsplätze","bremen","arbeitsplätze","stahlindustrie","regionen","krupp","landes","kohle","nordrheinwestfalen","arbeitsplätze","stahl","stahlindustrie","saarland","kohle","saarlandes","bergbau","wilhelmshaven","landesregierung","region","textil","subventionen","bekleidungsindustrie","branche","stahlindustrie","werften","schiffbau","sanierungsgesellschaften","stahl","mer","börnsen","staatsanwaltschaft","cdu","hessen","berliner","akten","korruption","einsetzung","untersuchungsausschuss","kanzleramt","kreditinstitute","einsetzung","patienten","informationsfreiheitsgesetz","bnd","kontrollgremium","informationsfreiheit","untersuchungsausschuss","informationsfreiheit","nachrichtendienste","akten","vorgänge","geschäftsordnung","vorschlag","bnd","krings","überhangmandate","parteien","grundgesetz","richter","mitglieder","partei","staatsleistungen","demokratie","partei","bundesverfassungsgericht","artikel","verfassung","bundestag","demokratie","parteien","parteien","mehrheit"
"5","wirtschaftspolitik","marktwirtschaft","millionen","bundeswirtschaftsminister","mineralölwirtschaft","bundesregierung","preise","hand","stiftung","bundeswirtschaftsminister","wirtschaft","aktien","privatisierung","aktionäre","konzentration","erhard","bergbau","deist","markt","preise","bundeswirtschaftsminister","kurlbaum","steinkohle","schmücker","massnahmen","wirtschaft","arndt","textilindustrie","bundeswirtschaftsminister","energiepolitik","saarland","mittlere","heizöl","mittleren","gewandt","situation","verbraucher","verbraucher","verbraucher","regionalen","arbeitsplätze","russe","wettbewerb","wolfram","wirtschaft","zonenrandgebiet","ausgleichsabgabe","tankstellen","steinkohle","wolfram","grüner","wettbewerb","verbraucher","stahlindustrie","europäischen","wolfram","wettbewerb","subventionen","nordrheinwestfalen","fusion","stahlindustrie","arbeitsplätze","niedersachsen","nordrheinwestfalen","stahl","stahlindustrie","ruhrgebiet","landesregierung","jahrhundertvertrag","rau","lafontaine","kohle","bergbau","region","reuschenbach","fritz","urbaniak","riva","stahlindustrie","dr","verbund","maritimen","ostdeutschen","bvs","untersuchungsausschusses","bvs","aufklärung","koch","koch","werften","schiffbau","akten","partei","san","kohl","zahlungsverkehr","gehb","sterben","beweisaufnahme","aufklärung","kontrolle","gremium","bürogemeinschaften","kontrolle","kontrolle","informationen","aufklärung","hartmann","bundesverfassungsgericht","akten","partei","partei","spenden","bundestages","wahl","bundesverfassungsgericht","wahl","grundgesetz","attac","bundesverfassungsgericht","npd","grundgesetz","artikel","wahlkreise","bundestag","bundestages","abgeordneten","geschäftsordnung"
"6","regierung","entwicklung","westrick","marktwirtschaft","investitionen","massnahmen","hand","kurlbaum","unternehmungen","aktien","aktien","wirtschaft","unternehmungen","unternehmungen","massnahmen","kurlbaum","wirtschaftspolitik","bergbau","bundeswirtschaftsminister","unternehmen","steinkohlenbergbau","markt","unternehmen","massnahmen","arndt","saar","ruhrgebiet","bundeswirtschaftsminister","saarländischen","regionalen","strukturbericht","strukturpolitik","regionalen","zonenrandgebiet","werften","nächsten","regionalen","textil","unternehmen","energieversorgung","friderichs","wolfram","verbraucherpolitik","verbraucher","wolfram","arbeitsplätze","wolfram","kohle","wirtschaft","wirtschaft","hauser","simonis","europäischen","textil","kommission","stahl","grüner","lambsdorff","reuschenbach","arbeitsplätze","arbeitsplätze","wuppermann","saarland","küste","bangemann","bremen","regionen","stahl","bergleute","steinkohle","opportunismus","bundeswirtschaftsminister","kohle","verbundlösung","stahlunternehmen","reuschenbach","bundeswirtschaftsminister","stahlindustrie","bekleidungsindustrie","wettbewerbsbedingungen","bremen","magdeburg","lausitzer","unternehmen","schröder","korea","merkel","aufklärung","kohl","untersuchungsausschusses","cdu","staatsanwaltschaft","fdp","aung","staatsanwaltschaft","wahl","politischen","untersuchungsausschuss","uhl","nachrichtendienste","ströbele","informationen","rettungsdienst","firma","guantánamo","nachrichtendienste","akten","untersuchungsausschuss","mandate","hartmann","bundesverfassungsgericht","parteien","transparenz","einsetzung","weltgemeinschaft","wechsel","personen","kirchen","beamten","parteienfinanzierung","afd","parteienfinanzierung","wahlrecht","verfassung","bundestages","abgeordnete","kirchen","impfpflicht"
"7","dmark","bundeswirtschaftsminister","unternehmungen","erhard","preise","preise","volkswagenwerk","hellwig","wirtschaftspolitik","bundesschatzminister","unternehmen","unternehmungen","volkswagenwerk","konzentration","arbeitnehmer","arbeitnehmer","entwicklung","energiepolitik","preise","konjunkturpolitischen","bergbau","veba","ruhr","bergleute","strom","strukturpolitik","energiepolitik","unternehmen","mittelständischen","bundeswirtschaftsminister","regionalen","sonderabschreibungen","zonenrandgebietes","mittlere","werftindustrie","funcke","marktwirtschaft","gemeinschaftsaufgabe","wettbewerb","bundeswirtschaftsminister","wirtschaftsausschuss","wirtschaft","mittelstand","kohle","kleinen","investitionszulage","regionalen","arbeitsplätze","wettbewerb","wirtschaftsausschuss","arbeitsplätze","mittleren","regionen","subventionen","egkommission","kommission","subventionen","stahl","subventionen","wolfram","regionalpolitik","stahlindustrie","unternehmen","arbeitsplätze","steinkohle","bangemann","stahlindustrie","steinkohle","lafontaine","land","steinkohle","subventionen","bremen","mecklenburgvorpommerns","steinkohle","bekleidungsindustrie","steinkohle","skarpelissperk","wirtschaftsausschuss","branche","mecklenburgvorpommern","kohle","betroffenen","landesregierung","preussag","mecklenburgvorpommern","schreiber","schmidt","sitten","parteiengesetz","steuerhinterziehung","parteien","altmaier","mitteldeutsche","bundeskanzleramt","jedermann","assimilierung","patientenverfügungen","sachstandsbericht","informationen","bundesnachrichtendienst","quorum","informationen","bnd","ströbele","untersuchungsausschusses","parlamentarischen","hanschristian","lobbyismus","schuster","beamten","abgeordneten","ablösung","rechte","dienst","grundgesetz","mitglieder","artikel","parteienfinanzierung","grundgesetzes","direkte","bundesverfassungsgericht","parteien","grundgesetz","vorschlag","parlament","artikel","bundestages"
"8","unsere","millionen","bundeswirtschaftsminister","kartell","konjunkturpolitischen","konjunktur","unternehmungen","erhard","preise","hellwig","wirtschaftspolitik","wettbewerb","öffentliche","bundeswirtschaftsminister","burgbacher","aktionär","investitionen","wirtschaftsbericht","kaufkraft","öffentlichen","bundesregierung","wettbewerb","energiepolitik","energiepolitik","bundeswirtschaftsminister","massnahmen","bundeswirtschaftsminister","ravens","saarlandes","unternehmen","bayern","arbeitsplätze","degression","unternehmer","wettbewerbs","abgeschlossenen","strukturpolitik","regionalen","gesellschaften","steinkohle","fortschreibung","energiepolitik","aktionsprogramm","steinkohle","energiepolitik","mittleren","investitionszulage","verbraucher","heimischen","importkohle","wirtschaft","stahlunternehmen","schwandorf","arbeitsplätze","lammert","kohle","thomsonbrandt","bundesregierung","bundeswirtschaftsminister","regionen","jochimsen","bremen","jochimsen","wolfram","werften","landesregierung","belegschaft","kohlepfennig","bergbau","bergbau","bergbau","energiepolitik","bergleute","lösung","subventionen","stahl","kohle","textilindustrie","dr","zivilen","treuhandanstalt","bergleute","braunkohlerevieren","niedersächsischen","akten","aufträge","million","parteien","merkel","aufklärung","berliner","parteiengesetz","parteien","tr","wahlprüfungsausschuss","selbstverpflichtung","schleuserbanden","gesundheitskarte","erlasse","parlamentarischen","geheimdienste","ströbele","untersuchungsausschusses","ströbele","gremium","gremium","mayer","gepeitscht","negativen","partei","abgeordneten","schuster","kirchen","wahl","reformierter","übergangsgeld","parteiengesetz","richter","spenden","geschäftsordnung","grundgesetz","grundgesetzes","bundesverfassungsgericht","bundestages","bundesverfassungsgericht","lobbyregister","abgeordnete","parlament"
"9","prozent","zahlen","wirtschaftspolitik","wirtschaftspolitischen","deist","konjunkturpolitik","öffentlichen","preise","erhard","privatisierung","marktwirtschaft","arbeitnehmer","unternehmen","volksaktie","bundeswirtschaftsminister","entwicklung","massnahmen","entwicklung","entwicklung","wirtschaftsbericht","markt","schmücker","steinkohlenbergbau","arndt","importe","energiepolitik","massnahmen","strukturpolitik","massnahmen","massnahmen","arbeitsplätze","zonenrandgebiets","industrie","mittelstand","kartellgesetznovelle","geschäften","missbrauchsaufsicht","bundeswirtschaftsminister","regionalen","tonnen","unternehmen","grüner","mittelständischen","friderichs","grüner","energiepolitik","verbraucher","markt","heizöl","bundeswirtschaftsminister","bundeswirtschaftsminister","gemeinschaftsaufgabe","stahlunternehmen","wettbewerb","reuschenbach","regionen","markt","hdw","lambsdorff","bundesregierung","bremen","unternehmen","arbeitsplätze","schleswigholstein","jahrhundertvertrag","regionen","strukturwandel","saarland","energiepolitik","landes","vorangekommen","wedemeier","bundeswirtschaftsminister","konzept","brüssel","eg","stahl","ekostahl","herr","bergbau","ostdeutschen","maritime","sonderma","dow","mfs","werftindustrie","untersuchungsausschusses","korea","hessische","ströbele","kohl","spenden","affäre","staatsanwaltschaft","untersuchungsausschusses","kunden","fehlverhalten","informationsfreiheit","kiew","untersuchungsausschusses","parlamentarischen","parlamentarischen","lohnsteuerhilfevereinen","untersuchungsausschuss","murat","parlamentarischen","parlament","ströbele","stimmgewichts","uhl","hartmann","wahlrechts","gesetzentwurf","parlament","bundesverfassungsgericht","bundesverfassungsgerichts","teilfinanzierung","wahlkreis","wahl","artikel","ausschüsse","afd","wahl","afd","parteien","grundgesetz","bundestages","grundgesetz"
"10","arbeitslosigkeit","jahre","entwicklung","wettbewerbs","währung","bank","marktwirtschaft","wirtschaftspolitik","unternehmen","gesellschaften","aktie","gesellschaft","wirtschaftspolitik","aktie","mittleren","preise","erhard","bundesregierung","deist","bundeswirtschaftsminister","burgbacher","unternehmungen","massnahmen","steinkohle","nachfrage","schiller","bergbau","investitionszulage","strukturpolitik","arndt","arndt","mittelständischen","zonenrandförderungsgesetzes","mittelständische","mittleren","ostbayerischen","fusionskontrolle","arbeitsplätze","gemeinschaftsaufgabe","friderichs","russe","arbeitsplätze","grüner","mittleren","bergbau","stahlindustrie","mittleren","wolfram","kohlepolitik","freien","regionalen","wirtschaft","schlecht","rapp","verbraucher","hoffmann","strukturpolitik","hamburg","jochimsen","georgsmarienhütte","regionalen","saarland","bremen","ibbenbüren","regionen","stahl","kohle","regionen","kohlepolitik","energiepolitik","arbeitsplätze","jahrhundertvertrag","braunkohle","nordrheinwestfalen","stahl","rexrodt","bergleute","region","subventionen","feststellungen","irmgard","anpassungsgeld","karwatzki","schultze","ag","mietverträge","geflossen","hessen","landesregierung","kiep","untersuchungsausschuss","müntefering","stadler","na","herrn","bargeldlosen","skandal","elektronischen","zeugen","girokonto","untersuchungsausschusses","journalisten","gremium","gebühren","geheimschutzstelle","bagdad","dokumente","ausschusses","hartmann","bundesverfassungsgericht","subjektiven","wahl","bundesverfassungsgericht","abgeordnete","beamtinnen","richter","campact","wahlkreise","versorgungsrücklage","parlament","plenum","parteinahen","parlamentarischen","artikel","wahlkreis","wahlrecht","verfassung","parteien"
