"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ausschuss","ausschuss","ausschuss","bundestag","bundesregierung","ausschüsse","bundesregierung","bericht","bundestag","meyer","behandlung","wochenschau","wilhelms","reichsnährstandes","betraut","kommission","petitionen","eingaben","wahlkreise","steinbach","zonenrandgebiet","zonenrandgebiet","zirisan","bezeichnungen","becher","hofmann","hofmann","fremdenverkehr","hofmann","arbeitssicherheit","vermögensbildung","fremdenverkehr","vermögensbildung","veba","wirtschaftsprüfer","erläuterungen","tonnen","schwarzarbeit","weck","deutsch","meere","kalender","tourismus","albert","reiseveranstalter","fliesen","film","film","luxemburg","medien","huonker","medien","medienbericht","radio","raumfahrtpolitik","springer","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundesrechnungshof","stiftung","bundesrechnungshof","treuhand","treuhand","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","unternehmen","unternehmen","post","post","post","post","post","metro","post","holzmann","ladenschluss","post","post","unternehmen","ladenöffnungszeiten","post","verbraucher","wettbewerb","sparkassen","wettbewerb","unternehmen","ministererlaubnis","hedgefonds","reits","wettbewerb","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","kredite","ezb","banken","bafin","verbraucher"
"2","antrag","bundestag","bundestag","ausschuss","ausschuss","bericht","bundestag","ausschusses","behandlung","bundesregierung","ausschüssen","beirat","matzner","ehemaligen","stellungnahmen","bundesregierung","eingaben","vorlage","wahlkreis","bechert","regionalen","hoheitszeichen","landes","handwerksordnung","pullach","zonenrandgebiet","fremdenverkehr","fremdenverkehrs","mainz","unfallverhütung","guatemala","vermögensbildung","burgbacher","vermögenspolitik","steuerberater","vermögenspolitik","rohwedder","breidbach","gustav","italien","italien","kalenders","urlaub","bundesbesoldungserhöhungsgesetz","urlaub","herr","reiseveranstalter","filmförderung","hauff","klein","klein","fernsehen","enquetekommission","satelliten","stercken","monopolkommission","post","post","post","verkabelung","post","post","post","post","stiftungen","post","post","post","banken","bundespost","bundespost","treuhandanstalt","treuhandanstalt","treuhand","treuhand","unternehmen","unternehmen","unternehmen","privatisierung","telekom","ag","ag","ag","banken","ag","unternehmen","ag","banken","unternehmen","unternehmen","ag","wettbewerb","einzelhandel","unternehmen","wettbewerb","bafin","unternehmen","regulierungsbehörde","hedgefonds","basel","wettbewerb","wettbewerb","kfw","banken","krise","bank","finanzmärkte","bank","finanztransaktionsteuer","krise","aufsicht","regulierung","bankenaufsicht","bankenunion","bankenunion","schick","bank","bank","verbraucher","verbraucherinnen","verbraucher","verbraucher","bank","finanztransaktionsteuer","zentralbank","verbraucher","wirecard","verbraucherinnen"
"3","bundesregierung","bundesregierung","ausschusses","bundesregierung","bundestag","bundesregierung","ausschüsse","bundestag","bundeswasserstrassen","bericht","bundestagsfraktion","bundesregierung","vorlage","forchheim","mitverantwortung","möller","sachverständigenkommission","lemmer","wilhelmshaven","wilhelmshaven","oberpostdirektionsbezirke","höhmann","regionalen","schulhoff","hofmann","bayerischen","zonenrandgebiet","kurorte","fremdenverkehr","ballungsgebieten","burgbacher","aktivität","papiere","vermögensbildung","prüfung","vermögensbildung","gegenleistungen","biedenkopf","gerhard","lernen","veranstalter","deutsch","reiseveranstalter","bundesentschädigungsgesetz","massentourismus","verlegenheit","reisenden","filme","radio","schwarzschilling","medien","öffentlichrechtlichen","weirich","fernmeldewesen","raumfahrt","presse","postminister","paterna","verkabelung","bundespostminister","paterna","journalisten","paterna","fernmeldewesen","vorzuschlagenden","fernmeldewesen","wettbewerb","schwarzschilling","bank","post","bundesrechnungshofes","unternehmen","unternehmen","unternehmen","unternehmen","treuhand","treuhand","privatisierung","telekom","telekommunikation","telekommunikation","telekommunikation","wettbewerb","wettbewerb","filialen","ag","kunden","ag","übernahmen","zugabeverordnung","wettbewerb","schauerte","post","verbraucher","liberalisierung","unternehmen","wettbewerb","verbraucher","wettbewerb","unternehmen","bundesnetzagentur","reit","post","kfw","bank","sparkassen","krise","krise","bank","finanzmärkte","finanzmärkte","finanzmärkte","bank","steuerzahler","bank","einlagensicherung","bausparkassen","bafin","bank","banken","einlagensicherung","kredite","ezb","griechenland","bafin","bafin","esm","hauptversammlung"
"4","ausschusses","ausschusses","bundesregierung","ausschusses","ausschusses","bundestag","ausschuss","ausschüsse","gesetzentwurf","vorlage","ausgleichszulage","ufa","bundestagsfraktion","bundesanstalt","eingaben","expertenkommission","gesetzgeberischen","petitionen","neueinteilung","schädlingsbekämpfungsmitteln","zonenrandgebieten","vergünstigungen","becher","dumping","coburg","regionale","mainz","urlaub","werbung","statistischen","gewerkschaften","inserate","produktivvermögen","aktien","steuerbevollmächtigten","einmalige","ddrführung","farthmann","dreieinhalb","sprache","zusatzfrage","fremdsprache","reisen","reisen","emsästuar","treffen","filmwirtschaft","pressefusionskontrolle","klein","fernsehen","planungsabteilung","schwarzschilling","rundfunk","fernsehen","raumfahrttechnik","burda","glasfaser","verkabelung","paterna","post","flugsicherung","paterna","rawe","film","post","börnsen","telekommunikation","telekommunikation","wettbewerb","salzgitter","post","privatisierung","privatisierung","privatisierung","privatisierung","privatisierung","post","treuhand","telekommunikation","post","telekom","postbank","internet","unternehmen","wettbewerb","divag","verordnung","bundesdruckerei","einzelhandel","wettbewerb","unternehmen","register","uhr","ag","regulierung","regulierungsbehörde","schleswigholstein","unternehmen","verbraucher","banken","bafin","telekom","banken","wettbewerb","finanzmärkte","krise","regulierung","finanztransaktionsteuer","anleger","bank","krise","krise","zypern","schick","steuerzahler","aufsicht","verbraucher","verbraucher","verbraucherinnen","verbraucherschutz","bankenunion","risiken","commerzbank","ezb","verbraucher","wirecard","banken","hauptversammlungen"
"5","bundestag","antrag","bericht","antrag","stellungnahme","ausschuss","vorzulegen","bundesregierung","lebensmittelrechts","ausschüssen","bundestag","vorlage","gerichtshofes","rutschke","haftpflichtversicherung","sachverständigenkommission","zahlenmaterial","möchte","hannover","missionare","stadt","frachthilfe","frachthilfe","handwerk","zonenrandgebiet","mainz","becher","fremdenverkehrswirtschaft","tierschutzgesetzes","arbeitsschutz","nölling","fremdenverkehrs","wesentliches","privatisierung","verwertungsgesellschaften","einordnen","bekundung","herr","damals","staatsminister","staatsminister","sprache","contergangeschädigten","meinike","herr","preisvorschriften","reise","films","medien","programme","sendungen","rundfunk","neuen","presse","esa","zusammenschluss","cbfunk","fernmeldewesen","postminister","postminister","rawe","fernmeldewesen","poststellen","rawe","feiertagen","rawe","fernmeldewesen","fernmeldewesen","bankenmacht","telekommunikation","rechnungsprüfungsausschuss","rückgabe","telekom","alteigentümer","chemnitz","bischofferode","privatisierung","schily","post","informationsgesellschaft","postfilialen","laufs","unternehmen","bury","kunden","post","verbraucher","post","ag","markt","bombardier","aufträge","wettbewerb","uhr","uwg","anleger","kunden","zeitungen","dienstleistungsrichtlinie","verbraucher","markt","markt","markt","bank","kfw","landesbanken","finanztransaktionsteuer","finanzmärkte","krise","finanztransaktionsteuer","bank","bank","aufsicht","finanzmärkte","ratingagenturen","verbraucher","kunden","schick","bafin","kunden","kredite","finanzkrise","verbraucher","bargeld","urteil","unternehmen","anleger","ezb"
"6","frage","behandlung","behandlung","vorlage","parlament","ausschusses","erpvermögen","rechtsausschusses","lebensmittelrecht","bundestag","gesetzentwurf","beratungen","wandzeitung","standpunkt","zahlenmaterial","material","begünstigt","ausweisung","niedersachsen","eingaben","industrieansiedlung","betriebsansiedlungen","stein","ausdrücke","hauptzollamt","becher","berlinhilfegesetz","tourismus","zentrale","ferien","spreti","ausländern","memorandums","parteitag","beruf","produktivvermögen","helmstedt","echtheit","leben","schwarzarbeit","wust","lernen","meere","getragene","zonenrandförderung","materialsammlung","filmförderung","medien","genscher","rundfunk","schwarzschilling","medienpolitischen","bericht","neuen","deutschamerikanischen","wirtschaftsminister","paterna","medienpolitik","fernmeldewesen","schwarzschilling","pfeffermann","rawe","fernmeldewesen","paterna","produktions","sauter","börnsen","wettbewerb","börnsen","unternehmen","salzgitter","neuen","post","sanierung","sanierung","kali","telekom","thiele","ag","privatisierung","unternehmen","unternehmen","inhalte","ag","unternehmen","bury","liberalisierung","bank","beschäftigten","rabattgesetz","markt","markt","verbraucher","wettbewerb","markt","verbraucher","regulierungsbehörde","kartellamt","regulierung","erpsondervermögen","regulierung","entflechtung","verbraucher","landesbanken","hypo","kredite","bank","hre","bankenabgabe","regulierung","basel","aufsicht","steuerzahler","aufsicht","aufsicht","ezb","konto","aufsicht","kunden","bafin","risiken","ezb","fusion","banken","wirecard","verbraucherinnen","insolvenz","griechenland"
"7","fraktion","frage","antrag","bericht","fraktion","erklärung","parlament","hauses","legislaturperiode","ausschuss","verzögerung","ausschusses","neuregelung","ressorts","gesetzgeberischen","petitionen","beirat","material","ostfriesland","gerät","bedrohten","bundesausbaugebieten","förderungsprogramms","hochsprache","bamberg","bayern","visum","zentrale","ausland","fremdenverkehrs","produktivkapital","probst","sparförderung","produktiven","steuerberatern","verhaltensregeln","abfertigung","delden","arbeit","fremdsprache","engländer","dienstkleidung","reisenden","conradi","kollege","erhielt","herr","widerspruchslösung","satelliten","neuen","luxemburg","anstalten","fernsehen","post","raumfahrtindustrie","entscheidung","netze","kommunikationstechniken","breitbandverkabelung","breitbandverkabelung","fernmeldewesen","schwarzschilling","werbung","schwarzschilling","paterna","jugendschutz","bundesrechnungshof","unternehmen","grossbanken","ag","telekom","eigentümer","hennigsdorf","rückgabe","betriebe","sanierung","postreform","untersuchungsausschuss","treuhandanstalt","ag","wettbewerb","bury","kunden","postgesetz","postgewerkschaft","unternehmerische","wettbewerb","unternehmen","öffnungszeiten","ag","ammendorf","tariftreuegesetz","samstag","finanzplatz","kunden","regulierung","verbraucher","schauerte","herkunftslandprinzip","wettbewerb","bundeskartellamt","kfw","preise","krise","estate","ratingagenturen","ratingagenturen","regulierung","schick","markt","bafin","steinbrück","finanzmärkte","fonds","schick","bafin","girokonto","risiken","produkte","kredite","handwerker","verbraucherinnen","verbraucherinnen","sparer","bundesbank","schuldner","branche","aktionäre"
"8","regierung","entschliessung","frage","plenum","vorlage","vorlage","bundestagsfraktion","vorlagen","bundesregierung","gesetzentwurf","bundesregierung","ausschuss","fürwahr","anstalt","untersuchung","einsetzung","kommission","geldmittel","wahlkreiseinteilung","vorlegt","wahlkreis","regionalen","übungen","textilindustrie","frachthilfe","ausdrücke","belegt","schwabe","bundesausbaugebiet","unfallverhütungsbericht","beteiligungslohn","billiger","vorbehalten","altreifen","zusammenführung","staatssekretäre","herrschte","pressekonferenz","bundespräsidenten","italienischen","geographisch","kündigung","hotel","erhöhung","geirrt","vertragen","filmtheater","filmwirtschaft","bundesminister","pilotprojekte","öffentlichrechtlichen","neuen","antrag","hörfunk","raumfahrtforschung","verlage","bundespostminister","weirich","eurocontrol","kabel","postminister","rundfunk","sonn","privaten","deutschen","satelliten","markt","postreform","privatisierung","wettbewerb","bundesrechnungshofs","investitionen","bundespost","investitionen","ag","ag","postunternehmen","telekom","wettbewerb","bvs","bury","telekom","bury","kunden","agenturen","kunden","öffnungszeiten","philipp","ladenschlussgesetz","hennigsdorf","liberalisierung","mitarbeiterbeteiligung","monopolkommission","markt","krogmann","kunden","post","post","post","ii","unternehmen","unternehmen","anleger","unternehmen","bafin","bankenaufsicht","hedgefonds","bankenabgabe","gläubiger","zentralbank","finanzaufsicht","bankenaufsicht","ezb","kapitalmarkt","dispozinsen","bank","steuerzahler","kleinanleger","reisebüros","verbraucherpolitik","ezb","bank","targetsalden","verbraucherschutz","gutschein","gläubiger","unternehmen","verbraucherschutz"
"9","beschluss","plenum","fraktion","stellungnahme","beratungen","stellungnahme","bericht","ausschüssen","lebensmittelüberwachung","damaligen","zugeleitet","kaufpreis","bilder","einsetzung","entscheidend","regierungserklärung","bericht","ehe","wahlkreiskommission","hannover","hilfen","bewertungsbeirat","zonenrandgebiet","zollgesetzes","schlager","porzellanindustrie","bereichen","ausland","kronach","unfallgeschehen","botschafters","zentrale","ja","beteiligung","künstlers","beteiligung","vorschreiben","aktiengesetzes","buchenwald","schüler","länge","umgehung","fremdenverkehrswirtschaft","erhielt","problem","kollege","raumordnungspolitik","einwilligungslösung","fernsehen","rundfunkanstalten","passagen","bundeszentrale","verkabelung","kabelfernsehen","tvsat","aktuelle","medienpolitik","technische","schwarzschilling","satelliten","verkabelung","spranger","öffentlichrechtlichen","fernsehen","herr","videokassetten","postreform","deutschen","rechnungshof","telekom","stiftung","bundesländern","rückgabe","entschädigung","kommunen","fusion","kommunen","ag","treuhand","wettbewerb","telekommunikationsgesetz","paul","netz","transparenz","bury","gmünd","kontrag","fusion","unternehmens","verbraucher","exklusivlizenz","staffelt","ag","kunden","regulierungsbehörde","heil","banken","regulierung","privatisierung","telekom","sparkassen","anleger","anbieter","bundesnetzagentur","real","wettbewerb","schick","markt","fonds","finanzkrise","finanztransaktionsteuer","steuerzahler","sparkassen","regulierung","haftung","steuerzahler","basiskonto","anleger","schick","instrumente","bank","krise","euro","zinsen","reisebüros","bank","wirtschaftsprüfer","virtuelle"
"10","hause","sitzung","hauses","worden","gesetzentwürfe","bundestagsfraktion","unterausschuss","bundestagsfraktion","parlament","organ","vorlage","wochenschauen","hauptentschädigung","abwicklung","bundesanstalt","herren","bundesregierung","büro","stadt","behauptet","bord","zonenrandgebietes","jugoslawischen","zwölf","hauptzollamtes","staatssekretär","bislang","fremdenverkehrsgewerbe","glüsing","lampersbach","entführern","höchstens","erlaubt","vermögensverteilung","finanzausschuss","offergeld","stein","ausüben","direktoriums","moersch","grenzmarkierung","bilder","tourismuspolitik","bereichs","vertrag","bewertungen","filmabgabe","medienpolitik","schwarzschilling","medienpolitischen","rundfunk","informations","mitarbeiter","rundfunk","austausch","bundeswirtschaftsminister","schwarzschilling","glasfaser","glasfaser","zeittakt","medienpolitik","öffentlichrechtlichen","schwarzschilling","öffentlichrechtlichen","bedürfe","paterna","dienste","depfa","unternehmen","privatisierung","unternehmen","betriebe","neuen","eigentum","neuen","neuen","postbank","sanierung","neuen","treuhandanstalt","kiper","filialen","informations","börse","filialkonzept","wolf","unternehmen","regulierungsbehörde","uhr","kunden","kartellamt","telekom","öffnungszeiten","anbieter","anbieter","markt","regulierung","liberalisierung","markt","kunden","telekom","post","ag","verbraucher","marktwirtschaft","bafin","kredite","schick","finanzkrise","märkte","spanien","hochfrequenzhandel","krise","bank","ezb","risiken","sparkassen","verbraucherinnen","produkt","markt","verbraucherinnen","bundesbank","steuerzahler","verbraucher","verbraucherinnen","zinsen","haftung","zinsen"
