"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","bitte","handzeichen","abstimmung","gegenprobe","umdruck","bitte","umdruck","gegenprobe","umdruck","handzeichen","gegenprobe","umdruck","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","antrag","umdruck","antrag","gegenprobe","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","wünscht","wünscht","handzeichen","wünscht","wer","wünscht","wünscht","wünscht","wünscht","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","wer","stimmt","stimmt","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","stimmt","stimmen","stimmen","stimmen","stimmen","beschlussempfehlung","stimmen","stimmt","stimmt","stimmt","beschlussempfehlung","enthaltungen","beschlussempfehlung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","enthaltungen","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","wer","drucksache","beschlussempfehlung","drucksache","drucksache","beschlussempfehlung","wer","beratung","six","pd","werften","batterien","recycling","halbherzig"
"2","gegenprobe","gegenprobe","umdruck","gegenprobe","gegenprobe","umdruck","bitte","handzeichen","gegenprobe","bitte","handzeichen","bitte","handzeichen","gegenprobe","umdruck","gegenprobe","enthaltungen","gegenprobe","antrag","antrag","antrag","änderungsantrag","gegenprobe","antrag","antrag","änderungsantrag","änderungsantrag","umdruck","antrag","gegenprobe","umdruck","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","gegenprobe","wünscht","antrag","zuzustimmen","wünscht","wünscht","enthaltungen","wünscht","wünscht","wünscht","wünscht","enthaltungen","zuzustimmen","gegenprobe","wünscht","zuzustimmen","wünscht","handzeichen","zuzustimmen","zuzustimmen","handzeichen","wünscht","wünscht","wünscht","wünscht","wünscht","wer","wer","abstimmung","wer","wer","stimmt","wer","wer","stimmt","stimmt","wer","beschlussempfehlung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","enthaltungen","stimmen","enthaltungen","gegenprobe","beschlussempfehlung","enthaltungen","stimmen","stimmt","enthaltungen","beschlussempfehlung","enthaltungen","stimmt","stimmen","stimmt","drucksache","enthaltungen","stimmt","stimmt","stimmt","stimmt","enthaltungen","stimmt","stimmt","enthaltungen","stimmt","stimmt","stimmt","drucksache","wer","drucksache","drucksache","stimmt","stimmt","stimmt","drucksache","stimmt","drucksache","wer","drucksache","beschlussempfehlung","beschlussempfehlung","drucksache","gesetzentwurf","gesetzentwurf","billy","beschlussempfehlung","werft","anwälte","elektro","versorgungsengpässe"
"3","antrag","enthaltungen","ziffer","umdruck","handzeichen","änderungsantrag","handzeichen","gegenprobe","bitte","umdruck","gegenprobe","gegenprobe","umdruck","antrag","handzeichen","antrag","änderungsantrag","änderungsantrag","ziffer","gegenprobe","änderungsantrag","gegenprobe","änderungsantrag","änderungsantrag","änderungsantrag","gegenprobe","antrag","gegenprobe","umdruck","bitte","gegenprobe","gegenprobe","gegenprobe","umdruck","umdruck","herren","zuzustimmen","zuzustimmen","zuzustimmen","wünscht","zuzustimmen","zuzustimmen","wünscht","antrag","zuzustimmen","handzeichen","enthaltungen","wünscht","enthaltungen","enthaltungen","zuzustimmen","handzeichen","handzeichen","zuzustimmen","handzeichen","wer","zuzustimmen","zuzustimmen","handzeichen","handzeichen","handzeichen","handzeichen","stimmt","handzeichen","wer","stimmt","gegenprobe","wer","stimmt","stimmt","drucksache","enthaltungen","angenommen","wer","wer","wer","wer","wer","wer","enthaltungen","gegenprobe","beschlussempfehlung","enthaltungen","drucksache","drucksache","enthaltungen","drucksache","enthaltungen","wer","wer","beschlussempfehlung","drucksache","stimmen","stimmt","enthaltungen","enthaltungen","drucksache","enthaltungen","drucksache","stimmen","enthaltungen","stimmt","drucksache","drucksache","wer","stimmt","drucksache","enthaltungen","stimmt","drucksache","drucksache","drucksache","stimmt","wer","stimmt","beschlussempfehlung","wer","wer","wer","wer","fraktion","dagegen","peenewerft","besstmg","schiffbauindustrie","pfand","entsorgung","nächsten"
"4","hand","abstimmung","gegenprobe","bitte","wer","handzeichen","gegenprobe","enthaltungen","handzeichen","enthaltungen","bitte","umdruck","bitte","handzeichen","antrag","änderungsantrag","umdruck","antrag","gegenprobe","handzeichen","gegenprobe","ziffer","antrag","wer","wer","umdruck","gegenprobe","änderungsantrag","handzeichen","umdruck","bitte","bitte","handzeichen","wünscht","zuzustimmen","abstimmung","handzeichen","antrag","wünscht","antrag","enthaltungen","enthaltungen","zuzustimmen","zuzustimmen","beratung","enthaltungen","zuzustimmen","handzeichen","handzeichen","zuzustimmen","enthaltungen","wer","zuzustimmen","wer","wer","handzeichen","wer","handzeichen","zuzustimmen","zuzustimmen","zuzustimmen","wer","wünscht","drucksache","drucksache","abstimmung","stimmt","abstimmung","drucksache","drucksache","wer","drucksache","enthaltungen","angenommen","enthaltungen","angenommen","angenommen","drucksache","änderungsantrag","gegenprobe","stimmt","änderungsantrag","stimmt","beschlussempfehlung","enthaltungen","drucksache","stimmen","wer","stimmen","enthaltungen","stimmt","enthaltungen","enthaltungen","angenommen","drucksache","stimmen","stimmen","drucksache","stimmt","drucksache","drucksache","drucksache","enthaltungen","enthaltungen","drucksache","enthaltungen","beschlussempfehlung","stimmt","enthaltungen","wer","wer","wer","wer","beschlussempfehlung","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","stimmt","dagegen","wer","venezuela","antrag","pfingsten","sammelstellen","geräte","auftragsvergabe"
"5","erheben","umdruck","antrag","ziffer","umdruck","ziffer","ziffer","umdruck","enthaltungen","handzeichen","antrag","ziffer","ziffer","ziffer","wer","enthaltungen","ziffer","handzeichen","änderungsantrag","bitte","handzeichen","handzeichen","umdruck","handzeichen","handzeichen","enthaltungen","handzeichen","handzeichen","enthaltungen","wer","änderungsantrag","handzeichen","änderungsantrag","änderungsantrag","wünscht","damen","wünscht","handzeichen","bitte","enthaltungen","handzeichen","handzeichen","handzeichen","handzeichen","enthaltungen","zuzustimmen","handzeichen","zuzustimmen","gegenprobe","drucksache","drucksache","enthaltungen","angenommen","angenommen","enthaltungen","enthaltungen","enthaltungen","bitte","wer","angenommen","wer","zuzustimmen","handzeichen","wünscht","handzeichen","drucksache","angenommen","handzeichen","beschlussempfehlung","änderungsantrag","beschlussempfehlung","angenommen","beschlussempfehlung","drucksache","angenommen","drucksache","gesetzentwurf","gesetzentwurf","stimmen","beschlussempfehlung","beschlussempfehlung","drucksache","gegenprobe","stimmt","angenommen","wer","wer","stimmen","drucksache","drucksache","drucksache","gesetzentwurf","wer","drucksache","wer","drucksache","enthaltungen","stimmen","stimmen","beschlussempfehlung","stimmen","gegenstimmen","wer","wer","enthaltungen","wer","enthaltungen","wer","wer","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmen","stimmen","stimmen","stimmen","stimmen","beratung","beratung","stimmen","enthält","werft","wahlprüfung","weitergehen","afd","elektrogeräte","härtere"
"6","angenommen","angenommen","mehrheit","abstimmung","bitte","wer","wer","wer","abstimmung","ziffer","wer","antrag","antrag","bitte","ziffer","handzeichen","antrag","wer","enthaltungen","änderungsantrag","bitte","wer","handzeichen","gegenprobe","gegenprobe","wer","wer","enthaltungen","wer","enthaltungen","einzelplan","änderungsantrag","bitte","zuzustimmen","änderungsantrag","bitte","enthaltungen","bitte","enthaltungen","bitte","bitte","bitte","bitte","bitte","handzeichen","wer","drucksache","rufe","wer","handzeichen","gegenprobe","drucksache","nr","enthaltungen","rufe","beschlussempfehlung","gegenprobe","abstimmung","gegenprobe","wer","angenommen","angenommen","änderungsantrag","stimmt","bitte","gegenprobe","abstimmung","drucksache","abstimmung","angenommen","angenommen","stimmen","drucksache","enthaltungen","abstimmung","stimmenthaltungen","enthaltungen","angenommen","abstimmung","änderungsantrag","angenommen","enthaltungen","drucksache","gegenprobe","gegenprobe","angenommen","beschlussempfehlung","drucksache","beschlussempfehlung","stimmen","wer","wer","änderungsantrag","stimmen","stimmen","angenommen","wer","wer","angenommen","angenommen","wer","wer","stimmen","gegenstimmen","stimmen","fraktion","stimmen","angenommen","angenommen","angenommen","angenommen","angenommen","empfiehlt","dagegen","fraktion","fraktion","fraktion","fraktion","angenommen","dagegen","stimmkarte","fraktion","freilassung","linksgrün","überprüft","bürger","rückgabe","schleichenden"
"7","nr","antrag","abstimmung","wer","enthaltungen","bitte","änderungsantrag","ziffer","antrag","antrag","ziffer","wünscht","wer","enthaltungen","bitte","wer","wer","enthaltungen","wer","zuzustimmen","enthaltungen","bitte","angenommen","enthaltungen","bitte","zuzustimmen","enthaltungen","ziffer","änderungsantrag","handzeichen","abstimmung","enthaltungen","enthaltungen","handzeichen","bitte","wort","wer","wer","handzeichen","handzeichen","antrag","antrag","wer","drucksache","wer","drucksache","berichterstatter","bitte","angenommen","wer","abstimmung","angenommen","rufe","rufe","angenommen","gegenprobe","rufe","gegenprobe","angenommen","gegenprobe","bitte","bitte","zuzustimmen","zuzustimmen","gegenprobe","handzeichen","drucksache","angenommen","angenommen","handzeichen","gegenprobe","dagegen","gesetzentwurf","gesetzentwurf","gegenprobe","enthaltungen","stimmenthaltungen","abstimmung","drucksache","drucksache","drucksache","stimmt","angenommen","änderungsantrag","stimmt","abstimmung","abstimmung","angenommen","angenommen","angenommen","angenommen","stimmen","abstimmung","wer","angenommen","wer","gesetzentwurf","angenommen","wer","gesetzentwurf","angenommen","angenommen","gegenstimmen","angenommen","angenommen","angenommen","dagegen","fraktion","dagegen","stimmen","dagegen","stimmen","fraktion","fraktion","angenommen","angenommen","angenommen","beratung","ausschuss","angenommen","linke","angenommen","botschaft","mitgliedschaft","recht","sammelquote","dualen","vertrauensbruch"
"8","ziffer","handzeichen","enthaltungen","änderungsantrag","zuzustimmen","enthaltungen","enthaltungen","antrag","wer","wünscht","wünscht","zuzustimmen","enthaltungen","änderungsantrag","enthaltungen","zustimmen","angenommen","bitte","handzeichen","wer","zuzustimmen","antrag","bitte","bitte","ziffer","handzeichen","bitte","wer","bitte","änderungsantrag","handzeichen","einzelplan","zuzustimmen","wer","wer","gegenprobe","bitte","enthaltungen","wer","wer","wer","wer","antrag","wer","bitte","bitte","bitte","wer","drucksache","angenommen","wer","rufe","enthaltungen","gegenprobe","bitte","rufe","angenommen","wer","bitte","bitte","gegenprobe","ausschussfassung","drucksache","angenommen","stimmt","änderungsantrag","handzeichen","beschlussempfehlung","handzeichen","gegenprobe","änderungsantrag","abstimmung","änderungsantrag","stimmenthaltungen","drucksache","gesetzentwurf","drucksache","dagegen","angenommen","wer","wer","angenommen","wer","wer","empfiehlt","beschlussempfehlung","angenommen","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","angenommen","beschlussempfehlung","gesetzentwurf","gesetzentwurf","empfiehlt","angenommen","gesetzentwurf","gegenstimmen","wer","gesetzentwurf","stimmen","angenommen","stimmen","gegenstimmen","gesetzentwurf","angenommen","stimmen","fraktion","dagegen","fraktion","dagegen","angenommen","angenommen","dagegen","dagegen","enthält","enthält","dagegen","fraktion","bitte","stimmen","journalisten","ausschusses","presse","befürchtete","elektroschrott","abgeordnete"
"9","abstimmung","mehrheit","hand","antrag","wünscht","abstimmung","abstimmung","wünscht","angenommen","zuzustimmen","zuzustimmen","enthaltungen","änderungsantrag","wer","änderungsantrag","ziffer","handzeichen","ziffer","gebe","ziffer","wünscht","enthaltungen","zuzustimmen","abstimmung","siehe","wünscht","angenommen","bitte","ziffer","ziffer","enthaltungen","abstimmung","wer","stimmenthaltungen","abstimmung","zuzustimmen","änderungsantrag","angenommen","abstimmung","angenommen","drucksache","drucksache","angenommen","enthaltungen","wort","berichterstatter","rufe","drucksache","rufe","rufe","angenommen","bitte","stimmt","bitte","gegenprobe","drucksache","bitte","drucksache","gegenstimmen","beschlussempfehlung","änderungsantrag","stimmt","angenommen","gegenprobe","wünscht","angenommen","beschlussempfehlung","änderungsantrag","fraktion","fraktion","fraktion","beschlussempfehlung","dagegen","dagegen","gesetzentwurf","abstimmung","abstimmung","empfiehlt","gegenprobe","angenommen","abstimmung","wer","abstimmung","angenommen","wer","änderungsantrag","gesetzentwurf","dagegen","dagegen","empfiehlt","empfiehlt","empfiehlt","angenommen","empfiehlt","empfiehlt","gesetzentwurf","empfiehlt","empfiehlt","empfiehlt","gegenstimmen","gegenstimmen","empfiehlt","gesetzentwurf","empfiehlt","fraktion","gegenstimmen","fraktion","dagegen","empfiehlt","fraktion","abstimmung","fraktion","beratung","abstimmung","beratung","beratung","dagegen","dagegen","enthält","enthält","schriftführer","linke","wolgast","dagegen","einklagen","dolmetscher","altgeräte","ältesten"
"10","umdruck","zuzustimmen","zuzustimmen","enthaltungen","ziffer","antrag","antrag","abstimmung","zustimmen","wer","änderungsantrag","wer","angenommen","zuzustimmen","zuzustimmen","bitte","bitte","angenommen","angenommen","wünscht","angenommen","angenommen","wer","entschliessungsantrag","zuzustimmen","bitte","siehe","wort","angenommen","nr","wer","siehe","abstimmung","enthaltungen","enthaltungen","wer","wort","änderungsantrag","drucksache","drucksache","angenommen","änderungsantrag","rufe","stimmenthaltungen","berichterstatter","rufe","wer","angenommen","bitte","beratung","rufe","gegenprobe","gegenstimmen","drucksache","gegenstimmen","einstimmig","drucksache","angenommen","rufe","rufe","drucksache","dagegen","gegenprobe","beschlussempfehlung","zuzustimmen","wünscht","änderungsantrag","dagegen","gegenprobe","beschlussempfehlung","handzeichen","ausschussfassung","abstimmung","abstimmung","dagegen","dagegen","dagegen","enthaltungen","pds","pds","koalitionsfraktionen","handzeichen","pds","pds","gesetzentwurf","dagegen","änderungsantrag","pds","änderungsantrag","dagegen","abstimmung","abstimmung","gesetzentwurf","gegenstimmen","dagegen","gegenstimmen","ausschussfassung","gegenstimmen","gesetzentwurf","dagegen","empfiehlt","gesetzentwurf","empfiehlt","fraktion","gesetzentwurf","empfiehlt","tagesordnungspunkt","gegenstimmen","stimmen","empfiehlt","empfiehlt","empfiehlt","dagegen","tagesordnungspunkt","enthält","enthält","beratung","angenommen","fraktion","gesetzentwurf","schriftführerinnen","ausschuss","caracas","billy","absurdität","antrag","sammelquote","nebenkostenabrechnung"
