"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","einkommen","dm","einkommen","einkommen","dm","dm","dm","einkommen","splitting","kaffee","steuer","umsatzsteuer","umsatzsteuer","umsatzsteuer","kaffee","einkommen","mehrwertsteuer","einkommen","mehrwertsteuer","einkommen","eppler","finanzen","finanzen","umsatzsteuer","mehrwertsteuer","mehrwertsteuer","besteuerung","finanzen","reischl","reischl","reischl","besteuerung","steuerreform","steuerreform","offergeld","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","verlustrücktrag","körperschaftsteuerreform","mehrwertsteuer","erhöhung","erhöhung","lohnsummensteuer","steuern","dm","dm","mineralölsteuer","mineralölsteuer","böhme","mehrwertsteuer","erhöhung","einkommen","posser","steuerlichen","gemeinden","gemeinden","einkommen","gemeinden","voss","einkommen","steuerreform","steuerreform","steuerreform","vereine","quellensteuer","einkommen","kindergeld","vermögensteuer","matthäusmaier","besteuerung","steuern","einkommen","einkommen","steuern","dm","dm","vermögensteuer","vermögensteuer","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","ökosteuer","ökosteuer","steuerreform","steuerreform","steuern","eichel","steuerreform","merz","eichel","bundesbank","eichel","mehrwertsteuererhöhung","mehrwertsteuererhöhung","unternehmensteuerreform","erbschaftsteuer","steuern","steuern","steuerhinterziehung","steuern","steuern","selbstanzeige","schweiz","schweiz","schweiz","steuerhinterziehung","selbstanzeige","steuern","steuern","erbschaftsteuer","erbschaftsteuer","unternehmen","vermögensteuer","progression","steuern","steuern","steuern","unternehmen","scholz","steuern","inflation"
"2","einkommen","körperschaftsteuer","einkommen","zündwarensteuer","dm","umsatzsteuer","umsatzsteuer","umsatzsteuer","steuern","dm","dm","besteuerung","steuer","steuern","seuffert","kaffeesteuer","gewerbesteuer","umsatzsteuer","vermögensteuer","umsatzsteuer","dm","einkommen","dahlgrün","steuer","steuer","ergänzungsabgabe","steuer","finanzen","gewerbesteuer","finanzen","finanzen","finanzen","steuerliche","steuererhöhungen","besteuerung","abstammung","grundsteuer","dm","dm","steuer","dm","abgabenordnung","körperschaftsteuer","mehrwertsteuererhöhung","dm","steuerlichen","abschaffung","abschaffung","schäuble","steuern","erhöhung","erhöhung","kilometerpauschale","steuerlichen","steuern","huonker","steuerlichen","steuerpolitik","sport","kommunalen","gemeinden","sport","senkung","steuern","spöri","steuerpolitik","steuerpolitik","quellensteuer","matthäusmaier","arbeitnehmer","matthäusmaier","steuern","mehrwertsteuer","einkommen","matthäusmaier","matthäusmaier","steuern","einkommen","kindergeld","gewerbekapitalsteuer","steuern","gewerbekapitalsteuer","gewerbekapitalsteuer","steuern","steuern","lafontaine","steuerpolitik","ökosteuer","steuerreform","steuerreform","ökosteuer","ökosteuer","prozent","steuerreform","eichel","eichel","merz","stabilitäts","gegenfinanzierung","mehrwertsteuer","steuern","steuern","steinbrück","prozent","erbschaftsteuer","steuern","steuersenkungen","steuer","steuern","steuern","abkommen","steuern","schweiz","steuerhinterziehung","abgeltungsteuer","vermögen","steuern","panama","binding","steuern","steuern","soli","euro","soli","steuern","euro","besteuerung","euro"
"3","steuern","dm","steuerreform","steuer","mittleren","gewerbesteuer","einkommen","verbrauchsteuern","seuffert","einkommen","einkommen","dm","seuffert","seuffert","einkommen","bundesfinanzminister","beyer","steuer","seuffert","steuer","unternehmen","finanzausschuss","kraftfahrzeugsteuer","dahlgrün","steuersatz","entlastung","umsatzsteuer","steuer","steuer","steuerreform","arbeitnehmer","steuerreform","reischl","häfele","doppelbesteuerungsabkommen","erbschaftsteuer","einheitswerte","vermögensteuer","einkommen","offergeld","offergeld","steuern","abgabenordnung","erhöhung","tarifreform","steuerliche","gewerbekapitalsteuer","bagatellsteuern","besteuerung","besteuerung","steuern","kilometerpauschale","erhöhung","erhöhung","steuererhöhungen","steuern","einkommen","steuern","gewerbesteuer","kommunen","olympischen","gewerbesteuer","spöri","steuerpolitik","entlastung","spöri","steuern","steuerreform","waigel","steuerreform","steuern","steuererhöhungen","gewerbekapitalsteuer","matthäusmaier","einkommen","steuern","matthäusmaier","dm","einkommen","matthäusmaier","dm","steuern","steuern","senkung","prozent","entlastung","dm","prozent","pfennig","prozent","prozent","prozent","eichel","prozent","vorziehen","steuern","eigenheimzulage","wachstumspakt","senkung","unternehmensteuerreform","steinbrück","prozent","steuern","erbschaftsteuer","pendlerpauschale","euro","euro","euro","euro","progression","einkommen","vermögensteuer","steuern","steuern","schäuble","progression","abgeltungsteuer","steuern","steuern","schäuble","soli","kindergeld","unternehmen","einkommen","euro","unternehmen","unternehmen","entlastung"
"4","steuer","steuerreform","steuern","dm","mittelstand","senkung","steuerlichen","freibetrag","splitting","körperschaftsteuer","krammig","steuerfrei","atzenroth","gewerbesteuer","finanzausschuss","steuer","umsatzsteuer","besteuerung","dm","system","besteuerung","dm","umsatzsteuer","grund","mehrwertsteuer","altvorräte","funcke","steuern","funcke","einkommensteuer","finanzausschuss","grundsteuer","finanzen","steuererhöhung","schweiz","rechtszustand","vermögensteuer","einkommen","finanzausschuss","kindergeld","kindergeld","steuerreform","finanzausschuss","steuern","einkommen","finanzausschuss","gewerbesteuer","steuerlichen","steuerlichen","steuerpaket","häfele","einkommen","steuern","gewerbesteuer","steuerlichen","erhöhung","steuern","steuerliche","kommunalen","gewerbesteuer","sport","kommunen","besteuerung","spöri","einkommen","steuern","dm","steuern","dm","matthäusmaier","dm","matthäusmaier","mehrwertsteuererhöhung","poss","unternehmen","standortsicherungsgesetz","dm","steuer","gewerbekapitalsteuer","waigel","solidaritätszuschlag","abschaffung","waigel","waigel","einkommen","familien","steuern","unternehmen","dm","dm","steuern","steuern","vermögensteuer","steuern","steuern","prozent","wachstum","pakt","prozent","steinbrück","unternehmensteuerreform","mehrwertsteuererhöhung","prozent","steuerhinterziehung","euro","erbschaftsteuer","steuerhinterziehung","milliarden","einkommen","euro","progression","abkommen","abkommen","strafbefreienden","soli","steuer","schäuble","besteuerung","lothar","steuerhinterziehung","vermögensteuer","euro","steuer","euro","mehrwertsteuer","steuern","vermögensteuer","steuern"
"5","bundesfinanzminister","steuern","steuer","steuern","steuern","notopfer","steuer","dresbach","dm","steuerpflichtigen","einkommensteuer","seuffert","steuern","steuer","vermögensteuer","finanzreform","steuer","dm","steuer","seuffert","steueränderungsgesetz","steuern","belastung","finanzausschuss","besteuerung","umsatzsteuer","besteuerung","mehrwertsteuer","unternehmen","mehrwertsteuer","konjunkturzuschlag","steuer","steuer","finanzen","steuern","wahlprogramm","erbschaftsteuer","einheitswerte","reform","finanzausschuss","steuern","finanzausschuss","steuerreform","häfele","weihnachtsfreibetrages","steuern","erhöhung","dm","vereine","finanzausschuss","sparkassen","dm","mineralölsteuer","böhme","neubewertung","ergänzungsabgabe","grunderwerbsteuer","posser","steuerlichen","städte","spiele","kommunalen","huonker","steuerreform","steuerpolitik","einkommen","apel","stoltenberg","steuerreform","steuern","einkommen","mehrwertsteuer","steueränderungsgesetz","mehrwertsteuer","waigel","kindergeld","steuerlichen","waigel","waigel","steuer","steuer","steuer","dm","steuer","dm","steuern","eichel","dm","prozent","eichel","eichel","eichel","steuererhöhungen","vermögensteuer","merz","steuerrecht","prozent","stabilitätspakt","schulden","steuern","mehrwertsteuer","besteuerung","unternehmensteuerreform","euro","steinbrück","steuersenkungen","einkommen","gewerbesteuer","vermögensteuer","steuerpolitik","besteuerung","prozent","vermögensteuer","strafbefreiende","luxemburg","unternehmen","besteuerung","schäuble","erbschaftsteuer","vermögen","irland","entlastung","kindergeld","prozent","prozent","jahressteuergesetz","prozent","einkommen"
"6","umsatzsteuer","umsatzsteuer","besteuerung","steuerreform","umsatzsteuer","notopfers","steuern","ehegatten","besteuerung","steuern","sparen","einkommen","dm","kaffee","mittelstand","seuffert","dm","steuersatz","steuern","steuersatz","proportionalzone","dahlgrün","einkommen","kuponsteuer","entlastung","funcke","finanzen","einkommensteuer","steuerliche","aufwendungen","einkommensteuer","lohnsteuer","einkommensteuergesetzes","besteuerung","steuerliche","staatsangehörigkeit","finanzausschuss","finanzausschuss","einkommensteuer","dm","häfele","häfele","besteuerung","entlastungen","grundfreibetrages","böhme","dm","steuervereinfachung","steuern","arbeitnehmer","böhme","arbeitnehmer","arbeitnehmer","steuern","einkommen","gewerbesteuer","zwangsanleihe","gewerbesteuer","unternehmensteuern","eigenkapital","entlastung","spöri","steuern","gemeinden","sport","quellensteuer","stoltenberg","gewerbesteuer","steuerpolitik","dm","waigel","waigel","vermögensteuer","steuern","standortsicherungsgesetz","waigel","existenzminimum","kindergeld","matthäusmaier","kindergeld","gewerbekapitalsteuer","dm","senkung","schäuble","milliarden","senkung","senkung","eichel","eichel","steuern","dm","mittelstand","ökosteuer","steuererhöhungen","milliarden","steuerreform","steuern","prozent","steuern","steuerrecht","steuererhöhungen","reform","konjunktur","einkommen","steuersenkungen","bürger","milliarden","spitzensteuersatz","steuerhinterziehung","milliarden","euro","vermögen","vermögensabgabe","schäuble","besteuerung","euro","vermögen","vermögen","verluste","kapitalertragsteuer","einkommen","progression","prozent","solidaritätszuschlag","liquidität","besteuerung","euro","entlasten"
"7","finanzminister","steuer","umsatzsteuer","besteuerung","kleinen","steuersenkung","steuerliche","seuffert","steuer","einkommensteuer","steuern","arbeitnehmern","bundesfinanzminister","einkommensteuer","gewerbesteuer","senkung","einkommensteuer","unternehmen","einkommensteuer","unternehmen","steuer","gdl","steuer","dpf","finanzausschuss","finanzen","gewerbesteuer","kurlbaumbeyer","buchführung","steuerliche","vorauszahlung","umsatzsteuer","rückwirkung","einkommensteuer","steuerlichen","teilweise","erhöhung","häfele","tarif","steuern","einkommen","huber","steuerlichen","kreile","entlastung","steuer","steuer","besteuerung","finanzausschuss","kreile","matthäusmaier","steuer","steuerlichen","ergänzungsabgabe","kreile","mehrwertsteuer","steuerliche","kreile","einkommensteuer","selbstverwaltung","besteuerung","steuerlichen","spitzensteuersatzes","tarif","dm","entlastung","einkommen","matthäusmaier","einkommen","steuerpolitik","steuerliche","gewerbekapitalsteuer","steuerpolitik","spd","dm","dm","existenzminimums","matthäusmaier","existenzminimum","gemeinden","einkommen","waigel","steuersätze","lafontaine","vermögensteuer","milliarden","milliarden","kapitalgesellschaften","entfernungspauschale","mittelstand","mittelstand","euro","steuerreform","subventionen","prozent","besteuerung","steuerreform","eichel","körperschaftsteuer","wachstum","besteuerung","börsenumsatzsteuer","finanzpolitik","pendlerpauschale","steuer","steinbrück","entlastung","einkommen","steuersenkungen","abkommen","prozent","progression","steinbrück","steuergerechtigkeit","steuerhinterziehung","steuerhinterziehung","binding","finanzverwaltung","vermögen","cumex","solidaritätszuschlag","steuerzahler","zahlen","steuer","unternehmer","einkommen","vermögen","progression"
"8","einkommensteuer","einkommensteuer","hartmann","belastung","senkung","steuern","miessner","bücher","tarif","harm","prämie","steuerpflichtigen","einkommen","dresbach","beyer","finanzausschuss","steuern","steuern","besteuerung","steuern","steuersenkung","steuer","freibeträge","bundesministeriums","dm","steuer","steuern","leicht","finanzausschuss","besteuerung","mehrwertsteuer","besteuerung","steuerreform","finanzausschuss","lohn","würdigung","häfele","freibeträge","entlastung","steuerlichen","finanzen","dm","aktie","finanzausschuss","grundfreibetrag","dm","einkommen","kindergeld","einkommen","schäuble","besteuerung","subventionsabbaugesetz","umlegung","attentismus","grundstücke","steuerlichen","steuergeheimnis","gobrecht","kommunen","sparkassen","steuerlichen","städte","gemeinden","arbeitnehmer","steuern","stoltenberg","besteuerung","dm","besteuerung","kindergeld","kind","steuerpolitik","steuern","freibeträge","steuer","familien","besteuerung","steuerpolitik","familien","steuern","waigel","steuerreform","abschaffung","koalition","lafontaine","dm","einkommen","steuern","steuern","steuer","milliarden","steuerpolitik","euro","vorziehen","subventionsabbau","subventionen","milliarden","wachstum","steuersätze","beschäftigung","haushalte","steinbrück","mehrwertsteuer","csu","einkommen","milliarden","steuer","einkommensteuer","besteuerung","einkommen","steuern","besteuerung","euro","finanzminister","selbstanzeige","besteuert","steuerhinterziehung","steuererklärung","steuer","binding","kalte","einkommen","einkommen","entlastung","bürokratie","verlustrücktrag","doppelbesteuerung","unternehmen"
"9","mark","steuerliche","tarif","umsatzsteuer","einkommensteuer","einkommen","kleinen","steuern","körperschaftsteuer","besteuerung","beteiligung","steuerliche","kaffee","einkommen","dm","teesteuer","belastung","dahlgrün","abzugsfähigkeit","einkommen","dahlgrün","einheitswerte","freibetrag","harmonisierung","finanzen","frau","entlastung","unternehmen","leicht","steuerlichen","atü","einkommensteuer","steuerpflichtigen","wirtschaft","steuervorteile","ausführungen","besteuerung","steuern","häfele","einkommen","entlastung","offergeld","steuerliche","vermögensteuer","böhme","häfele","anhebung","steuerliche","steuerliche","erhöhung","schäuble","abbau","anhebung","einkommen","einkommensteuer","steuerliche","besteuerung","arbeitnehmer","büchner","steuerlichen","steuerentlastung","gattermann","einkommensteuer","steuerrecht","entlastet","apel","arbeitnehmer","finanzen","steuern","poss","bundesverfassungsgericht","ergänzungsabgabe","einkommen","dm","besteuerung","existenzminimum","einkommensteuer","lafontaine","existenzminimums","familien","abschaffung","repnik","einkommen","nettoentlastung","steuersätze","prozent","familien","gewerbesteuer","senkung","entlastung","steuer","merz","milliarden","subventionsabbau","aufschwung","euro","subventionsabbau","schulden","milliarden","milliarden","milliarden","steuerliche","bürger","wissing","milliarden","prozent","gewerbesteuer","einnahmen","progression","schweizer","abgeltungsteuer","einkommen","informationsaustausch","schweiz","informationsaustausch","lerchenfeld","automatischen","unternehmen","gewinne","gambke","unternehmen","cumex","besteuerung","entlasten","milliarden","prozent","scholz","kurzarbeitergeld"
"10","erhöhung","steuerlich","staatssekretär","körperschaftsteuer","betriebe","einkommensteuer","einkommensteuer","antrag","steuerpflichtigen","ausfall","vergünstigung","begünstigung","besteuerung","bundesfinanzminister","ausfall","steuern","mittelstand","finanzausschuss","tarif","besteuerung","steuern","schwarzarbeit","finanzämtern","zinsen","wein","erhöhung","frau","steuerlichen","steuern","steuer","steuer","dr","einheitswerte","steuer","gehaltskonten","finanzen","freibeträge","erbschaftsteuer","vorsorgeaufwendungen","finanzen","steuerlichen","steuer","reform","lohnsteuer","konjunkturabschlag","mehrwertsteuer","häfele","schäuble","häfele","steuer","anhebung","grunderwerbsteuer","dm","anhebung","steuerliche","steuer","wertpapiere","apel","zwangsanleihe","kommunale","ruhrgebiet","steuerliche","legislaturperiode","steuer","häfele","dm","steuer","kapitalertragsteuer","steuerliche","steuerlichen","existenzminimum","einkommen","waigel","mehrwertsteuererhöhung","senkung","ingrid","steuer","existenzminimum","entlastung","jahressteuergesetz","matthäusmaier","jahressteuergesetz","senken","senken","senken","steuer","kindergeld","entlastung","entlastung","inflationsrate","kapitalgesellschaften","milliarden","steuer","körperschaftsteuer","hans","milliarden","schulden","finanzpolitik","mehrwertsteuererhöhung","prozent","koalition","milliarden","einkommen","mehrwertsteuer","prozent","krise","prozent","prozent","abgeltungsteuer","kalte","milliarden","vermögensabgabe","steuerabkommen","staat","unternehmen","gewerbesteuer","euro","schneider","konzerne","steuer","euro","steuer","fdp","entlastet","umsatzsteuer","gewinne","gewinne","preise"
