"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ja","ja","ja","ja","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","herr","herr","sagen","herr","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","mal","mal","sagen"
"2","sagen","sagen","sagen","sagen","ja","ja","ja","ja","ja","ja","ganz","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","ganz","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","ganz","ganz","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","ja","gesagt","gesagt","ja","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","gesagt","gesagt","gesagt","gesagt","herr","herr","herr","herr","gesagt","herr","herr","herr","gesagt","herr","herr","herr","sagen","sagen","sagen","herr","sagen","sagen","sagen","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","sagen","herr","sagen","herr","herr","herr","gesagt","gesagt","gesagt","gesagt","gesagt","ja","mal","mal","mal","sagen","sagen","mal"
"3","dinge","dinge","ganz","ganz","dinge","ganz","ganz","ganz","dinge","gar","gesagt","ganz","ganz","ja","gar","ja","ganz","dinge","gesagt","ganz","gar","kollege","heute","ja","ganz","heute","ganz","gesagt","möchte","ganz","heute","heute","heute","heute","heute","heute","ganz","heute","herren","ja","herren","ja","ja","herr","ja","herr","ja","ja","ja","gesagt","ganz","ganz","gesagt","sage","tun","eigentlich","herren","ganz","schon","herr","herr","herr","heute","herr","herr","ja","ja","ja","ja","ja","herr","herr","herr","gesagt","herr","herr","herr","herr","gesagt","gesagt","gesagt","gesagt","herr","gesagt","gesagt","gesagt","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","ja","herr","herr","ja","mal","ja","ja","ja","ja","ja","ja"
"4","kollege","ganz","dinge","dinge","gar","dinge","gesagt","dinge","gar","gesagt","ja","dinge","dinge","dinge","ja","ganz","gar","ganz","möchte","ja","heute","gar","ganz","heute","ja","ja","ja","ja","gesagt","heute","ganz","ganz","ganz","gar","opposition","opposition","ja","ja","heute","heute","ja","heute","herr","ja","ganz","ja","herr","ganz","ganz","ganz","ja","ja","ganz","ganz","ganz","ja","ja","herr","herr","ganz","schon","eigentlich","herr","ganz","ja","sage","herr","eigentlich","sage","wirklich","wirklich","ja","ja","ja","ja","ja","ja","ja","ja","ganz","reden","tun","ganz","tun","reden","tun","ganz","tun","ja","müssen","hätten","wirklich","tun","eigentlich","hätten","hätten","tun","ganz","wirklich","tun","tun","tun","eigentlich","tun","eigentlich","sage","sage","frau","tun","kollege","kollege","kollege","kollege","ganz","ganz","ja","finde","herr","ja","ja","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt"
"5","herr","gar","gesagt","gesagt","gesagt","gesagt","dinge","gesagt","glaube","kollege","glaube","ja","gar","ganz","ganz","möchte","ja","müssen","kollege","dinge","ganz","ganz","ja","ganz","heute","ganz","heute","heute","gar","herren","ja","ja","glaube","opposition","reden","ganz","heute","herren","ganz","herren","damen","herr","eigentlich","opposition","herr","ganz","ganz","heute","heute","herr","reden","heute","reden","ja","müssen","gar","müssen","eigentlich","ja","heute","ganz","heute","ja","eigentlich","eigentlich","herr","eigentlich","herr","herr","eigentlich","ja","ganz","wirklich","ganz","ganz","sage","wirklich","ganz","tun","sage","ganz","ganz","tun","ganz","deswegen","ganz","reden","ja","ganz","ja","ja","ganz","reden","müssen","sage","heute","sage","reden","hätten","hätten","eigentlich","gar","tun","sage","sage","kollege","tun","tun","geht","ganz","ganz","ganz","frau","sage","finde","geht","ja","eigentlich","finde","wirklich","wirklich","schon","schon","thema","glaube","glaube","glaube","glaube"
"6","ganz","schon","gar","schon","schon","kollege","gar","kollege","gesagt","ganz","gar","kollege","ja","glaube","kollege","müssen","dinge","möchte","ja","möchte","möchte","heute","kollege","kollege","möchte","möchte","möchte","möchte","ja","ja","gar","herren","regierung","ja","ja","ja","opposition","opposition","ja","damen","heute","damen","heute","eigentlich","eigentlich","eigentlich","eigentlich","eigentlich","reden","heute","sage","reden","sage","opposition","heute","ganz","heute","heute","ganz","wirklich","heute","wirklich","schon","sage","heute","eigentlich","sage","sage","wirklich","ganz","ganz","wirklich","ganz","wirklich","sage","ganz","sage","sage","ganz","ja","tun","reden","sage","ja","tun","wirklich","tun","finde","hätten","darüber","wirklich","hätten","hätten","wirklich","wirklich","tun","hätten","geht","ganz","eigentlich","immer","müssen","geht","wirklich","immer","tun","eigentlich","kollege","kollege","sage","tun","tun","ganz","finde","eigentlich","ganz","wirklich","ganz","eigentlich","eigentlich","eigentlich","herr","thema","reden","schon","schon","finde","antrag"
"7","glaube","kollege","schon","gar","ganz","schon","glaube","glaube","ganz","glaube","dinge","schon","kollege","kollege","dinge","gar","möchte","glaube","heute","gar","kollege","herren","gar","damen","glaube","damen","gar","gar","heute","gar","herren","müssen","gar","ganz","ganz","mehr","gar","damen","damen","opposition","ganz","herren","kollege","heute","heute","opposition","reden","herr","herr","gar","gar","herren","mehr","natürlich","ja","immer","herr","sage","heute","reden","herren","schon","ganz","heute","sage","ganz","ganz","ganz","ganz","herr","sage","sage","sage","müssen","wirklich","müssen","ganz","tun","geht","reden","ja","sage","reden","reden","ja","ja","schon","müssen","reden","ganz","ganz","ja","bundeskanzler","hätten","tun","geht","bundeskanzler","hätten","sage","reden","sage","immer","gar","finde","tun","frau","frau","finde","ganz","geht","glaube","geht","geht","glaube","frau","wirklich","ganz","finde","schon","finde","glaube","eigentlich","eigentlich","schon","reden","eigentlich","schon","herr"
"8","gar","herr","kollege","vielleicht","vielleicht","gar","kollege","gar","kollege","dinge","kollege","glaube","glaube","müssen","möchte","dinge","heute","gar","glaube","müssen","ja","ja","möchte","müssen","kollege","müssen","damen","müssen","glaube","damen","damen","gar","reden","debatte","regierung","regierung","herren","ganz","immer","ganz","eigentlich","ganz","opposition","ganz","sage","heute","heute","reden","eigentlich","immer","herr","sage","opposition","gar","sage","wirklich","eigentlich","schon","damen","eigentlich","damen","ja","wirklich","ja","wissen","reden","tun","wirklich","eigentlich","sage","eigentlich","eigentlich","eigentlich","sage","eigentlich","wirklich","geht","wirklich","reden","wirklich","sage","wirklich","überhaupt","wirklich","sage","schon","ja","wirklich","tun","eigentlich","reden","müssen","sage","tun","heute","sage","ganz","tun","bundeskanzler","ganz","hätten","geht","reden","kollege","kollege","ganz","geht","sage","sage","finde","sage","schon","kollegen","tun","glaube","glaube","eigentlich","glaube","wirklich","ganz","warum","reden","herr","eigentlich","vielleicht","reden","reden","schon"
"9","gesagt","vielleicht","vielleicht","glaube","kollege","glaube","leute","weiss","immer","immer","immer","gar","immer","gar","einfach","einfach","einfach","ja","dinge","heute","weiss","möchte","debatte","dinge","müssen","herren","glaube","damen","vielleicht","möchte","immer","damen","ja","damen","herren","immer","immer","gar","eigentlich","immer","opposition","opposition","damen","damen","damen","kollege","gar","gar","immer","wirklich","eigentlich","herr","eigentlich","tun","eigentlich","reden","reden","natürlich","gar","sage","ja","ganz","damen","tun","hätten","heute","reden","reden","schon","tun","hätten","glaube","immer","gibt","mehr","kollege","tun","reden","sage","kollege","finde","müssen","wirklich","deswegen","ganz","reden","sage","reden","müssen","hätten","müssen","sage","schon","heute","müssen","darüber","müssen","wirklich","gemacht","geht","geht","eigentlich","sage","eigentlich","schon","finde","wirklich","eigentlich","eigentlich","eigentlich","geht","sage","glaube","geht","ja","immer","gibt","wirklich","ganz","tun","ganz","finde","ganz","vielleicht","kollege","thema","wirklich","eigentlich"
"10","schon","gesagt","weiss","kollege","glaube","vielleicht","vielleicht","tun","schon","tun","schon","heute","möchte","möchte","glaube","kollege","glaube","kollege","eigentlich","glaube","dinge","wissen","herren","herren","herren","debatte","müssen","glaube","debatte","debatte","möchte","glaube","müssen","herren","gar","gar","eigentlich","immer","opposition","eigentlich","sei","immer","herren","herren","herren","sage","sei","sei","gar","eigentlich","tun","wissen","herr","heute","immer","heute","wirklich","ja","tun","ja","wirklich","reden","hätten","reden","wirklich","immer","wirklich","heute","finde","müssen","reden","immer","finde","eigentlich","immer","reden","reden","kollege","wirklich","tun","überhaupt","immer","ja","gar","frage","müssen","immer","ganz","eigentlich","wirklich","tun","reden","heute","schon","bundeskanzler","reden","herrn","eigentlich","herrn","heute","wirklich","ja","schon","müssen","wirklich","schon","kollege","schon","frau","schon","eigentlich","eigentlich","ja","kollege","schon","finde","geht","gibt","gibt","warum","finde","ganz","glaube","glaube","eigentlich","ganz","ganz","debatte"
