"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","menschen","deutschen","menschen","menschen","menschen","menschen","orden","leben","freiheit","freiheit","volk","volk","zonengrenze","menschen","volk","berlin","gewerkschaften","gewerkschaften","demokratie","arbeitnehmer","arbeitnehmer","gewerkschaften","arbeitnehmer","geissler","gärten","fahnen","pick","stiftung","gawi","heroin","gewerkschaften","referendare","westalliierten","rundfunkgebühren","anfertigen","heimkehrer","ausbeutesatz","makler","einlagensicherung","kreditinstitute","höfeordnung","landesbank","kreditinstitute","altenheime","silberland","urheber","sinamos","künstler","künstler","künstler","künstler","entfernen","vorgeschriebenen","energieversorgungsunternehmen","saarbrücken","verkehrssicherheit","co","schreckenberger","absehbarer","herr","gmbh","einzelhandel","verbrauchers","kredit","heilpraktiker","gmbh","terminbörse","marktbeherrschung","einkaufskooperationen","konversion","öffentlichrechtlichen","zdf","film","bundesprüfstelle","bad","rundfunkanstalten","welle","ard","rundfunk","einzelhandel","rundfunk","medien","welle","film","naumann","naumann","rundfunk","film","kulturpolitik","kulturpolitik","welle","kultur","kultur","film","welle","welle","kultur","kultur","kultur","kultur","kultur","kultur","computerspiele","kultur","kultur","kultur","kultur","welle","internet","musik","kultur","netzneutralität","digitale","kultur","welle","kultur","kulturgut","kultur","künstler","kultur","kultur","uploadfilter","kultur","kultur","kultur","kultur","kultur"
"2","menschen","deutschen","menschen","deutschen","deutschen","zenker","freiheit","schwarzweissrot","freiheit","volk","menschen","freiheit","antisemitismus","volk","zone","menschen","reaktion","notstand","not","presse","eigentum","eigentum","arbeitnehmer","bausparer","christlichen","fakultät","pharmazeutische","zugezogen","satzung","herr","türkei","herr","dollar","bundeszuschüsse","dichgans","nutzniesser","schwarzwälder","liter","schwarzschilling","einlagen","grosskredite","banken","rheinlandpfalz","herr","kreditinstitute","schäden","fotografen","hilfsorganisationen","künstlern","publizisten","publizisten","publizisten","staatssekretär","versicherungen","bergbauunternehmen","versicherungsvereins","eintragungsgrenze","gmbh","gmbh","amp","wieskirche","co","verbraucher","steuerstundenden","sah","überprüfungsordnung","co","börsengesetzes","handel","unbillige","legislaturperiode","rundfunk","erschwert","margarethenhütte","film","medien","anstalten","rabattgesetzes","stoiber","stoiber","ladenöffnungszeiten","medienbericht","rundfunk","hinsken","gema","kultur","welle","öffentlichrechtlichen","zentren","internet","sprache","kirch","medien","welle","kultur","kultur","kultur","kulturpolitik","medien","bibliothek","welle","künstler","kulturpolitik","elser","medien","staatsziel","enquetekommission","frequenzen","künstler","kultur","geodaten","leistungsschutzrecht","kultur","kultur","digitale","digitalen","verwertungsgesellschaften","urheber","kulturelle","kultur","welle","welle","kultur","medien","künstler","medien","medien","welle"
"3","volk","volk","volk","jugend","volk","deutschen","welt","farben","volk","menschen","konrad","opfer","welt","menschen","welt","berliner","unmittelbarer","presse","januar","zustand","vermögensbildung","vermögensbildung","leber","sparen","orchester","niederbayerischen","haar","montabaur","vorstand","schmid","naturschutz","wuppertal","zeugnisse","genossenschaften","gelte","liberalität","kirschwasser","brennereiordnung","sperrfrist","verfassungsminister","einlagensicherung","grosskredite","bank","bonnbad","burgos","herr","lichtbildwerken","genossenschaften","lattmann","gmbh","künstlersozialabgabe","notars","motivation","regelsätze","co","zwischenrufe","verkehrszentralregister","amp","amp","schreckenberger","rechtsanwaltskammern","amp","uwg","schwenk","herr","einzelhandel","amp","finanzplatz","lebensmittelhandel","leistungswettbewerbs","schumann","anstalten","ard","filme","schriften","grams","medien","rabattgesetz","ministerpräsident","ministerpräsident","verbraucher","wilhelm","welle","öffentlichrechtlichen","novelle","medien","kultur","medien","kultur","kultur","kultur","medien","staatsministerin","sprache","deutschen","kulturpolitik","rechtschreibung","auswärtige","ausschuss","nationalbibliothek","neumann","dresden","enquetekommission","kultur","film","welterbestätten","internet","kunst","kultur","digitalisierung","internet","kulturellen","internet","internet","digitalen","digitale","digitalen","film","film","künstlerinnen","deutsche","buchpreisbindung","meinungsfreiheit","rundfunk","medien","plattformen","sprache","medien"
"4","deutsche","volkes","freiheit","volk","volkes","freiheit","opfer","auszeichnungen","menschen","zone","leben","menschen","menschen","freiheit","volk","opfer","zone","leber","staat","gewerkschaften","leber","eigentumsbildung","arbeitgeber","arbeitnehmern","familienferienstätten","region","mitbestimmung","neuwied","warentest","begleitung","breiter","vob","herr","forschungsergebnisse","stabilität","arbeitsgemeinschaft","kriegsgefangenschaft","ausbeutesätze","vermögenswerte","einleger","kreditwirtschaft","einlagensicherung","wertpapiere","wandzeitung","moreno","bonnbad","zwischenbericht","schrieb","publizisten","kunst","vermarkter","vermarkter","kunst","letzte","amp","umsatzsteuerpräferenzen","eintragungen","richtlinie","kaum","gmbh","heillos","richtlinie","schwenk","kleine","optimum","flug","handel","börsenaufsicht","konzentrationsprozess","finanzplatz","natürlich","werbung","sender","grossdubrau","hörfunk","film","genehmigungspflichtig","medien","rundfunkanstalten","medien","öffnungszeiten","öffentlichrechtlichen","verbraucher","film","jens","michael","kulturpolitik","internet","soziokultur","auswärtige","film","nidarümelin","kulturpolitik","deutsche","filmwirtschaft","deutsche","deutsche","breitenkultur","gruppenantrag","bücher","goetheinstitut","unesco","kulturelle","auslandsschulen","griefahn","kulturpolitik","kulturelle","bäume","kinos","enquetekommission","digitalen","internet","künstler","digitalen","breitbandausbau","bauhaus","kulturelle","kultur","filme","urheberrecht","kunst","buch","richtlinie","öffentlichrechtlichen","kunst","minderheiten","meinungsfreiheit","kunst"
"5","deutschland","welt","leben","welt","freiheit","marine","volk","hakenkreuz","volkes","volkes","volk","leben","opfer","drüben","freiheit","berlin","zeige","notstandes","status","not","eigentumsbildung","gewerkschaften","eigentum","sperrfrist","exportfinanzierung","var","kundgebung","berufssoldat","herr","vorwürfe","haltung","naturschutzes","fachkräften","arbeitsgemeinschaft","ziele","voraussagen","begriffsbestimmungen","probebrände","entsprach","kreditgewerbe","kreditgenossenschaft","kreditinstitute","geschäfte","landesbank","langner","rain","association","glos","autoren","künstlern","künstlersozialversicherungsgesetz","künstlersozialabgabe","al","massgeblichen","angemessenen","bau","leber","kg","co","koch","delegierten","kapitalgesellschaften","klettpassage","münsterland","vollends","daimlerbenz","erleichterungen","anstalten","visitenkarte","cocomliste","friedrich","rundfunkanstalten","operiert","films","medien","rundfunk","seriöser","verbraucher","rundfunk","edmund","einzelhändler","hansotto","umsatz","jens","gwb","beauftragter","michael","mayer","kulturpolitik","urheber","auslandsschulen","staatsminister","christina","kulturstiftung","berliner","staatsministerin","barthel","bildungspolitik","todesstreifen","künstler","bildungspolitik","kulturwirtschaft","musik","filme","netzwerke","medien","medien","kulturelle","digitalisierung","medienkompetenz","digitale","urheberrecht","telekom","breitbandausbau","internet","digitalisierung","bildungspolitik","buchpreisbindung","kulturellen","kunst","medien","bücher","urheberrecht","internet","künstlerinnen","sprache","plattformen","plattformen"
"6","volkes","leben","deutschland","deutschland","geschichte","dönitz","deutschen","politischen","welt","welt","bundespräsidenten","frieden","vergangenheit","berlin","volkes","mehrheitsfraktionen","bindung","hoogen","demokratie","meinungsäusserung","gewerkschaften","leber","vermögensbildung","orchester","demokratie","staatsangehörigkeit","roten","erhält","flugblätter","zurückzukommen","wolf","rote","tarifparteien","datenverarbeitung","ehrenzeichen","alternative","einweisung","querelles","wertung","kreditgewerbes","kreditinstituten","bundesaufsichtsamt","verstösse","damen","mischfinanzierung","aufklärung","affairs","gemachte","künstlersozialabgabe","künstlersozialabgabe","notars","notarkammern","verpflichten","sehnsucht","schwantagformel","gab","autofahrer","flensburg","allzu","co","baudenkmäler","kg","ladenschlusszeiten","trennung","wettbewerber","finanzielle","richtlinie","einzelhandel","kartellgesetznovelle","marktbeherrschung","beim","gebührenerhöhung","grundversorgung","filmförderung","öffentlichrechtlichen","landesmedienanstalten","hinsken","sendungen","öffentlichrechtlichen","öffentlichrechtlichen","ladenschlussgesetz","medien","medienbereich","rundfunk","wettbewerbspolitik","angelegenheiten","medien","kultur","filmförderung","medien","auswärtigen","deutschen","film","deutsch","staatsministerin","sprache","rechtschreibreform","musik","deutsche","kunst","staatsminister","brücke","kulturwirtschaft","washingtoner","staatsminister","auswärtige","kulturpolitik","bund","netzneutralität","filme","verlage","kreativwirtschaft","kreativwirtschaft","kunst","digitalisierung","provenienzforschung","kulturellen","internet","bildungspolitik","welle","kulturelle","literatur","internet","öffentlichrechtliche","plattformen","internet","netz","kulturpolitik"
"7","welt","deutsche","welt","freiheit","welt","jugend","bekenntnis","menschen","krieg","kommunistischen","demokratie","deutschland","politischen","zone","drüben","rehbach","mitbürger","demokratie","bürger","freiheit","vermögen","vermögenswirksame","eigentumsbildung","gewerkschaften","berg","betriebszugehörigkeit","rechtsstaat","gleichberechtigt","schmitt","vizepräsident","raumordnung","geeignet","geehrte","braumalz","orden","meinung","schwarzwald","brennereien","herr","banken","aktiengesellschaft","kreditwesen","weber","scharfe","haehser","einrichtung","foreign","kreditwesen","kunst","vermarkter","künstlern","künstlern","leber","kanada","strassenverkehrsgesetzes","vizepräsident","erfassung","steuerberater","frage","präsident","weitergabe","stiegler","uwgnovelle","verbraucher","garoeb","gerügt","wildsterben","national","handelsunternehmen","kleine","drüben","zdf","beginn","fernsehen","filme","schriften","bad","auslandssender","zdf","herr","ladenschlussgesetzes","öffentlichrechtliche","machtstrukturen","sender","fusionskontrolle","welle","ladenschluss","aktionsprogramm","naumann","museumsinsel","nidarümelin","internet","kulturellen","deutschen","neumann","auswärtigen","deutschen","staatsministerin","kulturpolitik","deutsche","deutsche","kulturellen","kulturellen","medien","börnsen","rundfunk","digitale","kinos","werke","open","urheberrecht","kulturelle","enquetekommission","digitalisierung","künstlersozialversicherung","leistungsschutzrecht","digitalisierung","urheberrecht","kunst","digitalen","künstler","medien","kreativen","meinungsfreiheit","kulturelle","kunst","film","journalisten"
"8","leben","heimat","volkes","krieg","jungen","politischen","deutschland","zone","atomtod","deutschlands","volkes","demokratie","juden","agenten","kirche","ulbricht","strecke","staat","äusserte","bundeskanzlers","sparen","katzer","sparen","versicherungen","wort","zwangsmassnahmen","sds","gewandt","soziallasten","dr","redlichen","mädchen","arndt","loseblattsammlung","schweigens","ende","zollverwaltung","weingeist","probebrände","kreditinstitute","warengeschäft","hof","banken","heimlich","spöri","demarchen","verlängerung","angeklungen","tschessiounias","becker","maschinensteuer","karlsruhe","weder","zusatzfrage","rückzahlungen","genutzt","zahlen","stiegler","erträglich","vergleichbare","transportiert","bilanzrichtliniegesetz","liberalisierung","zieht","reinen","emma","geschäfte","innerstädtischen","dienstleistung","nachfragemacht","beweisführung","ard","wilfried","hermsdorf","nationalen","bundesprüfstelle","überprüfung","otto","anstalten","grundversorgung","urbaniak","mainz","sender","kartellamt","börnsen","kulturpolitik","staatsminister","informationsgesellschaft","staatsminister","bibliotheken","deutschen","kultur","digitalen","medien","staatsoper","auswärtige","sprache","christina","ausland","neumann","bernd","künstlersozialversicherung","kunst","film","filme","werbung","staatsminister","film","internet","access","netz","urheber","digitale","grütters","künstler","kultur","digitale","verwertungsgesellschaften","welle","werke","rundfunk","deutsche","plattformen","igf","kulturschaffenden","jugendschutz","künstlerinnen","minderheiten"
"9","demokratie","staat","konvention","opfer","jugend","see","heimat","achtzehn","dienstag","not","welt","heuss","volkes","broschüre","menschlichen","einberufung","welt","januar","bereitstellen","primär","tarifvertrag","balke","breiter","demokraten","mio","vermögensbildung","polizei","herr","vorstands","professor","stimmten","verdingungsordnung","durchschnittssätze","plätze","morgigen","flugzeug","versicherungsfall","staatssekretär","auftraggebers","nachrichtenagentur","banken","spareinlagen","gebietsfremde","erstrebenswert","gehaltskonten","behebung","bundesbank","ubooten","umlage","künstlerischen","rubrik","kunst","windelen","ausland","antragstellung","einseitiges","dm","gesellschaftsform","vorne","bekämpft","begriffe","schichtarbeiter","einzelhändler","konzentration","schutz","prüfungsordnung","einzelhandel","rundfunkfreiheit","einzelhandel","bundeswahlgesetzes","absinken","rundfunkgebühren","kurs","privaten","indizierung","sicherheitsbehörden","zulässigen","rabatt","edmund","vizepräsidentin","kleinen","filmförderung","urbaniak","kulturpolitik","einstandspreis","beauftragten","läden","mosdorf","produzenten","digitale","internet","landesbank","kunst","nooke","christina","künstler","hansjoachim","auswärtigen","anliegen","bibliotheken","kulturgut","kulturelle","kreativwirtschaft","spiele","internet","presse","neumann","ffa","künstlerinnen","enquete","musikförderung","film","urheberrecht","enquetekommission","kunst","medien","grütters","kreativen","filmförderung","ausstellungsvergütung","sprache","vielfalt","artikel","kunst","künstlern","meinungsfreiheit","kulturelle","internet"
"10","freiheit","opfer","deutsche","deutsche","deutsche","volk","politischen","volk","deutsche","sed","adenauers","theodor","leben","kommunistischen","flucht","kommenden","bestimmen","nachrichten","gewaltsam","vertrauen","katzer","vermögenswirksamen","tarifvertrag","kassel","angestrebten","fairness","konventionen","kollege","rollmann","bundesminister","lotsen","hankel","studentischer","vertrauensmännergremium","patt","handhabung","grolsheim","graf","sekunde","machens","reine","einlagen","bundesaufsichtsamt","schwarzarbeit","banken","darf","delft","beachtenswerte","vermarkter","fränkischen","verwerter","antibiotika","air","beteiligungen","erstellen","gezielte","konnte","register","trifft","teile","ja","helmrich","handel","verkauft","frau","überwachungsbehörden","stiegler","gmbh","untersagt","pfuhl","operiert","werbezeiten","hansjoachim","filmförderungsanstalt","filmförderungsgesetz","konzentration","aktionsprogramm","journalisten","glotz","marktwert","wiese","medienpolitik","herr","kartellrecht","filmförderung","behörde","ard","naumann","bund","verlage","deutsche","staatsferne","urheber","englisch","weiss","deutschen","hauptstadt","kulturellen","konzept","staatsziel","deutschen","börnsen","neumann","internet","rundfunk","öffentlichrechtlichen","digitalen","theater","immateriellen","digitale","leistungsschutzrecht","digitalisierung","digitalen","bundesnetzagentur","agenda","daten","urheberrecht","netzneutralität","telekom","digitale","staatsministerin","monopolkommission","urheberrechtsrichtlinie","vielfalt","youtube","museen","künstler","desinformation"
