"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","erler","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","kollege","kollege","kollege","wort","wort","wort","wort","erteile","erteile","erteile","de","erteile","ro","erteile","wort","wort","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","ehe","kollege","wort","ehe","ehe","ehe","ehe","ehe","adoption","adoption","identität","identität","antidiskriminierungsstelle"
"2","herrn","bundeskanzler","herrn","bundeskanzler","bundeskanzler","bundeskanzler","kollege","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","kollege","bundeskanzler","bundeskanzler","kollege","kollege","herrn","kollege","kollege","höcherl","erler","herr","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","bundeskanzler","kollege","kollege","kollege","bundeskanzler","bundeskanzler","bundeskanzler","zwischenfrage","kollege","zwischenfrage","bundeskanzler","bundeskanzler","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","kohl","bundeskanzler","bundeskanzler","zwischenfrage","zwischenfrage","zwischenfrage","bundeskanzler","zwischenfrage","bundeskanzler","bundeskanzler","bundeskanzler","geissler","bundeskanzler","bundeskanzler","bundeskanzler","abgeordneter","abgeordneter","bundeskanzler","abgeordneter","zwischenfrage","zwischenfrage","schäuble","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","bnd","zwischenfrage","bohl","kollege","zwischenfrage","bitte","bitte","kollege","vizepräsident","kollege","kollege","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","wort","erteile","solms","erteile","erteile","wort","wort","wort","dat","wort","rp","wort","kollege","kollege","vizepräsidentin","kollegin","wort","vizepräsidentin","vizepräsidentin","wort","bitte","wort","bitte","vizepräsident","ehe","ehe","ehe","redner","kollege","ehe","ehe","kollege","wort","wort","geschlecht","geschlecht","ehe","stiefkindadoption","geschlecht","ehe","diskriminierung"
"3","kollege","herrn","kollege","herrn","herrn","herrn","gesagt","kollege","herrn","herrn","herrn","herrn","kollege","kollege","gesagt","bundeskanzler","schloss","jahn","herrn","erler","kollege","kollege","erler","brief","mende","bundeskanzler","dorn","bundeskanzler","bundeskanzler","bundeskanzler","kollege","bundeskanzler","bundeskanzler","bundeskanzler","kollege","kollege","kollege","kollege","bundeskanzler","bundeskanzler","zwischenfrage","kollege","kollege","gestatten","kohl","kohl","zwischenfrage","zwischenfrage","zwischenfrage","gestatten","ministerpräsident","bundeskanzler","zwischenfrage","gestatten","zwischenfrage","zwischenfrage","ehmke","bundeskanzler","zwischenfrage","kollege","zwischenfrage","bundeskanzler","zwischenfrage","vogel","zwischenfrage","abgeordneter","gestatten","zwischenfrage","abgeordneter","abgeordneter","gestatten","vizepräsident","stavenhagen","kollege","bundesminister","vizepräsident","vizepräsident","vizepräsident","kollege","bitte","kollege","zwischenfrage","vizepräsident","kollege","kollege","herr","wort","otto","kollege","erteile","kollegen","kollegin","kollegen","kollegen","kollegen","un","kollegin","un","kollegin","kollegin","vizepräsidentin","wort","wort","vizepräsidentin","kollegin","redner","kollegin","wort","bitte","redner","wort","wort","gleichstellung","redner","vizepräsidentin","paare","wort","kollege","wort","ehen","minderjährigen","divers","homo","stiefkindadoption","diskriminierung","diskriminierung","diskriminierung","leitung"
"4","bundeskanzler","gesagt","bundeskanzler","gesagt","kollege","kollege","bundeskanzler","herrn","gesagt","gesagt","adenauer","gesagt","gesagt","herrn","herrn","rede","jahn","herrn","erler","verfassungsschutz","minister","höcherl","minister","minister","dorn","guttenberg","herrn","mischnick","herrn","strauss","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","ehmke","barzel","zwischenfrage","bundeskanzler","zwischenfrage","kollege","kollege","zwischenfrage","gestatten","kohl","gestatten","gestatten","herrn","gestatten","strauss","strauss","bundeskanzler","herrn","kollege","bundeskanzler","herrn","herrn","neuwahlen","zwischenfrage","kollege","zwischenfrage","vogel","vogel","bundeskanzler","abgeordneter","gestatten","gestatten","abgeordneter","abgeordneter","gestatten","gestatten","abgeordneter","gestatten","zwischenfrage","bitte","kollege","bitte","kollege","kollege","vizepräsident","vizepräsident","bitte","vizepräsident","zwischenfrage","gestatten","gestatten","gestatten","kollegin","hermann","kollegen","hermann","kollegin","kollegen","kollegin","zwischenfrage","kollegin","erteile","kollegen","to","kollegen","vizepräsidentin","kollegin","kollegin","vizepräsidentin","kollegin","wort","wort","bitte","vizepräsidentin","kollegin","vizepräsident","bitte","redner","lebenspartnerschaften","wort","wort","beck","erhält","erhält","redner","kollege","kollegin","diskriminierung","homosexualität","adoptionen","geschlecht","ehe","sexuellen","ehe"
"5","gesagt","kollege","presse","kollege","gesagt","gesagt","herrn","gesagt","rede","partei","gesagt","bundeskanzler","herrn","minister","rede","damen","güde","minister","jahn","innern","innern","innern","hessen","herrn","partei","zwischenfrage","bundeskanzler","barzel","gestatten","herrn","gestatten","herrn","gestatten","gestatten","barzel","ehmke","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","herrn","kollege","bundeskanzler","abgeordneten","bundeskanzler","kohl","ministerpräsident","bundeskanzler","gestatten","kollege","gestatten","kollege","gestatten","schmidt","zwischenfrage","kollege","abgeordneter","vogel","abgeordneter","zwischenfrage","gestatten","zwischenfrage","abgeordneten","strauss","abgeordneten","gestatten","bundesminister","bitte","abgeordneten","bundesminister","herrn","vizepräsident","zwischenfrage","zwischenfrage","bitte","dieterjulius","zwischenfrage","zwischenfrage","zwischenfrage","bitte","gestatten","vizepräsident","bitte","bitte","kollegen","erteile","zwischenfrage","kollegin","kollege","zwischenfrage","solms","kollegin","werften","is","kollege","le","kollege","erteile","herr","kastner","zwischenfrage","erhält","redner","kollegin","herr","herr","vizepräsident","wort","schön","bitte","vizepräsident","zwischenfrage","lebenspartnerschaften","lesben","vizepräsidentin","vizepräsidentin","nächste","rehabilitierung","kollege","paare","vielfalt","identität","ehe","operationen","geschlecht","antidiskriminierung"
"6","sagen","sagen","gesagt","herren","herren","minister","sagen","minister","kollege","rede","bundeskanzlers","rede","opposition","gesagt","nellen","herrn","minister","herren","wehner","alliierten","herrn","schäfer","osswald","wehner","bundeskanzler","genscher","opposition","dorn","zwischenfrage","zwischenfrage","herrn","schäfer","herrn","ehmke","dr","herrn","herrn","herrn","carstens","carstens","herrn","herrn","bundeskanzler","herrn","abgeordneter","abgeordneter","gestatten","herrn","gestatten","abgeordneter","herrn","spd","strauss","herrn","kollege","kollege","schmidt","auschwitz","abgeordneten","abgeordneter","kollege","kollege","vogel","kollege","bitte","bitte","vizepräsident","bundesminister","bitte","vizepräsident","bitte","bitte","vizepräsident","gestatten","friedrich","dieterjulius","gestatten","zwischenfrage","gestatten","gestatten","gestatten","gestatten","bitte","bitte","vizepräsident","kollegin","bitte","solms","kollegin","otto","solms","solms","kollege","kollege","vizepräsident","wort","zwischenfrage","kt","zwischenfrage","dr","katrin","susanne","göringeckardt","redner","zwischenfrage","bitte","vizepräsidentin","redner","redner","herr","redner","vizepräsident","redner","kollegin","gleichstellung","gleichstellung","redner","cducsufraktion","erhält","redner","homosexuelle","ehen","lesben","lebensgemeinschaft","kind","homo","sexuelle","bundes"
"7","herren","opposition","minister","damen","damen","sagen","opposition","herren","dr","kollege","kollege","zwischenfrage","erler","erler","dr","herren","ahlers","damen","minister","schäfer","zwischenfrage","minister","wehner","erler","opposition","gestatten","zwischenfrage","schmidt","schmidt","gestatten","barzel","gestatten","ehmke","herrn","zwischenfrage","parlamentarischen","wehner","wehner","herrn","herrn","abgeordneten","carstens","carstens","bundeskanzler","kollege","herrn","kollege","kollege","herrn","herrn","abgeordneter","gestatten","kohl","abgeordneter","kohl","fdp","herrn","dr","gestatten","geissler","gestatten","gestatten","bitte","gestatten","bundeskanzler","stoltenberg","bitte","bitte","vizepräsident","gansel","herrn","abgeordneter","schalckgolodkowski","dieterjulius","bundeskanzler","cronenberg","dieterjulius","cronenberg","dr","dr","kurzintervention","hirsch","kollegin","hirsch","kollegin","kollegen","otto","vizepräsident","bitte","vizepräsident","otto","otto","zwischenfrage","vizepräsident","kollege","ok","gestatten","lle","cducsufraktion","kollegen","erteile","redner","redner","susanne","bitte","kastner","redner","zwischenfrage","herr","schön","herr","zwischenfrage","herr","bitte","claudia","diskriminierung","nächste","redner","kollegin","diskriminierung","sexuellen","menschen","diskriminierung","nichtehelichen","blutspende","begriff","mann","frau"
"8","möchte","rede","herren","opposition","sagen","herren","damen","hätten","sagen","sozialdemokraten","erler","herren","kollegen","dr","bundeskanzler","opposition","bundeskanzler","zwischenfrage","zwischenfrage","untersuchungsausschuss","schäfer","brief","herrn","zwischenfrage","brief","partei","schmidt","herrn","süsterhenn","kollegen","wehner","ehmke","barzel","dr","wehner","abgeordneten","barzel","dr","wehner","wehner","carstens","abgeordneten","kohl","abgeordneten","chile","kollege","abgeordneten","strauss","abgeordneter","abgeordneten","abgeordneten","kohl","wehner","bitte","bitte","ehmke","helmut","bundesminister","erlauben","abgeordneten","abgeordneten","herrn","kollege","herrn","herrn","bundeskanzler","kollege","jordanien","abgeordneten","stoltenberg","bundesminister","möllemann","staatsminister","cronenberg","gansel","gestatten","cronenberg","gestatten","hirsch","kurzintervention","hansulrich","dr","klose","dr","kurzintervention","fuchs","solms","kollegin","solms","kollegen","zwischenfrage","hermann","gestatten","dr","zwischenfrage","to","vizepräsident","ar","vizepräsident","cducsufraktion","göringeckardt","katrin","erhält","dr","erhält","zwischenfrage","zwischenfrage","vizepräsident","schön","zwischenfrage","kollegin","herr","bitte","beck","kollegin","lebenspartnerschaften","zwischenfrage","spdfraktion","spdfraktion","kollegin","paare","gleichgeschlechtliche","homosexuelle","adoptiert","konversionsbehandlungen","ehepartner","menschen","besetzung"
"9","damen","herren","sagen","rede","kollegen","bundeskanzlers","rede","rede","herren","stephan","dr","dr","bundeskanzlers","damen","damen","minister","kollege","gesagt","strauss","kollege","höcherl","schoettle","bundeskanzler","presse","zwischenfrage","kollegen","kollegen","partei","kollegen","regierung","brandt","dr","strauss","strauss","herrn","partei","bahr","carstens","abgeordneten","strauss","abgeordneter","strauss","bitte","abgeordneter","strauss","bundeskanzler","abgeordneter","ministerpräsident","wehner","bitte","bitte","zimmermann","demonstration","abgeordneten","vizepräsident","neuwahlen","kollege","pazifismus","ehmke","herrn","herrn","abgeordneten","abgeordneten","bitte","kollege","herrn","redezeit","bundeskanzler","stücklen","abgeordneten","vizepräsident","redezeit","kollege","abgeordneter","herrn","pkk","bundesminister","dr","klein","kollegen","klein","bohl","hansulrich","kurzintervention","dr","vizepräsidentin","vizepräsident","zwischenfrage","vizepräsident","zwischenfrage","hermann","vizepräsident","vizepräsident","spdfraktion","dr","wi","dr","en","kurzintervention","redezeit","kollegen","dr","katrin","kastner","herr","nächste","erhält","otto","vizepräsidentin","kollegin","erhält","schön","schön","vizepräsidentin","roth","redner","spdfraktion","kollegin","gleichstellung","aufhebung","spdfraktion","lebenspartnerschaft","identität","bundesverfassungsgericht","menschen","grundgesetz","trans","lehmann"
"10","hätte","bundeskanzlers","rede","sagen","opposition","rede","herren","opposition","wehner","herren","rede","damen","herren","arndt","barzel","gesagt","erler","gestatten","sache","untersuchungsausschusses","schoettle","alliierten","dr","ausführungen","kollegen","herrn","partei","zwischenfrage","untersuchungsausschuss","barzel","kollegen","gesagt","gesagt","barzel","gestern","dr","dr","abgeordneten","abgeordneter","abgeordneten","dr","kohl","abgeordneten","strauss","wehner","strauss","strauss","albrecht","kohl","kollege","wehner","abgeordneter","herrn","kohl","abgeordneter","brandt","koalition","herrn","herrn","dr","bitte","boenisch","herrn","abgeordneten","bundesminister","abgeordneten","angerechnet","kollege","schäuble","schäuble","redezeit","herrn","bitte","redezeit","gestatten","dienste","abgeordneten","kurzintervention","hans","hirsch","klose","burkhard","burkhard","burkhard","hirsch","vizepräsident","herr","kollegen","hermann","dr","bitte","gestatten","hermann","solms","gestatten","nich","bitte","ite","dr","bitte","redner","bitte","frau","zwischenfrage","kastner","susanne","katrin","dr","dr","dr","dr","kollegin","wort","herr","ehe","wort","ulla","nächste","cducsufraktion","erhält","melden","gleichgeschlechtlichen","orientierung","sexuellen","paare","sexuellen","tsg","verantwortungsgemeinschaft"
