"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wohnungsbau","wohnungsbau","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungsbau","wohnungsbau","wohnungen","wohnungen","wohnungsbau","wohnungsbau","wohnungsbau","baulandpreise","wohnungen","raumordnung","wohnungen","raumordnung","wohnungen","wohnungswesen","wohnungswesen","städtebau","wohnungen","städtebau","münchen","wohnungsbau","münchen","wohnungsbau","wohnungen","gemeinde","städtebau","städtebau","geförderten","raumordnung","städtebau","städtebau","gemeinden","wohnungsbau","gemeinden","wohnungsbau","wohngeld","gemeinden","gemeinden","gemeinden","wohnungen","wohnungen","wohnungen","wohnungsbau","wohnungen","wohnungen","gemeinden","mieter","mieter","mieter","jahn","jahn","bauwirtschaft","wohngeld","wohnungen","heimat","mieter","berlin","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohngeld","raumordnung","wohnungsbau","wohnungen","wohngeld","wohngeld","wohnungsunternehmen","mieter","wohnungsbau","bauwirtschaft","wohnungsbau","eigenheimzulage","stadtumbau","baukultur","wohngeld","eigenheimzulage","baukultur","öpp","stadt","baukultur","wohnungen","wohnungen","wohneigentum","stadt","städte","mieter","städtebauförderung","städtebauförderung","mieter","mieter","mieter","mieter","mietpreisbremse","mietpreisbremse","mietpreisbremse","wohnraum","wohnungen","wohnungen","wohnungsbau","wohnraum","wohnungen","grundsteuer","wohnungen","mieter","mieter","mieter","wohnungen"
"2","wohnungen","wohnungen","wohnungen","mieter","luftschutzes","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungen","wohnungen","wohnungsbau","wohnungsbau","brecht","wohnungen","wohnungen","bauland","jacobi","städtebau","jacobi","jacobi","jacobi","städtebau","städtebau","wohnungswesen","wohnungsbau","wohnungswesen","städtebau","wohnungsunternehmen","städtebau","wohnungen","wohnungsbau","städtebau","wohnungsbau","wohnungswesen","städtebauförderungsgesetz","städtebau","eigentum","bauwesen","raumordnung","wohnungen","gemeinde","mieter","wohnungen","kommunalen","jahn","jahn","sperling","wohnungsbau","raumordnung","jahn","städtebau","wohnungsbau","kommunalen","wohnungen","gemeinden","staffelmiete","wohnungsbau","mieter","gemeinden","bauwirtschaft","heimat","mieter","heimat","berliner","gemeinden","wohngeld","wohnungsbau","wohnungsbau","wohnungsbau","wohnungsbau","mieten","wohnungsbau","mieter","wohnungsbau","wohnungsbau","wohnungsbau","wohnungsbau","mieter","wohnungsbau","mieter","wohnungen","töpfer","töpfer","städte","kansy","wohnungsbau","stadt","wohnungen","wohnungen","bundesbaugesellschaft","wohnungen","bauwirtschaft","wohnungen","eigenheimzulage","mieter","wohneigentum","programm","partnerschaften","stadtumbau","städte","städte","infrastruktur","städte","wohnungslosigkeit","mieter","wohnungsunternehmen","stadt","mieter","energetische","vermieter","wohnungen","wohnungen","wohnungen","wohnungen","wohngeld","wohnungsbau","wohnungsbau","mietpreisbremse","wohnungen","bauen","mieter","wohnungen","wohnraum","mieterinnen","wohnungen","mietendeckel","bauen"
"3","mittel","eigentum","mittel","miete","luftschutz","einkommen","sozialen","mittel","brecht","familien","brecht","wohnung","mieter","wohnungen","wohnungsbaugesetzes","bauten","wohnungen","wohnungsbau","lücke","mieter","wohnungswesen","wohnungswesen","jacobi","wohnungen","lauritzen","wohnungswesen","lauritzen","mieter","gebühren","wohnungswesen","sozialen","sozialen","wohnungen","wohnungswesen","wohnungsbau","mieters","bauwesen","bauwesen","raumordnung","kommunalen","sozialen","jahn","modernisierung","wohnungsbau","städte","wohnungsbau","wohnungsbau","städtebau","mieter","wohnungsbau","wohnungen","raumordnung","mieter","kommunen","wohnungsbau","mietrecht","wohnungen","gemeinden","wohngeld","architekten","wohnungsbau","mieter","wohnungen","baugesetzbuch","mieter","spielhallen","mieter","aussiedler","gemeinden","mieter","mieter","wohngeld","wohnraum","wohnungsbau","mieter","mieter","seifert","schwaetzer","wohnungsbau","förderung","raumordnung","eichstädtbohlig","städtebau","sozialen","mieter","wohnungsbau","wohnungen","wohnungen","mietrecht","mieter","wohnungen","kansy","wohneigentum","programm","eichstädtbohlig","stadtumbau","spanier","stadt","öffentlichprivaten","programm","stiftung","immobilienwirtschaft","beirat","wohngeld","städte","sanierung","wohnungen","wohnungslosigkeit","sanierung","städtebauförderung","energetische","energetische","wohnraum","wohnen","wohnraum","wohnungen","mieter","wohnraum","mieter","mieter","wohnungen","mietpreisbremse","wohnen","mieten","mietpreisbremse","mieterinnen","mieterinnen","wohnen"
"4","sozialen","sozialen","sozialen","wohnungsbau","luftschutzmassnahmen","geringem","wohnungsbaus","sozialen","aussiedler","brecht","länder","mieter","baulandsteuer","bundesbaugesetz","miet","leber","raumordnung","wohnung","mieter","wohnungswesen","städtebau","raumordnung","bucher","bucher","raumordnung","städtebau","wohnungen","wohnungswesen","jacobi","wohnungen","wohnungswesen","städtebau","wohnungswesen","wohnungen","ravens","saar","haack","raumordnung","haack","selbstverwaltung","jahn","eigentum","wohnungen","familien","selbstverwaltung","raumordnung","städte","raumordnung","wohnung","ländlichen","wohnung","wohnungsbau","wohnung","städte","vermieter","wohnungsbau","vermieter","waltemathe","miete","conradi","schneider","jahn","neuen","wohnungen","mietpreisbindung","mieter","gemeinnützigen","wohnung","wohngeld","gemeinden","sozialen","wohnungsbau","mieten","wohnung","seifert","seifert","wohnung","bundesministerin","töpfer","mieter","eichstädtbohlig","wohnungsbau","bauwesen","städtebauförderung","wohngeld","mieter","sozialen","städte","sozialen","vermieter","eichstädtbohlig","bauwirtschaft","neubau","rückbau","mieter","wohnungen","eigentum","immobilienwirtschaft","bürsch","wohneigentum","stadt","ruhezeiten","ths","städten","städten","vermieter","stadtumbau","städte","energetische","demografischen","wohnungen","vermieter","mieterinnen","mieter","mieter","wohnen","wohnungen","mietpreisbremse","wohnungsbau","wohnraum","mietpreisbremse","wohnraum","mieten","mietpreisbremse","wohnungen","vermieter","wohnungen","wohnraum"
"5","millionen","mittel","bau","wohnung","wohnungen","wohnung","bundeswohnungsbauminister","stierle","wohnung","mittel","bundeswohnungsbauminister","mieten","brecht","lücke","lastenbeihilfen","baugewerbe","gemeinden","wohnungswesen","wohnungswesen","raumordnung","wohnungen","städtebau","gemeinden","jacobi","wohnungsbau","wohnung","wohnungsbau","hamburg","notar","lauritzen","städtebau","wohnungswesen","gemeinden","gemeinden","erpenbeck","wohnung","wohnungsbau","schneider","wohnungsbau","gemeinde","eigentum","raumordnung","gemeinden","gemeinden","kommunale","wohnungen","städtebau","gemeinden","gemeinden","städtebau","haack","bauwesen","städten","selbstverwaltung","mietrecht","wohnungen","jahn","kansy","wohnungen","städtebau","wohnungen","wohngeld","dgb","neuen","mieten","städte","mieten","sozialen","wohnungsmarkt","wohngeld","wohnungsnot","mieter","wohnung","raumordnung","wohnung","mieten","schwaetzer","irmgard","wohnung","töpfer","bauwesen","braun","bauen","wohnungen","innenstädte","eichstädtbohlig","eichstädtbohlig","wohnungsbau","wohnungsbau","grossmann","stadt","eigenheimzulage","förderung","wohnungswirtschaft","franziska","vermieter","eigenheim","soziale","öffentlichprivate","städte","bundesstiftung","lenk","schlosses","mieter","stadtentwicklungspolitik","stadt","vermieter","kinderlärm","vermieter","sanierung","mietrecht","sanierung","wohnen","wohnung","wohnen","städtebauförderung","wohnen","bauen","wohnraum","sozialen","wohnungsbau","wohnungsbau","wohnraum","wohnungsbau","kommunen","wohnen","mieten","mieter"
"6","verfügung","förderung","schichten","mieten","gemeinden","sozialen","jacobi","gebaut","länder","bau","gemeinden","wohnraumbewirtschaftung","wohnung","miet","einkommen","raumordnung","grundstücke","raumordnung","kündigung","städtebau","lücke","wohnungsbau","meermann","berlin","jacobi","düsseldorf","sozialen","wohnungen","gebührenbefreiung","wohnungsbau","mieten","mieter","städtebauförderungsgesetz","ravens","wohnungen","wohnungsbau","vogel","wohnungsbau","wohnungen","städtebau","wohnung","bundesbaugesetz","wohngeld","wohngeldes","gebäude","energieeinsparung","stadt","bauwesen","sozialen","jahn","sozialen","jahn","sozialen","wohnungen","mieten","schneider","mietrecht","müntefering","wohnungsbau","baugesetzbuch","jahn","wohnungsbau","neue","gemeinden","städtebauförderung","gemeinnützigen","wohnungsunternehmen","gemeinden","wohnung","wohnung","gemeinden","städtebau","wohnungsmarkt","wohnungspolitik","altschulden","schwaetzer","mieter","gemeinden","wohngeld","wohnung","städtebau","töpfer","braun","wohngeld","kansy","wohnungen","stadt","sozialen","vermieter","mietrecht","städte","stadt","wohnungsbau","ost","stadtumbau","wohnungsunternehmen","wohnen","mieter","eichstädtbohlig","bauwirtschaft","innenentwicklung","wohnungs","berliner","stadt","wohnungslosen","arzneimitteln","städte","programm","städte","wohnungen","wohnraum","energetischen","wohnung","wohnungsbau","mieten","mieter","mietpreisbremse","wohnen","wohnen","städten","grunderwerbsteuer","mieten","wohnung","mieter","vermieter","innenstädte","mietspiegel","mieterinnen"
"7","wiederaufbau","gebaut","finanzierung","mieterhöhung","sozialen","wohnungsnot","hypotheken","wohnungsbaugesetz","zuwanderer","jungen","dm","sozialen","sozialen","gemeinden","brecht","bau","städtebau","mieten","jacobi","wohnungsbau","wohnungsbau","wohnung","städten","bergerheise","sozialklausel","mieter","wohnung","lauritzen","wohnungen","eigentümer","erpenbeck","lauritzen","sanierung","städte","wohnung","eigentumswohnung","eigentum","eigentumsordnung","mieter","städte","wohnungsbaus","ländlichen","sozialen","sozialen","jahn","städtebau","mieter","raumordnungspolitik","jahn","wohnungspolitik","wohnungspolitik","wohnung","bauland","kommunale","wohnung","waltemathe","wohnungsbau","bauwesen","mieten","schneider","mieter","raumordnung","mietern","dgb","wohnungen","wohnungsbau","oesterleschwerin","schneider","raumordnung","sozialen","wohnung","wohnung","sozialen","mieten","schwaetzer","bundesministerin","mieten","mieter","mieten","bauen","töpfer","sozialen","gemeinden","bauwirtschaft","wohnungsbau","wohngeldnovelle","kommunen","eichstädtbohlig","wohngeld","bauwirtschaft","stadtumbau","eichstädtbohlig","eichstädtbohlig","kranz","bauwirtschaft","abrisskündigung","stadtumbau","eichstädtbohlig","eigentum","wohnen","stadtumbau","städten","stadt","versandhandel","arzneimittel","stadtentwicklungspolitik","stadt","cogebäudesanierungsprogramm","wohnungen","energetischen","sanierung","mieterinnen","wohnungsbau","städte","städtebauförderung","wohnraum","mietspiegel","sozialen","bauen","städte","wohnen","mieterinnen","mieter","wohnen","miete","wohnung","wohnraum","kommunen"
"8","förderung","familien","förderung","mietbeihilfen","bau","wohnungsuchenden","mittel","wohnungsbaus","mittel","gemeinden","familien","miete","mieten","sozialen","miete","brecht","bundesbaugesetzes","mieter","wohnung","wohnung","mieten","sozialen","baier","verlagsgesellschaft","wohnungen","lauritzen","wohnungsbaus","städte","wohnungswesen","riedl","lauritzen","mieten","eigentümer","erpenbeck","mieter","mietanstiegs","mieter","eigentums","schneider","schneider","ravens","städtebau","ravens","wohnung","kommunen","mieter","wohnungen","wohnungsbau","einkommensgrenzen","bauwesen","fehlbelegungsabgabe","sperling","vermieter","waffenschmidt","jahn","wohnung","wohnung","städtebau","schneider","wohnungen","sozialen","städtebau","eigentümer","wohnungsbau","stadt","raumordnung","gemeinden","mieter","mieten","wohnungspolitik","müntefering","sozialen","städtebau","bauwesen","mieten","städtebau","irmgard","ministerin","wohnungspolitik","wohneigentum","wohngeld","mieter","hildebrecht","raumordnung","braun","grossmann","wohnungspolitik","kansy","eisenbahnerwohnungen","sozialen","wohnungsbau","bau","stadtumbau","nitzsche","verwertungskündigung","eichstädtbohlig","wohnungen","kündigungsfristen","privaten","günther","bauen","wohnungsunternehmen","architekten","vermieter","grosshandel","substitutionsbehandlung","mietrecht","sanierung","gemeinden","gebäudesanierung","wohnen","gebäudesanierung","mietpreisbremse","mieten","miete","mieten","bauen","wohnung","mieterinnen","sozialwohnungen","mieten","wohnen","kommunen","mietendeckel","mieten","mieten","wohnen","wohnungsbau"
"9","wohnung","bau","wohnungsbaues","kostenvergleichsmiete","mittel","gesetz","finanzierung","förderung","czaja","länder","wohnungsbaus","hauffe","vorkaufsrecht","lastenbeihilfen","zweiten","städtebau","wohnungswesen","städtebau","vermieter","abschreibung","köln","gemeinden","stadt","köln","mieter","städte","jacobi","apel","gebührenfreiheit","müller","münchen","erpenbeck","erpenbeck","sozialwohnungen","münchen","anerkannte","eigentums","mick","vermieter","bauwesen","städtebau","schneider","mieten","ravens","erhaltung","kommunalen","haack","jahn","städtebau","haack","gemeinden","mieter","jahn","volkszählung","gemeinden","städte","wohngeld","wohnungen","städtebau","architektur","raumordnung","wohnung","jahn","städtebau","wohnung","städtebau","wohnungspolitik","kommunen","aussiedler","mieten","mieten","raumordnung","gemeinden","städtebau","städtebau","irmgard","sozialen","wohnungspolitik","städtebau","eichstädtbohlig","franziska","hildebrecht","baugesetzbuch","warnick","wohnen","franziska","grossmann","städten","wohnungsunternehmen","achim","franziska","sozialen","wohnungen","verwaltungsvereinbarung","wohnungen","abriss","bauwirtschaft","eigenheimzulage","wirtschaftlichkeitsvergleich","eigenheimzulage","stadtentwicklung","wohnungswirtschaft","wiedererrichtung","grünbuch","stadtumbau","wohnen","lärm","stadtentwicklung","spielhallen","wohnen","demografischen","mietrecht","mieten","städtebauförderung","stadt","baukultur","mieterinnen","bezahlbaren","stadt","wohnung","mieter","vermieter","wohnungsbau","bauen","wohnen","wohnraum","kommunen","vorkaufsrecht"
"10","wohnungsbaues","wohnung","gebaut","sozialen","finanzierung","mittel","preusker","gemeinden","sowjetzonenflüchtlinge","wohnungsbaugesetzes","sozialen","wohnungszwangswirtschaft","wohnraumbewirtschaftung","familien","qm","jacobi","wohnungsbau","gemeinden","raumordnungspolitik","wohnungsbaugesetz","raumordnungspolitik","stadt","raumordnung","weissen","raumordnungsbericht","jacobi","wurbs","stadt","amtsgerichte","mieten","wohnungsbauminister","wohngeld","grundstücke","sozialen","schneider","meermann","käufer","wohngeldgesetzes","jahn","raumordnungspolitik","raumordnung","eigentums","städtebau","mieten","bund","bauwesen","städtebaupolitik","sozialen","sozialwohnungen","mieter","nachfrage","gemeinden","bauen","bund","schneider","conradi","schneider","raumordnung","architekten","bauwesen","bauwesen","bauwesen","zöpel","erhard","mietrecht","kansy","wohnen","raumordnung","sozialen","wohnungsmarkt","heimat","bauwesen","grundstücke","gemeinden","sozialen","wohnung","bundesministerin","sozialen","wohnungswirtschaft","braun","rönsch","raumordnung","wohnungen","förderung","stadt","sozialen","franziska","altschuldenhilfegesetz","verkauf","wohnung","ostrowski","stadtumbau","familien","wohnungsunternehmen","städtebauförderung","spanier","eigenheimförderung","stiftung","gebäude","soziale","städten","wandel","schloss","arzneimittel","wohngeld","pickupstellen","wohnen","statistik","energetischen","wandel","wandel","wohnen","sanierung","wohnraum","wohnungsbau","stadt","vermieter","mieter","städte","bauen","sozialen","sozialen","städtebauförderung","grundsteuer","mietendeckel","kommunen","wohnungsbau","innenstädte"
