"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","entschädigung","entschädigung","wiedergutmachung","wiedergutmachung","wiedergutmachung","entschädigung","entschädigung","ansprüche","entschädigung","belegschaftshandel","schuldscheindarlehen","reichsbank","reichsbank","reichsbank","film","berliner","verträge","argoud","berliner","stiftung","aufsichtsrat","haftung","anmeldungen","patentamt","verhaftungen","kollege","wetzel","hs","falk","herold","innerdeutsche","herold","herold","patentamt","herold","touristen","dezember","kürzungsantrag","presse","presse","presse","presse","welle","auflagen","campingtouristen","kw","pressereferent","petitionsausschuss","petitionsausschusses","landtagsfraktion","petitionsausschuss","ausstellung","spaniens","beitritt","personalausweises","freibetrag","rösing","vertragsentwurf","deutschlandfunks","canaris","deutschlandfunks","madgruppe","mainz","vizepräsident","mainzer","kfk","parteien","parteien","parteien","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ost","ost","einheit","ost","ost","ost","ostdeutschland","ost","osten","ostdeutschland","ost","ostdeutschland","ost","ost","ostdeutschland","bundesländern","ost","osten","dat","ost","ost","osten","ost","ost","ost","de","osten","ost","ost","einheit","einheit","ddr","osten","de","wolf","osten","osten","osten","thüringen","einheit","osten","ostdeutschland"
"2","beamten","öffentlichen","wiedergutmachung","entschädigung","ansprüche","verfolgten","geschädigten","ansprüche","gläubiger","besatzungsschäden","entschädigung","börsenumsatzsteuer","anteilseigner","anteilseigner","abfindung","filmindustrie","dienstordnung","verordnung","rechtshilfeersuchen","berlinhilfegesetzes","marken","unternehmen","gesellschaften","patentamt","patentamts","brennbuch","zentralregierung","biafra","lenz","nigerianische","innerdeutsche","herold","innerdeutsche","innerdeutsche","patentamts","innerdeutsche","vh","unterhaltung","handwerks","pressefreiheit","zeitungen","fusionskontrolle","klein","sendungen","quotenerhöhung","zagreb","sender","verleger","petitionsausschusses","versicherungsnehmer","dienstgeschäfte","petitionen","ausstellungen","beitritt","sportbund","misstrauensvotum","bundesregierungen","zeichen","bodenhaltung","missverhältnis","ärztin","rundfunkrat","sitze","mainzer","verzögerungstaktik","mainz","obiter","parteienfinanzierung","spenden","schallplatten","einheit","einigungsvertrag","parteien","enquetekommission","koko","deponie","untersuchungsausschuss","sed","entschädigung","aufarbeitung","ostdeutschen","ostdeutschen","altschulden","ostdeutschen","pds","ostdeutschen","ddr","osten","ost","osten","neuen","osten","ost","osten","ost","ost","ostdeutschland","ost","bundesländern","ostdeutschland","ost","ostdeutschland","neuen","bundesländern","ost","west","ostdeutschland","ostdeutschland","osten","osten","ostdeutschland","dat","ost","osten","osten","ddr","wolf","ost","ost","dat","wölfe","einheit","ostdeutschland","ostdeutschland","ddr","osten","ost","osten"
"3","gesetz","beamten","rechtsverordnungen","schäden","schäden","entschädigung","hauptentschädigung","kather","vermögen","müttergenesungswerk","werks","dehler","entschädigung","liquidation","liquidation","filme","tinte","beschluss","schallmauer","fertigung","pensionskasse","gesellschaft","konzentration","prüfung","unternehmen","südosteuropäischen","amberg","veb","beglaubigung","lagos","barm","dkp","münzen","kündigungsfrist","patentamtes","prinz","angefasst","rechtsanwälte","müssten","zeitungen","klein","klein","zeitungen","presse","soltaulüneburg","fleck","leistung","haag","petitionen","petitionen","antizyklisch","petitionsausschusses","gerechtigkeit","spanien","bundestrainer","fälschungssicheren","ausübung","beckoberdorf","gold","herr","deckrotwein","welle","olof","kastel","mainz","gelbe","wiesbaden","chancenausgleich","subventionspolitik","welle","einigungsvertrag","einheit","pds","sed","kommerzielle","aufarbeitung","ehemaligen","enquetekommission","mauer","einheit","mauer","bundesländern","ostdeutschen","bundesländern","ostdeutschland","schwanitz","ostdeutschen","ostdeutschland","osten","neuen","osten","neuen","osten","streik","bundesländern","neuen","sachsen","regionen","west","neuen","osten","bonn","ostdeutschland","neuen","osten","osten","osten","einheit","west","west","osten","osten","grundbuch","west","west","volkskammer","ost","west","west","un","ost","ostdeutschland","ddr","ost","osten","ddr","einheit","schwedt"
"4","vermögen","regelung","lastenausgleichsgesetzes","bundesentschädigungsgesetzes","verbindlichkeiten","entschädigungsbehörden","ansprüche","novelle","kriegsfolgengesetz","ansprüche","personenkreis","finanzausschuss","aktionäre","vermögensauseinandersetzung","lindenberg","informationsamt","urkunden","montag","film","bundesregierung","buchhandlung","gesellschaften","abschnitt","patentamts","kunstamtes","ost","biafra","herr","beurkundung","hilfsmassnahmen","beziehungen","beziehungen","massvolle","schillers","europäische","schüsse","reiseveranstalter","film","herausgestellt","klein","baum","göttingen","pressekonzentration","sieglerschmidt","konditionalität","reisenden","khz","abteilungen","petition","versicherungsunternehmen","hochhaus","journalisten","bewusstsein","antarktis","handballbund","fremder","ständige","schleppliften","versäumnisse","ungefähr","leiterin","deutschlandfunk","sekunden","kostheim","offenkundig","lupe","trudeln","spenden","dokumente","deutschlandfunk","lafontaine","ehemaligen","einigungsvertrag","aufarbeitung","untersuchungsausschusses","ehemaligen","heuer","koko","rückgabe","enquetekommission","unrecht","ostdeutschland","ehemaligen","bodenreform","ost","ost","aufbau","neuen","neuen","bundesländern","bundesländern","bundesländern","neuen","neuen","ostdeutschland","aufbau","regionen","osten","neuen","osten","neuen","regionen","einheit","ostdeutschland","de","einheit","west","ost","ostdeutschland","westen","westen","ost","west","einheit","ostdeutschland","ost","ddr","kuba","bonn","ost","de","wolf","ostdeutschen","ostdeutschen","einheit","haribo","ddr","lebensverhältnisse"
"5","öffentlichen","vermögen","condor","novelle","regelung","verfolgung","schäden","vermögen","entschädigung","schäden","ansprüche","finanzausschusses","reichsbankanteile","ehemaligen","golddiskontbank","bundespresse","kugelschreibern","lieferungen","rückführung","umsatzsteuerpräferenzen","kunstbeirat","wilhelmi","gesellschaft","reischl","patente","abfindungsbrenner","herr","nva","referat","act","vermögen","ddr","erschwert","bezeichnungen","bundespatentamt","saynwittgensteinhohenstein","namens","übergangsregelung","führt","journalisten","zeitungsverleger","zusagen","pressevielfalt","herr","iwf","usdollar","hong","pressefreiheit","eingabe","aufteilung","überrollungshaushalt","maass","betriebsprüfung","spanischen","stenzel","dohnanyi","weshalb","rationalisierungen","japanischen","kürzester","bzga","rundfunkrats","fachaufsicht","amöneburg","entgegengesetzten","bönstrup","dicta","wahlkampfkostenerstattung","vollmer","bundesrundfunkanstalten","volkskammer","volkskammer","kommission","kommission","schalck","mfs","entschädigung","pds","pds","pds","grundstücke","enteignungen","rehabilitierung","verlängerung","osten","bundesländern","einheit","ostdeutschen","bundesländern","ostdeutschen","ostdeutschen","sachsenanhalt","aufbau","bundesländern","neuen","osten","osten","ostdeutschen","osten","aufbau","bundesländern","osten","osten","regionen","west","ostdeutschland","seen","westen","einheit","ostdeutschland","west","un","angleichung","ostdeutschland","ostdeutschen","ostdeutschen","west","osten","westen","west","weidetierhalter","lebensverhältnisse","wolf","ddr","ramelow","ost","ostdeutschen","einheit"
"6","geschädigten","heimkehrerentschädigungsgesetz","gesetz","ansprüche","gläubiger","schäden","leistungen","geschädigten","personenkreis","gesetz","erwerbsminderung","februar","ehemaligen","seume","anteilseigner","filmproduktion","filmproduktion","vierten","durchbrochen","berlin","marke","aktiengesellschaft","konzern","anmeldung","reischl","haft","krause","staatssekretär","firma","erbbauzinses","reddemann","radikalismus","verteuern","dokumentation","schikanen","beziehungen","gerichtsverfassungsgesetz","herr","marschieren","fusionskontrolle","tageszeitungen","zeitungen","tageszeitungen","deutschlandfunk","massnahmen","pressefreiheit","deutschlandfunk","ludwig","petenten","belohnung","unmittelbar","einhalten","lebendig","spanische","zuschuss","personalausweis","mark","liebe","zivilen","holland","welle","gremium","verhinderung","wiesbaden","verbleib","modernisieren","sachliche","sockelbetrag","bundesverfassungsgericht","rundfunkanstalten","parteien","parteien","sed","heuer","mfs","akten","enquetekommission","kommission","ostdeutschen","sed","entschädigung","entschädigung","entschädigung","neuen","ostdeutschen","ostdeutschland","neuen","ddr","ddr","länder","einheit","sachsen","bundesländern","ostdeutschland","altschulden","bundesländern","bundesländern","neuen","einheit","bundesländern","ostdeutschen","ost","bundesländern","ost","ostdeutschland","bundesländern","ostdeutschen","ddr","westen","einheit","rentenversicherung","west","ostdeutschen","ostdeutschen","westen","osten","osten","westen","ostdeutschen","ddr","west","ost","ost","thüringen","thüringer","wiedervereinigung","westen","ost"
"7","regelung","dienst","legion","öffentlichen","verbrieften","ansprüche","unterhaltshilfe","kunze","schäden","oberfinanzdirektionen","geschädigten","kapitalverkehrsteuergesetzes","lindenberg","golddiskontbank","aktionäre","sympathiewerbung","telegramms","lieferung","klausel","genehmigungen","darlehensvertrages","hauptversammlung","marke","unternehmen","prüfer","stoffbesitzer","lagos","briefwahl","verwaltungsbehörden","regierung","ddr","empfangen","spitzengliederung","beziehungen","gleissner","schmidt","langweilen","grundzug","parallelität","walz","stiftung","presseunternehmen","aufgreifkriterium","falschen","petenten","kollege","abteilungen","dienstbefreiung","bundesverwaltung","prämie","teilnehmern","petenten","schwer","meeresschätze","trainer","unsinnig","angeblich","zweier","demokraten","koalition","aufklärung","journalisten","mandate","rechtsrheinischen","rüstungskontroll","plötzlich","bayern","vollmer","stavenhagen","bertelsmann","wahl","lafontaine","vermögen","einheit","koordinierung","schönberg","akten","entschädigung","sed","ostdeutschen","rehabilitierung","ehemaligen","hacker","aufarbeitung","bundesländern","neuen","bundesländern","bundesländern","ostdeutschen","massstäbegesetz","ostdeutschland","aufbau","west","sachsen","westen","ga","ostdeutschen","bundesländern","goll","ostdeutschen","einheit","neuen","west","westen","un","neuen","de","ostdeutschen","ostdeutschen","lohnunterlagen","renten","einheit","westen","westen","einheit","ostdeutschland","ostdeutschland","rentenrecht","einheit","wi","un","west","treuhand","einheit","westen","ostdeutschen","west","west"
"8","entschädigung","angestellten","lastenausgleichsgesetz","geschädigten","entschädigung","nationalsozialistischen","bundesentschädigungsgesetz","hauptentschädigung","geschädigten","reichsautobahnen","rechtsfrage","bundesbank","abfindung","bundesbank","entschädigung","films","films","ausfuhrliste","französische","präferenzen","kunstrichtung","publizität","liquidation","prüfer","stempel","südeuropäischen","deringer","ig","öffentliche","haas","illustrierten","rechtsradikalen","kilogramm","dr","sitz","darin","lehrkräfte","unbefriedigenden","parat","daten","journalisten","meinungsvielfalt","verlage","gestrichen","tilgungsregelung","dollar","frequenz","sendung","eingaben","zinsgewinne","führten","kolbow","derartige","übereinkommen","systematische","demokratie","klare","unruhe","göttinger","himmel","jordanischen","müssen","sitzverteilung","rückgliederung","frau","angaben","winkel","partei","egpartner","unentgeltlich","august","gysi","einheit","ddrgeschichte","untersuchungsausschuss","antiquitäten","hacker","schalckgolodkowski","wurden","ehemaligen","rückgabe","neuen","luther","ostdeutschland","sed","pds","osten","einheit","ostdeutschland","aufbau","west","bundesländer","ostdeutschen","westen","ostdeutschen","regionen","einheit","aufbau","leipzig","regionen","regionen","ostdeutschen","ostdeutschen","alten","westen","ostdeutschen","einheit","west","neuen","ddr","lebensleistung","is","datenbankgrundbuch","regionen","angleichung","west","wiedervereinigung","fremdrentenrecht","angleichung","osten","dat","westen","west","west","sed","west","ostdeutschland","gleichwertige"
"9","gesetzes","zuwendungen","regelung","vorfinanzierung","reichs","gesetz","versicherungsunternehmen","hausratentschädigung","vertragliche","bund","behördenhandel","neuburger","besitz","obligationen","ehemaligen","filmen","notare","bundesregierung","beschwerdeführer","klausel","herford","konzern","beschränkter","verschobenen","verwaltung","amberg","dr","deringer","urkunde","zusatzfrage","quick","untergraben","illustrierten","kontrollen","dokumentation","spd","verwaltungsmässige","unausgewogenheit","ausschaltung","medienpolitik","becker","rundfunk","göttingencomment","marx","fusionen","spies","hai","hilfestellung","petent","überschüsse","verzögerungen","verdienst","vorgang","lebenden","parlament","diejenigen","schafft","renger","trassen","rundfunkanstalt","umbau","mathematischen","technologieaustausch","neugliederung","erzwungen","oper","mithin","welle","vereinsförderungsgesetz","direktwahl","gesamtdeutschen","einigungsvertrages","volkskammer","volkskammer","akten","untersuchungsausschuss","untersuchungsausschusses","eigentum","ehemaligen","einigungsvertrag","schwanitz","hacker","heuer","hacker","neuen","osten","ostdeutschland","schwanitz","aufbau","ostdeutschland","aufbau","ostdeutschland","bundesländer","ostdeutschen","bundesländer","ostdeutschen","neuen","einheit","ostdeutschland","west","bundesländer","west","westen","west","is","seen","neuen","nutzer","angleichung","angleichung","ostdeutschen","en","ostdeutschland","neuen","rentenwert","westen","ostdeutschen","jagd","ostdeutschland","is","rudel","ostdeutschen","wiedervereinigung","westen","bundesländer","ostdeutschland","härtefallfonds","ostdeutschen"
"10","lastenausgleichs","dienstes","lastenausgleich","regelung","reich","geschädigten","unehelichen","lastenausgleich","bahnübergänge","abgeltung","personen","schuldscheine","liquidation","anteilseignern","missbräuche","kopien","verkehrszeichen","abgeschlossen","münchen","ausgewertet","göppingen","aktionäre","unwahrheiten","prüfungsverfahren","land","fand","staatssekretär","zebisch","uhr","abgeordneter","flüchtlingsvermögens","einfach","worden","teilbereiche","münchen","aufträge","verständlicher","verwaltungsrat","beförderung","wirtschaftliche","verlage","journalisten","marktwirtschaftlichen","giesskanne","curdt","illustrierten","tornado","örtlichen","petitionsrecht","ausschuss","steigerungsraten","zusatzfrage","zeit","demokratie","einmütig","renger","leisteten","ärztlichen","mischfutter","präsidenten","gehältern","geschäfts","herr","befragung","machten","hinkt","ergibt","schatzmeister","partei","rias","ministerpräsident","gesamtdeutschen","oktober","einigungsvertrag","schalckgolodkowski","behörde","einigungsvertrag","heuer","enquetekommission","seddiktatur","krüger","einigungsvertrag","sachsen","alteigentümer","aufarbeitung","staatsminister","schwanitz","west","westen","solidarpakt","ländern","ostdeutschen","einheit","stundenwoche","einheit","bundesländer","aufbau","sachsen","jahre","investitionszulage","west","westen","bundesländer","einheit","ok","bvvg","bundesländern","eigentümer","bundesländern","ostdeutschen","einheit","ostdeutschland","bundesländern","gleicke","bundesländern","bundesländern","wölfe","ostdeutschen","rentenangleichung","ok","wolfes","ddr","westen","wiedervereinigung","regionen","westen","ostdeutsche","staatsminister"
