"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","fernsehen","gewerkschaften","rundfunkanstalten","filmwirtschaft","barzel","urheber","presse","anstalten","urheber","sender","gesamtdeutsche","presse","presse","diehl","bundeszentrale","presse","ahlers","schriftsteller","ahlers","presse","ahlers","presse","presse","journalisten","chef","steiner","guillaume","chef","bölling","bölling","öffentlichkeitsarbeit","bayerischen","urteil","urteil","öffentlichkeitsarbeit","bürgschaft","mad","bundesrechnungshofes","öffentlichkeitsarbeit","kontrollkommission","rechnungshof","vorwurf","kampagne","leinen","rechnungsprüfungsausschuss","kleinert","ded","unfall","rechnungshof","rechnungshof","parlaments","plenarsaal","parlaments","antarktis","sitzordnung","antarktis","parlament","parlament","berlin","berlin","berlin","berlin","wache","berlin","berlin","berlin","abgeordneten","berlin","überhangmandate","conradi","wahlkreise","dat","parteien","bannmeile","enquetekommission","beamten","wahlkreise","bundesbank","mitwirkungsrechte","links","beamten","reparaturklausel","öpp","mitbestimmung","mitbestimmung","offenlegung","gmbh","mitbestimmung","telekom","manager","unternehmen","unternehmen","unternehmen","unternehmen","hochtief","unternehmen","unternehmen","unternehmen","unternehmen","genossenschaften","unternehmen","handwerk","unternehmen","unternehmen","unternehmen","mitbestimmung","fortbildungspflicht","siemens","ryanair","hauptversammlung","aufsichtsrat","unternehmen","vernichten","kammern","nkr"
"2","berliner","berliner","zonenrandgebiet","sontra","berliner","berliner","berliner","berliner","fernsehen","berliner","berliner","kühn","kühn","rundfunk","rundfunk","filmwirtschaft","westdeutschen","gesamtdeutsche","urheberrecht","zeugnisverweigerungsrecht","fernsehen","urheberrecht","presse","zeitungen","zeitungen","zeitungen","bundespressechef","presse","journalisten","bundespressechef","ehmke","presse","öffentlichkeitsarbeit","informationsamtes","ahlers","pressereferat","presse","grabert","guillaume","ehmke","bölling","schlei","schüler","bölling","staatssekretär","öffentlichkeitsarbeit","verfassungsgericht","bölling","schlecht","josef","bundesrechnungshof","sender","beschwerden","rechnungsprüfungsausschuss","pcb","ablösung","versicherungsaufsichtsgesetz","bundesrechnungshof","geheimdienste","köhler","kleinert","bundesrechnungshof","kühbacher","plenarsaal","plenarsaals","hammbrücher","bundestages","bundestages","bauschäden","antarktis","geschäftsordnung","entscheidung","parlament","bonn","bundestages","bannmeile","umzug","parlament","bundestages","parlament","häfner","berlin","nebentätigkeiten","wahlrecht","de","bannmeile","wahlrecht","sekten","wahlrecht","krefeld","beamten","zollkriminalamt","euaussengrenze","dienst","automobilindustrie","öffentlichen","opel","regierungssprecher","gmbh","diäten","mitarbeiterbeteiligung","airbus","unternehmen","gmbh","mitarbeiterbeteiligung","akkreditierungsstelle","spenden","unternehmen","telekom","bonn","schlecker","genossenschaften","unternehmen","insolvenzverwalter","meisterbrief","one","syndikusanwälte","abschlussprüfer","unternehmen","fortbildung","unternehmen","piloten","aufsichtsrat","hauptversammlung","lufthansa","lufthansa","hingegen","ern"
"3","berlins","notopfer","zonenrandgebieten","berliner","notopfer","viermächtestatus","berlins","mannheim","berliner","bundesgebiet","rundfunk","fernsehen","fernmeldewesen","rundfunkanstalten","kühn","film","besold","rundfunk","fernsehen","film","presse","urhebers","rundfunk","gesamtdeutschen","zeitschriften","schulzevorberg","presse","diehl","sänger","presse","öffentlichkeitsarbeit","informationsamtes","journalisten","presse","informationsamtes","aufgaben","vertretung","bundeskanzleramtes","zeugen","bundeskanzleramt","bundeskanzleramtes","vertretung","abgeordneter","urteil","bölling","bundesverfassungsgericht","bundesverfassungsgericht","staatssekretär","treuarbeit","untersuchungsausschuss","rechnungsprüfungsausschuss","rühl","untersuchungsausschuss","bundesrechnungshof","oktober","atomwaffenfreien","goetheinstitut","rapp","kontrolle","entwicklungshelfer","bundesrechnungshof","bundesrechnungshofes","kapitalvermögen","parlamentarischen","kleinert","parlamentsreform","parlament","plenarsaal","bauschadensbericht","parlaments","pds","hauptstadt","bundestages","föderalismuskommission","parlament","berlin","konzeptkommission","beschluss","sitzordnung","parlaments","abgeordneten","umzug","übergangsgeld","verkleinerung","is","parlament","parteien","psychogruppen","belle","friese","beamtenversorgung","volksbegehren","bundesbank","reparaturklausel","krings","abgeordnete","bochum","gewerkschaften","aktionäre","altersversorgung","investivlohn","unternehmens","gmbh","korruption","aufsichtsrat","aufsichtsräte","mitbestimmung","acs","oecdleitsätze","aufsichtsräte","aufsichtsrat","rechtsform","kammern","energiegenossenschaften","unternehmen","syndikusanwälte","aktiengesellschaften","wirtschaftsprüfer","genossenschaften","leitsatz","görlitz","unternehmen","vorstände","fache","blockchaintechnologie","post","unternehmerische","desaströsen"
"4","stadt","berlins","zonenrandgebiete","berlins","berlins","berlins","stadt","sitz","rundfunkanstalten","werbung","programm","werbung","heck","fernsehens","post","welle","berlin","anstalt","urheberrechts","rundfunk","rundfunk","werke","empfangen","rundfunk","film","kommission","zeitungen","bundespressechef","berichterstattung","pressefreiheit","presse","chef","radio","chef","chef","dienstes","chef","presse","wienand","chef","schüler","staatssekretärin","bundesbank","bundesverfassungsgericht","herr","bundesverfassungsgerichts","bölling","urteil","beton","franz","bundesverwaltungsamt","technischen","untersuchungsausschusses","bnd","grenzschutzkommando","festgestellt","zonen","kleinert","haushaltskontrolle","rapp","heilbronn","bundesnachrichtendienstes","bundesrechnungshof","kontrolle","sitzordnung","geschäftsordnung","fraktionen","kleinert","parlament","geschäftsordnung","museum","parlament","parlaments","beschluss","parlaments","gedenkstätte","bonn","berliner","parlament","diäten","stiftungen","reformkommission","bezüge","überhangmandate","ick","präsidium","volksbegehren","handlungsempfehlungen","dienst","wahlkreis","kemper","demokratie","politikverdrossenheit","öffentlichen","beamten","dienstes","arbeitnehmer","opel","hauptversammlung","abgeordneten","unternehmens","unternehmen","managergehälter","aufsichtsrat","korruption","aufsichtsrat","parteiengesetz","aufsichtsräten","mitbestimmung","vorstände","transfergesellschaft","genossenschaft","berufe","insolvenzverfahren","meister","bürokratie","gläubiger","abschlussprüfers","rechtsform","karo","beschäftigten","mal","unternehmen","itkonsolidierung","aufsichtsrat","altparteien","dihk","wüst"
"5","kriegsgefangenen","heimkehrer","brökelschen","eschwege","aufbauplan","stadt","brandt","stadt","programm","stadt","eid","programm","rundfunkanstalten","programm","speditionsnahverkehr","rundfunk","bundesgebiet","forschungsanstalt","presse","pressefreiheit","rundfunkanstalten","verwertungsgesellschaften","lemmer","drüben","kommission","güntherkommission","fernsehen","moersch","pressekommission","anzeige","ahlers","öffentlichkeitsarbeit","ahlers","staatssekretär","künstler","presserat","verordnung","informationsamtes","untersuchungsausschuss","schlei","presse","journalisten","staatssekretär","abgeordneter","abgeordneter","rechnungsprüfungsausschuss","dokumentation","wahlplattform","monierbau","strauss","bundesrechnungshofs","vorgänge","parlamentarischen","bundeskanzleramt","präsidenten","verlauf","bundesrepublik","rechnungshof","herauszuhalten","volksentscheid","ostkollegs","bundesnachrichtendienst","kontrollkommission","exekutive","bundestages","abgeordneten","antarktischen","fraktionen","conradi","parlamentsreform","bundestages","bonn","bonn","umzug","abgeordneten","kollwitz","juni","bonner","umzug","berlin","conradi","wahlkreise","berlin","reformkommission","wi","staatssekretäre","demokratie","volksentscheid","parteien","wahlkreiskommission","versorgungsrücklage","bundesebene","klassenkampf","besoldung","öffentlichen","beamten","karstadt","dementi","unternehmen","limited","aufsichtsrat","aufsichtsrat","abfindungen","telekom","vw","gewerkschaften","parteien","aktionäre","parteienfinanzierung","daxunternehmen","vorstände","partnerschaftsgesellschaft","freien","gesellschaften","handwerker","mitbestimmung","börse","grünbuch","aufsichtsrat","gesetzesantrag","mitbestimmung","streikrecht","aktionäre","vergütung","aktionäre","aktionäre","zentralisierung","mitgibt"
"6","heimkehrer","stadt","hilfsmassnahmen","arndt","stadt","gesamtdeutsche","sitz","rundfunkanstalten","rundfunk","berlins","werbung","heck","fernsehen","auftrag","ausbaustufe","verbraucheraufklärung","technischen","sendung","anstalten","fernsehen","blumenfeld","schutzfrist","rundfunkanstalten","gegenseitigkeit","fernsehen","fernsehen","rundfunk","zeitungen","rundfunk","propaganda","journalisten","information","anstalt","abgeordneter","abgeordneter","bnd","wechmar","göbel","ehmke","presse","informationsamtes","öffentlichkeitsarbeit","broschüre","herr","anzeigen","verfassungsgericht","presse","schröder","banken","dienste","rechnungshof","regierungssprecher","parlamentarische","bundesrechnungshofes","kontrolle","garten","erwähnten","sprachförderung","arbeitsbeschaffung","informationen","bundesrechnungshofes","parlament","parlamentarischen","gremium","parlament","kleinert","hammbrücher","vizepräsidenten","museum","bundestages","gruppe","stadt","museum","parlament","wasserwerk","käthe","reichstag","künstler","reisen","stiftungen","parlament","überhangmandaten","stiftungen","übergangsgeld","un","parlamentarischen","de","parteien","wahlrechts","beamten","briefwahl","volksinitiative","steueroasen","beamtinnen","designschutz","bundesebene","gesellschaft","fotodiskette","mitbestimmung","arbeitskampf","vorstände","korruption","diäten","nokia","aktionäre","aktionäre","sponsoring","übernahmen","leitsätze","aufsichtsräten","unternehmens","haftung","mitbestimmung","aufsichtsräten","berufe","kapitalgesellschaften","insolvenzordnung","aufsichtsrat","managergehälter","bürokratieabbau","konzern","standort","vergütung","unternehmen","bmw","ruin","afdbundestagsfraktion","wohle"
"7","bundesregierung","sowjetzone","hilfe","stadt","notopfers","notopfer","gesamtdeutsche","friedensburg","anstalten","programm","berlins","rundfunk","rundfunks","sender","fernmeldewesen","fernsehen","westdeutsche","fernsehanstalten","rundfunk","journalisten","welle","rechte","fernsehsender","fernsehen","films","bundespressechef","staatssekretär","politische","maassen","information","bundesnachrichtendienst","anzeige","rundfunk","journalisten","staatssekretär","bundesnachrichtendienst","vertretungen","wechmar","schäuble","nollau","schlei","staatssekretär","herr","bundesverfassungsgerichts","haase","rechnungshof","wahltag","bundeskanzleramt","staatssekretär","nachrichtendienste","monierbau","ag","beratungsstelle","beratungsstelle","bundesinnenminister","bundesarchivs","versicherungsschutz","rundfunkanstalten","volierenhaltung","mitarbeiterkonferenz","marburg","exekutive","rechnungsprüfungsausschuss","parlament","parlaments","parlament","parlamentarischen","fraktion","parlaments","hammbrücher","parlamentsreform","parlaments","abgeordneten","verlagerung","beschluss","parlament","parlament","schürmannbau","zählverfahren","verkleinerung","diäten","wahlrecht","übergangsgelder","abgeordneten","nich","bundestages","marschewski","abschlussbericht","demokratie","dienst","demokratie","volksentscheid","sozialbeirats","öffnungsklausel","dienst","interessengemeinschaft","aufsichtsrat","prozessvertreter","aktiengesellschaften","rechtsform","unternehmen","eads","altersversorgung","arbeitnehmer","hauptversammlung","akkreditierung","aufsichtsrat","aufsichtsräte","aufsichtsräte","unternehmens","aufsichtsräte","kapitalgesellschaften","tstg","aufsichtsräte","gewerke","aufsichtsrat","aktien","unternehmens","unternehmensmitbestimmung","weitsicht","verantwortung","regierung","managergehälter","merkel","sixt","alten","endlich","bürger"
"8","bundesrepublik","kriegsgefangenen","berliner","arbeitskräfte","senat","brökelschen","hauptstadt","hauptstadt","kühn","bundesbevollmächtigten","mitwirkung","rundfunkanstalten","anstalten","rundfunks","organisationsform","rundfunks","qualität","fernsehens","zeitungen","gesamtdeutsche","arndt","film","fernsehen","eckardt","rundfunk","rundfunk","bundeszentrale","urheber","zeitungen","ehmke","künstler","staatssekretär","information","bundesregierung","broschüre","ehmke","informationsamtes","ehmke","untersuchungsausschusses","bnd","öffentlichkeitsarbeit","gaus","öffentlichkeitsarbeit","urteils","akten","herr","bayerischen","presse","carstens","untersuchungsausschusses","beton","vorwurf","vertretungen","rechnungshofes","herr","quantität","ausland","bundesrechnungshofes","rapp","grundsätze","rechnungshof","wahl","parlaments","baukonservatorische","parlamentarischen","verwaltung","parlaments","parlaments","bundestages","fraktionen","vizepräsidenten","regierungssitz","deutschen","konzeptkommission","entscheidung","mahnmal","beschluss","region","sitz","einkünfte","diätenerhöhung","parlament","beamten","bundestages","ook","vizepräsidenten","plebiszitärer","volksentscheide","kemper","kemper","volksentscheid","zollfahndungsdienst","chipkarte","saisonarbeitskräfte","öffnungsklauseln","lvaen","unternehmensmitbestimmung","handelskammer","rechtsform","beamte","arbeitnehmer","beschäftigten","vorstände","gewerkschaften","vwgesetz","hauptversammlung","spende","unternehmens","unternehmens","frauenquoten","vorstand","kleinstkapitalgesellschaften","handwerk","konzern","meisterpflicht","unternehmens","rentenversicherung","steuerberatung","boni","schädigen","unternehmerische","unternehmerische","aktionärsrechterichtlinie","wagen","sattelberger","unternehmen","regierung","afdfraktion"
"9","bevölkerung","zone","frau","senat","bundeszuschusses","heimkehrer","friedensburg","gesamtdeutsche","werbefernsehen","westberlin","schwöre","anstalt","bund","fernsehprogramm","meinungsbildung","warentests","schwer","anstalten","luitpoldhütte","beschlagnahme","ard","presse","anstalten","bürgermeister","filme","film","scheel","staatssekretär","gütt","journalisten","aufgaben","ehmke","auswärtigen","herr","herr","nachrichtendienstliche","bundeskanzleramt","staatsanwaltschaft","presse","bölling","bnd","wochenschau","jaeger","anzeigen","öffentlichkeit","bölling","bundesverfassungsgerichts","papier","emstek","material","steuergeldern","stellte","rauschenbach","beschwerden","mitarbeiter","bundesrechnungshofes","dokumentation","kontrolle","verschrottet","luuk","parlaments","legislative","exekutive","bundeshaushaltsordnung","neubau","exekutive","mineralischen","plenarsaals","kontrollkommission","kinderkommission","parlaments","sitz","museums","bundestages","bonn","conradi","bundestages","bundestages","berliner","parlamentsreform","rechtsstellungskommission","verkleinerung","schmidt","demokratie","nu","fraktionen","plebiszite","plebiszite","diäten","wahlkreisen","volksbegehren","häfner","abgegebenen","verschiebung","finanzverfassung","beamte","unternehmens","öffentlichen","gehälter","aufsichtsrat","verschmelzung","konzern","aktienoptionen","eugh","unternehmens","transparenz","unternehmensmitbestimmung","übernahmerecht","squeezeout","zwangsquote","aufsichtsräten","beschränkter","handwerkskammern","unternehmens","handwerks","rentenversicherung","aktiengesellschaft","unabhängigkeit","genossenschaft","unternehmen","entlassungen","fliegt","subunternehmen","aktionäre","vorstand","postdienstleistungen","ausser","durchsetzungsfähigkeit"
"10","hilfe","sowjetischen","massnahmen","hessischen","überleitungsgesetzes","zonenrandgebiet","sender","zone","werbung","zone","sender","fernsehprogramm","kirchen","film","organisation","sender","westdeutschland","müser","urhebers","aussageverweigerungsrecht","werbung","künstler","rundfunks","mitteldeutschland","rundfunkanstalten","meinungsfreiheit","zeitschriften","fernsehen","zeitung","staatssekretär","bnd","broschüre","sozialenquete","pressefreiheit","anzeigen","briefe","korrespondenten","herr","bundeskanzleramt","guillaumes","waffengeschäften","bundeskanzler","broschüren","haase","gerlach","rechnungshofes","veröffentlichung","herr","juli","lockheed","öffentlichkeit","sicherheitsvorkehrungen","oktober","mitarbeiter","begründete","grenzkommission","läge","exekutive","beteiligung","exekutive","rechnungshofes","pkk","parlament","parlamentarische","vizepräsidenten","plenum","ressourcenaktivitäten","deutschen","architektur","fraktion","fraktionen","symbol","entscheidung","ministerien","historische","entscheidung","ältestenrates","reichstag","gebäude","entschädigung","bundestages","schmidt","sparbeitrag","parlament","wat","geschäftsordnung","politikverdrossenheit","lebensbewältigungshilfe","friese","wahlkreisreform","volksinitiative","kuhn","kap","übertragung","beamtinnen","satzung","gewerkschaften","amerikanische","vorstände","berninger","manager","vorstand","gehälter","unternehmens","arbeitnehmer","gesellschaften","parteienfinanzierung","spenden","vorstände","aktiengesellschaften","quote","csr","genossenschaft","insolvenzrecht","betriebe","anwälte","syndikusanwalt","abschlussprüfung","fache","frau","werke","investoren","begrenzung","herren","adidas","bürger","merkel","tagesgeschäft"
