"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sozialversicherung","bundesarbeitsminister","rentenversicherung","krankenversicherung","rentenversicherung","rentner","rente","rentenversicherung","schellenberg","schellenberg","unfallversicherung","renten","krankenversicherung","schellenberg","krankenversicherung","renten","schellenberg","unfallversicherung","krankenversicherung","dm","rentenversicherung","rentenversicherung","unfallverhütung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","lohnfortzahlung","rentner","katzer","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","altersgrenze","rentenversicherung","kriegsopfer","krankenversicherung","krankenversicherung","krankenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","altersgrenze","rente","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","ehrenberg","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","blüm","rentenversicherung","blüm","krankenversicherung","rentenversicherung","blüm","blüm","rente","krankenversicherung","krankenversicherung","krankenversicherung","pflegeversicherung","pflegeversicherung","pflegeversicherung","pflegeversicherung","positivliste","pflegeversicherung","krankenversicherung","rentenversicherung","rentenversicherung","seehofer","krankenversicherung","patienten","pflegeversicherung","rentenreform","gesundheitswesen","krankenversicherung","krankenversicherung","krankenversicherung","patienten","rente","pflegeversicherung","pflegeversicherung","krankenkassen","rentenversicherung","rente","krankenkassen","rente","rente","rente","krankenkassen","krankenversicherung","krankenversicherung","krankenversicherung","patienten","versorgung","patienten","patienten","pflege","patienten","pflege","versorgung","pflege","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","pflege","pflege"
"2","renten","sozialversicherung","renten","rentner","leistungen","renten","renten","rente","renten","renten","renten","kriegsopfer","versicherten","unfallversicherung","versicherten","schellenberg","bilanzen","krankenversicherung","renten","rentenversicherung","renten","angestellten","schellenberg","schellenberg","schellenberg","rentner","angestellten","unfallversicherung","arbeiter","rentenversicherung","sozialbericht","gesetzlichen","rentner","rentner","rentner","frauen","rentner","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","renten","selbstverwaltung","krankenversicherung","krankenversicherung","rentner","rentenversicherung","rentenversicherung","renten","rentner","franke","krankenversicherung","rentner","sozialhilfe","bundesanstalt","sozialpolitik","selbstbeteiligung","sozialpolitik","renten","blüm","rentner","blüm","rentner","rente","kindererziehungszeiten","blüm","krankenversicherung","blüm","krankenversicherung","gesundheitsreform","rente","renten","versicherten","versorgung","patienten","pflege","pflege","rentenversicherung","krankenversicherung","krankenversicherung","rentenversicherung","rentenversicherung","krankenversicherung","pflegeversicherung","rente","rentenversicherung","pflegeversicherung","rentner","rentenversicherung","patienten","patienten","patienten","krankenkassen","krankenversicherung","rentenversicherung","praxisgebühr","versicherten","beiträge","krankenversicherung","rentenversicherung","versicherten","patientenverfügung","rentenversicherung","rentner","patienten","patientenverfügung","patienten","versicherten","versicherten","patienten","praxisgebühr","praxisgebühr","patienten","versorgung","sterben","patienten","patienten","patienten","patienten","versorgung","pflegekräfte","patienten","organspende","patienten","patienten","patienten","patienten","pflegekräfte"
"3","kriegsopfer","kriegsopfer","rentner","ärzte","witwen","rente","rentenversicherung","angestellten","rente","bundesarbeitsminister","bundesarbeitsminister","kriegsopferversorgung","arzt","krankenversicherung","arbeiter","unfallversicherung","bilanz","rente","anpassung","renten","krankenkassen","dm","rentenversicherung","stingl","sozialpolitik","krankenversicherung","sozialpolitik","kriegsopferversorgung","schellenberg","schellenberg","sozialbudget","angestellten","katzer","selbständigen","krankenversicherung","rente","altersgrenze","dynamisierung","rentner","altersversorgung","gesetzlichen","katzer","rentenversicherung","rentner","krankenkassen","renten","flexiblen","renten","rente","renten","sozialpolitik","rentner","ehrenberg","arbeit","krankenversicherung","krankenversicherung","krankenversicherung","blüm","rentner","krankenkassen","renten","rente","renten","blüm","älteren","rente","versicherten","rentenversicherung","rente","rentenversicherung","rentner","rentenversicherung","blüm","gesetzlichen","versicherten","rentenversicherung","pflegebedürftigen","rente","pflege","seehofer","krankenversicherung","krankenkassen","krankenkassen","rente","riester","rente","rente","rente","rente","ärzte","krankenkassen","versorgung","rentenversicherung","gesundheitswesen","rentner","krankenversicherung","rentenversicherung","rentenversicherung","rente","krankenversicherung","krankenversicherung","patienten","pflege","krankenkassen","versicherten","rente","kopfpauschale","patienten","pflege","ärzte","pflege","patientinnen","versorgung","hebammen","sterbehilfe","ärzte","versorgung","hebammen","versorgung","pflegeversicherung","krankenversicherung","versorgung","ärzte","versorgung","pflegekräfte","versorgung","krankenhäuser","patienten"
"4","rentenversicherung","leistungen","bundesarbeitsminister","versicherten","rentner","rentenversicherung","schellenberg","arbeiter","krankenversicherung","anpassung","familienausgleichskassen","schellenberg","rentenversicherung","renten","schellenberg","rentenversicherung","bundesarbeitsminister","schellenberg","rentenversicherung","familienausgleichskassen","rente","versicherten","bericht","renten","selbstverwaltung","angestellten","mischnick","renten","krankenversicherung","katzer","rentenversicherung","rentenversicherung","renten","rente","katzer","rentenversicherung","katzer","renten","versicherten","sozialordnung","rentner","krankenversicherung","müller","renten","altersgrenze","franke","herabsetzung","franke","müller","rente","rente","ehrenberg","franke","rentenversicherung","nürnberg","rentner","blüm","rente","sozialpolitik","bundesanstalt","rente","arbeitslosen","blüm","sozialpolitik","rentenversicherung","krankenversicherung","leistungen","versicherten","blüm","rente","dressler","polikliniken","rente","kirschner","gesundheitswesen","dm","leistungen","krankenversicherung","dressler","sozialhilfe","krankenkassen","versicherten","seehofer","krankenkassen","krankenversicherung","patienten","rentner","patienten","vorsorge","versorgung","versicherten","versicherten","gesetzlichen","gesetzlichen","patienten","rentenversicherung","krankenkassen","versicherten","beitragssatz","kolb","gesundheitsreform","pflege","altersvorsorge","rentenversicherung","krankenversicherung","menschen","versicherten","gesetzlichen","krankenkassen","versicherten","krankenversicherung","krankenkassen","patientinnen","pflege","menschen","pflege","krankenhäuser","versorgung","krankenkassen","krankenversicherung","pflegeversicherung","ärzte","pflege","angehörigen","versorgung","krankenhäuser","krankenhäusern","pflegebonus"
"5","leistungen","horn","rente","rentenversicherung","beiträge","sozialreform","rentner","schellenberg","versicherten","rentenversicherung","anpassung","rente","schellenberg","bundesarbeitsminister","beiträge","rente","rentenversicherung","stingl","schellenberg","rente","schellenberg","schellenberg","berufsgenossenschaften","dm","versicherten","schellenberg","alters","schellenberg","angestellten","renten","sozialpolitik","sozialordnung","sozialordnung","schellenberg","renten","rentner","rente","rentenversicherung","sozialordnung","gesetzlichen","krankenkassen","rentner","sozialversicherung","rente","witwen","rente","ehrenberg","ehrenberg","blüm","krankenversicherung","blüm","franke","krankenversicherung","sozialordnung","arbeit","blüm","gesetzlichen","rentner","rente","arbeit","blüm","sozialpolitik","rente","renten","arbeitslosen","sozialpolitik","gesundheitswesen","rente","versicherten","krankenversicherung","dm","blüm","dm","versicherten","ärzte","krankenversicherung","psychotherapeuten","dressler","krankenkassen","pflegeversicherung","leistungen","seehofer","rente","krankenversicherung","rentenversicherung","zuzahlungen","krankenversicherung","krankenversicherung","riester","krankenkassen","gesetzlichen","gesetzlichen","patienten","rente","krankenversicherung","rentner","krankenversicherung","patienten","soziale","krankenkassen","reform","versicherten","menschen","patienten","gesundheitsfonds","rentenversicherung","rösler","krankenkassen","pflegeversicherung","krankenkassen","versicherten","versicherten","ärzte","krankenkassen","versorgung","menschen","ärzte","krankenhäusern","versicherten","pflegekräfte","versorgung","spahn","versorgung","organspende","krankenkassen","krankenversicherung","versorgung","gesundheitswesen"
"6","antrag","erhöhung","sozialversicherung","sozialreform","versicherten","leistungen","angestellten","kalinke","beiträge","reform","gesetz","anpassung","bundesarbeitsminister","rentenversicherung","geiger","rentner","versicherungstechnischen","arbeiter","rentner","schellenberg","sozialpolitik","arbeiter","sozialpolitischen","beiträge","krankenversicherung","spitzmüller","hinterbliebenenversorgung","sozialpolitik","spitzmüller","krankenversicherung","arbeitnehmer","rentner","rente","katzer","rente","flexiblen","franke","altersversorgung","gesetzlichen","sozialbudget","versicherten","rente","renten","franke","gesetzlichen","kriegsopfer","sozialpolitik","krankenversicherung","krankenversicherung","sozialhilfe","ehrenberg","gesetzlichen","bundesanstalt","franke","leistungen","arbeit","vogt","renten","blüm","selbstverwaltung","krankenversicherung","renten","kindererziehungszeiten","rentner","kriegsopfer","renten","dm","reform","reform","dressler","renten","dressler","rentner","psychisch","krankenhaus","rente","kompensation","dm","leistungen","gesetzlichen","sozialhilfe","kassen","versicherten","gesetzlichen","pflegeversicherung","gesundheitswesen","rentenversicherung","rentenversicherung","gesetzlichen","versicherten","gesundheitspolitik","rente","gesundheitswesen","krankenhäuser","rentnerinnen","gesetzlichen","zahnersatz","gesundheit","kolb","gesetzlichen","versorgung","rentenversicherung","gesetzlichen","unfallversicherung","kassen","patienten","krankenkassen","rösler","krankenversicherung","pflege","krankenkassen","ärzte","krankenhäuser","versicherten","ärzte","gesundheit","patientinnen","altenpflege","pflegeversicherung","bürgerversicherung","patienten","organspende","widerspruchslösung","patientinnen","krankenhäusern","krankenhäusern","sterben","krankenhäuser"
"7","erhöhung","renten","erhöhung","leistungen","renten","krankenversicherung","beiträge","steigerungsbetrag","rentner","blank","schellenberg","bundesarbeitsminister","arbeiter","rente","krankenkassen","anpassung","anpassung","kriegsopferversorgung","rente","bilanzen","sozialordnung","renten","unfälle","bundesarbeitsminister","sozialversicherung","beiträge","sozialen","versicherten","rentenversicherung","rente","schellenberg","schellenberg","krankenversicherung","renten","sozialordnung","cducsu","schellenberg","anpassung","leistungen","franke","kriegsopfer","kriegsopfer","rentner","gesetzlichen","müller","ehrenberg","müller","altershilfe","rentner","gesetzlichen","beiträge","arbeit","leistungen","bundesanstalt","sozialordnung","franke","glombig","cronenberg","bundesarbeitsminister","mischfinanzierung","bundesarbeitsminister","älteren","älteren","sozialhilfe","rente","rentner","strukturreform","dressler","gesundheitsreform","krankenkassen","rentenversicherung","rentner","renten","dm","rente","leistungen","dm","rentner","sozialhilfe","ärzte","renten","gesetzlichen","gesetzlichen","rentenreform","patienten","versicherten","riester","renten","patienten","krankenversicherung","versorgung","leistungen","rente","leistungen","krankenkassen","rente","gesetzlichen","gesetzlichen","beiträge","patienten","kassen","menschen","alter","menschen","versorgung","versicherten","zusatzbeiträge","lauterbach","gesundheit","krankenversicherung","bahr","krankenversicherung","pflegeversicherung","gröhe","patienten","arzt","angehörigen","gesundheit","pflegekräfte","versicherten","krankenhäusern","widerspruchslösung","spahn","krankenkassen","krankenhäuser","patientinnen","patientinnen","krankenhäusern"
"8","versicherten","sozialpolitik","beiträge","bundesarbeitsminister","kindergeld","angestellten","versicherten","leistungen","stingl","sozialordnung","sozialpolitik","rentner","ärzte","sozialpolitischen","ruf","unfallverhütung","sozialpolitik","versicherten","sozialen","leistungen","dm","versicherungspflichtgrenze","bundesarbeitsminister","sozialpolitischen","soziale","rente","krankenversicherung","rente","lösung","anpassung","vermögensbildung","leistungen","arbeit","frauen","koalition","sicherung","flexiblen","leistungen","arendt","sozialen","sozialordnung","sozialpolitik","sozialpolitik","selbstverwaltung","rente","rentenanpassungsgesetz","krankenversicherung","altersgrenze","franke","rentenanpassungsbericht","rentenversicherungsträger","sozialpolitik","renten","rentner","beiträge","bundesanstalt","arbeit","sozialhilfe","gesetzlichen","rentner","rentnern","rentner","bundesarbeitsminister","kindererziehungszeiten","sozialpolitik","dressler","selbstbeteiligung","krankenkassen","renten","dm","rentenerhöhung","ärzte","gesundheitswesen","krankenkassen","krankenkassen","blüm","versorgung","pflege","gesetzlichen","rentenversicherung","gesetzlichen","leistungen","gesundheitswesen","blüm","sozialhilfe","gesetzlichen","gesundheitswesen","gesundheitspolitik","prozent","gesundheitspolitik","seehofer","gesundheitspolitik","krankenhäuser","versicherten","gesetzlichen","patienten","beiträge","krankenversicherung","menschen","rentner","gesetzlichen","reform","riesterrente","rentnerinnen","gesetzlichen","gesetzlichen","lauterbach","sozialausgleich","versorgung","gesetzlichen","patientinnen","arzt","leistungen","qualität","angehörigen","prävention","menschen","kleinschmeink","forschung","krankenhäuser","altenpflege","altenpflege","pflegeversicherung","spahn","krankenhaus","gesundheitswesen","sana","gesundheitssystem"
"9","dm","storch","schellenberg","schellenberg","reform","schellenberg","kalinke","dm","rentenversicherung","kalinke","kriegsopferversorgung","rentenversicherung","kostenbeteiligung","sozialpolitik","angestellten","sozialpolitik","blank","leistungen","sozialpolitischen","arbeit","rentner","beiträge","arbeitsunfälle","sozialpolitik","leistungen","versicherten","finanzänderungsgesetz","leistungen","arbeitsrechtliche","kriegsopferversorgung","leistungen","vorsorge","ehrenberg","beiträge","altersgrenze","katzer","renten","sozialen","arbeit","arendt","geissler","gesetzlichen","krankenkassen","katzer","rentner","rentnern","rentner","älteren","buschfort","sozialordnung","soziale","renten","arbeitslosenversicherung","arbeitslosen","rentenversicherungsträger","rente","rente","arbeit","arbeitnehmer","arbeitslosen","beiträge","arbeitslosengeld","glombig","arbeitslosen","bundesarbeitsminister","arbeitslosen","rentenversicherung","dm","rentenreform","renten","sozialzuschlag","versorgung","selbstbeteiligung","dressler","versorgung","pflegebedürftigen","krankenversicherung","renten","beamten","versorgung","rente","gesundheitswesen","rehabilitation","versicherten","versicherten","versorgung","krankenkassen","krankenkassen","rentner","seehofer","rentner","kranken","beiträge","system","versorgung","altersvorsorge","kolb","kassen","storm","renten","rente","pflegeversicherung","pflegeversicherung","altersvorsorge","krankenhäuser","versorgung","sozialausgleich","spahn","bahr","gesundheitswesen","ärzte","versorgung","menschen","krankenversicherung","suizid","sterben","gröhe","ärzte","psg","leistungen","ärzte","versicherten","krankenversicherung","widerspruchslösung","gesundheitswesen","krankenkassen","ärzte","versorgung"
"10","bundesarbeitsminister","selbstverwaltung","sozialreform","sozialversicherung","rente","bundesarbeitsminister","leistungen","sozialpolitischen","arbeiter","sozialpolitik","leistungen","bilanz","leistungen","reform","dm","stingl","kriegsopferversorgung","kostenbeteiligung","sonderzuschuss","sozialordnung","blank","rente","rente","sozialen","gesetzlichen","sozialpolitik","arbeiter","krankenversicherung","versicherungspflichtgrenze","kriegsopfer","arendt","gesetzentwurf","schellenberg","gesetzentwurf","anpassung","herren","krankenversicherung","gesetzlichen","rente","renten","leistungen","sozialen","sozialen","gesundheitswesen","ortskrankenkassen","kriegsopferversorgung","schwerbehinderte","rentner","gesetzlichen","soziale","renten","versicherten","missbrauch","blüm","arbeitslosengeld","renten","sozialpolitik","leistungen","krankenversicherung","sozialpolitik","rentenanpassung","hinterbliebenenrente","kriegsopfer","gesetzlichen","strukturreform","arbeit","dressler","renten","dressler","rentner","grauen","krankenkassen","krankenkassen","gesundheitswesen","gesetzlichen","kompensation","gesetz","lahnstein","rentenversicherung","krankenkassen","seehofer","selbstverwaltung","zuzahlung","beiträge","gesundheitswesen","krankenkassen","versorgung","inflationsrate","budgets","qualität","ärzte","seehofer","versorgung","krankenhäusern","gesundheitswesen","kolb","kopfpauschale","pflege","rentner","versicherten","rentenversicherung","ärzte","krankenversicherung","pflegeversicherung","rente","selbstständigen","gesetzlichen","kopfpauschale","patientinnen","patientinnen","arzt","pflege","versicherten","leistungen","leben","krankenkassen","krankenhäusern","patientinnen","gröhe","patienten","menschen","pflegekräfte","vergütung","medizinischen","patientinnen","spahn","kliniken","pflegenden"
