"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschland","europäischen","wiedervereinigung","wiedervereinigung","sowjetunion","wiedervereinigung","wiedervereinigung","atomwaffen","sowjetunion","wiedervereinigung","politik","sowjetunion","politik","staaten","deutschen","welt","berlin","vertrag","vertrag","politik","politik","schröder","frankreich","staaten","staaten","europa","politik","sowjetunion","ddr","sowjetunion","sowjetunion","politik","sowjetunion","deutschland","verträge","deutschland","ddr","ddr","vertrag","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","berlin","ddr","ddr","ddr","ddr","einheit","polen","vertrag","polen","polen","polen","polen","tschechischen","polen","tschechischen","erklärung","polen","kulturgüter","guernica","tschechischen","zwangsarbeiter","opfer","tschechischen","polen","tschechischen","vertreibungen","tschechischen","opfer","entschädigung","opfer","stiftung","stiftung","petitionsausschuss","dienstbeschädigungen","petitionen","opfer","petitionen","gysi","nva","ddr","stasi","ddr","ddr","aufarbeitung","namibia","aufarbeitung","aufarbeitung","ddr","petitionen","aufarbeitung","ddr","petition","hinterbliebenen","petitionen","opfer","petitionsausschuss","petitionen","opfer","opfer","opfer","kohl","aufarbeitung"
"2","deutschlands","politik","londoner","verträge","wiedervereinigung","welt","politik","sowjetunion","wiedervereinigung","deutschlands","staaten","abrüstung","aussenpolitik","welt","welt","europa","ollenhauer","europa","politik","bundeskanzler","staaten","staaten","nato","deutschland","beziehungen","staaten","europa","europa","deutschlands","politik","bundeskanzler","ddr","staaten","ddr","sowjetunion","ddr","vertrag","staaten","ddr","sowjetunion","sowjetunion","polen","menschenrechte","menschenrechte","menschenrechte","berlin","berlin","sowjetunion","menschenrechte","beziehungen","deutschen","berlin","beziehungen","beziehungen","beziehungen","berlin","beziehungen","deutschlandpolitik","beziehungen","polen","deutschen","menschenrechte","berlin","deutschen","berlin","berlin","ddr","berlin","berlin","einheit","einheit","ddr","vertrag","ungarn","deutschen","tschechischen","baltischen","deutschen","vertreibung","baltischen","sudetendeutschen","tschechischen","bundesversorgungsgesetz","tschechischen","vertriebenen","republik","entschädigung","tschechischen","tschechien","rechtssicherheit","zeman","opfer","unrecht","entschädigung","ddr","zollverwaltung","opfer","marschewski","wahlrecht","beitrittsgebiet","petitionsausschuss","ddr","petitionsausschuss","ddr","entschädigung","petitionsausschuss","ddr","petitionsausschuss","heimkinder","ddr","stöbe","petitionen","ddr","aufarbeitung","petitionsausschuss","ddr","schmerzensgeld","petitionsausschuss","betroffenen","petitionsausschuss","angehörigen","petitionen","ddr","ddr","juni","aufarbeitung","helmut","opfer"
"3","europäischen","saar","deutschlands","deutschlands","deutschlands","politik","saar","welt","politik","sowjetunion","aussenpolitik","politik","welt","vereinigten","staaten","staaten","bundeskanzler","politik","sowjetunion","staaten","europa","auswärtigen","deutschland","europa","sowjetunion","politik","ddr","staaten","politik","staaten","politik","nation","ddr","bundeskanzler","politik","politik","vereinten","sowjetunion","beziehungen","berlin","deutschland","polnischen","helsinki","helsinki","sowjetunion","sowjetunion","sowjetunion","berlin","sowjetunion","menschenrechte","polen","nation","deutschlandpolitik","polen","polen","beziehungen","deutschlandpolitik","nation","berlin","deutschen","berlin","deutschen","deutschen","menschenrechte","beziehungen","menschenrechte","rumänien","polen","polen","deutschen","deutschen","polen","deutschen","polen","polnischen","deutschen","deutschen","ungarn","polen","heimat","beziehungen","deutschtschechischen","tschechien","entschädigung","heimatvertriebenen","erklärung","verhandlungen","zwangsarbeiter","polen","opfer","deutschtschechischen","vertreibung","geheimplan","marschewski","heimkehrer","seddiktatur","häftlinge","entschädigung","geburt","entschädigung","petenten","opferpension","osze","petitionen","petitionsausschuss","petitionen","brandenburg","petitionen","ehemaligen","petitionsausschuss","ilse","ddr","petitionen","geschichte","ddr","petitionen","namibia","petitionen","opfer","petition","hinterbliebenen","petition","petitionsausschuss","hohenzollern","ddr","griechenland","geschichte","geschichte"
"4","deutschen","deutschlands","europäischen","sowjetunion","politik","sowjetunion","sowjetunion","wiedervereinigung","deutschlands","politik","erler","wiedervereinigung","sowjetunion","bundesrepublik","politik","berlin","politik","europäischen","staaten","europa","erler","deutschland","staaten","politik","europa","deutschland","deutschlands","politik","berlin","ddr","europa","sowjetunion","berlin","europa","vertrag","staaten","nationen","bundesrepublik","vertrages","beziehungen","staaten","deutschland","deutschland","berlin","mertes","menschenrechte","beziehungen","wiedervereinigung","beziehungen","sowjetunion","sowjetunion","beziehungen","schlussakte","berlin","sowjetunion","deutschlandpolitik","berlin","deutschen","deutschen","beziehungen","polen","deutschlandpolitik","menschenrechte","berlin","deutschen","deutschlandpolitik","polen","beziehungen","ungarn","berlin","polen","deutschen","deutschland","tschechoslowakei","nachbarn","ungarn","ungarn","deutsche","sudetendeutschen","staaten","tschechen","sudetendeutschen","waffenss","polen","polen","zeman","zwangsarbeiterinnen","entschädigung","entschädigung","entschädigung","tschechische","tschechischen","polnischen","zwangsarbeiter","opfer","stiftung","entschädigung","zweitstimmen","petitionsrecht","ddr","aufarbeitung","petitionsrecht","petition","petitionsausschuss","opfer","nva","aufarbeitung","petition","unrecht","petitionen","herero","petitionsausschuss","sowjetunion","ghetto","petition","petition","petitionsausschuss","polen","entschädigung","freiheits","opfern","denkmal","opfer","opfern","petition","polen","petitionen","enquetekommission"
"5","europa","europa","politik","saar","konferenz","deutschlands","welt","abrüstung","nato","aussenpolitik","sowjetunion","beziehungen","berlin","politik","deutsche","deutschen","sowjetunion","staaten","welt","berlin","deutschen","deutschen","französischen","truppen","politik","sowjetunion","sowjetunion","tschechoslowakei","deutschland","bundeskanzler","staaten","europa","deutschland","deutschen","deutschland","bundesrepublik","staaten","politik","sowjetunion","deutschland","beziehungen","berlin","jäger","deutschland","deutschland","beziehungen","mertes","nation","staaten","deutschen","deutschland","deutschland","deutschen","helsinki","polnischen","deutschen","deutschen","berlin","deutschlandpolitik","deutschland","deutschlandpolitik","deutschland","deutschland","grenze","einheit","west","berliner","deutschen","deutschen","polen","deutschland","deutschlands","deutschpolnischen","deutschen","deutsche","vertrag","staaten","nachbarn","tschechische","estland","vertreibung","tschechen","erklärung","erklärung","tschechischen","deutschtschechischen","firmen","opfern","polnischen","wirtschaft","republik","polen","polen","unrecht","büttner","westsahara","zwangsarbeiter","grundstücke","opfer","ausgleich","petitionsausschusses","petitionsausschuss","ddr","petition","ddr","ehemaligen","ehemaligen","opfer","aufarbeitung","ehemaligen","aufarbeitung","betroffenen","petitionsausschuss","ghettos","opfer","petitionsausschuss","petition","sowjetunion","hinterbliebene","bürger","schmerzen","bürger","petition","akten","berufsverbrecher","akten","sowjetunion","seddiktatur"
"6","politik","deutschland","ollenhauer","politik","moskau","staaten","deutschlands","staaten","abrüstung","welt","wiedervereinigung","zone","deutschen","berlin","berlin","politik","staaten","vereinigten","vereinigten","deutschfranzösischen","schröder","gaulle","welt","vereinigten","vereinigten","europäischen","staaten","sowjetischen","beziehungen","europa","deutschland","deutschland","politik","berlin","europa","bundeskanzler","grundvertrag","deutschland","deutschland","verträge","berlin","deutschen","schlussakte","staaten","polen","deutschland","deutschland","deutschen","berlin","moskau","nation","deutschen","innerdeutschen","deutschen","deutschland","nation","deutschland","deutschland","israel","deutschlandpolitik","deutschland","polen","berliner","polen","deutschland","beziehungen","beziehungen","menschenrechte","berliner","menschen","deutschlands","deutschland","einheit","csfr","vertrag","republik","russland","auslandsschulen","tschechen","lettland","tschechische","beziehungen","tschechischen","opfer","deutschen","beziehungen","opfer","deutschtschechischen","polnische","zwangsarbeiter","sudetendeutschen","benesdekrete","blauhelme","ddr","betroffenen","ddr","tempelhof","heimatvertriebenen","büttner","ehemaligen","eingaben","unrecht","petenten","gregor","contergangeschädigten","petition","opfer","ehemaligen","entschädigung","opfer","völkermord","petition","petition","wurden","bürgerinnen","polen","aufarbeitung","opfer","opferentschädigungsgesetz","einheitsdenkmal","crosbie","anliegen","gedenken","petitionen","wurden","petitionen","stiftung","ddr"
"7","verträge","konferenz","europa","deutschland","deutschen","bundesrepublik","deutschland","politik","atomwaffen","atomwaffen","westlichen","deutschlands","wiedervereinigung","westen","sowjetunion","bundesrepublik","wehner","bundeskanzler","entspannung","deutschen","welt","französischen","politik","bundesrepublik","bundesrepublik","welt","nation","aussenminister","anerkennung","deutschland","moskau","bundeskanzler","europa","auswärtigen","ddr","vertrag","deutschland","beziehungen","bundesrepublik","staaten","bundesrepublik","sowjetunion","bundesregierung","sowjetunion","beziehungen","nation","abkommen","deutschland","deutschland","deutschland","berlin","sed","sowjetunion","polnischen","innerdeutschen","sed","kontinuität","einheit","deutschland","berlin","beziehungen","beziehungen","deutschlandpolitik","deutschland","staaten","staaten","deutschen","staaten","senat","währungsunion","staatsvertrag","europa","heimat","einheit","deutschland","deutsche","osteuropäischen","polnischen","vertriebenen","sowjetunion","versöhnung","jugendaustausch","kriegsverbrecher","nsopfer","vertreibung","ansprüche","stiftungsinitiative","lambsdorff","deutschtschechischen","stiftungsinitiative","tschechien","zentrum","vertreibung","stiftung","schicksal","entschädigung","ehemalige","grundmandatsklausel","baumann","entschädigungsrechts","petition","opfern","eingaben","staatssicherheit","betroffenen","gysi","sed","petenten","opfer","entschädigung","ghetto","contergangeschädigten","zuwanderer","sed","geschichte","wurden","deutschen","ddr","angehörigen","geschichte","heute","freiheits","wurden","petitionsausschuss","anerkennung","petition","petitionsausschuss","mahnmal"
"8","deutsche","wiedervereinigung","deutschland","bundesrepublik","sicherheit","europäischen","nato","europa","deutschland","staaten","welt","freiheit","deutschland","europa","volk","aussenpolitik","deutschen","französischen","bundeskanzler","deutschland","bundeskanzler","politik","französische","französischen","deutschland","bundeskanzler","beziehungen","welt","staaten","vertrag","barzel","vertrag","bundesrepublik","staaten","berlin","deutschen","politik","verträge","verträge","politik","abkommen","beziehungen","sowjetunion","politik","staaten","deutschlandpolitik","verträge","einheit","politik","bundeskanzler","verträge","polen","helsinki","honecker","deutschen","berlins","gespräche","deutschlands","staaten","volksrepublik","deutschlands","windelen","beziehungen","beziehungen","nation","berlins","berlins","deutschlandpolitik","freiheit","deutschland","europa","berlin","polnischen","prag","beziehungen","nachbarn","ukraine","republik","beziehungen","havel","deutschtschechischen","unrecht","unrecht","beziehungen","sudetendeutschen","entschädigung","tschechischen","zukunftsfonds","zwangsarbeiter","deutsche","erklärung","unrecht","republik","tschechischen","stiftung","opfern","büttner","wahlkreise","grundmandatsklausel","opfer","entschädigung","würdigung","wahlbeobachtung","petenten","ehemaligen","opfer","opfern","opferrente","hebammen","zrbg","namibischen","opfer","opfer","betroffenen","aufarbeitung","juni","opfer","namibia","leid","petenten","entschädigung","bürgerinnen","aufarbeitung","petition","opfern","geschichte","orte","erinnern"
"9","bundeskanzler","ollenhauer","welt","welt","beziehungen","europa","freiheit","deutschlands","welt","freiheit","europa","europa","freiheit","konvention","vereinigten","ollenhauer","europa","frankreich","europa","vertrag","europas","regierung","europa","sowjetunion","deutschlands","unsere","berlin","unsere","drüben","bundesrepublik","ddr","staaten","entspannung","scheel","deutschen","beziehungen","bundesrepublik","nationen","staaten","nation","elbe","vereinbarungen","morgenstern","deutschlandpolitik","nationen","entspannung","politik","beziehungen","nation","deutsche","schlussakte","deutschlandpolitik","deutschland","innerdeutschen","staaten","deutschlands","beiden","beziehungen","nation","staaten","einheit","berlin","staaten","deutschlandpolitik","deutschlands","deutschland","staaten","deutschland","sowjetunion","deutschlands","teilung","deutsche","ddr","europa","ungarn","beziehungen","republik","osteuropa","havel","geste","unrecht","prag","verbrechen","tschechien","heimat","sudetendeutschen","industrie","zwangsarbeit","republik","deutschen","vertreibung","tschechische","beitritt","weiden","ausgleichsfonds","unrecht","seddiktatur","partei","grundmandate","opfern","staatssicherheit","bedürftigkeitsprüfung","odihr","dkp","petitionen","betroffenen","akten","nva","heimerziehung","ghetto","auswärtigen","japanischen","entschädigung","überlebenden","arbeit","fonds","geschichte","geschichte","stiftung","deutschen","gab","einheitsdenkmal","sowjetunion","revolution","gedenken","petitionsausschuss","petition","diktatur"
"10","bundesrepublik","europäische","deutschen","europa","deutschland","deutschland","staaten","bundesrepublik","entspannung","deutschland","deutschland","welt","deutschlands","nato","nato","nato","freiheit","deutschland","deutschland","vereinigten","deutschland","beziehungen","vereinigten","sicherheit","bundeskanzler","bundesrepublik","deutschland","bündnis","nation","beziehungen","beziehungen","bundesrepublik","auswärtigen","bundesrepublik","staaten","scheel","berlin","vertrag","münchener","bundesrepublik","konferenz","bundesrepublik","mertes","beziehungen","bundesrepublik","deutschen","entspannung","deutschlandpolitik","nationen","staaten","mertes","deutschlands","berlin","menschenrechte","berlin","deutschland","innerdeutschen","teilung","innerdeutsche","besuch","hupka","ottawa","juden","diederich","europa","deutschen","besuch","teilung","europa","freiheit","menschen","teilung","europa","deutschland","polnische","polnischen","tschechischen","austausch","nachbarn","osteuropäischen","republik","deutschtschechische","nachbarn","tschechen","schicksal","tschechen","unternehmen","unrecht","graf","polnische","äusserungen","vertriebenen","tschechien","baumann","rehabilitierung","rehabilitierung","opfern","erwin","juni","ehelichen","ddr","haft","kasachstan","linkspartei","staatenimmunität","petitionsausschusses","mauer","menschen","runden","öffentlichen","ddr","sed","fremdrentengesetz","mai","sed","opfer","herero","deutschen","trauer","entschädigung","herren","spätaussiedler","kontingentflüchtlinge","entschädigungsrecht","denkmal","unrecht","demokratiegeschichte","gedenken"
