"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","gegenprobe","wer","gegenprobe","gegenprobe","gegenprobe","umdruck","gegenprobe","gegenprobe","bitte","handzeichen","bitte","gegenprobe","gegenprobe","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","gegenprobe","umdruck","umdruck","antrag","änderungsantrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","wünscht","gegenprobe","wünscht","wünscht","enthaltungen","wünscht","wer","wünscht","wünscht","zuzustimmen","wünscht","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","stimmt","stimmen","stimmen","gegenprobe","stimmen","stimmen","beschlussempfehlung","stimmt","stimmt","beschlussempfehlung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","drucksache","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","wer","gesetzentwurf","tourismusstrategie","tourismus","reisebüros","hilfen","branche","unternehmen"
"2","gegenprobe","bitte","ziffer","umdruck","wer","umdruck","bitte","bitte","umdruck","gegenprobe","umdruck","gegenprobe","bitte","umdruck","umdruck","gegenprobe","änderungsantrag","gegenprobe","ziffer","antrag","antrag","gegenprobe","enthaltungen","antrag","antrag","änderungsantrag","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","gegenprobe","antrag","gegenprobe","wünscht","zuzustimmen","wünscht","wünscht","wünscht","wünscht","wünscht","gegenprobe","enthaltungen","enthaltungen","enthaltungen","handzeichen","zuzustimmen","wünscht","handzeichen","wer","wünscht","handzeichen","zuzustimmen","handzeichen","wünscht","wünscht","wünscht","wer","wer","abstimmung","wer","stimmt","stimmt","wer","wer","drucksache","wer","wer","stimmt","enthaltungen","stimmt","stimmt","stimmt","enthaltungen","stimmt","beschlussempfehlung","stimmen","beschlussempfehlung","beschlussempfehlung","stimmen","stimmen","enthaltungen","stimmt","enthaltungen","stimmt","stimmt","drucksache","stimmen","enthaltungen","drucksache","stimmt","drucksache","drucksache","drucksache","enthaltungen","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","stimmt","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","wer","wer","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","gesetzentwurf","fraktion","tourismus","tourismusstrategie","branche","unternehmen","unternehmen","gastronomie"
"3","hand","enthaltungen","gegenprobe","handzeichen","handzeichen","handzeichen","gegenprobe","handzeichen","handzeichen","handzeichen","gegenprobe","handzeichen","handzeichen","antrag","handzeichen","antrag","umdruck","änderungsantrag","antrag","gegenprobe","gegenprobe","änderungsantrag","antrag","änderungsantrag","änderungsantrag","gegenprobe","antrag","gegenprobe","handzeichen","umdruck","änderungsantrag","gegenprobe","gegenprobe","änderungsantrag","umdruck","bitte","handzeichen","wünscht","bitte","zuzustimmen","enthaltungen","zuzustimmen","zuzustimmen","antrag","zuzustimmen","enthaltungen","enthaltungen","wünscht","zuzustimmen","gegenprobe","zuzustimmen","handzeichen","handzeichen","zuzustimmen","zuzustimmen","wer","wer","handzeichen","wünscht","zuzustimmen","handzeichen","handzeichen","änderungsantrag","handzeichen","wer","stimmt","gegenprobe","wer","stimmt","stimmt","wer","enthaltungen","enthaltungen","wer","stimmt","wer","wer","wer","wer","enthaltungen","enthaltungen","beschlussempfehlung","drucksache","enthaltungen","drucksache","enthaltungen","stimmen","enthaltungen","beschlussempfehlung","wer","enthaltungen","stimmt","drucksache","stimmt","stimmt","enthaltungen","stimmt","stimmt","stimmt","beschlussempfehlung","stimmt","enthaltungen","stimmt","stimmt","stimmt","fraktion","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","stimmt","stimmt","stimmt","stimmt","wer","wer","wer","wer","wer","stimmen","beratung","tansania","branche","gutschein","überbrückungshilfen","tourismus","hilfen"
"4","erheben","wer","umdruck","bitte","enthaltungen","änderungsantrag","handzeichen","umdruck","bitte","umdruck","bitte","umdruck","umdruck","handzeichen","wer","änderungsantrag","enthaltungen","antrag","änderungsantrag","bitte","änderungsantrag","handzeichen","änderungsantrag","wer","wer","umdruck","gegenprobe","änderungsantrag","gegenprobe","bitte","bitte","bitte","handzeichen","umdruck","änderungsantrag","wort","enthaltungen","zuzustimmen","wünscht","antrag","wünscht","antrag","enthaltungen","bitte","bitte","handzeichen","handzeichen","handzeichen","handzeichen","zuzustimmen","wünscht","enthaltungen","zuzustimmen","wer","handzeichen","handzeichen","zuzustimmen","wünscht","zuzustimmen","handzeichen","zuzustimmen","wer","stimmt","drucksache","handzeichen","abstimmung","wer","abstimmung","beschlussempfehlung","drucksache","stimmt","drucksache","angenommen","drucksache","angenommen","angenommen","angenommen","gesetzentwurf","stimmen","gegenprobe","gegenprobe","drucksache","enthaltungen","drucksache","enthaltungen","drucksache","drucksache","wer","wer","enthaltungen","drucksache","enthaltungen","enthaltungen","drucksache","enthaltungen","drucksache","gesetzentwurf","enthaltungen","enthaltungen","stimmt","enthaltungen","stimmt","enthaltungen","wer","wer","stimmt","wer","enthaltungen","wer","wer","wer","wer","wer","beschlussempfehlung","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","stimmt","stimmt","stimmt","branche","reisen","veranstalter","überbrückungshilfe","reisen","tourismus"
"5","antrag","abstimmung","bitte","ziffer","abstimmung","wer","ziffer","enthaltungen","enthaltungen","enthaltungen","wer","antrag","ziffer","enthaltungen","antrag","wer","ziffer","handzeichen","enthaltungen","handzeichen","bitte","ziffer","handzeichen","gegenprobe","handzeichen","enthaltungen","handzeichen","handzeichen","enthaltungen","gegenprobe","gegenprobe","änderungsantrag","änderungsantrag","zuzustimmen","bitte","herren","zuzustimmen","handzeichen","enthaltungen","bitte","handzeichen","enthaltungen","handzeichen","zuzustimmen","handzeichen","zuzustimmen","zuzustimmen","zuzustimmen","gegenprobe","handzeichen","abstimmung","wer","angenommen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","gegenprobe","gegenprobe","angenommen","wer","zuzustimmen","handzeichen","wünscht","drucksache","gegenprobe","angenommen","handzeichen","drucksache","änderungsantrag","beschlussempfehlung","angenommen","beschlussempfehlung","angenommen","wer","gesetzentwurf","gesetzentwurf","angenommen","änderungsantrag","drucksache","stimmt","enthaltungen","gegenprobe","stimmt","angenommen","wer","wer","stimmen","stimmen","drucksache","stimmen","wer","wer","angenommen","stimmen","angenommen","enthaltungen","wer","angenommen","stimmen","wer","gegenstimmen","wer","enthaltungen","enthaltungen","enthaltungen","fraktion","wer","enthaltungen","enthaltungen","beratung","beratung","beratung","stimmen","stimmen","ausschuss","stimmen","beratung","ausschuss","beratung","fraktion","dagegen","tourismusbranche","tourismuswirtschaft","tourismus","november","hilfen","branche"
"6","wer","zustimmen","antrag","wer","bitte","ziffer","wer","wer","antrag","antrag","antrag","ziffer","antrag","bitte","bitte","handzeichen","wer","enthaltungen","gegenprobe","zuzustimmen","handzeichen","wer","umdruck","handzeichen","gegenprobe","zuzustimmen","enthaltungen","enthaltungen","ziffer","handzeichen","einzelplan","handzeichen","bitte","enthaltungen","zuzustimmen","damen","wünscht","bitte","handzeichen","handzeichen","bitte","handzeichen","bitte","handzeichen","enthaltungen","wer","drucksache","bitte","wer","drucksache","bitte","drucksache","nr","angenommen","angenommen","beschlussempfehlung","gegenprobe","abstimmung","angenommen","wer","angenommen","angenommen","wünscht","angenommen","gegenprobe","drucksache","beschlussempfehlung","drucksache","abstimmung","handzeichen","angenommen","abstimmung","drucksache","enthaltungen","drucksache","stimmenthaltungen","enthaltungen","drucksache","drucksache","beschlussempfehlung","drucksache","änderungsantrag","stimmt","gegenprobe","gegenprobe","angenommen","beschlussempfehlung","drucksache","drucksache","stimmen","wer","angenommen","änderungsantrag","stimmen","angenommen","stimmen","stimmen","angenommen","stimmen","angenommen","gesetzentwurf","wer","angenommen","angenommen","fraktion","wer","enthaltungen","fraktion","beratung","beratung","enthaltungen","enthaltungen","enthaltungen","beratung","fraktion","stimmen","fraktion","fraktion","beratung","fraktion","entschliessungsanträge","angenommen","selous","touristischen","gutscheine","branche","fonds","einzelhandel"
"7","nr","hand","mehrheit","änderungsantrag","wünscht","bitte","enthaltungen","ziffer","abstimmung","ziffer","änderungsantrag","zuzustimmen","enthaltungen","ziffer","enthaltungen","bitte","antrag","wer","wer","änderungsantrag","zuzustimmen","antrag","angenommen","bitte","zuzustimmen","wer","wer","ziffer","wer","änderungsantrag","handzeichen","enthaltungen","abstimmung","wünscht","enthaltungen","abstimmung","bitte","wer","zuzustimmen","enthaltungen","antrag","bitte","wer","drucksache","geschäftsordnung","drucksache","bitte","wer","angenommen","angenommen","drucksache","angenommen","rufe","bitte","rufe","gegenprobe","rufe","bitte","wer","gegenprobe","bitte","bitte","drucksache","stimmt","wünscht","handzeichen","abstimmung","beschlussempfehlung","angenommen","angenommen","gegenprobe","stimmen","dagegen","gesetzentwurf","abstimmung","enthaltungen","drucksache","enthaltungen","abstimmung","wer","angenommen","stimmt","angenommen","änderungsantrag","stimmt","abstimmung","abstimmung","angenommen","angenommen","angenommen","angenommen","gesetzentwurf","beschlussempfehlung","wer","gesetzentwurf","wer","wer","gesetzentwurf","wer","wer","stimmen","angenommen","stimmen","gegenstimmen","angenommen","beratung","stimmen","beratung","fraktion","angenommen","ausschuss","ausschuss","fraktion","fraktion","beratung","beratung","beratung","ausschuss","fraktion","angenommen","stimmkarte","ausschuss","antrag","tourismusbranche","reisebranche","wirtschaftshilfen","neustart","branchen"
"8","angenommen","antrag","abstimmung","enthaltungen","umdruck","enthaltungen","änderungsantrag","antrag","wer","wer","wünscht","wünscht","wer","änderungsantrag","ziffer","enthaltungen","handzeichen","bitte","handzeichen","wünscht","enthaltungen","bitte","bitte","abstimmung","bitte","handzeichen","bitte","bitte","änderungsantrag","wer","abstimmung","siehe","enthaltungen","wer","wer","anlage","wort","enthaltungen","wer","wer","wer","wer","antrag","enthaltungen","wer","bitte","berichterstatter","drucksache","drucksache","wer","gegenprobe","bitte","enthaltungen","gegenprobe","bitte","angenommen","angenommen","angenommen","gegenstimmen","rufe","gegenprobe","stimmt","zuzustimmen","zuzustimmen","zuzustimmen","änderungsantrag","drucksache","angenommen","handzeichen","gegenprobe","änderungsantrag","dagegen","abstimmung","stimmenthaltungen","gegenprobe","drucksache","stimmenthaltungen","abstimmung","gegenprobe","änderungsantrag","wer","angenommen","wer","wer","empfiehlt","beschlussempfehlung","angenommen","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","stimmen","abstimmung","gesetzentwurf","wer","gesetzentwurf","angenommen","stimmen","gesetzentwurf","gesetzentwurf","angenommen","empfiehlt","gegenstimmen","fraktion","stimmen","angenommen","angenommen","angenommen","angenommen","ausschuss","angenommen","fraktion","empfiehlt","dagegen","dagegen","fraktion","ausschuss","stimmen","angenommen","gesetzentwurf","schriftführerinnen","linke","staudamm","meldeschein","verbraucher","gastronomie","reiseveranstalter","überbrückungshilfe"
"9","abstimmung","angenommen","hand","antrag","ziffer","abstimmung","abstimmung","wünscht","angenommen","wünscht","ziffer","enthaltungen","änderungsantrag","wer","änderungsantrag","zustimmen","bitte","ziffer","bitte","wer","wünscht","enthaltungen","wer","enthaltungen","enthaltungen","bitte","angenommen","wer","bitte","damen","enthaltungen","einzelplan","wer","handzeichen","wünscht","erklärung","wer","änderungsantrag","abstimmung","drucksache","änderungsantrag","drucksache","angenommen","wer","abstimmung","berichterstatter","wort","rufe","bitte","rufe","rufe","abstimmung","stimmt","rufe","nr","rufe","bitte","wer","bitte","bitte","änderungsantrag","ausschussfassung","angenommen","gegenprobe","bitte","angenommen","handzeichen","gegenprobe","gegenprobe","beschlussempfehlung","fraktion","beschlussempfehlung","gegenprobe","dagegen","gesetzentwurf","abstimmung","abstimmung","empfiehlt","angenommen","angenommen","abstimmung","handzeichen","abstimmung","angenommen","gesetzentwurf","änderungsantrag","gesetzentwurf","pds","pds","empfiehlt","empfiehlt","empfiehlt","angenommen","empfiehlt","empfiehlt","empfiehlt","empfiehlt","empfiehlt","gegenstimmen","gegenstimmen","gegenstimmen","stimmen","beratung","stimmen","beratung","gegenstimmen","dagegen","dagegen","ausschuss","fraktion","fraktion","angenommen","angenommen","angenommen","ausschuss","dagegen","enthält","dagegen","dagegen","ausschuss","schriftführer","wer","bundesanstalt","antrag","reisen","insolvenzantragspflicht","tourismusbranche","überbrückungshilfen"
"10","mehrheit","änderungsantrag","handzeichen","abstimmung","änderungsantrag","antrag","antrag","angenommen","zuzustimmen","zuzustimmen","enthaltungen","wer","wünscht","zuzustimmen","zuzustimmen","ziffer","angenommen","angenommen","zustimmen","ziffer","wer","angenommen","abstimmung","einzelplan","siehe","wünscht","siehe","wort","angenommen","ziffer","wer","wer","wünscht","bitte","wort","wer","änderungsantrag","mehrheit","drucksache","änderungsantrag","gewünscht","änderungsantrag","rufe","abstimmung","berichterstatter","angenommen","wer","angenommen","ausschussfassung","beratung","wer","berichterstatter","gegenstimmen","drucksache","gegenprobe","drucksache","drucksache","antrag","rufe","beschlussempfehlung","drucksache","änderungsantrag","gegenprobe","beschlussempfehlung","stimmt","wünscht","wünscht","änderungsantrag","änderungsantrag","fraktion","handzeichen","ausschussfassung","stimmenthaltungen","abstimmung","handzeichen","dagegen","änderungsantrag","dagegen","beschlussempfehlung","gesetzentwurf","gesetzentwurf","wer","empfiehlt","pds","wer","pds","änderungsantrag","empfiehlt","dagegen","pds","pds","pds","gesetzentwurf","gegenstimmen","abstimmung","dagegen","abstimmung","gegenstimmen","empfiehlt","beratung","beratung","fraktion","fraktion","beratung","gegenstimmen","gesetzentwurf","sammelübersicht","stimmen","stimmen","dagegen","dagegen","stimmen","dagegen","tagesordnungspunkt","angenommen","angenommen","angenommen","enthält","enthält","dagegen","sitzung","grünen","tourismuswirtschaft","kollegen","insolvenz","ausgezahlt","klinge","gastronomen"
