"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","länder","länder","länder","länder","länder","bund","bund","gemeinden","länder","gemeinden","gemeinden","bund","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","zonenrandgebiet","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","länder","länder","länder","gemeinden","gemeinden","oldenburg","landschaft","gemeinden","gemeinden","gemeinden","gemeinden","länder","gemeinden","umweltpolitik","gemeinden","umweltschutz","gemeinden","gemeinden","gemeinden","gemeinden","länder","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","gemeinden","einigungsvertrag","neuen","neuen","neuen","neuen","treuhandanstalt","treuhandanstalt","treuhandanstalt","neuen","kommunen","bundesländern","bundesländern","ostdeutschen","neuen","neuen","ost","ost","ostdeutschland","neuen","neuen","ost","osten","ostdeutschland","osten","ost","ost","ost","ostdeutschland","sonderregelungen","ost","ostdeutschland","tourismus","ost","tourismus","ost","ost","ost","ostdeutschland","ost","ost","tourismus","maritimen","tourismus","tourismus","ostdeutschland","tourismus","alpen","ostdeutschen","osten","de","de","osten","osten","ostdeutschland","werften","einheit","helmut","ostdeutschland"
"2","bund","bund","gemeinden","bund","bund","länder","gemeinden","länder","bund","bund","bund","gemeinden","länder","bund","bund","länder","bund","bund","bund","länder","raumordnungspolitik","gemeinden","hessen","länder","länder","länder","länder","bund","länder","bund","bund","länder","bund","bund","bund","ländern","gemeinden","bund","bund","bund","bodensee","schaumburglippe","daten","länder","kommunalen","enquetekommission","bund","gemeinden","statistischen","umweltschutz","umweltschutz","gemeinden","länder","kommunen","bund","gewerbesteuer","finanzausgleich","länder","kommunalen","kommunalen","kommunalen","länder","städte","städte","länder","bremen","länder","kommunen","länder","länder","kommunen","bundesländern","bundesländern","treuhandanstalt","bundesländern","neuen","neuen","neuen","bundesländern","neuen","ostdeutschen","neuen","neuen","bundesländern","ostdeutschland","neuen","neuen","ost","ost","osten","neuen","ost","ost","ost","osten","ostdeutschland","ostdeutschland","ost","osten","ostdeutschland","ost","regionen","osten","osten","osten","west","ostdeutschland","osten","maritimen","osten","jugendtourismus","reeder","hotel","ostdeutschland","ostdeutschen","regionen","maritime","regionen","regionen","dat","dat","ostdeutschland","ostdeutschland","osten","thüringen","osten","kohl","osten"
"3","ländern","ländern","bund","ländern","gemeinden","gemeinden","länder","bund","gemeinden","länder","länder","luftverkehrsverwaltung","bund","länder","länder","bund","länder","länder","raumordnung","bund","bund","bund","länder","bund","bund","bund","bund","länder","bund","länder","länder","bund","länder","länder","länder","bund","bund","wald","gemeinden","kommunalen","kommunalen","niedersachsen","landschaftspflege","niedersachsen","bund","bund","länder","kommunalen","statistik","gemeinden","länder","bund","nordrheinwestfalencomment","kommunalen","länder","bund","bundesergänzungszuweisungen","bund","gewerbesteuer","kommunen","kommunen","bund","länder","kommunalen","städte","länder","bund","kommunalen","kommunen","kommunen","gemeinden","ländern","treuhandanstalt","bundesländern","treuhandanstalt","bundesländern","treuhand","kommunen","kommunen","ostdeutschen","kommunen","ostdeutschland","kommunen","ostdeutschland","ost","ostdeutschen","ostdeutschen","neuen","osten","ost","bundesländern","neuen","osten","neuen","bundesländern","neuen","einheit","regionen","grenzregionen","osten","neuen","ostdeutschland","ostdeutschland","bundesländern","ostdeutschland","tourismus","west","einheit","maritime","west","reeder","maritime","branche","uruguay","tourismus","einheit","tourismus","ost","ostdeutschland","un","regionen","lebensverhältnisse","ostdeutschen","ostdeutschen","osten","ddr","osten","schwedt"
"4","gemeinden","bundes","ländern","bundes","ländern","bayern","bundes","schmitt","ländern","ländern","ländern","länder","ländern","gewerbesteuer","bundes","ländern","ländern","ländern","raumordnungspolitik","ländern","länder","selbstschutz","osswald","finanzreform","ländern","finanzreform","finanzreform","ländern","finanzreform","ländern","ländern","ländern","ländern","ländern","ländern","länder","ländern","grundgesetzänderung","ländern","selbstverwaltung","gewässer","gemeinden","abwasserabgabe","bund","selbstverwaltung","kommunalen","kommunalen","bund","bund","länder","bundesrat","länder","nordrheinwestfalen","bund","kommunalen","länder","finanzausgleichs","kommunalen","kommunen","städte","städte","kommunen","kommunalen","länder","kommunen","bund","kommunen","länder","bund","bund","länder","treuhand","treuhand","treuhand","kommunen","unternehmen","bundesländern","bundesländern","ostdeutschen","bundesländern","neuen","kommunen","ostdeutschland","ostdeutschen","osten","bundesländern","aufbau","osten","bundesländern","bundesländern","osten","bundesländern","neuen","bundesländern","neuen","osten","osten","osten","ost","neuen","bundesländern","bundesländern","einheit","regionen","west","osten","osten","ost","osten","tourismus","jugendreisen","schiffe","reisen","osten","regionen","maritime","reeder","west","ostdeutschen","maritimen","ostdeutschland","westen","treuhand","ost","maritime","wiedervereinigung","einheit","einheit"
"5","art","grundgesetzes","föderalismus","gemeinden","bundes","bundes","ländern","vockenhausen","bundes","zivilen","zivilen","verwaltung","kommunalen","aufgaben","kommunalen","finanzreform","bundes","bundes","ländern","städte","kommunalen","länder","landes","ländern","kommunalen","regionale","ländern","finanzreform","ländern","finanzreform","kommunalen","finanzschwachen","bundesrat","städte","bundes","steinkohlenbergbau","stoltenberg","waldes","bundes","länder","bund","länder","naturschutz","landesregierung","länder","länder","kommunen","ländern","statistiken","bund","posser","gesetze","bund","städte","städte","städte","ergänzungszuweisungen","nordrheinwestfalen","städte","gewerbesteuer","länder","nordrheinwestfalen","bund","bund","bürgermeister","städte","ländern","bund","nordrheinwestfalen","kommunalen","treuhandanstalt","länder","ländern","ländern","treuhand","privatisierung","kommunen","privatisierung","ddr","ddr","ostdeutschland","ostdeutschen","bundesländern","ost","bundesländern","ostdeutschland","ostdeutschland","ostdeutschen","ostdeutschen","länder","ostdeutschen","sachsenanhalt","aufbau","streik","ostdeutschland","bundesländern","sachsen","neuen","bundesländern","bundesländern","osten","ost","neuen","ost","tourismus","einheit","ostdeutschen","westen","west","ostdeutschland","maritimen","flagge","urlaub","ost","einheit","maritimen","maritimen","tourismus","grw","maritime","ik","tourismus","ddr","ddr","maritimen","haribo","ost","lebensverhältnisse"
"6","grundgesetzes","bundesrat","art","bundesrat","bundesrat","ländern","dresbach","ländern","nordrheinwestfalen","schmitt","krankenanstalten","zuständigkeit","bundes","selbstverwaltung","aufgaben","krankenanstalten","aufgaben","aufgaben","länder","öffentlichen","finanzreform","schutzräume","bund","kommunalen","finanzreform","gemeinschaftsaufgaben","gewerbesteuer","bundesrat","vermittlungsausschusses","bundes","finanzielle","schleswigholstein","kommunalen","bundes","vermittlungsausschuss","steuererhöhungen","ministerpräsident","landschaftspflege","umweltbundesamtes","gemeinde","wasch","neugliederung","länder","ländern","kommunen","verfassungsreform","ländern","kommunen","kommunalen","dick","bund","kommunalen","kreditinstitute","selbstverwaltung","anfrage","schleswigholstein","bund","städte","bund","bund","bund","kommunalen","nordrheinwestfalen","stadt","bund","nordrheinwestfalen","albrecht","spielhallen","städte","nordrheinwestfalen","bundesländer","treuhandanstalt","bundesländer","unternehmen","bundesländer","bundesländer","ostdeutschen","ostdeutschen","ostdeutschland","altschulden","ddr","ddr","ddr","ddr","ddr","schwanitz","bundesländern","bundesländern","ostdeutschland","ostdeutschen","ostdeutschland","sachsen","bundesländern","ostdeutschland","ostdeutschen","aufbau","bundesländern","bundesländern","west","aufbau","regionen","neuen","regionen","neuen","bundesländern","ostdeutschen","bundesländern","ostdeutschen","ostdeutschland","einheit","schiffe","seeleute","burgbacher","einheit","osten","ostdeutschen","einheit","ostdeutschland","reisebüros","tourismus","un","ostdeutschen","maritime","thüringen","ddr","ostdeutschen","west","seddiktatur"
"7","bundes","gemeinden","bundes","grundgesetz","verwaltung","land","steuern","zivilbevölkerung","landes","vockenhausen","kommunalen","ländern","stiftung","landgemeinden","ländern","bundes","finanzverfassung","öffentlichen","bundes","kommunalen","ländern","zivilbevölkerung","hessischen","hessen","gemeindefinanzreform","ländern","gemeinschaftsaufgaben","föderalismus","vermittlungsausschuss","gemeinde","grundgesetzes","bundes","bundes","mineralölsteuer","finanzhilfen","privaten","bundes","ländern","umweltbundesamt","ländern","länder","volksentscheid","natur","vogelarten","städte","einkommensteuer","selbstverwaltung","bundes","länder","ländern","waffenschmidt","ländern","spareinlagen","kommunale","ländern","bayern","nordrheinwestfalen","gemeinde","kalender","stadt","hessen","städte","kommunen","städten","stadt","kommunen","städte","städte","kommunalen","ländern","ländern","bundesländer","kommunen","bundesländer","ländern","ostdeutschen","ostdeutschland","ddr","privatisierung","ostdeutschland","ost","ost","altschulden","osten","ostdeutschen","osten","osten","einheit","einheit","aufbau","aufbau","aufbau","ostdeutschen","sachsen","einheit","ga","regionen","ostdeutschen","neuen","ostdeutschen","ostdeutschen","osten","bundesländern","ostdeutschland","ostdeutschen","bundesländern","einheit","west","ostdeutschen","barrierefreien","reisen","see","gaststättengewerbe","ostdeutschen","ost","kulturtourismus","alpenkonvention","crystal","westen","wi","west","einheit","ost","west","schiffe","ost","ddr","ddr"
"8","baden","art","finanzreform","körperschaftsteuer","körperschaftsteuer","grundgesetzes","land","bundes","aufgaben","bevölkerungsschutz","bundesinnenminister","luftverkehrs","notstandsplanung","kommunalen","selbstverwaltung","expertenkommission","kommunalen","kommunalen","kommunalen","aufgaben","raumordnung","neubauten","schulden","bundesrates","bundes","kommunalen","föderalismus","vermittlungsausschuss","möller","grundgesetzes","bundes","landes","öffentlichen","kommunalen","landes","seit","bundesrates","naturschutz","bundesrat","städte","reinigungsmitteln","landesregierung","datenschutzgesetz","kommunalen","kommunale","schlussbericht","kommunale","volksentscheid","kommunen","rheins","nordrheinwestfalen","disparität","banken","waffenschmidt","bremen","nordrheinwestfalen","horizontalen","kommunen","länder","selbstverwaltung","bundes","gewerbesteuer","städten","gemeinde","kommunalen","bundesergänzungszuweisungen","kommunalen","hamburg","ländern","städte","einheit","gemeinden","länder","ostdeutschen","ostdeutschen","treuhand","ländern","treuhand","ländern","gemeinden","osten","osten","osten","ostdeutsche","aufbau","aufbau","einheit","aufbau","aufbau","ostdeutschland","bundesländer","ostdeutschland","stolpe","ostdeutschen","bundesländer","bundesländer","ostdeutschen","aufbau","bürgermeister","regionen","einheit","ostdeutschen","west","reisen","westen","ostdeutschland","tourismus","wiedervereinigung","konferenz","westen","schiffen","häfen","barrierefreiheit","west","westdeutschland","grw","schiffe","meth","tourismus","ok","tourismus","regionen","westen","einheit","einheit","akten","ostdeutschen","ost"
"9","land","aufgaben","finanzausgleich","föderalismus","verwaltungsreform","bereitschaftspolizeien","aufgaben","luftschutz","innern","bevölkerungsschutzes","verfassungsschutz","bundeseigene","krankenanstalten","ländern","kommunale","aufgaben","stadt","ebenen","raumordnungsbericht","gemeinschaftsaufgaben","zonenrandgebiet","kommunen","hessenplan","städte","einwohner","zonenrandgebiet","steuerverbund","gemeinschaftsaufgaben","gewerbesteuer","badenwürttemberg","mineralölsteuer","kommunalen","nahverkehrsunternehmen","öffentlichen","finanzausstattung","teil","landschaftspflege","gemeinden","ministerpräsident","kommunen","ländern","land","datenschutz","datenschutzgesetz","waffenschmidt","ländern","städte","volksbegehren","statistische","kommunen","schleswigholstein","gewässer","posser","länder","niedersachsen","ländern","gemeinden","schleswigholstein","nordrheinwestfalen","kommunale","ländern","ergänzungszuweisungen","ländern","kommunen","städten","spielhallen","niedersachsen","ländern","raumordnungspolitik","bundes","bundesländern","kommunen","alten","osten","alten","ländern","privatisierung","ostdeutschland","ost","ost","altschulden","gemeinden","sanierung","kommunen","pds","ländern","schwanitz","ddr","westen","ländern","west","ostdeutschen","sachsen","stundenwoche","ländern","regionen","neuen","west","ostdeutschland","west","bundesländer","west","westen","westen","einheit","aupairs","westen","ddr","einheit","ostdeutschen","jugendherbergen","ost","tourismuswirtschaft","gleicke","west","lebensverhältnisse","flagge","polizeivertrag","fischer","is","sprachen","ost","ostdeutsche","westen","schiffbau","ostdeutschland","ostdeutschland","west"
"10","grundgesetz","bundesfinanzminister","dresbach","finanzreform","preussischen","kommunalen","einwohnern","bevölkerungsschutz","programm","zivilbevölkerung","krankenhäuser","bundesauftragsverwaltung","aufgaben","finanzausgleich","hettlage","kommunen","kommunen","gemeinde","landesplanung","finanzreform","grundsätze","ländern","ländern","landes","landes","gemeinschaftsaufgabe","gemeindefinanzreform","gewerbesteuer","bundesrat","kompetenzen","haar","ministerpräsident","bundesrates","schneider","bundesländer","abgeordnete","naturschutz","ministerpräsident","stoltenberg","bundes","kommunen","bund","gerster","dreyer","ländern","gemeindeanteils","bundes","neugliederung","ländern","abwasserabgabengesetz","gesetze","kommunen","umweltpolitik","finanzausstattung","umweltschutz","gemeinschaftsaufgaben","verteilung","ländern","gemeinde","länder","nordrheinwestfälischen","bundes","gemeinde","baugesetzbuch","ländern","ländern","bundes","kommunale","raumordnung","land","ehemaligen","alten","gemeinden","ostdeutschland","privatisierung","ostdeutschland","unternehmen","gemeinden","rückgabe","unternehmen","bund","bund","kommunalen","westen","westen","bundesländer","west","schwanitz","west","massstäbegesetz","länder","bundesländer","ländern","westen","regionen","ostdeutschen","stolpe","sachsen","polen","bundesländer","west","reisen","bundesländer","ländlichen","neuen","neuen","abriss","bundesländern","westen","neuen","maritime","osten","hacker","regionen","bundesländer","reeder","ostdeutschland","ostdeutsche","west","en","reisen","west","maritimen","ostdeutsche","kemmerich","west","stiftung","ostdeutschen"
