"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","tagesordnung","sitzung","sitzung","uhr","tagesordnung","geschäftsordnung","sitzung","tagesordnung","geschäftsordnung","tagesordnung","präsident","wochenschau","präsident","rutschke","geschäftsordnung","geschäftsordnung","höcherl","herr","argoud","höcherl","höcherl","höcherl","mende","gesamtdeutsche","gesamtdeutsche","auswärtigen","jahn","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","auswärtigen","moersch","auswärtigen","moersch","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","staatsminister","jugoslawien","türkei","jugoslawien","menschenrechte","türkei","türkei","staatsminister","türkei","menschenrechte","auswärtigen","menschenrechte","auswärtigen","auswärtigen","auswärtigen","menschenrechte","türkei","türkei","auswärtigen","auswärtigen","auswärtigen","auswärtigen","menschenrechte","staatsministerin","russland","auswärtigen","ukraine","china","ukraine","menschenrechte","menschenrechte","russland","russland","china","menschenrechte","menschenrechte","menschenrechte","menschenrechte","türkei","russland","menschenrechte","russland","türkei","ukraine","russland","russland","osze","türkei","türkei","russland","russland","menschenrechte","russland","türkei","russland","russland","russland","ukraine"
"2","nr","tagesordnung","tagesordnung","sitzung","uhr","tagesordnung","uhr","geschäftsordnung","tagesordnung","präsident","geschäftsordnung","uhr","rutschke","forchheim","präsident","präsident","strauss","strauss","gerstenmaier","innern","innern","innern","gesamtdeutsche","bundesminister","herr","jahn","auswärtigen","jahn","jahn","dahrendorf","bundesminister","moersch","moersch","moersch","moersch","moersch","auswärtigen","moersch","staatssekretär","moersch","moersch","moersch","zusatzfrage","zusatzfrage","dohnanyi","zusatzfrage","zusatzfrage","dohnanyi","zusatzfrage","dohnanyi","zusatzfrage","dohnanyi","zusatzfrage","zusatzfrage","corterier","zusatzfrage","zusatzfrage","türkei","möllemann","möllemann","möllemann","möllemann","möllemann","auswärtigen","saudiarabien","todesstrafe","todesstrafe","menschenrechte","adamschwaetzer","auswärtigen","auswärtigen","staatsminister","staatsminister","türkei","auswärtigen","staatsminister","menschenrechte","schäfer","staatsminister","staatsminister","staatsminister","auswärtigen","iran","türkei","menschenrechte","türkei","auswärtigen","auswärtigen","menschenrechte","staatsminister","staatsminister","amt","tschetschenien","auswärtigen","china","staatsministerin","china","auswärtigen","auswärtigen","auswärtigen","auswärtigen","menschenrechte","menschenrechte","menschenrechte","russland","türkei","türkei","religionsfreiheit","menschenrechte","syrien","türkei","syrien","iran","russland","ukraine","ukraine","russland","russland","russland","ukraine","türkei","russland","menschenrechte","russland","china","türkei","ukraine","russland"
"3","sitzung","uhr","uhr","tagesordnung","sitzung","sitzung","geschäftsordnung","rasner","präsident","uhr","fraktion","präsident","geschäftsordnung","präsident","hauses","herren","ahlers","präsident","uhr","verfassungsschutz","herr","bundesminister","bundesminister","herr","brief","staatssekretär","staatssekretär","staatssekretär","herr","bundesminister","zusatzfrage","bundesminister","staatssekretär","abgeordneter","abgeordneter","staatssekretär","staatssekretär","staatssekretär","auswärtigen","auswärtigen","auswärtigen","zusatzfrage","moersch","wischnewski","zusatzfrage","dohnanyi","frau","zusatzfrage","dohnanyi","zusatzfrage","herr","zusatzfrage","frau","corterier","zusatzfrage","hammbrücher","möllemann","möllemann","israel","türkei","auswärtigen","auswärtigen","menschenrechte","möllemann","auswärtigen","menschenrechte","schäfer","türkei","schäfer","schäfer","menschenrechte","minderheiten","jugoslawien","auswärtigen","türkei","menschenrechte","staatsminister","auswärtigen","auswärtigen","china","amt","staatsminister","staatsminister","staatsminister","staatsminister","auswärtigen","staatsminister","staatsminister","amt","volmer","tschechischen","menschenrechte","auswärtigen","amt","menschenrechte","amt","russland","staatsministerin","fischer","amt","kuba","simbabwe","china","russland","beck","sri","syrien","iran","ägypten","menschenrechte","ägypten","menschenrechte","menschenrechte","partnerschaft","todesstrafe","menschenrechte","menschenrechte","erdogan","menschenrechte","türkei","religionsfreiheit","türkei","türkei","china","hongkong","menschenrechte","menschenrechte","putin"
"4","drucksache","drucksache","bundestages","bundestages","geschäftsordnung","uhr","tagesordnung","sitzung","minuten","fraktion","herren","herren","damen","dr","petenten","hauses","präsident","geschäftsordnung","rechtshilfeersuchen","alliierten","bundesminister","minister","herr","brief","bundesminister","herr","herr","herr","staatssekretär","herr","dahrendorf","scheel","abgeordneter","staatssekretär","staatssekretär","abgeordneter","parl","parl","parl","amt","zusatzfrage","herr","ddr","vizepräsident","herr","dr","hammbrücher","herr","herr","herr","dr","herr","hammbrücher","dr","dr","frau","herr","stücklen","türkei","auswärtigen","hupka","zusatzfrage","auswärtigen","auswärtige","schäfer","schäfer","auswärtigen","schäfer","auswärtigen","adamschwaetzer","schäfer","baltischen","menschenrechte","staatsminister","jugoslawien","auswärtigen","pkk","gorazde","amt","auswärtigen","china","amt","türkei","irak","amt","staatsminister","menschenrechte","menschenrechte","staatsminister","ludger","amt","staatsminister","menschenrechtsverletzungen","suu","kolumbien","kerstin","menschenrechte","menschenrechte","kiew","kuba","menschenrechtspolitik","beck","birma","olympischen","guantánamo","lanka","honduras","todesstrafe","tunesien","osze","namibia","folter","russland","putin","menschenrechte","folter","ukraine","menschenrechte","erdogan","menschenrechte","christen","religionsfreiheit","venezuela","ukraine","türkei","belarus","russischen","krieg"
"5","punkt","bundestages","punkt","geschäftsordnung","übergang","ältestenrat","rasner","grundgesetzänderung","herren","herren","ältestenrat","dr","dr","vorwürfe","abgeordneter","vorsitzender","innern","fristeinrede","herr","herr","minister","herr","minister","minister","bundeskanzler","guttenberg","diehl","parlamentarischer","bundesminister","zusatzfrage","herr","kulturpolitik","herr","zusatzfrage","herr","herr","herold","zusatzfrage","zusatzfrage","zusatzfrage","amt","vizepräsident","abgeordneter","herr","vizepräsident","herr","herr","dr","dr","frau","dohnanyi","dr","dr","jäger","türkei","vizepräsident","jenninger","bundesregierung","zusatzfrage","zusatzfrage","zusatzfrage","menschenrechte","zusatzfrage","menschenrechte","amt","tibet","rumänien","auswärtigen","türkei","türkei","bundesregierung","auswärtigen","auswärtigen","menschenrechte","staatsminister","schäfer","kurden","helmut","kurden","chinesischen","menschenrechte","indonesien","amt","amt","kosovo","volmer","europarat","china","todesstrafe","amt","menschenrechte","menschenrechtspolitik","folter","kyi","auswärtigen","müller","auswärtigen","amt","visa","menschenrechtsverletzungen","china","usbekistan","beck","chinesischen","sri","humanitäre","brasilien","kuba","arabischen","kuba","belarus","myanmar","bahai","sanktionen","sanktionen","institut","staaten","ukraine","religionsfreiheit","erdogan","menschenrechte","erdogan","iran","menschenrechte","menschenrechte","china","russische","russische"
"6","antrag","punkt","morgen","punkt","bundestages","rasner","ältestenrat","präsident","fraktion","herr","tagesordnung","beirat","herr","antrag","herren","herr","gerstenmaier","höcherl","höcherl","untersuchungsausschuss","schmittvockenhausen","schmittvockenhausen","bundeskanzlers","mende","guttenberg","parlamentarischer","parlamentarischer","botschafter","zusatzfrage","scheel","scheel","zusatzfrage","bundesminister","bundesminister","zusatzfrage","schmid","beim","beim","beim","herr","abgeordneter","abgeordneter","herr","abgeordneter","dr","vizepräsident","dohnanyi","vizepräsident","kollege","dr","frau","kollege","herr","vizepräsident","vizepräsident","abgeordneter","vizepräsident","zusatzfrage","saudiarabien","herr","polen","bundesregierung","bundesregierung","amt","gansel","auswärtigen","menschenrechte","iran","todesstrafe","amt","zusatzprotokolle","republiken","schäfer","amt","iran","menschenrechtsverletzungen","auswärtigen","menschenrechte","hoyer","amt","kulturpolitik","türkei","china","algerien","vereinten","öcalan","osttimor","amt","ludger","islam","auswärtige","ludger","menschenrechtspolitik","kerstin","russischen","erlass","russischen","kerstin","uhl","guantanamo","amt","russischen","osze","tibet","staaten","russland","menschenrechtsverletzungen","christen","christen","türkei","russland","todesstrafe","beziehungen","krim","folter","eritrea","menschenrechtsverteidiger","nato","nato","russischen","aussenpolitik","china","ukraine","aussenpolitik","staaten","nawalny","putin","russischen"
"7","uhr","anfrage","nächste","nächste","antrag","eröffnet","eröffnet","fraktion","fraktionen","geschäftsordnung","herr","ufa","hauses","hauses","antrag","haus","fragestunde","mommer","bundesminister","minister","schoettle","schoettle","dr","bürgermeister","mende","beim","bundespressechef","beim","amt","funcke","vizepräsident","marx","entwicklungspolitik","herr","bundesminister","information","innerdeutsche","abgeordneter","herr","abgeordneter","herr","frage","jäger","bundesregierung","frau","frau","dr","bundesregierung","hammbrücher","vizepräsident","vizepräsident","bundesregierung","jäger","wangen","leber","renger","windelen","vizepräsident","auswärtigen","bundesregierung","vogel","herr","herr","herr","bundesregierung","stavenhagen","botschaft","polen","amt","menschenrechte","amt","schäfer","helmut","konferenz","amt","staatsministerin","jugoslawien","türkei","türkischen","dialog","hoyer","hoyer","menschenrechte","auswärtige","hoyer","amt","amt","volmer","türkei","fischer","auslandsschulen","volmer","amt","san","tschetschenien","moldau","tschetschenien","aufhebung","amt","menschenrechtspolitik","amtes","gerichtshof","auswärtigen","beck","lanka","china","beck","türkei","religionsfreiheit","arabischen","staaten","staaten","china","russische","russischen","assoziierungsabkommen","beziehungen","pressefreiheit","aussenpolitik","beziehungen","sanktionen","rohingya","partnerschaft","erdogan","sanktionen","iran","china","nato"
"8","betreffend","berufe","drucksache","berufe","september","herren","punkt","uhr","sitzung","dr","rasner","hauses","herren","geschäftsordnung","haushaltsausschuss","bundestages","herr","senator","papen","untersuchungsausschusses","mommer","brief","zusatzfrage","gesamtdeutschen","stuhl","freiherr","scheel","bundesminister","zeugin","staatssekretär","abgeordneter","herr","parlamentarischer","parlamentarischer","parlamentarischer","bundesminister","zusatzfrage","herr","abgeordneter","vizepräsident","vizepräsident","wischnewski","vizepräsident","frau","abgeordneter","hammbrücher","vizepräsident","frau","vizepräsident","renger","hammbrücher","jäger","vizepräsident","herr","herr","herr","abgeordneter","hammbrücher","mertes","mertes","herr","westphal","goetheinstitut","bundesregierung","stavenhagen","türkei","bundesregierung","türkischen","bundesregierung","bundesregierung","ratifizierung","jugoslawischen","minderheiten","staatsministerin","menschenrechtsverletzungen","bosnien","türkischen","amt","menschenrechte","türkei","auswärtige","menschenrechtspolitik","hoyer","schäfer","schäfer","ludger","vereinten","österreich","volmer","menschenrechte","sprache","zöpel","menschenrechtskommission","aung","menschenrechtsverletzungen","uhl","putin","müller","amtes","folter","menschenrechten","mugabe","russischen","spiele","menschenrechtspolitik","hilfe","zelaya","weltweit","todesstrafe","sri","myanmar","regime","aserbaidschan","maidan","moldau","russischen","türkei","beziehungen","demokratie","östlichen","welt","aussenpolitik","armenien","sanktionen","erdogan","sanktionen","sowjetunion","sanktionen"
"9","fraktion","handbuch","damen","damen","drucksache","präsident","präsident","herren","uhr","sitzung","damen","fraktion","tarifklasse","bundesernährungsministerium","worden","anstalt","bundesanwaltschaft","innern","präsident","schoettle","vizepräsident","alliierten","lemmer","schröder","zusatzfrage","scheel","zusatzfrage","bundesregierung","parlamentarischer","frau","bundeskanzler","abgeordneter","zusatzfrage","dr","polnischen","parlamentarischer","herr","bundesminister","bundesminister","beziehungen","frage","bundesregierung","staatssekretär","jäger","stücklen","bundesregierung","abgeordneter","hammbrücher","bundesregierung","kollege","bundesregierung","vizepräsident","corterier","frau","jäger","dr","bundesregierung","auswärtigen","bundesregierung","polen","czaja","vogel","vizepräsident","sprache","herr","rumänien","türkei","menschenrechtsverletzungen","menschenrechte","stavenhagen","adamschwaetzer","minderheit","staatsministerin","peru","schäfer","seileralbring","menschenrechtsverletzungen","bundesregierung","schäfer","iran","iran","china","indonesien","kosovo","nationen","pkk","europarates","haider","zöpel","aussenminister","volmer","christoph","amtes","müller","putin","kiew","visa","waffenembargos","aussenminister","china","guantanamo","auswärtigen","menschenrechtspolitik","simbabwe","china","menschenrechtsverletzungen","rechte","freilassung","menschenrechtsverletzungen","eu","georgien","demokratie","korea","moskau","staaten","putin","aussenpolitik","türkischen","russischen","partnerschaft","yücel","christen","nato","indien","usa","myanmar","beziehungen","waffen"
"10","abgeordneten","nächste","fraktion","ältestenrat","berufe","punkt","herren","damen","herr","rasner","schmid","geschäftsordnung","iv","kosswig","dr","antrag","zusatzfrage","bundesminister","behörden","bundesminister","zusatzfrage","vizepräsident","brief","dr","heiligen","diemernicolaus","bundeskanzler","amt","bundesregierung","guttenberg","dr","funcke","beim","frage","bundesregierung","zusatzfrage","beziehungen","frage","vizepräsident","frage","jäger","abgeordneten","frage","frage","hammbrücher","abgeordneter","frage","kollege","jäger","jäger","kollege","hammbrücher","huonker","hammbrücher","wangen","corterier","auswärtigen","türkischen","vizepräsident","vizepräsident","mertes","sprache","menschenrechtspolitik","zusatzfrage","nahen","chinesischen","staaten","regierung","staaten","auswärtige","menschenrechtspolitik","jugoslawiens","kroatien","schäfer","staatsministerin","kurden","iran","serben","jugoslawien","menschenrechtsverletzungen","chinesischen","iran","werner","kulturpolitik","milosevic","menschenrechtsverletzungen","aussenminister","christen","menschenrechtskonvention","auswärtige","ludger","auswärtige","auswärtige","kongo","amt","auswärtige","kiew","kuba","botschaft","erler","menschenrechtsrat","sri","ksevertrag","chinas","humanitäre","auswärtigen","auswärtigen","antrag","nordafrika","iran","regime","menschenrechten","staaten","östlichen","krim","staaten","vorsitz","kuba","türkischen","journalisten","nato","myanmar","aussenminister","maas","rechtsstaatlichkeit","aussenpolitik","türkei","menschenrechte"
