"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","frau","apotheke","arzneimittel","arzt","radioaktivität","frau","gesundheitswesen","frau","frau","frau","frau","frau","frau","gesundheitswesen","gesundheitswesen","frau","frau","frau","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","arzneimittel","krebsforschung","ärzte","ärzte","ärzte","ausbildung","gesundheit","kranken","stoffe","krebs","gesundheit","ärzte","arzneimittel","tierarzneimitteln","biologisch","fremdenverkehr","krankenhaus","ärzte","krankenkassen","ärzte","psychisch","ärzte","ärzte","aids","ärzte","patienten","krankenkassen","krankenversicherung","krankenkassen","prävention","polikliniken","staatssekretärin","staatssekretärin","patienten","aids","psychotherapeuten","gesundheit","seehofer","positivliste","krankenkassen","krankenkassen","krankenversicherung","krankenkassen","seehofer","krankenversicherung","patienten","patienten","patienten","gesundheitswesen","krankenkassen","patienten","krankenversicherung","patienten","patienten","pflegeversicherung","pflegeversicherung","prävention","krankenversicherung","krankenversicherung","krankenkassen","patientenverfügung","pflege","patienten","krankenkassen","patienten","patienten","krankenversicherung","patienten","versorgung","patienten","patienten","pflege","patienten","pflege","versorgung","pflege","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","pflege","pflege"
"2","dr","umdruck","umdruck","umdruck","umdruck","umdruck","abs","abs","besoldungsgruppe","frau","ortsklasse","verordnungen","apotheker","lange","erben","gesundheitswesen","schwarzhaupt","frau","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","frau","frau","gesundheitspolitik","gesundheitswesen","gesundheitswesen","frau","jugend","jugend","jugend","jugend","jugend","jugend","jugend","familie","jugend","jugend","jugend","gesundheit","zander","gesundheitswesen","versorgung","gesundheit","ärzte","jugend","psychisch","chemikaliengesetz","lebensmitteln","krankenkassen","gesundheitswesen","arzneimittelgesetz","gesundheit","lebensmittel","selbstbeteiligung","arzneimittel","kuren","ärzte","arzneimittel","versorgung","arzneimittel","krankenkassen","enquetekommission","rauchen","gesundheitswesen","krankenversicherung","enquetekommission","kranken","ambulanten","ärzte","bergmannpohl","krankenversicherung","krankenversicherung","gesundheit","patienten","seehofer","krankenversicherung","seehofer","krankenversicherung","krankenversicherung","tod","krankenversicherung","patienten","patienten","krankenversicherung","gesundheit","budgets","patienten","patienten","krankenversicherung","krankenkassen","krankenversicherung","krankenversicherung","praxisgebühr","krankenkassen","patienten","krankheiten","krankenkassen","versicherten","patienten","krankenkassen","krankenkassen","patienten","menschen","krankenversicherung","versicherten","pflege","patienten","praxisgebühr","praxisgebühr","patienten","versorgung","versorgung","patienten","patienten","patienten","patienten","versorgung","pflegekräfte","patienten","pflege","patienten","patienten","patienten","patienten","pflegekräfte"
"3","ziffer","änderungsantrag","ziffer","präsident","abs","siehe","umdruck","umdruck","bitten","kennzeichnungspflicht","ausgleichszulage","lebensmittelgesetz","kanka","arzneimitteln","landesjugendamt","frau","gesundheitswesen","schwarzhaupt","schwarzhaupt","arzneimittel","schwarzhaupt","schwarzhaupt","schwarzhaupt","schwarzhaupt","strobel","strobel","strobel","strobel","heuser","jugend","familie","familie","familie","familie","familie","familie","familie","jugend","familie","familie","familie","jugend","versorgung","arzt","gesundheit","erkrankungen","gesundheit","zander","versorgung","stoffen","cadmium","krankenhäuser","selbstverwaltung","bundesgesundheitsamt","fuchs","israel","urlaub","selbstbeteiligung","urlaub","krankenhäuser","patienten","ärzte","patienten","kassenärztlichen","gesundheitswesen","krankheiten","krankenkassen","patienten","krankenkassen","patienten","schulmedizin","aids","versicherten","bergmannpohl","versicherten","seehofer","versorgung","krankenversicherung","gesundheit","krankenversicherung","seehofer","seehofer","seehofer","seehofer","krankenversicherung","zuzahlungen","gesundheitswesen","gesundheitspolitik","gesundheitspolitik","ärzte","krankenversicherung","versorgung","patienten","gesundheitswesen","versorgung","krankenversicherung","versicherten","krankenkassen","kolb","patienten","krankenversicherung","pflege","pflegeversicherung","ärzte","gesundheitsfonds","krankenversicherung","kopfpauschale","patienten","krankenkassen","ärzte","organspende","patientinnen","versorgung","hebammen","angehörigen","gesundheit","versorgung","hebammen","versorgung","pflegeversicherung","krankenversicherung","versorgung","versorgung","versorgung","pflegekräfte","versorgung","krankenhäuser","patienten"
"4","abs","herr","abs","vizepräsident","änderungsantrag","präsident","siehe","präsident","änderungsantrag","unertl","präsident","krabben","dittrich","elbrächter","seidl","schwarzhaupt","ministerin","ministerin","ministerin","schwarzhaupt","hubert","hamm","ministerin","ministerin","ministerin","mangerkoenig","ärzte","heuser","mangerkoenig","familie","psychisch","umweltschutz","krankenhäuser","umweltschutz","krankenhäuser","westphal","westphal","focke","wolters","zander","versorgung","arzneimittelsicherheit","prinz","zander","logopäden","wolters","krankenpflege","ärzte","psychiatrie","hasinger","krebsforschung","chemischer","arzneimittel","gesundheit","faltlhauser","lebensmitteln","tourismus","gebiete","psychopharmaka","mischfinanzierung","arzt","kranken","arzt","meldepflicht","krankheit","heilpraktiker","aids","aids","arzneimittel","arzneimittel","erkrankungen","versorgung","sabine","kirschner","gesundheitswesen","medizinischen","psychotherapie","bundesgesundheitsamt","horst","ärzte","gesundheit","versicherten","krankenkassen","versicherten","krankenkassen","gesundheitswesen","krankenkassen","krankenkassen","ärzte","krankenkassen","versicherten","versicherten","gesundheitswesen","krankenhäuser","krankenkassen","patienten","krankenversicherung","patientenverfügung","gesundheit","versicherten","gesundheitsreform","versicherten","menschen","pflege","krankenversicherung","patientenverfügung","versicherten","krankenkassen","versicherten","krankenkassen","pflege","krankenkassen","ärzte","pflege","pflegebedürftigen","pflege","krankenhäuser","versorgung","krankenkassen","pflegekräfte","pflegeversicherung","ärzte","pflegeversicherung","patientinnen","versorgung","krankenhäuser","versorgung","pflegebonus"
"5","herr","präsident","dr","ziffer","fassung","dr","dr","dr","frau","stammberger","stammberger","bier","nr","gewerbeordnung","gesundheitsamt","bechert","rezeptpflicht","ärzte","hubert","hubert","ministerin","hubert","bechert","bechert","wein","jugendherbergen","gesundheitswesen","bechert","strobel","strobel","strobel","westphal","mangerkoenig","umweltschutzes","westphal","prinz","mangerkoenig","gesamtreform","bundesministerium","arzneimittel","gesundheitswesen","familie","gesundheit","kassenärztlichen","jugend","rheumatischen","krankenhaus","krankenkassen","krebsbekämpfung","tierversuche","krebsbekämpfung","kostendämpfung","ärzten","arzneimittelgesetzes","arzneimittel","kanalisation","fremdenverkehrswirtschaft","grundsätzlich","anlangt","krankenhaus","krankenkassen","kranker","gesundheitswesen","krankheit","ärzte","krankheit","festbeträge","krankheit","gesundheitsreformgesetz","gesundheitsreformgesetz","stationären","krankenkassen","krankenversicherung","versorgung","ärzte","krankenversicherung","blut","arzneimittel","krankenkassen","patienten","gesundheitswesen","kassen","patienten","gesundheit","versicherten","thomae","versorgung","krankenversicherung","krankenversicherung","versorgung","gesundheitspolitik","gesundheitspolitik","krankenhäuser","leistungen","gesundheitswesen","krankenkassen","zahnersatz","versicherten","gesetzlichen","ärzte","kassen","menschen","kassen","menschen","versicherten","ärzte","rösler","gesetzlichen","krankenversicherung","pflege","krankenkassen","ärzte","patientinnen","krankenkassen","pflegeversicherung","prävention","patientinnen","krankenhäusern","versicherten","krankenversicherung","versorgung","altenpflege","ärzte","krankenkassen","krankenkassen","krankenhäusern","krankenhäusern","gesundheitswesen"
"6","lesung","unserem","änderungsantrag","bitten","unserem","abs","satz","bitten","bitte","stoffe","antrages","antrag","apotheken","nr","krankheiten","luft","arzneimittel","butter","bargatzky","gesundheit","hamm","dr","hamm","dr","rollmann","bechert","gesundheit","gesundheit","jungmann","funcke","frau","umwelt","ärzte","mangerkoenig","krankenhaus","saynwittgensteinhohenstein","versorgung","anlagen","lebensmittelrechts","wolters","ärzte","patienten","saynwittgensteinhohenstein","patienten","familie","schriften","krankenhäuser","widerspruchslösung","gesundheit","gesundheit","forschung","gesundheitswesen","krankenversicherung","arzneimitteln","arzneimittelgesetzes","krankheiten","fremdenverkehrspolitik","direktbeteiligung","patienten","patienten","versorgung","pflegebedürftigen","krankenkassen","arzt","grenzschutzdirektion","wilmskegel","krankenversicherung","kranken","zwischenbericht","gesundheitswesen","krankenversicherung","gesundheitswesen","gesundheitswesen","gesundheit","krankenhaus","versorgung","gesundheit","medizinprodukte","positivliste","arzneimittel","gesetzlichen","gesetzlichen","menschen","gesundheitswesen","gesundheitswesen","versicherten","versicherten","versorgung","versorgung","versicherten","versorgung","leistungen","gesetzlichen","krankenhäusern","selbstverwaltung","kolb","ärzte","pflege","ambulanten","praxisgebühr","versorgung","reform","leistungen","pflegeversicherung","versorgung","arzt","zusatzbeiträge","rösler","pflegeversicherung","versicherten","krankenversicherung","versicherten","krankenhäuser","gröhe","patienten","krankenkassen","gröhe","altenpflege","pflegeversicherung","krankenhäuser","patienten","versicherten","spahn","pflegeversicherung","patientinnen","krankenversicherung","patientinnen","krankenhäusern"
"7","präsident","vizepräsident","präsident","dr","dr","ziffer","anlage","schwestern","umdruck","präsident","regierungsvorlage","wein","stammberger","antrag","zuweisung","niederschläge","hubert","dr","dr","auflagen","dr","ministerin","dr","hubert","bundesminister","verordnung","krankheiten","krankenhäuser","bundesministerium","mangerkoenig","psychiatrischen","mangerkoenig","strobel","umwelt","mangerkoenig","bundesgesundheitsamt","bundesministerium","westphal","gesamtreform","arzneimitteln","gesundheitswesens","prinz","krebs","krankenhaus","becker","patienten","krankenkassen","krankenhaus","krebs","apotheken","patienten","gesundheitspolitik","fuchs","patienten","kalbfleisch","helfer","fremdenverkehrs","ebenfalls","gaststätten","krankenhausfinanzierung","arzneimitteln","ambulanten","krankenhäusern","aids","kranken","krankenversicherung","krankheit","versorgung","versicherten","ärzte","jaunich","staatssekretärin","selbstbeteiligung","psychisch","krankenkassen","prävention","seehofer","horst","bse","krankenkassen","versicherten","gesundheitswesen","hirntod","gesetzlichen","gesundheitspolitik","krankenkassen","patientinnen","budgetierung","gesundheit","gesundheitspolitik","gesetzlichen","kranken","versorgung","arzneimittel","ärzte","gesundheit","krankenhäuser","kassen","patienten","versorgung","wettbewerb","ärzte","prävention","patientenverfügung","kassen","versorgung","sozialausgleich","sozialausgleich","gesundheit","krankenversicherung","patientinnen","arzt","gesundheit","versicherten","versicherten","gesundheitskarte","krankenhäusern","gesundheit","pflegekräfte","versicherten","krankenhäusern","pflegekräfte","betreuer","angehörigen","krankenhäusern","krankenkassen","sana","pflegenden"
"8","umdruck","dr","lesung","siehe","beantragen","anlage","bitten","frau","patienten","umdruck","bitten","gewerbeordnung","antrag","dezember","antrag","werte","dr","hamm","bundesministerin","dr","lebensmitteln","bargatzky","offenbach","probst","säure","bundesminister","gesundheitsvorsorge","dr","wein","ärzte","kranken","frau","liter","bundesministerium","krankenhäusern","erkrankungen","ärzte","arzneimittel","lebensmittel","deutschfranzösischen","zander","arzneimitteln","forschung","gesundheit","medizinstudenten","bundeszentrale","versorgung","familie","krankenkassen","krankenhäuser","gesundheit","bundeszentrale","kostendämpfung","arzneimittelsicherheit","lebensmittel","neumeister","gebiete","arzneimitteln","aktuelle","egert","krankenhaus","patienten","praktikum","versorgung","meldepflicht","aids","ärzte","gesundheitswesen","patienten","arzneimitteln","krankheiten","patienten","krankenkassen","sabine","gesundheit","ärzte","psychisch","patienten","gesetzlichen","lohmann","tod","arzneimittel","versicherten","patienten","gesundheit","versorgung","gesundheit","arzneimittel","krankenkassen","krankenversicherung","ärzte","seehofer","ärzte","versicherten","gesundheitsreform","pflege","kopfpauschale","menschen","therapie","gesundheitswesen","reform","sterben","krankenversicherung","versorgung","krankenhäuser","beratung","lauterbach","lauterbach","versorgung","patientinnen","bahr","pflege","pflegeversicherung","qualität","leistungen","ärzte","gesundheitswesen","kleinschmeink","gröhe","bürgerversicherung","altenpflege","spahn","vergütung","spahn","krankenhäuser","gesundheitswesen","kliniken","arbeitsbedingungen"
"9","fassung","damen","schmid","änderungsantrag","wort","bitten","präsident","hubert","zusatz","gesetz","keilhack","kollegin","apothekers","hubert","hof","ministerin","herstellung","ärzten","arzneimittel","hamm","kaiserslautern","werbung","kaiserslautern","kollegin","weingesetz","schoettle","vorsorge","krankheiten","bevölkerung","pinneberg","psychiatrie","umweltschutzes","gesundheitspolitik","umweltprogramm","ärzte","diagnosezentren","untersuchungen","bundesgesundheitsamt","werbung","arzneimittelsicherheit","krankenhäuser","naturheilmittel","patienten","ärztlichen","arzt","arzneimittel","gesundheitswesen","patienten","ärzte","apotheke","huber","selbstverwaltung","kostendämpfungsergänzungsgesetz","zulassung","frau","freiwilligen","aktion","kuren","arzneimittel","arzt","gesundheitswesen","pflege","jaunich","übersiedler","egert","gesundheit","kranken","gesundheitsreformgesetz","gesundheitswesen","krankenversicherung","therapie","bergmannpohl","hasselfeldt","gesundheitswesen","gesetzlichen","gesetzlichen","horst","lahnstein","gesundheitswesen","gesundheit","ärzte","gesundheit","gesundheitswesen","gesundheitspolitik","zahnersatz","gesundheitspolitik","gesetzlichen","gesundheitswesen","gesundheitswesen","qualität","risikostrukturausgleich","chronisch","qualität","positivliste","chronisch","soziale","patienten","versorgung","zöller","arzneimittel","patienten","pflegeversicherung","versicherten","sterben","ärzte","medizinische","krankenkassen","spahn","patientinnen","gesundheitswesen","versicherten","krankenversicherung","prävention","patientinnen","gesundheit","krankenhäuser","gesundheit","patientinnen","forschung","leistungen","krankenkassen","krankenhäusern","patientinnen","pflegekräfte","krankenhaus","patientinnen","ärzte","krankenhäuser"
"10","änderungsantrag","zuzustimmen","herr","wort","vizepräsident","wort","vizepräsident","ärzte","ergänzen","änderungsantrag","dr","dittrich","verpachtung","abs","betrieb","bevölkerung","hamm","hausfrau","hasen","luft","gesundheit","offenbach","bargatzky","gaualgesheim","schoettle","rauchen","heuser","kollegin","arzneimittel","brand","krankenhäuser","ärzte","krankenhaus","westphal","krankenhausträger","einrichtung","umweltschutz","arzneimittelsicherheit","arzneimittel","prinz","ärztlichen","zander","kassenärztlichen","versorgung","ambulanten","rheumabekämpfung","jugend","ausbildung","huber","chemische","bestrahlung","aufklärung","krankenkassen","ärzte","versorgung","familie","rückgang","höchstmengen","arzneimitteln","gesundheitswesen","ärzten","pflegebedürftigkeit","aktion","grossgeräten","strukturreform","gesundheitswesen","selbstbeteiligung","ärzte","naturheilmittel","zahnärzte","ärzten","ambulanten","ärzte","gesetzlichen","versorgung","knaape","kranken","kirschner","patienten","budgetierung","organentnahme","versorgung","ärzte","prävention","ärzte","zuzahlung","arzneimittel","psychotherapeuten","budgetierung","gesundheit","ministerin","gesundheitswesen","kassen","versorgung","gesetzlichen","leistungen","gesundheit","ärzte","krankenkassen","gesetzlichen","gesundheitswesen","krankenkassen","gesundheit","versicherten","gesundheitswesen","medizinischen","gesundheitswesen","kopfpauschale","ärzte","gesundheitspolitik","ärzte","versorgung","krankenhäusern","arzneimittel","prävention","krankenversicherung","kleinschmeink","gesundheitswesen","psg","patienten","finanzierung","krankenkassen","krankenversicherung","pflegebedürftigen","versicherten","versicherten","krankenhaus","gesundheitssystem"
