"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dr","dr","dr","dr","dr","abgeordneter","uhr","sonntag","stunden","stunden","arbeitszeit","pferde","beamten","zeitschriften","ei","film","berlin","verträge","salzgitter","seeschiffahrt","fischerei","senator","bundeskriminalamt","portugal","textilindustrie","oberpfalz","arndt","zonenrandgebiet","saar","zonenrandgebiet","berlin","zonenrandgebiet","zonenrandgebiet","zonenrandgebiet","spiele","argentinien","regionalen","grüner","grüner","programm","programm","ländlichen","tourismus","förderung","badenwürttemberg","regionalen","zonenrandgebiet","film","arbeitsplätze","ländlichen","eid","ländlichen","schwandorf","ländlichen","wein","stahlindustrie","regionalen","stahlindustrie","stahlindustrie","bremen","nordrheinwestfalen","hessen","nordrheinwestfalen","werften","stahlindustrie","rheinhausen","rheinhausen","kohle","kohle","nordrheinwestfalen","saarland","steinkohle","möllemann","mecklenburgvorpommern","stahlindustrie","stahlindustrie","braunkohle","eko","kammern","raumfahrtindustrie","vulkan","sket","geschäftsführung","schröder","schröder","pallas","hochwasser","werften","promille","börnsen","werften","schleswigholstein","börnsen","wale","werften","häfen","rechtschreibung","maritimen","seeschifffahrt","ostsee","dr","ostsee","coburg","meere","ostsee","meere","wattenmeer","wale","überhangmandate","westsahara","polarforschung","wahlrecht","demokratie","geschäftsordnung","demokratie","karenzzeit","parteien","demokratie","sponsoring","parteien","demokratie","parteien","grundgesetz","demokratie","wahlkreise","demokratie","demokratie","bundestag"
"2","abgeordneter","herr","herr","abgeordneter","sonntage","präsident","einzelhandel","stunden","uhr","uhr","einzelhandel","pferden","schmitt","jugendschutzes","ungestempelte","filmindustrie","berliner","verordnung","berlin","handelsflotte","berlin","kattenstroth","bundeskriminalamtes","einfuhren","importe","textilindustrie","granitindustrie","betriebe","saarland","wolfram","strukturpolitik","regionalen","zonenrandförderung","regionalen","olympischen","mende","strukturpolitik","gemeinschaftsaufgabe","wirtschaft","grüner","grüner","regionalen","programm","zonenrandgebiet","programm","fördergebiete","regionalen","filme","diag","raumordnungspolitik","ländlichen","gemeinschaftsaufgabe","regionalen","gemeinschaftsaufgabe","verbraucher","saar","gemeinschaftsaufgabe","werften","nordrheinwestfalen","saarland","regionen","arbeitsplätze","landesregierung","landesregierung","kohle","kohle","ruhrgebiet","ruhrgebiet","steinkohle","landesregierung","ministerpräsident","möllemann","region","werften","braunkohle","bischofferode","steinkohle","eisenhüttenstadt","kohlepfennig","luft","bremer","bvs","henning","niedersachsen","niedersachsen","metro","schäden","schleswigholstein","promillegrenze","ostsee","börnsen","variante","ostsee","walfang","ostsee","börnsen","rechtschreibreform","häfen","goldmann","kleinwale","iwf","dresden","brücke","anwaltsnotariat","maritimen","delfine","wattenmeeres","walfang","wahlrecht","überhangmandate","rechtsschutz","überhangmandate","beiräte","abgeordneten","handwerk","sozialcharta","spenden","wahl","parteien","npd","afd","demokratie","demokratie","wahlrecht","demokratie","bundestag","grundgesetz","demokratie"
"3","herr","abgeordneter","vizepräsident","herr","weihnachten","dr","angestellten","arbeitszeit","sonntag","tag","belegschaftshandel","ausfuhr","ortszuschlag","ausfuhr","stempelung","filme","filmwirtschaft","doppelbesteuerungsabkommen","firmen","reedereien","küste","jugend","amtes","berliner","bundeskriminalamt","bayerischen","bayerischen","gebieten","saarlandes","kokereien","saar","berlin","regionalen","gebieten","sport","telegramm","gemeinschaftsaufgabe","regionalen","gebiete","regionalen","arbeitsplätze","arbeitsplätze","förderung","waigel","übungen","strukturpolitik","investitionszulage","filmförderung","warnke","gebieten","gemeinschaftsaufgabe","schweiz","ländlichen","regionen","winzer","regionen","stahlindustrie","bremen","reuschenbach","stahlindustrie","saarland","landesregierung","montanmitbestimmung","arbeitsplätze","arbeitsplätze","arbeitsplätze","regionen","nordrheinwestfalen","nordrheinwestfalen","kohle","nordrheinwestfalen","energiepolitik","steinkohle","möllemann","bremen","kali","stahlindustrie","bekleidungsindustrie","industrie","dasa","bvs","werften","werften","preussag","preussag","steenblock","hilfen","ostsee","alkohol","werften","seeämter","goldmann","schiffe","iwc","börnsen","schiffe","küstenwache","maritime","kapitän","nord","federn","unesco","walfang","fachprüfung","schiffe","welterbestätten","liebing","dsf","stimmgewicht","wahlrecht","wahlrecht","wahlrechts","kammern","minderheitenrechte","wahl","wahl","partei","grundgesetz","parteiengesetz","demokratie","sprache","stiftungen","grundgesetzes","grundgesetz","abgeordneten","abgeordneten","bundestag","abgeordneten"
"4","wort","präsident","abgeordneter","präsident","sonntag","herr","samstagnachmittag","arbeitswoche","ausnahmen","überstunden","beamten","tiere","dienst","filmselbstkontrolle","personensorgeberechtigten","filmwirtschaft","bundesgebiet","lieferungen","schlachtpferden","reeder","wischnewski","sport","schiff","granitindustrie","frachthilfe","regionale","ruhrgebiet","zonenrand","saarländischen","ag","zonenrandgebiet","regionale","förderung","präferenz","münchen","argentinischen","wirtschaftsstruktur","strukturschwachen","regionalen","raumordnungspolitik","wirtschaft","gemeinschaftsaufgabe","arbeitsplätze","strukturpolitik","landesregierung","wirtschaftsstruktur","film","raumordnungspolitik","regionalen","pack","schwöre","regionalen","regionen","deich","weingesetz","lammert","stahlarbeiter","subventionen","bremen","unternehmen","stahlindustrie","nordrheinwestfalen","niedersachsen","hamburg","regionen","stahlindustrie","nordrheinwestfalen","stahlindustrie","subventionen","saarland","lafontaine","kohle","wilhelmshaven","region","krise","textilindustrie","kohle","textil","ihks","raumfahrt","werften","schiffbau","flankierung","stahl","dutyfree","börnsen","bayern","schäden","fahranfänger","schleswigholstein","ostsee","hansmichael","küste","japan","mecklenburgvorpommern","spiegel","zehetmair","port","börnsen","schweinswale","unsinnige","brücke","wattenmeer","dresden","fachprüfung","delfinen","weltnaturerbe","friedensforschung","westsahara","marokko","krings","vergrösserung","parteien","wahl","richter","übergangsgeld","parteiengesetz","wahlkreis","demokratie","partei","grundgesetz","grundgesetz","verfassung","wahlkreise","wahlrecht","grundgesetz","artikel","mehrheit"
"5","abgeordnete","ehlers","abgeordnete","vizepräsident","präsident","vizepräsident","meyerronnenberg","sonntags","gesetz","witterung","stunden","ritzel","jährliche","fsk","praxis","filmproduktion","westdeutschen","lieferung","verträge","schiffahrt","seeschiffahrt","berliner","ausländer","berlin","einfuhren","regionalpolitik","landkreis","errichtet","gebiete","berlin","bayern","zonenrandgebiets","zonenrandgebietes","wirtschaftskraft","olympische","erich","infrastruktur","wirtschaft","gemeinschaftsaufgabe","wirtschaft","regionalen","raumordnungspolitik","wirtschaft","programm","regionalen","strukturschwachen","gemeinschaftsaufgabe","arbeitsplätze","gemeinschaftsaufgabe","raumordnungsbericht","glückwunsch","räume","wirtschaftsstruktur","zonenrandgebiet","kakaoabkommen","saarland","kurzarbeit","hdw","arbedsaarstahl","fusion","regionalpolitik","bremen","hessen","küste","stahl","bangemann","arbeitsplätze","kohlepfennig","energiepolitik","bergbau","bundesregierung","bundeswirtschaftsminister","kohle","verbundlösung","stahlunternehmen","arbeitsplätze","bergbau","riva","steinkohle","unternehmen","bremen","maritimen","phänomen","unternehmen","dutyfreehandel","oceanic","börnsen","pallas","börnsen","koreanischen","goldmann","mecklenburgvorpommern","öl","moratorium","prestige","toten","küste","package","promille","fischerei","modernisieren","meere","elbe","meerespolitik","munitionsaltlasten","unterwasserlärm","unescoweltnaturerbe","konfliktforschung","vorschlag","arktis","arktis","wahl","spenden","mitglieder","meisterbrief","wechsel","einnahmen","richter","parteienfinanzierung","bundesverfassungsgericht","antrag","artikel","artikel","afd","bundestag","parteien","parteien","geschäftsordnung"
"6","geschäftsordnung","wort","wort","wort","herr","herren","ladenschluss","sonntagsarbeit","berufstätigen","kalt","kabinett","pferd","angestellten","pferden","reisenden","bergmann","besold","montag","doppelbesteuerungsabkommen","deutschen","fangprämie","firma","ausstattung","firma","kapitalhilfe","niederbayern","ostbayern","bundesausbaugebieten","zonenrandgebiet","gebaut","saarland","räumen","wirtschaftsstruktur","gebiete","regionalen","professor","gebieten","textil","strukturpolitik","badenwürttemberg","bauwirtschaft","raum","vergabe","regionalen","förderung","strukturberichterstattung","raumordnungspolitik","wohlrabe","geschäftsführung","raumordnung","gott","wirtschaftsstruktur","freistaat","regionale","echternach","stahl","überkapazitäten","unternehmen","jochimsen","arbeitsplätze","bremen","krupp","jochimsen","schleswigholstein","werften","stahl","stahl","stahl","jahrhundertvertrag","rau","bergbau","bergbau","bergbau","arbeitsplätze","stahl","textil","subventionen","stahlindustrie","beitragsrecht","industrie","verbund","unternehmen","unternehmen","landesregierung","arbeitsplätze","werften","hilfe","küstenschutz","promilleregelung","korea","schiffbau","konferenz","unfälle","meere","korea","seehäfen","havariekommando","börnsen","alkoholmissbrauch","schleswigholstein","bitte","maritime","fischfang","fischerei","werften","welterbekonvention","wattenmeerkonferenz","walfangs","mandate","bundesverfassungsgericht","wahl","parteien","transparenz","hauptausschuss","plenum","tätigkeit","teilfinanzierung","grundgesetzes","staatsbürgerschaft","parteienfinanzierung","npd","parteienfinanzierung","wahl","parteien","wahl","parlament","kirchen","parlament"
"7","bitte","abstimmung","präsident","abgeordnete","abgeordneter","schmid","sonntag","stundenwoche","freizeit","arbeitszeit","eilers","stunden","bundespost","ermessensbildung","verlorene","schwarzfahrten","berlins","natobeschluss","sander","berlin","berlins","bundesschatzministerium","herr","konjunkturrücklage","dr","porzellanindustrie","wirtschaft","gebiete","wasserstrassenanschluss","gebieten","bayerischen","strukturpolitik","innerdeutsche","wirtschaft","kiel","deutschen","fördergebieten","gebieten","gebieten","gemeinschaftsaufgabe","programms","strukturpolitik","regionalen","gebieten","mischfinanzierung","förderung","gebiete","gemeinschaftsaufgabe","loewe","karten","helfe","zonenrandgebiet","bayern","raum","amtliche","nordrheinwestfalen","ruhr","bremer","stahlunternehmen","georgsmarienhütte","arbeitsplätze","wuppermann","bremen","hessen","bangemann","nordrheinwestfalen","stahlindustrie","arbeitsplätze","bergbau","steinkohle","coabgabe","subventionen","bundeswirtschaftsminister","landesregierung","unternehmen","fusion","kohlerunde","steinkohle","schwanhold","eurofighter","mecklenburgvorpommern","magdeburg","egksvertrag","schultze","salzgitter","küste","süddeutschland","steenblock","unfälle","goldmann","maritimen","fregatte","havarie","kriegswaffen","schiffe","winkel","see","schleswigholstein","trunkenheitsfahrten","beifänge","danke","meer","waldschlösschenbrücke","meer","anwaltsnotariat","wale","sylt","japan","negativen","stimmgewicht","partei","partei","handwerk","hasselmann","karenzzeit","bundestages","wahl","wahlkreise","spenden","grundgesetzes","enquetekommission","afd","parteien","bundestag","bundestages","abgeordnete","grundgesetzes","grundgesetz"
"8","vizepräsident","abgeordnete","geschäftsordnung","gerstenmaier","vizepräsident","zwischenfrage","gesetz","sabel","wohlgemerkt","beweist","dienst","transport","verbesserungen","gewerbliche","antrag","iven","iven","ausfuhrgenehmigungen","fm","kapitalstruktur","dr","flutlichtanlage","verbrechensbekämpfung","dumping","exportfinanzierung","bayern","gebieten","berichtszeitraum","landkreis","regionale","strukturbericht","förderung","wirtschaft","förderung","förderungsmassnahmen","schmittvockenhausen","regionale","staatssekretär","sonderprogramm","ländlichen","wirtschaftsstruktur","bundesraumordnungsprogramm","fürth","wirtschaftsstruktur","niedersachsen","gebieten","zonenrandgebietes","films","emden","regionalen","wahr","architekten","räumen","regionalen","egkommission","dortmund","saar","hamburg","saarstahl","regionen","jochimsen","stahlindustrie","arbeitsplätze","schiffbau","subventionen","landesregierung","belegschaft","steinkohle","saarland","energiepolitik","landesregierung","nordrheinwestfalen","bremen","krause","kohle","brüssel","rexrodt","textilindustrie","kammer","arbeitsplätze","treuhandanstalt","maritime","jena","salzgitter","taxfreeregelung","altmann","jahrproblem","carstensen","strebhesse","ostseeraum","mecklenburgvorpommern","katzen","prestige","rüstungsexportpolitik","schiffbau","rüstungsgütern","börnsen","küste","vorläufige","hamburg","herr","maritimen","ostsee","notarielle","maritime","blutprodukte","meer","iwc","polarforschung","bonn","polarstern","wählen","handwerkskammern","bundestages","wahlbeteiligung","grundgesetz","zuwendungen","volksbegehren","obersten","geschäftsordnung","bundesverfassungsgericht","bundesverfassungsgericht","afd","artikel","parteien","bundestages","abgeordneten","bundestages"
"9","minuten","vizepräsident","schmid","bitte","sonntagen","damen","zeitungen","uhr","samstag","bundesarbeitsminister","betriebs","staatssekretär","jährlichen","schlachtpferden","baur","berlin","filmproduktion","erteilt","ausfuhr","schiffe","herr","berlin","importe","zollstelle","lederindustrie","ansässig","bayern","zonenrandgebietes","buchführung","gebiete","berliner","gebiete","zonenrandförderungsgesetzes","räumen","olympiabedingten","abgrenzung","investitionszulage","bekleidungsindustrie","wirtschaftsstruktur","bundesraumordnungsprogramm","gemeinschaftsaufgabe","programm","touristen","badenwürttemberg","nordrheinwestfalen","gemeinschaftsaufgabe","regionen","regionalen","deppen","kollegin","regionalen","ingenieure","bundesdurchschnitt","arbeitslosenquote","schartz","haak","wirtschaftsstruktur","lambsdorff","lambsdorff","bundesregierung","regionalen","saarland","küste","hessische","unternehmen","regionen","strukturwandel","landesregierung","bergleute","kohlepolitik","konsens","renate","bergleute","konzept","brüssel","reuschenbach","bergleute","arbeitsplätze","subventionen","stoiber","hennemann","kohle","betriebskosten","niedersächsischen","steen","schiff","katastrophe","börnsen","hilfen","küste","küste","feldversuch","unfallverhütungsbericht","island","kadetrinne","maritimen","verkehrstoten","nordsee","hansmichael","abkommen","endgültig","fischerei","schutz","maritime","blutprodukte","schiffe","nordsee","walschutz","stimmgewichts","karlsruhe","parteien","wähler","örtlichen","grundgesetz","grundgesetz","gewählt","parteienfinanzierung","volksentscheid","einnahmen","artikel","direkte","grundgesetzes","geschäftsordnung","bundestages","wahlkreis","artikel","abgeordnete","deutschen"
"10","abstimmung","bitte","herren","redner","wort","lotsen","samstag","gleitenden","verkürzung","erweiterungsbau","verordnung","landwirtschaft","stunden","verliehen","menschen","films","westdeutschland","grossrohre","erteilt","brt","baracken","wiesbadener","weltkrieges","amtsbezeichnungen","schöllhorn","wirtschaftsschwachen","investitionskosten","förderung","saargebiet","regionalen","regionalen","bayerischen","gebiete","räume","spielen","gewerkschaftler","gebiete","strukturpolitik","strukturproblemen","mittel","sonderprogramm","grüner","bauwirtschaft","handwerk","energieeinsparung","zonenrandgebiet","fördergebiete","filmwirtschaft","wirtschaftsstruktur","raum","herzlichen","gebiete","arbeitslosenquote","ähnliche","kontrolle","hilfen","landesregierung","konzept","bundeswirtschaftsminister","nordrheinwestfalen","strukturpolitik","subventionen","unternehmen","niedersachsen","hessen","ruhrgebiet","regionalen","ruhrgebietskonferenz","kohlepolitik","egkommission","energieversorgung","jahrhundertvertrag","braunkohle","staatsholding","steinkohle","fritz","jung","rexrodt","beitragsreform","bergbau","ringstorff","gesamtvollstreckung","aufzuklären","standorte","stahl","schleswigholstein","kubatschka","badenwürttemberg","küstenschutz","ostseeregion","maritime","ostsee","pallas","walfangs","schiff","lkws","unfallverhütungsbericht","steenblock","fahrerlaubnis","meere","schön","grünbuch","wale","ostsee","rostock","häfen","schiffe","agadir","marokko","mandat","wahlrechtsschutz","bundestages","volksentscheid","rechte","grundgesetzes","mitglieder","juristischer","gewählt","sponsoren","ausschluss","deutsch","partei","parlamentarischen","verfassung","vorschlag","lobbyregister","verfassung","wahl"
