"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","europa","europäischen","wiedervereinigung","wiedervereinigung","sowjetunion","wiedervereinigung","wiedervereinigung","atomwaffen","wiedervereinigung","wiedervereinigung","politik","sowjetunion","politik","staaten","deutschen","welt","berlin","vertrag","politik","bundeskanzler","politik","schröder","frankreich","staaten","staaten","europa","politik","sowjetunion","ddr","sowjetunion","sowjetunion","politik","sowjetunion","bundeskanzler","politik","politik","ddr","ddr","vertrag","ddr","sowjetunion","polen","ddr","ddr","ddr","ddr","ddr","ddr","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","polen","sowjetunion","ddr","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","waffen","sowjetunion","sowjetunion","sowjetunion","ddr","waffen","ddr","ddr","ddr","europa","sowjetunion","sowjetunion","vertrag","polen","nato","nato","staaten","russland","französischen","russland","osze","nato","nato","nato","nato","kosovo","russland","aussenpolitik","kosovo","afghanistan","nato","krieg","nato","afghanistan","afghanistan","afghanistan","nato","afghanistan","iran","afghanistan","afghanistan","afghanistan","kosovo","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","kosovo","mali","libanon","soldaten","syrien","soldaten","türkei","türkei","syrien","soldaten","soldaten","syrien","soldaten","syrien","soldaten","nationen","afghanistan","mali"
"2","deutschland","politik","deutschlands","verträge","wiedervereinigung","welt","politik","sowjetunion","sowjetunion","deutschlands","welt","politik","aussenpolitik","berlin","welt","berlin","ollenhauer","europa","sowjetunion","politik","deutschen","staaten","nato","truppen","beziehungen","staaten","ddr","europa","deutschlands","staaten","politik","ddr","ddr","deutschland","verträge","deutschland","vertrag","staaten","ddr","sowjetunion","konferenz","ddr","menschenrechte","menschenrechte","menschenrechte","sowjetunion","sowjetunion","sowjetunion","ddr","afghanistan","ddr","ddr","ddr","sowjetunion","ddr","staaten","staaten","waffen","waffen","waffen","ddr","sowjetunion","waffen","reykjavik","abrüstung","waffen","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","europa","europa","europa","europa","staaten","russland","ksze","tschetschenien","frankreich","nato","tschechischen","russland","russland","russland","kosovo","nato","kosovo","kosovo","nato","terrorismus","afghanistan","irak","krieg","terrorismus","region","terrorismus","nationen","kosovo","nationen","soldaten","iran","oef","afghanistan","nato","kosovo","soldaten","nato","soldaten","mandat","soldaten","afghanistan","soldaten","afghanistan","hilfe","mali","afghanistan","somalia","afghanistan","mali","einsatz","soldaten","einsatz","region","mandat","soldaten","mali","soldaten"
"3","deutschlands","europa","ollenhauer","deutschlands","deutschlands","politik","sowjetunion","welt","politik","politik","aussenpolitik","abrüstung","welt","nato","berlin","politik","bundeskanzler","politik","vertrag","europa","staaten","volk","politik","deutschland","sowjetunion","politik","europa","politik","politik","politik","bundeskanzler","sowjetunion","politik","ddr","sowjetunion","bundesrepublik","nationen","politik","vertrages","berlin","ddr","sowjetunion","deutschland","berlin","sowjetunion","menschenrechte","berlin","politik","afghanistan","ddr","politik","bundeskanzler","politik","ddr","frieden","sowjetunion","verhandlungen","frieden","staaten","staaten","staaten","staaten","amerikanischen","waffen","nulllösung","sowjetunion","abrüstung","waffen","waffen","europa","nato","staaten","polen","nato","staaten","abrüstung","staaten","nato","russischen","atomwaffen","staaten","nato","staaten","staaten","kosovo","milosevic","russland","krieg","nato","mazedonien","mazedonien","frieden","afghanistan","irak","irak","kosovo","irak","vereinten","internationalen","staaten","einsatz","nato","pakistan","streumunition","pakistan","iran","mandat","israel","mandat","soldaten","nationen","soldaten","mali","nato","humanitäre","türkei","syrien","syrien","soldaten","mission","mali","kosovo","mali","irak","mission","vereinten","soldaten","mandat"
"4","europäischen","deutschlands","politik","sowjetunion","politik","sowjetunion","welt","waffen","nato","sowjetunion","erler","freiheit","sowjetunion","bundesrepublik","politik","aussenpolitik","politik","staaten","staaten","welt","europa","deutschland","deutschland","vereinigten","europa","deutschland","deutschlands","staaten","deutschland","ddr","europa","nation","bundeskanzler","barzel","vertrag","ddr","vereinten","sowjetunion","sowjetunion","verträge","staaten","berlin","menschen","politik","staaten","politik","beziehungen","nation","staaten","moskau","staaten","politik","frieden","bundeskanzler","staaten","frieden","waffen","europa","frieden","europa","waffen","genf","staaten","abrüstung","reichweite","abrüstung","europa","abrüstung","europa","staaten","vertrag","sowjetischen","vertrag","staaten","vertrag","europa","europa","aussenpolitik","tschechischen","nato","beziehungen","europa","europa","polen","staaten","krieg","osze","nato","jugoslawien","krieg","nato","terrorismus","terrorismus","nationen","kunduz","staaten","soldaten","region","soldaten","usa","kongo","darfur","soldaten","israel","soldaten","piraterie","krieg","mandat","libyen","einsatz","vereinten","mandat","kosovo","einsatz","irak","somalia","is","soldaten","is","einsatz","mandat","mandat","region","iran","region","afghanistan","einsatz","soldatinnen"
"5","politik","welt","londoner","politik","konferenz","deutschlands","deutschlands","wiedervereinigung","deutschlands","waffen","sowjetunion","deutschlands","deutschen","politik","sowjetunion","europa","freiheit","europäischen","welt","staaten","welt","deutschen","staaten","europa","politik","sowjetunion","sowjetunion","tschechoslowakei","anerkennung","europa","deutschland","europa","staaten","europa","europa","bundeskanzler","deutschland","deutschland","staaten","politik","deutschland","deutschen","politik","helsinki","politik","berlin","abkommen","wiedervereinigung","politik","frieden","welt","staaten","abrüstung","staaten","politik","europa","beziehungen","staaten","stationierung","abrüstung","europa","ddr","europa","europa","europa","west","nuklearen","staaten","polen","einheit","polen","deutschland","nato","waffen","nachbarn","aussenpolitik","frieden","europa","nato","europa","abrüstung","russland","abrüstung","europa","frieden","jugoslawien","krieg","tschetschenien","frieden","region","krieg","israel","nato","staaten","soldaten","nationen","nationen","frieden","region","vereinten","nato","russland","isaf","nato","krieg","krieg","abrüstung","kosovo","einsatz","krieg","südsudan","nationen","region","mandat","soldaten","mission","nationen","mali","türkei","somalia","syrien","einsatz","mission","is","einsatz","mali","bundeswehr","einsatz"
"6","deutschen","deutschland","europäischen","welt","moskau","bundesrepublik","nato","abrüstung","atomwaffen","atomwaffen","deutschland","wiedervereinigung","berlin","freiheit","freiheit","staaten","deutschen","bundeskanzler","vereinigten","berlin","erler","auswärtigen","französischen","bundesrepublik","deutschland","welt","staaten","welt","staaten","bundeskanzler","staaten","deutschland","berlin","politik","deutschland","staaten","staaten","bundesrepublik","deutschland","konferenz","entspannung","deutschland","nation","sowjetunion","beziehungen","nation","politik","entspannung","entspannung","bundeskanzler","frieden","nation","staaten","europa","europa","abrüstung","ddr","ddr","ddr","sowjetischen","deutschlandpolitik","sdi","abrüstung","staaten","waffen","europa","konventionellen","europa","abrüstung","waffen","einheit","gorbatschow","staaten","verträge","sowjetunion","waffen","ukraine","waffen","atomwaffen","französische","tschechischen","aussenpolitik","natoosterweiterung","osze","kinkel","europa","frieden","osze","israel","milosevic","mandat","kosovo","soldaten","amerika","nationen","internationalen","nato","staaten","nationen","terrorismus","nationen","soldaten","krieg","soldaten","mandat","nato","einsatz","soldaten","nato","region","nato","vereinten","syrien","syrien","afghanistan","region","mandat","libanon","einsatz","soldatinnen","region","nationen","kosovo","frieden","mali","einsatz","soldatinnen","afghanistan"
"7","verträge","ollenhauer","welt","deutschland","deutschen","freiheit","ungarn","politik","bundeskanzler","welt","waffen","zone","wiedervereinigung","welt","deutschlands","nato","sowjetunion","vereinigten","entspannung","deutschland","bundeskanzler","beziehungen","europa","politik","bundesrepublik","beziehungen","deutschland","aussenminister","beziehungen","vertrag","ddr","vertrag","europa","berlin","ddr","vertrag","politik","vereinten","verträge","deutschland","ksze","politik","konferenz","deutschland","entspannung","entspannung","entspannung","berlin","entspannungspolitik","sowjetischen","bundeskanzler","berlin","europa","frieden","bundeskanzler","berlin","abrüstung","verhandlungen","europa","frieden","amerikanischen","frieden","ddr","amerikanischen","sicherheit","staaten","sicherheit","beziehungen","staaten","abrüstung","deutschland","beziehungen","abrüstung","ungarn","aussenpolitik","aussenminister","aussenminister","russland","staaten","staaten","russischen","sudetendeutschen","aussenminister","ungarn","aussenpolitik","russland","flüchtlinge","stabilitätspakt","milosevic","frieden","einsatz","krieg","nationen","frieden","nato","terrorismus","internationalen","israel","krieg","belarus","israel","krieg","nato","serbien","israel","soldaten","afghanischen","region","region","aussenpolitik","mandat","nato","mandat","mission","region","hilfe","vereinten","libyen","irak","libyen","mission","vereinten","mandat","soldaten","soldatinnen","region","taliban","mission"
"8","welt","konferenz","europa","freiheit","welt","westlichen","freiheit","deutschlands","abrüstung","aussenpolitik","staaten","europa","freiheit","vereinigten","nato","vereinigten","europa","welt","bundeskanzler","deutschen","auswärtigen","welt","welt","waffen","vereinigten","aussenpolitik","beziehungen","sowjetischen","berlin","deutschland","verhandlungen","staaten","entspannung","sowjetunion","frieden","beziehungen","nation","menschenrechte","bundesrepublik","beziehungen","berlin","polnischen","helsinki","staaten","innerdeutschen","beziehungen","mertes","deutschland","sowjetischen","entspannung","entspannungspolitik","frieden","deutschlandpolitik","politik","polen","bündnis","europa","abrüstung","bündnis","krieg","deutschen","abrüstung","usa","bündnis","pershing","ost","staaten","moskau","bündnis","nato","staaten","deutschen","waffen","sowjetunion","voigt","atomwaffen","kinkel","frieden","russlands","kinkel","jelzin","beziehungen","osze","aussenpolitik","europa","militärische","europa","staaten","russland","nationen","soldaten","mazedonien","frieden","sicherheit","internationalen","nato","iran","beziehungen","vereinten","afghanistan","libanon","isaf","nationen","iran","aussenminister","region","aussenpolitik","aussenpolitik","zivilen","nato","afghanistan","israel","serbien","mali","mandat","mandat","soldaten","mission","humanitäre","hilfe","afghanistan","region","soldatinnen","hisbollah","sudan","mandat","mission","libyen"
"9","deutsche","wiedervereinigung","deutschland","europa","sicherheit","deutschen","staaten","bundesrepublik","waffen","freiheit","westlichen","welt","deutschland","waffen","bundeskanzler","deutschen","wehner","deutschland","europa","deutschfranzösischen","deutschland","politik","französische","französischen","welt","entspannung","nation","europäischen","bundesrepublik","bundesrepublik","moskau","bundeskanzler","deutschland","deutschen","nation","unsere","grundvertrag","verträge","abkommen","staaten","politik","nation","staaten","deutschlandpolitik","deutschland","deutschland","bahr","staaten","menschenrechte","politik","entspannung","verhandlungen","beziehungen","afghanistan","mertes","deutschlandpolitik","kontinuität","stationierung","nato","beziehungen","frieden","europa","nato","sowjetischen","mittelstreckenraketen","deutschlandpolitik","nato","zusammenarbeit","verhandlungen","west","europas","vertrag","europas","csfr","verträge","frieden","nachbarn","nationen","krieg","sicherheitspolitik","sudetendeutschen","deutschtschechischen","polen","nachbarn","pakistan","militärischen","staaten","region","nahen","russland","staaten","usa","vereinten","kosovo","kabul","soldaten","russland","soldaten","mandat","aussenpolitik","region","kosovo","militärische","sicherheit","abrüstung","mandat","aussenminister","hamas","vereinten","vereinten","region","einsatz","einsatz","somalia","libanon","einsatz","einsatz","humanitäre","mali","kosovo","soldatinnen","libanon","afghanistan","nationen","nationen","libyen","region","nationen"
"10","freiheit","verträge","sicherheit","bundesrepublik","beziehungen","verträge","sicherheit","nato","deutschland","atomaren","wiedervereinigung","deutschen","deutschlands","atomwaffen","august","ollenhauer","mauer","deutschfranzösischen","deutschen","vereinigten","beziehungen","französischen","bündnis","sowjetunion","deutschlands","vereinigten","berlin","bündnis","europa","nation","barzel","bundesrepublik","sowjetischen","staaten","bundeskanzler","scheel","einheit","nationen","münchener","nation","europa","vereinbarungen","mertes","entspannung","entspannungspolitik","deutschlandpolitik","deutschland","deutschen","frieden","reise","bündnis","bündnis","schlussakte","polnischen","krieg","deutschen","politik","nato","raketen","ddr","nato","chemischen","sowjetischen","usa","raketen","konventionellen","konventionelle","sowjetischen","nato","polen","waffen","verträge","bundeskanzler","aussenpolitik","zusammenarbeit","vereinten","ksze","kinkel","europa","aussenpolitik","aussenminister","kinkel","beziehungen","russischen","jugoslawien","frieden","jugoslawien","frieden","vereinten","usa","militärischen","nationen","sicherheit","usa","kampf","israel","vereinten","sicherheitsrat","nato","erler","mandat","vereinten","terrorismus","staaten","nationen","frieden","nato","nahen","israel","afghanischen","sudan","region","nationen","afrika","einsatz","afghanistan","mali","nato","nationen","humanitäre","irak","afghanistan","humanitäre","vereinten","bundeswehr","irak","mandat","bundeswehr"
