"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","glaube","opposition","politischen","politischen","opposition","politischen","entwicklung","politischen","regierung","politischen","politischen","politischen","politischen","politischen","unserer","politischen","entwicklung","unserer","unserer","unserer","politischen","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","heute","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","müssen","unserer","unserer","müssen","müssen","müssen","müssen","müssen","entwicklung","müssen","bereich","bereich","probleme","entwicklung","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","entwicklung","entwicklung","entwicklung","bereich","müssen","bereich","bereich","bereich","bereich","bereich","gesellschaft","bereich","bereich","entwicklung","bereich","bereich","unsere","müssen","müssen","müssen","müssen","müssen","müssen","entwicklung","müssen","müssen","bereich","bereich","bereich","bereich","gesellschaft","müssen","bereich","wichtig","müssen","bereich","müssen","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung"
"2","regierung","politischen","opposition","entwicklung","politischen","entwicklung","politischen","entwicklung","politischen","immer","entwicklung","thema","unserer","unserer","politischen","unserer","unserer","politischen","regierung","politischen","unserer","unsere","politischen","unsere","politischen","unsere","politischen","politischen","politischen","politischen","politischen","heute","gesellschaft","reformen","gesellschaft","unsere","gesellschaft","unsere","gesellschaft","bürger","unsere","müssen","unseres","unsere","unsere","unsere","unsere","menschen","müssen","entwicklung","müssen","müssen","unserer","müssen","müssen","unserer","aufgabe","unserer","unserer","unserer","müssen","probleme","entwicklung","entwicklung","unsere","müssen","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","müssen","bereich","bereich","müssen","bereich","müssen","entwicklung","neue","müssen","müssen","bereich","rahmenbedingungen","wichtig","bereich","müssen","müssen","partnerschaften","bereich","wichtig","bereich","bereich","bereich","wichtig","müssen","bereich","entwicklung","müssen","wichtig","wichtig","herausforderungen","bereich","bereich","wichtig","müssen","bereich","wichtig","digitalisierung","bereich","müssen","intelligenz","müssen","intelligenz","herausforderungen","ki","zukunft","müssen"
"3","sagen","entwicklung","demokratie","unserer","unserer","unserer","unserer","unserer","entwicklung","unserer","immer","aufgabe","aufgabe","opposition","aufgabe","entwicklung","bereich","entwicklung","entwicklung","entwicklung","politische","politischen","unsere","politischen","unsere","politischen","unsere","politische","unsere","unsere","unsere","damen","unsere","neue","heute","unserer","regierungserklärung","gesellschaft","unsere","unsere","heute","unsere","müssen","bereich","menschen","bereich","probleme","unsere","menschen","menschen","gesellschaft","gesellschaft","sollten","probleme","unsere","probleme","unserer","unsere","mehr","unsere","aufgabe","unsere","unsere","bedeutung","entwicklung","bereich","unsere","unserer","bereich","unserer","probleme","probleme","neue","rahmenbedingungen","zukunft","bereich","bedeutung","zukunft","zukunft","zukunft","bereich","bereich","bereich","müssen","müssen","neue","entwicklung","entwicklung","müssen","chancen","entwicklung","entwicklung","müssen","wichtige","müssen","wichtig","wichtig","entwicklung","ansatz","wichtig","unsere","wichtig","wichtig","unsere","bereich","bereich","wichtig","bereich","wichtig","müssen","thema","wichtig","herausforderungen","wichtig","entwicklung","bereich","herausforderungen","digitalisierung","bereich","engagement","unsere","zukunft","herausforderungen","müssen","müssen","zukunft","wichtig","wichtig"
"4","politischen","glaube","entwicklung","opposition","entwicklung","regierung","regierung","immer","unserer","entwicklung","regierung","regierung","öffentlichkeit","immer","immer","eigenen","versuch","bereich","aufgabe","bereich","aufgabe","bereich","aufgabe","heute","regierung","politische","heute","unsere","unseres","politische","heute","reformen","reformen","damen","unsere","mehr","unsere","aufgabe","aufgabe","menschen","menschen","menschen","bereich","müssen","bereich","probleme","entwicklung","bürger","unsere","müssen","probleme","aufgabe","menschen","aufgabe","menschen","aufgabe","besonders","probleme","unsere","entwicklung","unsere","unserer","müssen","aufgabe","müssen","unserer","unserer","probleme","unsere","unsere","bedeutung","neue","rahmenbedingungen","zukunft","strukturen","zukunft","zukunft","probleme","rahmenbedingungen","aufgabe","neue","rahmenbedingungen","bereichen","aufgaben","rahmenbedingungen","förderung","bedeutung","neue","bedeutung","entwicklung","bedeutung","aufgabe","entwicklung","stärkung","neuen","neue","neue","wichtig","gemeinsam","entwicklung","bereich","unsere","unsere","wichtig","unsere","unsere","unsere","herausforderungen","entwicklung","herausforderungen","herausforderungen","müssen","thema","herausforderungen","herausforderungen","entwicklung","entwicklung","müssen","zukunft","zukunft","bereich","unsere","unsere","herausforderungen","zukunft","wichtig","digitale","digitale"
"5","möchte","demokratie","immer","immer","regierung","politik","sagen","staat","immer","regierung","unserer","opposition","probleme","aufgabe","entwicklung","verantwortung","opposition","gerade","versuch","staat","unsere","aufgabe","politische","aufgabe","regierungserklärung","heute","aufgabe","heute","damen","aufgabe","probleme","unsere","aufgabe","heute","damen","damen","bürger","regierungserklärung","heute","heute","probleme","heute","unsere","bürger","mehr","müssen","müssen","müssen","entwicklung","bürger","zukunft","probleme","probleme","menschen","aufgabe","menschen","unsere","aufgabe","neue","aufgabe","damen","entwicklung","probleme","probleme","unserer","unsere","bereich","unsere","neue","aufgabe","zukunft","bereich","zukunft","bedeutung","neue","neue","neue","neue","bereich","bereich","verwaltung","aufgaben","rahmenbedingungen","enquetekommission","bereichen","entwicklung","rahmenbedingungen","enquetekommission","neue","müssen","rahmenbedingungen","gesellschaft","unserer","bedeutung","gesellschaft","müssen","bereits","wichtige","müssen","unsere","entwicklung","bedeutung","entwicklung","herausforderungen","herausforderungen","wichtig","herausforderungen","unsere","herausforderungen","unsere","entwicklung","unsere","wichtig","entwicklung","müssen","herausforderungen","wichtig","entwicklung","entwicklung","müssen","zukunft","müssen","zukunft","unsere","wichtig","müssen","entwicklung","herausforderungen"
"6","immer","unserer","unserer","haltung","parlament","gerade","glaube","gefahr","deutlich","gefahr","opposition","diskussion","immer","öffentlichkeit","eigenen","probleme","politische","glaube","politischen","aufgabe","heute","heute","aufgaben","politische","heute","unseres","unseres","aufgabe","aufgabe","unseres","damen","aufgabe","heute","unsere","probleme","fortschritt","aufgabe","müssen","gesellschaftlichen","gesellschaft","aufgabe","bereich","gesellschaft","aufgabe","beitrag","mehr","immer","mehr","probleme","mehr","menschen","menschen","opposition","damen","damen","unsere","probleme","bleiben","probleme","damen","neue","neue","unserer","müssen","zukunft","probleme","probleme","zukunft","probleme","bereich","bereich","aufgabe","aufgabe","aufgaben","bereich","rahmenbedingungen","aufgabe","rahmenbedingungen","förderung","rahmenbedingungen","öffentlichen","zukunft","neue","rahmenbedingungen","aufgaben","aufgaben","aufgaben","chancen","aufgaben","bericht","förderung","chancen","stärken","müssen","neue","aufgaben","entwicklung","stärker","schaffen","gemeinsam","neue","zukunft","aufgabe","neue","entwicklung","herausforderungen","zukunft","wichtig","unsere","wandel","müssen","gesellschaft","antrag","unsere","gesellschaft","unsere","unsere","zukunft","wichtig","wichtig","herausforderungen","bereich","wichtig","zukunft","innovationen","intelligenz","herausforderungen","digitalen"
"7","unserer","regierung","glaube","regierung","demokratie","staat","opposition","gerade","unseres","aufgabe","ganz","erfahrungen","entwicklung","heute","öffentlichkeit","politische","politischen","aufgabe","müssen","unsere","bereich","sichtbar","damen","unseres","aufgabe","zukunft","aufgaben","unseres","modernen","damen","aufgabe","aufgaben","entwicklung","inneren","politischen","herren","sozialen","bürger","menschen","damen","bereich","bürger","bürger","gesellschaft","bürger","neue","zukunft","probleme","bereich","aufgabe","bereich","wichtig","beitrag","gesellschaft","bereich","bleiben","damen","bedeutung","aufgabe","neue","probleme","menschen","aufgabe","unserer","bereich","bedeutung","zukunft","bedeutung","aufgabe","probleme","aufgaben","unsere","bereich","unserer","unserer","bedeutung","bereich","arbeit","aufgabe","bedeutung","rahmenbedingungen","bedeutung","bedeutung","bedeutung","bedeutung","chancen","neue","engagement","förderung","zukunft","wichtige","sowie","wichtig","entwicklung","wichtige","stärken","neuen","neue","bereich","zukunft","zukunft","entwicklung","neue","entwicklung","unserer","stärker","entwicklung","neue","programm","gesellschaft","gesellschaft","entwicklung","entwicklung","thema","thema","nachhaltige","gesellschaft","herausforderungen","herausforderungen","herausforderungen","wichtig","künstliche","entwicklung","bereich","unsere","bereich","müssen","schaffen"
"8","gerade","gerade","sagen","gerade","immer","glaube","haltung","politik","staat","opposition","bereich","eigentlich","gewisse","wirklichkeit","regierung","immer","eigenen","öffentlichkeit","öffentlichkeit","immer","immer","vorstellungen","unseres","wirtschaftlichen","parteien","wirtschaftlichen","politische","neue","neue","reformen","politische","probleme","aufgaben","sozialen","unseres","deshalb","politischen","bereich","sozialen","unseres","müssen","probleme","menschen","mehr","politik","aufgabe","freien","aufgabe","mehr","bereich","unsere","unsere","unsere","bereich","probleme","bereich","menschen","mehr","entwicklung","probleme","unserer","deshalb","menschen","neue","aufgabe","aufgabe","aufgabe","bereich","unserer","wichtig","unsere","gerade","unsere","aufgabe","notwendig","aufgabe","mittel","aufgabe","bedeutung","verwaltung","staat","bereichen","wichtige","gerade","neue","deshalb","bereichen","förderung","engagement","stärkung","stärker","stärker","aufgabe","neue","unserer","beispiel","grosse","gesellschaft","dabei","unserer","unserer","wichtige","wichtige","bedeutung","zukunft","zukunft","neue","unserer","förderung","entwicklung","bedeutung","thema","stärker","gute","zukunft","menschen","neue","unsere","unsere","unsere","neue","entwicklung","intelligenz","ki","digitale","digitale","digitalen","stärken"
"9","heute","immer","gerade","sagen","situation","haltung","gerade","glaube","diskussion","politik","sagen","mag","staat","sehen","vorstellungen","aufgabe","regierung","deutlich","heute","heute","ordnung","politische","regierung","aufgaben","aufgaben","entwicklungspolitik","neue","damen","probleme","aufgaben","demokraten","gesellschaft","politischen","probleme","sicherheit","unseres","soziale","damen","regierungserklärung","aufgabe","damen","unseres","aufgaben","menschen","probleme","menschen","bürger","neue","gesellschaft","probleme","aufgabe","entwicklung","bürger","unsere","zukunft","mehr","herren","herren","bereich","menschen","mehr","bereich","deshalb","unsere","gesellschaft","aufgaben","bedeutung","aufgabe","stärker","neue","aufgabe","herausforderung","veränderungen","leisten","bereichen","probleme","rahmenbedingungen","bedeutung","probleme","bereichen","aufgaben","wichtige","zukunft","neue","immer","aufgabe","chancen","bedeutung","brauchen","gesellschaftlichen","stärkung","neue","wichtige","zukunft","entwicklung","wichtige","wichtige","bereichen","entwicklung","wichtige","wichtige","neue","gute","stärker","neue","bedeutung","unserer","zukunft","wichtige","thema","ländlichen","neue","wandel","gesellschaft","unsere","projekte","menschen","stärker","stärken","entwicklung","unserer","wichtig","bereich","wichtig","nutzen","forschung","bereich","bereich"
"10","ja","gar","regierung","glaube","haltung","gefahr","staat","kritik","gerade","staat","auseinandersetzung","ganz","vergangenheit","thema","fragen","glaube","öffentlichkeit","verantwortung","opposition","öffentlichkeit","aufgaben","willen","bereich","ziele","unseres","aufgaben","ordnung","aufgaben","moderne","heute","unseres","neue","damen","aufgaben","aufgabe","opposition","damen","verantwortung","soziale","müssen","deutlich","beitrag","heute","unseres","unseres","dabei","dabei","bereich","anstrengungen","unsere","aufgaben","bereich","zukunft","mehr","wichtig","dabei","schaffen","staat","neuen","zukunft","beitrag","aufgabe","wichtig","gesellschaft","deshalb","mehr","aufgaben","aufgaben","wichtig","aufgaben","chancen","zukunft","unserer","probleme","wichtig","besonders","unserer","bereich","neuen","aufgaben","probleme","strukturen","neuen","zukunft","sowie","bedeutung","zukunft","denke","neuen","gesellschaft","entwickeln","wichtige","sowie","stärker","gute","stärker","beispiel","unsere","rahmenbedingungen","grosse","dabei","thema","bedeutung","projekte","wichtiger","deutschland","schaffen","bedeutung","zukunft","unserer","wandel","zukunft","ländlichen","unserer","arbeit","zukunft","wandel","wandel","neue","gemeinsam","gemeinsam","ki","ki","wirtschaft","bereich","daten","innovationen","zukunft"
