"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","demokratie","verfassung","parteien","minderheit","mehrheitswahlrecht","partei","parteien","mineralölwirtschaft","volksbefragung","demokratie","demokratie","demokratie","parteien","bundesinnenminister","verfassung","parteien","schloss","badenwürttemberg","landes","badenwürttemberg","grundgesetzes","rechtsausschuss","grundgesetzes","grundgesetzes","dorn","grundgesetzes","art","verfassung","parlament","bundesverfassungsgericht","benda","bundesverfassungsgericht","vds","richter","richter","staatssekretäre","mobile","staatssekretäre","auslieferung","almeyda","kriminalstatistik","einschreibsendungen","verbraucherpolitik","verbraucherzentralen","behinderungen","see","kw","anstalt","therapie","therapie","therapie","therapie","nordsee","übereinkommen","hamburg","global","konvention","umweltschutz","umweltschutz","buschhaus","umwelt","tempolimit","umweltschutz","umwelt","nordsee","umwelt","töpfer","umwelt","umwelt","töpfer","umwelt","umwelt","umwelt","rio","umwelt","umwelt","umwelt","enquetekommission","merkel","naturschutz","umwelt","umwelt","umwelt","umweltpolitik","umweltbildung","umweltpolitik","umweltpolitik","umwelt","klimaschutz","naturschutz","naturschutz","nachhaltigkeit","umweltpolitik","naturschutz","umweltpolitik","naturschutz","umweltpolitik","umwelt","reach","umweltpolitik","naturschutz","natur","naturschutz","natur","batterien","beirat","wald","holz","elbe","wald","umwelt","umwelt","umwelt","honig","elefanten","fracking","ezigaretten","fracking","gentechnik","cannabis","glyphosat","wolf","wolf","wolf","werbung","cannabis","naturschutz","natur"
"2","partei","partei","demokratie","dänemark","wahlgesetz","minderheit","demokratie","hartmann","demokratie","volk","verfassung","musterland","spenden","art","grundgesetzes","verfassung","jahn","baden","briefdrucksache","art","badenwürttemberg","schäfer","notstandsverfassung","verfassungsänderung","parteien","dorn","dorn","grundgesetzes","benda","benda","genscher","bundesverfassungsgerichts","shb","arndt","arndt","parlamentarischen","gestatten","parlamentarischen","diäten","zusatzfrage","herr","sonderschichten","verbraucher","werkstatt","verbraucher","behinderungen","leistung","häfen","drogen","drogen","betäubungsmittelrechts","elbe","gutachten","antarktis","wolfgramm","seeschiffahrt","zeichnung","wald","umwelt","umweltschutz","umweltschutz","umweltschutz","nordsee","wallmann","umwelt","töpfer","umwelt","töpfer","töpfer","nordsee","töpfer","töpfer","umweltpolitik","umwelt","naturschutz","töpfer","töpfer","umwelt","umwelt","umwelt","naturschutz","naturschutz","naturschutz","merkel","umwelt","umwelt","ökologische","nachhaltigkeit","umwelt","umwelt","umweltpolitik","klimaschutz","umwelt","wald","umwelt","umwelt","reach","nachhaltigkeit","umwelt","umwelt","umwelt","naturschutz","novelle","naturschutz","umweltgesetzbuch","naturschutz","wälder","nachhaltigkeit","nachhaltigkeit","elbe","elbe","holz","pflanzen","gentechnisch","wilderei","glyphosat","eshishas","glyphosat","zulassung","umwelt","cannabis","natur","glyphosat","wölfe","rauchen","umwelt","umwelt","umwelt"
"3","verfassung","ordnung","wahl","dänischen","wahlrecht","wahlgesetz","wahlgesetz","schmidt","volk","volksbefragung","grundgesetz","laienelement","grundgesetz","grundgesetzes","parteien","bundesinnenminister","güde","landes","bevölkerung","baden","art","äusseren","verfassungsänderungen","grundgesetz","alliierten","benda","verfassung","grundgesetz","grundgesetzes","grundgesetzes","dorn","benda","lsd","titel","hamburg","justiz","bundesverfassungsgericht","jacobsen","staatssekretäre","irren","staatssekretär","herr","verbraucherbericht","rechtsberatung","verbraucherpolitik","silberland","khz","see","drogenabhängigen","schriften","schiffe","schiffe","elbe","volmer","gewässer","hamburg","hamburg","waldsterben","waldsterben","wald","autos","benzin","luft","umweltschutz","umweltschutz","industrie","umweltschutz","umweltpolitik","umweltpolitik","umwelt","lippold","schmidbauer","töpfer","ostsee","töpfer","rio","verwertung","umweltpolitik","umweltpolitik","merkel","merkel","merkel","merkel","naturschutz","naturschutz","nachhaltigkeit","umwelt","umweltpolitik","umweltpolitik","klimaschutz","klimaschutz","johannesburg","ökologische","novelle","trittin","reach","umwelt","wald","wälder","reach","natur","arten","biodiversität","vielfalt","naturschutz","nachhaltigkeitsstrategie","grenzwerte","vielfalt","meere","waldstrategie","asbest","fracking","hochwasserschutz","pollen","umwelt","gentechnisch","zigaretten","tab","pflanzen","drogen","bienen","rauchen","vorsorgeprinzip","band","wasser","gentechnik","natur","kreislaufwirtschaft"
"4","polizei","wahl","verfassung","schleswigholstein","parteien","todesstrafe","partei","heizöl","verfassung","verfassung","barzel","partei","partei","grundgesetz","grundgesetz","schäfer","untersuchungsausschuss","bevölkerung","grundgesetz","rechtsausschuss","schäfer","benda","benda","jahn","bundesinnenminister","parlamentarischen","alliierten","npd","bvs","gericht","grundgesetzes","grundgesetz","grundgesetzes","präsidium","präsidien","verhaltensregeln","zwischenfrage","däublergmelin","betreffende","völlig","freistaat","mindestgrösse","berufe","einwirkung","beschwerden","beschwerdemöglichkeiten","zurückweisungen","rechtsstreit","wildbret","drogenabhängigen","drogenabhängige","nordsee","see","meeresschätze","gewässerschutz","luft","grunenberg","umwelt","umweltpolitik","umwelt","auto","umwelt","umwelt","industrie","grundwasser","umweltpolitik","nordsee","naturschutz","umweltschutz","umweltschutz","ökologischen","ökologischen","ökologischen","konferenz","umweltschutz","verpackungsverordnung","umweltpolitik","töpfer","umweltschutz","umweltschutz","umweltschutz","umweltschutz","natur","umwelt","umweltpolitik","ökologische","klimaschutz","ökologische","haag","nachhaltigkeit","natur","umweltpolitik","ökologischen","wälder","ökologisch","nachhaltigkeit","trittin","band","trittin","beirat","artenvielfalt","vielfalt","schutz","reach","umwelt","natur","seen","biologischen","chemikalien","kormoran","energiesparlampen","flächen","honig","gentechnik","hochwasserschutz","umwelt","glyphosat","rauchen","gentechnisch","bfr","wolf","umwelt","plastik","natur","trinkwasser","verbot","recycling","fischerei"
"5","todesstrafe","ermächtigungsgesetz","mann","dänische","wähler","verfassung","wahl","vergütung","barzel","metzger","demokratische","volk","parteiengesetz","kanka","art","grundgesetz","kapfinger","land","bundesverfassungsgericht","neugliederung","hessen","rechtsausschusses","grundgesetz","verfassung","parlamentarischen","grundgesetz","benda","dorn","selbstschutz","verfassung","innenministerium","arndt","grundordnung","amtsbezeichnungen","richteramtsbezeichnungen","bundestages","anstalt","wissenschaftler","wittmann","amp","tietjen","ausbilder","verbraucherpolitischen","forschungsministers","hammans","schiff","frequenz","türkische","fleischbeschau","bekämpfung","transmigranten","drogen","nordseegutachten","lebenden","duve","duve","senator","luft","wald","nordsee","umweltpolitik","luft","stoffe","umweltpolitik","naturschutz","umweltschutz","umweltpolitik","reaktorsicherheit","industrie","stoffe","schutz","naturschutz","reaktorsicherheit","töpfer","feige","dsd","umweltschutz","feige","klimaschutz","natur","umweltpolitik","umweltpolitik","umweltpolitik","umweltschutz","nachhaltigkeit","ökologischen","naturschutz","ökologischen","ökosteuer","umweltpolitik","ökosteuer","trittin","naturschutz","verpackungsverordnung","verpackungsverordnung","wald","umweltschutz","reach","stoffe","stoffe","umweltpolitik","umwelt","arten","umwelt","ugb","nachhaltigkeit","vielfalt","beirat","heide","hektar","bergrecht","nutzung","glyphosat","umwelt","pflanzen","pflanzen","wolf","umwelt","umwelt","glyphosat","pflanzenschutzmittel","naturschutz","natur","umwelt","zigarette","kreislaufwirtschaft","tonnen","naturschutz"
"6","parteien","wähler","bundesinnenminister","kieler","demokratie","demokratie","sperrklausel","staatssekretär","grundgesetz","grundgesetz","volk","demokratisches","grundgesetzes","schäfer","aufhebung","grundgesetzes","bundesverteidigungsminister","rechtsausschuss","landtag","grundgesetzes","verfassungswidrig","vorbehaltsrechte","art","staatsvertrag","vorbehaltsrechte","innern","parlament","innenminister","grundgesetz","parlamentarischen","abteilung","grundgesetzes","studentenbund","richters","vermittlungsausschusses","geschäftsordnungsausschuss","anfechtung","professor","maschinen","herr","notwendigen","verletzungen","verbrauchers","verbraucherpolitik","zurückweisungen","ddrwachboot","festnahmen","medien","rauschgift","bocksbeutel","abhängigen","bucht","geldern","internationale","wasser","umweltschutz","zeichnen","umweltpolitik","ökologischen","umweltpolitik","zimmermann","ibbenbüren","ta","chemischen","umweltpolitik","nordsee","industrie","umweltschutz","stoffe","industrie","pvc","umweltpolitik","naturschutz","enquetekommission","genehmigungsverfahren","naturschutz","caspersmerk","lippold","lippold","umweltpolitik","pvc","reaktorsicherheit","wald","kioto","merkel","umweltschutz","wasser","arten","trittin","natur","umwelt","emissionshandel","trittin","ökologisch","arbeitsplätze","natur","industrie","tierversuche","industrie","nachhaltigkeit","vielfalt","schutz","wälder","wald","beirat","nachhaltige","verordnung","naturschutz","kormoran","rebsorten","waldstrategie","jagd","meeresforschung","zulassung","elfenbein","gentechnik","rauchen","erdgas","anbau","portier","umwelt","glyphosat","umwelt","wölfen","tabakwerbung","natur","meere","klimaanpassung"
"7","schutz","stimmen","politischen","minderheiten","weimarer","weimarer","wähler","damals","volksbegehren","innenminister","grundgesetzes","verfassung","art","verfassung","demokratie","bildungsarbeit","herrn","neugliederung","land","volksbegehren","frage","art","jahn","grundgesetzänderung","grundgesetzes","demokratischen","demokratie","bundesverfassungsgericht","verfassung","bundesverfassungsgerichts","innern","status","wohlrabe","präsidien","transvestiten","präsidium","diakonischen","rückwirkung","parlamentarischen","professor","hauptstelle","ddr","verbraucherpolitische","entschliessungsantrages","senator","herr","irritieren","rundfunk","patentamt","fränkischen","drogenszene","bekämpfung","duve","wolfgramm","ddr","hartenstein","seerechtskonvention","bundesinnenminister","natur","luft","tempolimit","umweltpolitik","umweltpolitik","rhein","wallmann","stoffe","stoffe","fckw","fckw","anlagen","umweltschutz","umweltschutz","umweltschutz","umweltschutz","natur","feige","feige","ökologische","naturschutz","homburger","nordsee","verordnung","umweltschutz","klimaschutz","umweltschutz","naturschutz","loske","ökosteuer","nachhaltigkeit","trittin","trittin","rio","nachhaltigkeit","umwelt","kiotoprotokoll","holz","stoffe","naturschutz","naturschutz","umweltschutz","umweltschutz","biologischen","artenvielfalt","arten","wasser","nutzung","holz","nachhaltigkeitsstrategie","nachhaltigkeitsstrategie","nutzung","nutzung","baustoffe","produkte","nachhaltigkeit","nashörner","meere","jugendliche","verbot","phosphor","zulassung","zulassung","wölfe","arten","insekten","tabak","drogen","meeren","moore"
"8","grundgesetzes","parteien","polizei","nationalen","verhältniswahlrecht","parteien","politischen","parteien","april","partei","partei","demokratische","verfassung","schröder","herkunft","landtagen","minister","badischen","entscheidung","verfassungsänderung","bundesverfassungsgericht","grundgesetzes","verfassungsänderung","art","grundgesetz","art","abs","benda","art","arndt","vorwort","bundesverfassungsrichter","hochschulbund","vorsitzenden","benehmen","auflösung","geschäfte","hubschrauber","eckwert","alters","kürze","baustellen","vereinfachungsnovelle","eintragung","entschliessung","bundesministerium","sender","bucht","süchtigen","angerechnet","drogenabhängigen","ölverschmutzung","abfallbeseitigung","klärschlammverordnung","elbe","umweltpolitik","sitz","späth","benzin","ehmke","wald","wald","natur","natur","natur","chemischen","umweltverträglichkeitsprüfung","nordsee","schäden","umweltpolitik","enquetekommission","reaktorsicherheit","schäfer","ökologischen","umweltpolitik","umweltpolitik","naturschutz","klaus","coemissionen","reaktorsicherheit","reaktorsicherheit","bundesministerin","boden","flächen","ökologische","lippold","ökologischen","trittin","ökologische","ökologische","umweltschutz","nachhaltigen","ökologisch","trittin","umweltschutz","hochwasserschutz","minister","holz","wald","überwachung","gabriel","biodiversität","umwelt","novelle","nachhaltigkeitsstrategie","wälder","biologischen","kältemittel","hektar","nachhaltigkeit","antrag","hektar","pollen","pflanzen","ökologischen","wertstoffgesetz","umwelt","erdgasförderung","klärschlamm","drogenpolitik","studien","schutz","insekten","naturschutz","produkt","grenzwerte","ostsee","natürlichen"
"9","politischen","maier","schutze","rasner","stahlhelm","wahlrecht","parteiengesetz","duttweiler","volksbefragungen","freitag","mehrheit","heuss","rechenschaftslegung","parteien","wahlrecht","erscheinungen","empfehlungsschreiben","kopf","kopf","abstimmung","ergebnissen","alliierten","schäfer","notstandsverfassung","notstandsverfassung","parteien","busse","busse","deichverteidigung","staatssekretäre","kassel","vds","hamburg","justiz","bezeichnung","ausscheiden","käufers","herr","strafbare","steine","einbürgerung","verkürzte","partnerschaft","möchte","pakete","bescheide","sperranlagen","schiffen","sucht","fränkische","mängel","abbuchungen","gutachtens","klärschlamm","gewässerschutzes","umwelt","seeschiffahrt","grossfeuerungsanlagenverordnung","massnahmen","waldsterben","benzin","nordsee","industrie","stoffe","stoffe","buschhaus","asbest","hartenstein","wasser","naturschutz","naturschutz","hartenstein","enquetekommission","elbe","ökologischen","umweltschutz","reaktorsicherheit","naturschutz","ozon","angela","ökologische","angela","bodenschutz","umweltplan","wald","enquetekommission","lippold","nachhaltigkeitsstrategie","ökologisch","homburger","klimapolitik","umwelt","ökosteuer","innovationsklausel","dosenpfand","wälder","chemiepolitik","stoffe","holz","gabriel","biologischen","grenzwerte","vielfalt","schutz","natur","wald","naturschutz","umwelt","kältemittel","umwelt","fracking","uranmunition","gentechnisch","veränderten","tiere","anbau","pflanzenschutzmitteln","verbieten","verpackungsgesetz","hendricks","pflanzenschutzmitteln","biodiversität","wasser","insektenschutz","stoffe","naturschutz","rauchen","ostsee"
"10","art","schutz","partei","landtag","dänischen","wähler","weimarer","heizölnovelle","menzel","atomare","wähler","volkes","heinemann","innenminister","polizei","art","benda","grundgesetzes","badenwürttemberg","schäfer","umgekehrt","notstand","zweidrittelmehrheit","bundesinnenminister","benda","verfassung","notstandsgesetzgebung","art","parlaments","genscher","verfassung","verfassung","arndt","hamburg","gerichten","grundgesetzes","buch","rettungsdienst","investitionsteuer","kollege","verein","beschädigung","verbraucherschutz","sachverhalts","merkblätter","verfassungsbeschwerden","staatsminister","eingabe","heroin","strafe","betten","strafe","verschmutzung","schutz","spranger","ta","werften","schäden","luft","zimmermann","nordsee","technik","technik","hauff","industrie","naturschutz","fckw","stoffe","ökologischen","reaktorsicherheit","knabe","ökologische","stoffe","naturschutz","reaktorsicherheit","ökologischen","ökologischen","umweltschutz","massnahmen","bundesministerin","bundesministerin","caspersmerk","nachhaltigen","bundesministerin","mehl","ökologie","umweltschutz","schutz","naturschutz","ökologisch","emissionshandel","ökologische","energien","waldbesitzer","holz","industrie","chemikalien","fortschrittsbericht","ansatz","kauch","pfos","anwohner","nachhaltigkeitsstrategie","artenvielfalt","gabriel","fortschrittsbericht","flächen","nachhaltige","nutzung","flächen","naturschutz","nachhaltigkeit","hochwasser","mais","verpackungsverordnung","bfr","nagoyaprotokoll","zulassung","anbauverbot","legalisierung","wölfe","werbung","innovationsprinzip","arten","zigaretten","produkte","entsorgung","wasser"
