"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gesetz","gesetz","bundesrat","vermittlungsausschuss","vermittlungsausschuss","gesetzes","gesetzes","abs","abs","nr","vermittlungsausschuss","bankenaufsicht","vermittlungsausschuss","abs","vermittlungsausschuss","bundesrat","abs","vermittlungsausschuss","vermittlungsausschuss","petitionen","vermittlungsausschuss","vermittlungsausschuss","abs","petitionen","vermittlungsausschuss","petitionen","verzweifeln","fremdenverkehr","satzung","bundesrepublik","daueraufenthalt","fremdenverkehr","gruhl","gmd","patentamts","liberalismus","kollege","heizöl","forschung","kernenergie","energieprogramm","kernenergie","forschung","kernenergie","kernenergie","energiepolitik","kernenergie","kernenergie","kohle","kohle","kernenergie","kernenergie","technologie","kernenergie","forschung","kommission","mikroelektronik","forschung","forschung","kernenergie","forschung","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","forschung","forschung","forschung","tschernobyl","kernenergie","grossforschungseinrichtungen","forschung","forschung","forschung","forschung","kernenergie","morsleben","kernenergie","energien","kernenergie","energien","merkel","ausstieg","ukraine","energien","trittin","transporte","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","klimaschutz","energien","klimaschutz","energien","energien","energien","energien","energien","energiewende","energiewende","energiewende","energiewende","energien","energiewende","klimaschutz","energiewende","klimaschutzplan","energiewende","klimaschutz","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","energien"
"2","gesetzes","entwurf","gesetzes","gesetzes","bundesrat","entwurf","entschädigung","staatsangehörigkeit","bundesrates","abs","bundesrat","bundesrat","bundesrates","vermittlungsausschuss","bundesrates","bundesrates","eingaben","petitionen","vermittlungsausschusses","eingaben","abs","vermittlungsausschusses","finanzgerichte","mrd","fänge","petitionsausschuss","verfassungsschutz","fremdenverkehrs","petitionsausschuss","stabilisierungsfonds","petitionsausschusses","petitionsausschusses","wagen","datenverarbeitung","patentamt","kliesing","betreuung","kohle","forschungspolitik","energieversorgung","kohle","kohle","technologie","forschung","energiepolitik","fortschreibung","energiepolitik","kohle","kernenergie","kernenergie","kohle","enquetekommission","forschung","entsorgung","enquetekommission","kohle","snr","kohle","technologie","energiepolitik","kernenergie","forschung","forschung","tschernobyl","tschernobyl","töpfer","tschernobyl","energien","gentechnologie","gentechnik","kernenergie","kernenergie","tschernobyl","forschung","gentechnik","technologie","kernenergie","energien","energien","kernenergie","tschernobyl","stromeinspeisungsgesetz","gorleben","kernenergie","kernenergie","kernenergie","ausstieg","kernenergie","energien","trittin","kernenergie","energiepolitik","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","klimaschutz","erneuerbaren","erneuerbaren","gabriel","klimaschutz","energien","klimaschutz","energien","klimaschutz","erneuerbaren","erneuerbaren","erneuerbaren","energiewende","energien","energien","energien","energien","klimaschutz","energien","energien","erneuerbaren","klimaschutz","energien","co","klimaschutz","klimaschutz","co","erneuerbaren","energien","energien","erneuerbaren"
"3","abs","gesetzes","abs","entwurf","entwurf","abs","abs","nr","gesetzes","gesetzes","bundesrates","abs","bundesrat","bundesrat","vermittlungsausschusses","abs","bundesrates","vermittlungsausschusses","abs","abs","vermittlungsausschusses","bundesrat","finanzgerichtsordnung","petitionsausschuss","altöl","petitionsausschusses","hoheitszeichen","kurorte","vorstand","vereine","wirtschaftskriminalität","schleiden","hubraum","darmstadt","erhardstrasse","agenten","ehemaligen","friderichs","forschungs","kohle","technologie","energie","forschungspolitik","energiepolitik","forschung","forschung","fortschreibung","grundlagenforschung","energie","energiepolitik","energiepolitik","fernwärme","energieforschung","enquetekommission","technologie","snr","technologie","technik","mikroelektronik","steinkohle","wiederaufarbeitung","brüter","tschernobyl","cattenom","gentechnologie","transnuklear","brüter","technologie","kernenergie","technologie","energien","gentechnik","töpfer","elektrofahrzeuge","kernenergie","gentechnik","morsleben","technologie","forschung","endlager","morsleben","windenergie","energien","nordrheinwestfalen","transporte","trittin","kernenergie","ausstieg","kernenergie","gorleben","energiepolitik","grill","eeg","eeg","eeg","emissionshandel","klimaschutz","steinkohle","sellafield","energiepolitik","erneuerbaren","erneuerbaren","gabriel","erneuerbaren","asse","erneuerbaren","klimaschutz","energiekonzept","kernenergie","erneuerbaren","erneuerbaren","erneuerbaren","klimaschutz","erneuerbaren","energiewende","klimaschutz","energiewende","energien","energiewende","klimaschutz","energiewende","energiewende","energien","energien","energien","erneuerbaren","klimaschutzgesetz","gas"
"4","bundesrat","bundesregierung","gesetz","gesetz","gesetzes","bundesrat","vermittlungsausschuss","gesetzes","ansprüche","entwurf","vermittlungsausschusses","vermittlungsausschuss","abs","gesetzes","abs","bundesprüfstelle","gesetzes","bundesrat","bundesrat","bundesrat","bundesrat","bundesrates","bundesrat","petitionsausschusses","mülheim","mm","symbole","fremdenverkehrswirtschaft","stiftung","bundesliga","petitionen","freiwilligen","modelle","dacca","standort","aufgeben","waffensystem","energieversorgung","energie","energieprogramm","forschung","energiepolitik","laermann","energie","kohle","kernenergie","kohle","energiepolitik","forschung","forschung","laermann","energiepolitik","stahl","energiepolitik","schnellen","brüter","forschung","riesenhuber","forschungs","kohle","technologie","wiederaufarbeitungsanlage","technologie","wallmann","kernkraftwerke","nutzung","kernkraftwerke","forschung","riesenhuber","riesenhuber","wasserstoff","enquetekommission","energieversorgung","energien","brunsbüttel","industrie","technologie","kernenergie","nutzung","energien","endlager","stromeinspeisungsgesetzes","transporte","grill","bundesministerin","energien","stadtwerke","erneuerbaren","energiepolitik","kernenergie","ausstieg","erneuerbaren","strom","bergbau","energiepolitik","klimaschutz","energiepolitik","erneuerbaren","klimaschutz","klimaschutz","umwelt","emissionshandel","erneuerbaren","strom","erneuerbaren","strom","kopenhagen","laufzeitverlängerung","japan","röttgen","röttgen","altmaier","altmaier","eeg","erneuerbaren","erneuerbaren","erneuerbaren","klimaschutz","energien","erneuerbaren","energien","erneuerbaren","erneuerbaren","erneuerbaren","energiewende","energiewende","klimapolitik","klimaschutz"
"5","bundesregierung","bundesrat","entwurf","apotheken","abs","gesetz","bundesrat","vermittlungsausschuss","personen","juni","abs","vermittlungsausschusses","vermittlungsausschusses","vermittlungsausschusses","bundesrat","vermittlungsausschuss","bundesrat","abs","petitionsausschuss","vermittlungsausschuss","bundesrates","abs","haag","abs","flugbeschränkungen","petenten","herr","reisen","petitionsausschusses","ausländischen","verursacher","arbeitsdienstes","dunkelziffer","meinecke","strasse","bestürzt","steuerrückstände","energieprogramm","zentren","energie","fortschreibung","tonnen","kernenergie","technologie","kernkraftwerke","energie","ausgleichsabgabe","forschung","nutzung","nutzung","energie","forschung","kernenergie","abfälle","kernenergie","inbetriebnahme","lenzer","kernenergie","technik","energieversorgung","technologien","laermann","riesenhuber","brokdorf","nutzung","entsorgung","töpfer","nutzung","technologie","kernenergie","forschungs","technikfolgenabschätzung","energiepolitik","elektrofahrzeugen","technologie","vosen","energiepolitik","forschungspolitik","mochovce","forschung","energien","forschung","energiepolitik","strom","atomenergie","energiepolitik","trittin","energiepolitik","transporte","atomenergie","erneuerbaren","hirche","verbändevereinbarung","steinkohle","klimaschutz","eeg","kernenergie","energieforschung","kernenergie","energie","klimaschutz","prozent","bali","energie","gabriel","energie","röttgen","röttgen","energiekonzept","energieeffizienz","strom","eegumlage","erneuerbaren","klimaschutz","energieeffizienz","kwk","paris","strom","erneuerbaren","strom","erneuerbaren","energien","energiewende","energiewende","wasserstoff","wasserstoff","erneuerbaren","energie"
"6","entwurf","abs","rechtsverordnungen","apotheke","gesetz","entschädigung","gesetz","jugend","mai","gesetz","gesetzes","bundesrates","vorgesehene","rheinlandpfalz","gesetzes","beschwerde","entschädigung","saarländischen","saar","rechte","begehren","petitionen","baulandsteuer","eingaben","kaiserpaares","elternrente","krause","urheber","petitionen","ferien","aufgelöst","bände","gefeiert","datenfernverarbeitung","journalist","gesetzgebungsarbeit","kleinsten","energie","grundlagenforschung","russe","energiepolitik","russe","energie","kernkraftwerke","energie","kohle","wolfram","energie","energiepolitik","öl","niedersachsen","riesenhuber","forschungs","forschung","stahl","kernenergie","enquetekommission","kommission","grossforschungseinrichtungen","forschung","forschungs","technologie","kernkraftwerke","kernkraftwerke","energiepolitik","forschung","kalkar","riesenhuber","technikfolgenabschätzung","gentechnologie","technologie","technologie","greifswald","mosdorf","energieversorgung","hoechst","raumfahrt","industrieforschung","stromeinspeisungsgesetz","technologie","sachsenanhalt","erneuerbare","entsorgung","ahaus","ausstieg","wiederaufbereitung","energien","kraftwärmekopplung","kraftwärmekopplung","castortransporte","atomenergie","hustedt","energiepolitik","erneuerbare","emissionshandel","emissionshandels","trittin","energie","energiepolitik","gabriel","endlager","energieeffizienz","prozent","kraftwärmekopplung","energie","biogas","prozent","erneuerbare","erneuerbare","klimaschutz","energie","eeg","emissionshandel","energie","eeg","gabriel","strom","eeg","marrakesch","mieterstrom","emissionshandel","klimawandel","gas","wasserstoff","strom","strom","strom","ausbau"
"7","nr","änderung","verordnung","abs","regelung","vermittlungsausschuss","ermächtigung","bundesrates","vorschriften","bundesrat","einspruch","gesetzes","bundesrats","bundesrates","schwerbeschädigten","gesetzes","nr","petitionsstelle","petitionen","belgien","petitionen","vermittlungsvorschlag","bundesministeriums","petition","röm","kunstdünger","petitionen","tourismus","beschwerden","staatssekretär","machte","fremdenverkehrs","drastisch","karachi","nehme","ironisch","regiert","müllerhermann","technologie","steinkohle","wolfram","nutzung","lenzer","nutzung","technologie","energieversorgung","technologie","albrecht","steinkohle","laermann","kernkraftwerke","kernkraftwerke","kernkraftwerke","kernkraftwerke","brüter","wolfram","schnellen","technologie","industrie","wolfram","technik","nutzung","nutzung","ausstieg","ausstieg","technologie","daniels","wackersdorf","wissenschaft","technik","enquetekommission","gentechnologie","kozloduj","riesenhuber","risse","gentechnikgesetzes","energien","forschungs","energiepolitik","abfälle","abfälle","regenerativen","strom","morsleben","entsorgung","atomenergie","strom","grill","atommüll","ausstieg","grill","eeg","energie","hustedt","erneuerbare","trittin","endlager","trittin","energieeffizienz","kernenergie","naturschutz","gabriel","strom","prozent","strom","energieeffizienz","fotovoltaik","strom","kernkraftwerke","energie","photovoltaik","strom","gorleben","strom","strom","energieeffizienz","klimawandel","ausbau","endlager","tihange","kohleausstieg","strom","strom","strom","eeg","energie","co","strom"
"8","art","gesetzentwurf","vorschriften","vorschriften","bundesrates","vorschriften","bundesregierung","entwurf","entwurf","staatsangehörigkeit","jedoch","kreditwesen","rechtsverordnung","notarordnung","grundgesetzes","eingaben","grundgesetzes","grenzgänger","eingaben","auflagen","eingaben","erklärungen","unfallverhütungsvorschrift","beschwerden","einsprüche","bürgers","bonn","zentrale","warentest","auslandsreisen","beschleunigen","rückfall","petitionsausschusses","westpakistan","herr","künstliche","ereignis","energiekrise","energieversorgung","technologie","kernenergie","steinkohle","forschungs","kohle","energiepolitischen","bundesregierung","forschung","öl","kernkraftwerke","kommission","ministerpräsident","programm","technologien","fortschreibung","snr","technik","steger","wolfram","technologien","nutzung","nutzung","energiepolitik","atomenergie","kohle","konsens","wiederaufarbeitung","risiken","biblis","forschungs","nutzung","grundlagenforschung","energien","kernkraftwerke","wissenschaftler","kernkraftwerke","grundlagenforschung","endlager","technologien","energieversorgung","grill","stoffe","plutonium","energieversorgung","schütz","nutzung","wiederaufarbeitung","kraftwärmekopplung","strom","morsleben","endlager","trittin","enquetekommission","verbändevereinbarungen","agentur","photovoltaik","allokationsplan","energie","kernenergie","atomenergie","biokraftstoffe","sigmar","kernenergie","erneuerbare","erneuerbare","emissionshandel","erneuerbare","erneuerbare","brennelementesteuer","ccs","ausbau","prozent","cent","solarindustrie","industrie","kohle","strom","prozent","stahlindustrie","gorleben","kohle","klimaziele","ziele","kohleausstieg","emissionshandel","eegumlage","co","copreis","energieversorgung"
"9","vermittlungsausschuss","vorschriften","vermittlungsausschuss","bundesrat","rechtsverordnung","inanspruchnahme","entwurf","juni","bundesrat","vorschriften","personen","kreditinstitute","rechtslage","grundgesetzes","satz","petitionsausschusses","zollaufschublager","juni","gesetzes","gesetzes","planstellen","petitionsausschuss","anhebung","fritsch","tanker","rund","studentenförderung","urlaub","petenten","fremdenverkehrs","statistik","paris","bundesentschädigungsgesetz","evakuiert","gedient","wahlprogramm","kassel","situation","technologiepolitik","energieprogramms","russe","wolfram","nutzung","matthöfer","nutzung","energieprogramms","brüter","ministerpräsident","energieversorgung","energie","forschung","technologie","programm","gorleben","projekt","enquetekommission","inbetriebnahme","industrie","steger","technologie","uran","schnellen","ausstieg","energiepolitik","energie","gorleben","technologie","energiepolitik","risiken","energien","nutzung","risiken","bulgarien","technologie","tschernobyl","catenhusen","gentechnik","wissenschaft","technologie","nutzung","uran","erneuerbaren","morsleben","merkel","reaktorsicherheit","energieversorgung","tschernobyl","anlagen","gorleben","zwischenlager","energieversorgung","kurtdieter","biomasse","müller","kernenergie","tonnen","erneuerbare","emissionshandel","trittin","energieeffizienz","gorleben","klimawandel","co","gabriel","gorleben","ccs","gorleben","klimaschutz","energiewende","gorleben","industrie","energie","industrie","energieeffizienz","energie","energie","kohle","fukushima","paris","netzentgelte","erreichen","wald","energie","klimapaket","kohleausstieg","industrie","kohleausstieg","energiewende"
"10","bundesrats","bundesrates","dezember","vermittlungsausschusses","vermittlungsausschusses","vermittlungsausschusses","bundesrates","mai","regelung","rechtslage","nr","rechtsverordnung","gesetzes","bundesprüfstelle","änderungen","rehbach","petitionen","petitionsausschuss","lothringen","gerechtfertigt","riegel","angerufen","grund","bundesregierung","zulagen","vermittlungsausschuss","eingaben","deutschen","vorstands","fremdenverkehrsgewerbes","verfassungsmässigkeit","umrüstung","spitzenverbänden","aussenstelle","berliner","anstatt","abstand","bundeswirtschaftsminister","lenzer","nutzung","tonnen","technologie","technologien","bundesregierung","bergbau","nutzung","schnellen","luft","wolfram","forschungs","energieversorgung","nutzung","enquetekommission","endlagerung","hochtemperaturreaktor","risiko","riesenhuber","steinkohle","riesenhuber","braunkohle","gentechnologie","kohle","technik","nutzung","atomenergie","technik","gutachten","töpfer","gentechnik","catenhusen","wissenschaft","atomenergie","raumfahrt","elektroautos","gentechnikgesetz","wissenschaftler","industrie","industrie","technologien","wissenschaft","reaktoren","schleswigholstein","hague","stromeinspeisungsgesetz","atomwirtschaft","kernkraftwerke","atomenergie","trittin","ausstieg","entsorgung","anlagen","erneuerbare","anlagen","irena","biomasse","erneuerbare","emissionshandel","erneuerbare","energie","öl","fell","kohle","energie","verbraucher","kernenergie","prozent","energie","energie","strom","prozent","energieeffizienz","ausbau","backloading","eegumlage","hendricks","krischer","erreichen","stahl","hendricks","hendricks","sektoren","erreichen","stream","klimawandel","erneuerbare","gas","industrie","fossilen"
