"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","volkes","menschen","gewerkschaften","staat","staat","menschen","menschen","gesellschaft","menschen","wahlrecht","menschen","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","freiheit","demokratie","demokratie","freiheit","partei","verfassung","partei","demokratischen","freiheit","freiheit","freiheit","freiheit","demokratie","partei","freiheit","bundeskanzler","bremen","bundeskanzler","bundeskanzler","demonstration","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","geschichte","bundeskanzler","bundeskanzler","demokratie","demokratie","geschichte","menschen","menschen","deutschen","berlin","deutschen","geschichte","menschen","menschen","demokratie","geschichte","menschen","menschen","menschen","menschen","menschen","menschen","demokratie","demokratie","mahnmal","opfer","demokratie","opfer","demokratie","antisemitismus","demokratie","juden","antisemitismus","opfer","npd","brandenburger","mauer","demokratie","rechtsextremismus","demokratie","demokratie","ddr","demokratie","grundgesetz","demokratie","demokratie","demokratie","rechtsextremismus","rechtsextremismus","rechtsextremismus","antisemitismus","verfassungsschutz","opfer","aufarbeitung","gewalt","völkermord","demokratie","antisemitismus","afd","chemnitz","opfer","opfer","opfer","demokratie","demokratie","demokratie"
"2","deutschen","deutschen","deutschen","deutschen","deutschen","volk","volk","volk","volkes","volkes","unserer","unserer","volk","freiheit","unserer","opfer","staat","staat","volk","leben","staat","not","regierungserklärung","gesellschaft","menschen","gesellschaft","staat","menschen","staat","generation","volk","staat","freiheit","staat","lande","partei","demokratischen","demokratie","demokratie","staat","freiheit","partei","sozialismus","demokratie","demokratie","bundeskanzler","bundeskanzler","bundeskanzler","partei","bundeskanzler","partei","partei","bundeskanzler","partei","freiheit","partei","neuwahlen","demokratie","demokratie","demokratie","geschichte","geschichte","bundeskanzler","geschichte","demokratie","bundeskanzler","bundeskanzler","demokratie","freiheit","ddr","menschen","demokratie","menschen","deutschen","gewalt","geschichte","menschen","menschen","demokratie","geschichte","opfer","erklärung","geschichte","freiheit","menschen","berlin","demokratie","deutschen","geschichte","deutschen","freiheit","demokratie","geschichte","jüdischen","juden","geschichte","leitkultur","tor","demokratie","rechtsextremismus","demokratie","opfer","roma","demokratie","juden","demokratie","spenden","gewalt","kommunismus","demokratie","demokratie","npd","aufarbeitung","ddr","verfassungsschutz","israel","opfer","sachsen","gewalt","opfer","antisemitismus","afd","geschichte","demokratie","demokratie","opfer","antisemitismus","opfer"
"3","volk","unsere","unsere","unsere","volkes","deutschen","leben","leben","unserer","unserer","volkes","volk","antisemitismus","unserer","staat","menschen","unserer","freiheit","volkes","unserer","leben","opfer","menschen","staat","regierungserklärung","staat","generation","gesellschaft","menschen","staat","menschen","volk","staat","demokratie","staat","wähler","staat","freiheit","grundgesetz","demokratie","ministerpräsident","sozialismus","partei","staat","partei","freiheit","demokratie","demokratie","demokratie","partei","freiheit","staat","partei","freiheit","politik","demokratie","partei","parteien","politischen","demokratischen","volk","volk","demokratie","demokratie","geschichte","geschichte","politischen","menschen","geschichte","demokratie","ddr","hauptstadt","geschichte","menschen","deutschen","demokratie","verfassung","verfassung","vertreibung","einheit","deutschen","geschichte","wehrmacht","demokratie","deutschen","freiheit","opfer","demokratie","menschen","rechtssicherheit","geschichte","möllemann","menschen","opfer","entschädigung","menschen","demokratie","geschichte","opfer","muslime","npd","rassismus","gewalt","gysi","antisemitismus","verfassung","aufarbeitung","ddr","gewalt","verfassungsschutz","nazis","aufarbeitung","npd","geschichte","sinti","ddr","ddr","opfer","opfer","demokratie","gewalt","demokratie","demokratie","hass","afd","afd","afd","rassismus"
"4","unsere","volk","volk","volk","unsere","volkes","unserer","unserer","leben","problem","freiheit","deutschen","volkes","not","freiheit","unserer","letztlich","not","wohlstand","freiheit","staates","leben","formierten","redneraustausch","staat","einheit","studenten","jungen","volkes","jungen","bundeskanzler","demokratischen","menschen","politischen","demokratischen","bundeskanzler","demokratie","verfassung","freiheit","demokratischen","terroristen","demokratie","brandt","kohl","staat","staat","kommunisten","geschichte","freiheit","verfassungsschutzbericht","demokratie","demokratie","demonstranten","kohl","demokratie","koalition","politik","partei","partei","brandt","demokratie","brandt","politischen","menschen","politischen","menschen","geschichte","bundeskanzler","demokratie","deutschen","einheit","menschen","polen","ddr","demokratie","deutschen","geschichte","deutschen","deutschen","demokratie","geschichte","demokratie","ausstellung","kultur","geschichte","geschichte","denkmal","menschen","jüdischen","polen","opfer","opfer","opfer","deutschland","opfer","seddiktatur","geschichte","demokratie","islam","dialog","islam","rechtsextremismus","opfer","opfer","hdj","freiheit","parteien","polizei","aufarbeitung","opfer","polizei","rassismus","akten","ruanda","ddr","opfer","stiftung","geschichte","rechtsextremismus","geschichte","israel","rechtsstaat","gewalt","gewalt","gewalt","rassismus","geschichte","freiheit"
"5","volkes","volkes","volkes","volkes","volk","leben","unsere","volkes","staat","volk","volk","leben","deutschen","volkes","volk","volk","volkes","staates","unseres","pflicht","unserer","freiheit","formierte","unseres","liberale","vaterland","menschen","staat","gesellschaft","menschen","freiheit","lande","lande","menschen","freiheit","staat","bundeskanzler","staat","ministerpräsident","terroristen","terrorismus","kommunisten","demokratie","demokratischen","terrorismus","kohl","freiheit","staat","geschichte","auseinandersetzung","staat","jungen","frieden","demokratie","generation","politik","koalition","freiheit","unseres","partei","politik","demokratie","menschen","kultur","gewalt","politischen","menschen","politischen","deutschen","freiheit","volk","entscheidung","deutschland","demokratie","deutschland","gewalt","kultur","enquetekommission","geschichte","deutschen","demokratie","deutschen","opfer","geschichte","ddr","menschen","ddr","geschichte","opfer","deutsche","deutschen","geschichte","freiheit","zentralrat","denkmal","ddr","menschen","israel","islamismus","halberstadt","muslime","roma","sinti","npd","politische","grundgesetzes","gewalt","demonstrationen","opfer","gewalt","frankfurt","ddr","rechtsextremismus","polizei","rassismus","gewalt","npd","gewalt","hass","rassismus","demokratie","juden","ddr","ddr","rassismus","gewalt","gewalt","hanau"
"6","deutsche","staat","leben","heute","leben","unserer","jugend","heute","deutschen","freiheit","staat","volkes","unserer","volk","leben","dank","diskutieren","viele","viele","volkes","bürger","unserer","gemeinschaftswerk","volkes","volkes","nation","jungen","npd","leben","gesellschaft","gesellschaft","menschen","gesellschaft","lande","partei","volk","partei","demokratischen","staat","freiheit","rechtsstaat","dregger","staat","partei","bundeskanzler","partei","parteien","partei","demokratischen","bremer","demokratischen","demokratischen","demonstrationen","staat","politiker","brandt","brandt","volk","brandt","unseres","brandt","partei","volk","politischen","verfassung","politische","verfassung","deutschen","volk","geschichte","deutschland","verfassung","demokratie","berlin","geschichte","ddr","deutschen","einheit","leben","ddr","leben","unrecht","klonen","opfer","freiheit","deutschen","geschichte","freiheit","gewalt","demokratie","denkmal","juden","deutschen","demokratie","jüdischen","demokratie","muslime","opfer","büttner","islamischen","toleranz","npd","rassismus","staatssicherheit","jüdischen","gewalt","stasi","freiheit","geschichte","extremismus","verfassungsschutz","antisemitismus","staatsleistungen","rechtsextremismus","roma","geschichte","geschichte","versöhnung","afd","heute","hass","gesellschaft","chemnitz","antisemitismus","hass","hass","juden","geschichte"
"7","heute","unseres","müssen","unseres","staat","heute","heute","unsere","generation","leben","deutschen","freiheit","freiheit","leben","deutschen","generation","eigenen","menschen","staates","menschen","spanien","staat","staat","demokratie","wahlrechts","liberalen","jugend","politischen","grundgesetz","volk","lande","freiheit","studentenschaften","kampf","gewalt","demokratischen","ordnung","parteien","demokratischen","rechtsstaat","partei","demokratischen","sicherheit","bundeskanzler","terroristen","brandt","staat","volkes","brandt","geschichte","unseres","freiheit","freiheit","demokratischen","partei","neuwahlen","unseres","demokratischen","mehrheit","politischen","volkes","politischen","volkes","kohl","demokratischen","gewalt","demokratischen","deutschland","kultur","volk","geschichte","deutschen","heimat","enquetekommission","demokratischen","volk","gewalt","demokratie","opfer","freiheit","kultur","freiheit","demokratie","ddr","aufarbeitung","gedenkstätten","bonn","volk","deutschen","entschädigung","menschen","gesellschaft","leben","geschichte","gesellschaft","leben","stiftung","religionsunterricht","partei","geschichte","dialog","christen","rechtsextremismus","partei","geschichte","ddr","rechtsextremismus","demonstranten","polizisten","aufarbeitung","extremismus","demokratie","geschichte","demokratie","rechtsextremismus","juden","verfassungsschutz","aufarbeitung","geschichte","juden","juden","karlsruhe","afd","geschichte","antifa","freiheit","freiheit","afd"
"8","müssen","aufgabe","unseres","deutsche","freunde","aufgabe","volkes","viele","unseren","deutschen","deutsche","geschichte","leben","heute","eigenen","unserem","sorgfalt","denken","freiheit","not","unseres","last","unseres","pflicht","demokratie","liberale","nation","parteien","nation","nation","leben","geschichte","demokratischen","demokratischen","volk","staates","parteien","kampf","dregger","verfassung","staat","staat","demokratischen","sicherheit","demokratischen","verfassung","verfassung","verfassung","republik","freiheit","jungen","kohl","brandt","demonstration","demokratischen","kohl","wähler","kohl","demokratischen","freiheit","vogel","kohl","toten","vogel","menschen","staat","politische","freiheit","ungarn","demokratischen","freiheit","geschichte","deutsche","deutschlands","demonstration","deutschland","deutschland","ddr","unrecht","leben","unrecht","opfer","deutschen","leben","einheit","einheit","deutschen","deutsche","freiheit","geschichte","ddr","israel","deutsche","vertrag","geschichte","bundespräsident","gesellschaft","mauer","teilung","gewalt","christen","sinti","freiheit","rechtsextremismus","npd","polizei","verfassung","rechtsextremismus","ddr","aufklärung","opfer","sicherheitsbehörden","ddr","aufarbeitung","nsu","demokratie","sicherheitsbehörden","polen","extremismus","freiheits","opfer","geschichte","juden","afd","geschichte","geschichte","hass","gewalt"
"9","unserer","möchte","heute","vergessen","unserer","unsere","deutschen","staat","opfer","not","unseres","opfer","geschichte","dank","darum","unseres","sicherlich","volkes","pflicht","staates","volkes","unseres","kanzler","bundeskanzler","geschichte","geprägt","gesellschaft","wahlrecht","freiheit","leben","staat","dkp","volk","gesellschaft","gesellschaft","damen","freiheitlichen","sozialismus","parteien","ministerpräsident","ordnung","verfassung","ministerpräsident","parteien","gewalt","demokratischen","geschichte","demokratischen","demokratische","demokratie","führung","generation","kommunisten","frieden","demonstration","genscher","helmut","politischen","freiheit","volk","unseres","politik","freiheit","demokratischen","unseres","demokratischen","volkes","demokratischen","ddr","bundeskanzler","deutschlands","freiheit","verfassung","einheit","unsere","freiheit","volk","freiheit","freiheit","deutschlands","denkmal","leben","krieg","deutschen","demokratischen","opfer","menschen","opfern","ddr","menschen","einheit","leben","werte","jüdische","homosexuellen","gedenken","islamismus","neonazis","parteien","pressefreiheit","aufarbeitung","toleranz","ddr","dkp","opfer","geschichte","opfer","polizisten","partei","npd","stadt","opfer","untersuchungsausschuss","untersuchungsausschuss","demokratie","verfassungsschutz","freiheit","polizei","gesellschaft","rechtsextremismus","gesellschaft","rechts","rechtsstaat","meinungsfreiheit","juden","muslime","sprache","aufarbeitung"
"10","möchte","unserer","unserer","müssen","deutsche","viele","staat","oft","volk","staat","staates","willen","vergangenheit","unseren","aufgabe","deutschen","keinesfalls","streik","unserer","alter","umwelt","volkes","volkes","modernen","liberalen","politik","gewalt","politische","volk","wahl","unrecht","bundeskanzler","recht","mann","kampf","herren","staates","rechtsstaat","partei","brandt","demokratie","parteien","parteien","dregger","parteien","staates","demokratischen","parteien","staat","verfassung","kohl","junge","spd","vertrauen","jungen","helmut","mehrheit","brandt","parteien","parteien","politischen","unseres","mahnmal","partei","volkes","strauss","deutschen","politische","politischen","deutschland","demokratie","deutschland","berlin","deutschland","volk","leben","freiheit","leben","volk","frieden","freiheit","vertreibung","leben","unrecht","opfer","ddr","freiheit","unrecht","leben","zwangsarbeiter","revolution","menschen","gesellschaft","leben","gedenken","opfern","opfer","befriedeten","ddr","menschen","islamkonferenz","versammlungsfreiheit","npd","gregor","ddr","mai","ddr","bürger","polizei","bundeszentrale","aufarbeitung","gewalt","opfer","gewalt","liebknecht","wurden","rechtsextremismus","demokratie","stiftung","aufarbeitung","israels","leben","israel","hetze","rechtsextremismus","deutschen","israel","hass"
