"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","heute","heute","damals","warum","zeitung","zeitung","zeitung","frankfurter","hamburgcomment","zuteil","fremdenlegion","hilfsmassnahmen","lübeck","werner","wyler","warentests","reklame","turn","verbraucher","werbung","verbraucher","unternehmen","schmücker","anmeldungen","unternehmen","bundeskartellamt","mitbestimmung","mitbestimmung","mittelständischen","fusionskontrolle","vermögensbildung","vermögensbildung","vermögensbildung","unternehmen","lohn","vermögensbildung","preisbindung","verbraucher","verbraucher","presse","presse","presse","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","wettbewerb","unternehmen","the","springer","de","la","de","sacharow","reagieren","leipziger","werbung","grenze","plenarsaal","kleinert","wählergemeinschaften","sitzordnung","bauschadensbericht","finanzplatz","staatsverträge","vergabegesetz","landeszentralbanken","berlin","berlin","bannmeile","berlin","berlin","berlin","berlin","religionsunterricht","berlin","berlin","berlin","dat","umzug","schlosses","patentamt","pid","forschung","stammzellen","stammzellen","forschung","gentechnik","klonen","gentechnik","stammzellen","gentechnik","forschung","gentechnik","gentechnik","gentechnisch","studie","stammzellen","cannabis","gentechnik","studien","ethikrat","pid","behinderung","behinderung","behinderung","behinderung","behinderung","sterben","ehe","menschen","menschen","menschen","ehe","behinderungen","ehe","organspende","organspende","menschen","behinderungen","menschen","behinderung"
"2","regierung","regierung","heute","rüstung","konflikt","warum","nsdap","bundestagspräsident","matadore","dauert","französischem","damalige","trave","übungen","bundesverkehrswacht","verbraucher","passau","hypothekengewinnabgabe","werbung","verbraucher","beyer","aufsichtsrat","wirtschaft","patentamt","reischl","unternehmen","mittelständischen","sachkundenachweis","unternehmen","wettbewerbsrecht","burgbacher","eigentum","unternehmen","selbständigen","gebühren","vermögenspolitik","unternehmen","unternehmen","unternehmen","pressefreiheit","zeitungen","unternehmen","mittelstandspolitik","kleineren","kleinen","mittleren","wettbewerb","wettbewerb","wettbewerb","berufe","hauser","medien","medienbericht","satelliten","of","monopolkommission","la","ermächtigungsgesetz","la","andrej","abwechslung","herr","sonn","mainz","plenarsaals","grenze","badenwürttembergischen","plenarsaal","bauschäden","kapitalverkehrsteuern","wegener","vob","bundesbank","föderalismuskommission","bundesbank","berlin","umzug","berliner","berliner","stadt","brandenburg","umzug","gernika","umzug","de","dat","schloss","stammzellen","präimplantationsdiagnostik","pid","forschung","forschung","klonen","sars","gentechnik","gentechnisch","forschung","forschung","forscher","gentechnisch","gentechnisch","gentechnik","gentechnik","forschung","gentechnik","gentechnisch","studie","technikfolgenabschätzung","kind","glyphosat","behinderungen","menschen","menschen","menschen","menschen","menschen","sterben","behinderung","ehe","menschen","menschen","widerspruchslösung","menschen","adoption","adoption","menschen","leben","antidiskriminierungsstelle"
"3","schon","ja","warum","ja","sagte","frankfurter","informationsdienste","bundesmonopolverwaltung","frankfurter","beschlusses","freiherr","fremdenlegion","fremdenlegion","harm","bevölkerung","verbraucheraufklärung","konferenz","sportvereine","wettbewerb","beyer","kartellbehörde","gesellschaften","kurlbaumbeyer","unternehmen","patentamt","tankstellengewerbes","unternehmen","tankstellen","mittleren","unternehmen","arbeitnehmer","mittlere","arbeitnehmer","mittelständischen","unternehmen","selbständigen","wettbewerb","marktwirtschaft","werbung","zeitungen","klein","fusionskontrolle","kleinen","mittleren","mittelstand","investitionszulage","mittleren","pressefusionskontrolle","kleinen","medien","mittleren","mittleren","unternehmen","wettbewerb","to","burda","et","et","le","bonner","beamtenversorgungsgesetzes","konsensbildung","feiertagen","dick","sitzordnung","tschechoslowakischen","guernica","havel","büdingen","parlamentsbauten","pds","ausgeführt","landeszentralbank","beschluss","wasserwerk","bundesbank","bonn","nils","sitzordnung","berliner","berlin","stadt","berliner","leipzig","is","berlin","palast","menschliche","software","embryonen","embryonalen","tierschutz","kirchen","gentechnisch","enquetekommission","pflanzen","stammzellforschung","organspende","biotechnologie","zulassung","biotechnologie","pflanzen","gentechnisch","stammzellforschung","gentechnisch","pflanzen","klinische","patente","leben","behinderungen","menschen","beschneidung","ehe","ehe","sterbehilfe","behinderung","ehe","barrierefreiheit","behinderungen","ehen","teilhabe","organspende","widerspruchslösung","widerspruchslösung","kind","selbstbestimmung","sterben","leben"
"4","sagen","warum","reden","sagt","schrieb","zitiere","frankfurter","malzindustrie","hören","thema","äusserungen","exakt","vertiefung","flächen","arbeitsmaschinen","werbung","brunsbüttelkoog","vereine","verbrauchers","käufer","kartellgesetzes","wilhelmi","gesellschaft","patentamts","arndt","arndt","ewgmitgliedstaaten","umwandlung","selbständigen","novellierung","selbständigen","mittelständischen","burgbacher","mittleren","gehaltskonten","unternehmen","marktwirtschaft","wirtschaft","wettbewerb","journalisten","unternehmen","klein","wettbewerb","mittelständischen","mittleren","forschungs","fusionskontrolle","wirtschaft","wettbewerbs","schwarzschilling","planungsabteilung","hauser","rundfunk","mittleren","and","zusammenschluss","les","listen","en","jelena","brille","schulze","rapp","tschechoslowakische","neubau","rot","neubau","terminbörse","baumassnahmen","architekten","standort","herbst","zentralbankrat","bundesbank","diederich","banknoten","konzeptkommission","diederich","umzug","umzug","kirchen","dessau","brandenburg","stadt","ick","ut","stadtschlosses","patent","enquetekommission","stammzellen","embryonen","tiere","gentechnik","china","forschung","biotechnologie","embryonalen","pid","gentechnik","christel","risiken","forschung","strahlung","embryonalen","pflanzen","mon","registrierung","ethikrates","eltern","menschen","nanotechnologie","behinderungen","behinderungen","behinderungen","leben","sterben","sterbehilfe","behinderungen","behinderung","rehabilitierung","behinderung","menschen","entscheidung","menschen","stiefkindadoption","betroffenen","selbstbestimmung","menschen"
"5","menschen","schon","sagen","pferdmenges","warum","hören","alten","warum","schrieb","et","dais","keineswegs","nordostseekanal","landesregierung","ungeeignet","unlauteren","verein","konsumenten","verbraucheraufklärung","warentestinstituts","wettbewerb","publizität","stiftung","prüfer","gesellschaften","tankstellen","rechnungsprüfungsausschuss","unternehmen","mittelstand","mittelstandspolitik","tarifverträge","unternehmen","unternehmungen","mittelstand","wirtschaft","kleinen","verbraucher","wettbewerb","bundeskartellamt","zeugnisverweigerungsrecht","tageszeitungen","zusagen","mittelstand","wettbewerb","hauser","kleinen","verbraucher","programm","wirtschaft","klein","mittelstand","wettbewerb","uwg","programme","our","verlage","le","besitz","un","schicksal","versorgung","gesichtspunkt","sonntag","tschechoslowakischen","kleinert","deutschtschechoslowakischen","westphal","prag","architektur","conradi","wüppesahl","keinesfalls","direktorium","bonn","kreditinstitute","bannmeilengesetzes","beschluss","bonner","zählverfahren","guernica","ler","bonn","kirchen","berliner","un","ok","un","menschlichen","embryonenschutzgesetz","leben","import","enquetekommission","menschenwürde","forschung","klonens","forschung","embryonen","ressortforschung","forschern","mon","produkte","veränderten","leukämie","stammzelllinien","befruchtung","forschung","klinischen","ethikbeirat","behinderung","nanotechnologie","cannabis","ehe","design","inklusion","suizid","leben","suizid","ehe","eingliederungshilfe","diskriminierung","werbung","leben","test","entscheidung","leben","behinderung","suizid","diskriminierung"
"6","gesagt","herr","zeitungen","amerikaner","mehr","förderergesellschaften","schweizer","monopolverwaltung","deutscher","wahlversammlung","vertreters","führte","wendelborn","vertrag","geist","angestellter","aufzuheben","bat","beyer","wuppertal","satzung","aktiengesellschaft","gesellschaften","anmeldung","rechnungsprüfungsausschuss","autobahntankstellen","kunden","grossunternehmen","mitbestimmung","gmbh","wirtschaft","verbraucherzentralen","sparförderung","wirtschaft","kreditinstitute","breiteren","missbrauchsaufsicht","wirtschaftsausschuss","wettbewerbs","klein","stiftung","höfeordnung","aktionsprogramm","mittelständische","berufe","zonenrandgebiet","kleinen","existenzgründungen","mittleren","freien","wirtschaft","schwarzschilling","unlauteren","portugiesischen","that","presse","que","plus","apel","sacharows","urheberrechtlich","fest","feiertage","mainzer","alten","waidhaus","amnestiegesetz","plenarsaals","conradi","tarifordnung","volkskammer","beziehungen","bundesbankgesetzes","umzug","verlagerung","bonn","juni","umzug","sitz","region","berliner","berliner","offiziellen","hauptstadt","wi","mitfinanzierung","palastes","forschung","ethische","menschenwürde","adulten","menschenwürde","verbot","grüne","ethik","veränderte","gentechnik","biotechnologie","gentechnisch","gentechnikgesetzes","forschung","anbau","krebs","embryonen","mon","befruchtung","drks","tab","stammzellen","cannabis","forschung","eltern","cannabis","gleichstellung","tod","suizid","palliativmedizin","unbehindertenrechtskonvention","bundesteilhabegesetz","betroffenen","leben","entscheidung","ärzte","behinderungen","entscheidung","kind","barrierefreiheit","ärztinnen"
"7","mehr","minister","minister","erlebt","motiv","bezahlt","erlebt","notiz","damalige","zugestellt","streitkräfte","schwierig","nordostseekanals","vertragswerk","vertrag","auswertung","produktion","ausscheiden","markt","anzahlung","bundeskartellamt","gesellschaft","vorstand","reischl","kurlbaumbeyer","firmen","mittelständische","kurlbaum","mittelständische","mittelstand","eigentum","ausbildungsberater","vermögensbildungsgesetz","vermögensbildung","mittleren","nutzniesser","fusionskontrolle","preis","wirtschaft","fusionskontrolle","kreditinstitute","bundeskartellamt","mittelständischen","bundeskartellamt","mittelstandspolitik","mittelständischen","mittlere","diag","grossunternehmen","selbständigen","mittelständischen","fernsehen","lembke","wirtschaft","we","aktuelle","qui","de","analogie","de","vorlesung","begehrlichkeit","öffentlichrechtlichen","johann","erhalten","bdc","provisorium","mischnick","baum","terminbörse","aktiver","hierbei","meister","verlagerung","neuen","beschluss","ministerien","juni","sitzanordnung","bürgermeister","fach","gebäude","palast","karlsruhe","nich","berliner","bodenreformeigentum","love","genetische","menschlichen","menschlichen","embryonen","embryonen","robertkochinstitut","menschenwürde","veränderten","erfindungen","gentechnikgesetz","gentechnikgesetz","forschung","gentechnikfreien","mais","pflanzen","stichtag","forschung","agrogentechnik","klinischer","ethische","behinderungen","aktionsplan","biobanken","unbehindertenrechtskonvention","betreuungsbehörde","unbehindertenrechtskonvention","gesellschaft","cannabis","ärzte","barrieren","betroffenen","aufhebung","schwangerschaftsabbruch","ärzte","kind","angehörigen","diskriminierung","entscheidung","behinderung","selbstbestimmung"
"8","ja","gesagt","zeitung","heute","heraus","lesen","damalige","pächter","eigenen","warum","subventionen","abweicht","tun","zusatzabkommen","kleve","institut","werbung","erzbergbau","verbraucherpolitik","unlauteren","vorstand","hauptversammlung","mrd","prüfung","knotenvermittlungsstelle","pavillons","merkatz","publizität","personenhandelsgesellschaften","mittleren","vermögen","wirtschaft","herr","mittlere","konten","sparförderung","wirtschaft","abzahlungsgesetz","kartellamt","einlagensicherung","zeitungsverleger","bundesaufsichtsamt","marktwirtschaft","mittelstand","mittlere","wirtschaft","mittelständischen","betriebe","gewinne","mittelstand","mittelstandspolitik","medienpolitischen","verbraucher","firmen","is","entscheidung","en","millionen","the","ehepaars","verwaltungsgerichten","spracharbeit","sonntagskultur","wiesbaden","abriss","sosehr","planung","cssr","nskunst","börsen","beitrittstermin","friedhoff","bundesbankorganisation","konzeptkommission","juni","jedermann","berliner","personalbörse","conradi","regierender","bräutigam","umzugs","stadt","expo","ook","bonn","gebäude","patentamtes","embryo","embryonalen","gentechnik","renesse","klonens","erreger","gentechnisch","anbau","forscher","pflanzen","biomedizin","happachkasan","deckelung","mon","forschung","verschiebung","künstlichen","künstlichen","register","wissenschaftliche","präimplantationsdiagnostik","unbehindertenrechtskonvention","unbehindertenrechtskonvention","leben","unbehindertenrechtskonvention","teilhabe","ärzte","tod","behinderung","eingliederungshilfe","teilhabe","kinderehen","schwangerschaftsabbrüche","selbstbestimmung","frauen","behinderung","gesetz","ehe","behinderungen","behinderungen"
"9","gar","spricht","regierung","sagte","gelesen","bevölkerung","zeitungen","preise","maier","amerikaner","volk","erlebte","lübecker","bevölkerung","brille","vergleichenden","karitativen","verwirrung","käufer","warenprüfungen","verhandlung","preisbindung","eisenhowerära","prüfungsverfahren","bundeskartellamt","usregierung","apel","kuchtner","wettbewerbsrecht","arndt","unternehmen","arbeitnehmer","produktivvermögen","mittelständische","mittlere","breiter","preisempfehlung","missbräuche","preise","wirtschaftliche","marktwirtschaft","zeitungen","mittelstandsbericht","sieglerschmidt","wettbewerb","investitionszulagengesetzes","unlauteren","markt","gesellschaften","neuen","insolvenzen","rundfunk","mittelständischen","neuen","it","ministererlaubnis","dans","frankreich","zweifel","menschenrechte","behauptete","überzeugungsarbeit","sonntags","kastel","denkmalschutz","plenarsaal","weiterführen","vaclav","bundesbaudirektion","plenarsaal","gab","nachzuvollziehen","landeszentralbankpräsidenten","beschlusses","zentralbankrat","bonner","region","beschluss","plenarsaal","bundesstadt","schulen","verschiebung","kirche","berlinumzug","nu","de","nutzung","ethischen","klonen","gentechnik","leben","embryo","enquetekommission","wissenschaftler","medizin","grüne","software","gentechnisch","sieben","drobinskiweiss","moratorium","abstand","anbau","embryonale","zulassung","anbau","gentechnisch","saatgut","tab","leben","leben","kindes","gleichstellung","sukzessivadoption","lebens","paare","selbstbestimmung","bundesteilhabegesetz","gesetz","ehegatten","ehe","ärztinnen","leben","leben","verbot","kindes","entscheidung","ärzte"
"10","damals","zeitung","gar","zeitung","weiss","offensichtlich","dienste","alten","volk","bonn","meinte","et","gläubigern","schäden","pöhler","warenprüfung","notwendig","baustopp","verbände","vergleichenden","langer","aktionäre","veröffentlichung","verschobenen","satzung","landgemeinden","wirtschaft","wirtschaftsausschuss","kleinen","kleinen","vermögenspolitik","burgbacher","vermögenspolitik","kleinen","gesetzlicher","beteiligung","wettbewerbs","ware","preis","walz","wirtschaftliche","banken","mittleren","kleinen","mittelständischen","mittlere","mittelstand","kleinen","mittelstand","hauser","kleinen","öffentlichrechtlichen","marktes","hörfunk","peace","bundeswirtschaftsminister","nous","eintreten","frankreich","nordostbayern","herr","bürgerin","scheibenwischer","kostheim","lösung","herr","vollständige","börsen","gewährleistungsfrist","finanzplatzes","vaclav","klein","neugliederung","landeszentralbanken","nils","juni","berlinbonngesetz","bundestag","gebäude","diepgen","kirche","baumeister","gedenkstätte","palast","wat","beizeiten","stadtschloss","patente","embryonen","lebens","lebens","import","ethische","greenpeace","verbot","organismen","grundlagenforschung","heiderich","loske","eufreisetzungsrichtlinie","pflanzen","koexistenz","kikkstudie","embryo","anbau","grüne","ergebnisse","pflanzen","menschen","drogen","beschneidung","inklusion","inklusion","lebenspartnerschaft","selbstbestimmung","arzt","leben","behinderte","beeinträchtigungen","homosexuellen","ärzte","geschlecht","ärztinnen","barrierefreiheit","betroffenen","betreuer","bundesverfassungsgericht","leitung"
