"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","saar","staaten","saar","abkommen","französischen","saar","europäischen","vertrag","freihandelszone","saar","europäischen","ewg","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","ewg","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","gemeinschaft","europäischen","gemeinschaft","europäischen","europäischen","europäischen","europäischen","europa","konferenz","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","gemeinschaft","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europäischen","europäischen","europa","europäischen","europäischen","europa","europäischen","europäischen","europa","europa","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europa","europa","europäischen","europa","europa","griechenland","griechenland","europa","europa","europa","europa","europa","europa","europäischen","europa","europäischen","europa","europäischen"
"2","deutschland","staaten","abkommen","französischen","staaten","staaten","frankreich","vertrag","französischen","saar","saarländischen","saar","europäischen","lücker","europäische","ewg","ewg","brüssel","brüssel","ministerrat","brüssel","parlaments","kommission","ewg","europäischen","gemeinschaft","europäische","ewg","ewg","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","europäischen","gemeinschaft","europäischen","gemeinschaft","europa","europa","europa","europäischen","rico","europa","staaten","europa","gemeinschaft","europa","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","europäischen","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","europäische","gemeinschaft","gemeinschaft","europa","europäische","europa","europäische","europa","europa","europäische","europäische","europäischen","europa","europa","europa","union","europa","union","europa","währungsunion","europa","europa","europa","europa","europa","nizza","europa","europa","europa","europäischen","europa","europa","europäischen","türkei","europa","europäischen","europa","europa","europäischen","europäischen","europäischen","europa","europa","europa","europa","europa","europäischen","europäischen","europäischen","europa","europäischen","europäischen","europa","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europäischen","europa","europäischen","europa"
"3","alliierten","deutschen","vereinigten","statut","vereinigten","europäischen","französischen","europäische","gemeinsamen","europäischen","saarland","französischen","efta","konvention","ewg","brüssel","wirtschaftsgemeinschaft","ewg","ministerrat","europäische","europäische","parlament","gemeinschaft","brüssel","gemeinschaft","ewg","gemeinschaft","gemeinschaft","gemeinschaft","ewg","europäische","währungsunion","europäische","europäische","europäische","gipfelkonferenz","entwicklungshilfe","europäische","gemeinschaft","gemeinschaft","europäische","gemeinschaft","puerto","gemeinschaft","gemeinschaft","gemeinschaft","europa","europäische","staaten","staaten","staaten","staaten","europa","europäische","europäische","europäische","europäische","europäische","europäische","europa","europa","europa","europa","gemeinschaft","europa","europa","gemeinschaft","europa","europäische","europa","europäische","gemeinschaft","maastricht","europa","europäische","europäische","union","union","europa","union","europäische","europäische","europa","europäische","euro","europäische","europäische","union","union","nizza","union","europäische","europäische","europäische","europäische","europäische","europa","türkei","türkei","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäischen","europäischen","abkommen","ceta","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische"
"4","deutsche","französischen","vertrag","frankreich","gemeinschaft","gemeinsamen","vertrag","gemeinsamen","staatsvertrag","wirtschaftsgemeinschaft","saarländische","frankreich","freihandelszone","verhandlungen","staaten","gemeinsamen","europäische","kommission","ewg","brüssel","wirtschaftsgemeinschaft","europäische","ewg","gemeinschaft","vertrag","beitritt","ewg","gemeinschaften","mitgliedstaaten","europäische","ewg","wirtschafts","europa","europa","europa","europa","europäische","staaten","europäische","europäische","gemeinschaft","europäische","europäischen","europäische","europa","staaten","europäische","gemeinschaft","europa","europäische","europäische","europa","staaten","europa","vereinigten","vereinigten","europa","europa","europa","europäische","europäische","europäische","europäische","europa","europäische","europäische","europäische","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","europäische","gemeinschaft","maastricht","maastricht","gemeinschaft","europäische","europäische","europäische","währungsunion","europa","union","euro","union","europäische","union","union","europäische","europa","union","europäische","union","türkei","union","verfassung","verfassung","europäische","europäische","europäische","union","union","union","union","union","kommission","vertrag","griechenland","kommission","mitgliedstaaten","griechenland","griechenland","griechenland","kroatien","union","eu","europäische","europäische","europäische","europäische","grossbritannien","union","union","union","union","union","eu","eu","union"
"5","schumanplan","montanunion","konvention","abkommen","bundesregierung","frankreich","saarbevölkerung","wirtschaftsgemeinschaft","saar","frankreich","frankreich","europäische","europäische","ewg","wirtschaftsgemeinschaft","wirtschaftsgemeinschaft","brüssel","wirtschaftsgemeinschaft","kommission","parlament","ewg","gemeinschaften","gemeinsamen","kommission","gemeinsamen","grossbritanniens","mitgliedstaaten","kommission","europäische","vertrag","hallstein","europäische","währungsunion","zusammenarbeit","ewg","europäische","europa","europa","vereinigten","staaten","staaten","staaten","gemeinschaft","staaten","europäische","vereinigten","währungssystem","staaten","europäische","europa","europa","europäische","usa","staaten","kommission","kommission","vereinigten","stuttgart","eg","eg","eg","eureka","eg","akte","eg","frankreich","antarktis","binnenmarkt","eg","eg","eg","eg","europa","gemeinschaft","gemeinschaft","eg","gemeinschaft","präsidentschaft","kommission","europäische","währungsunion","währungsunion","europäische","vertrag","währungsunion","kommission","euro","regierungskonferenz","europäische","europäische","konvent","konvent","union","verfassung","türkei","union","union","verfassung","eu","eu","bulgarien","eu","kommission","vertrag","union","union","eu","union","union","union","fiskalpakt","union","union","eu","union","griechischen","union","ceta","abkommen","union","eu","eu","eu","eu","eu","union","union","eu"
"6","französischen","bundesregierung","deutschen","französische","stahl","saar","saarland","gemeinschaft","bundesregierung","saarlandes","schneider","bundesrepublik","wirtschaftsgemeinschaft","europäische","agrarpolitik","gemeinschaft","staaten","europäische","gemeinsamen","ewg","gemeinsamen","gemeinschaft","frankreich","europäische","europäische","verhandlungen","griechenland","europäische","brüssel","haag","europa","europa","ewg","staaten","washington","französischen","entwicklungspolitik","vereinigten","staaten","vereinigten","portugal","europas","staaten","europas","internationalen","amerikanischen","staaten","parlament","vereinigten","olympischen","vereinigten","stahlindustrie","europäische","spaniens","staaten","staaten","staaten","williamsburg","athen","europas","europas","eg","eureka","frankreich","europas","eg","binnenmarkt","eg","binnenmarkt","nationalen","europäischer","nationalen","union","union","vertrag","maastricht","vertrag","gatt","eu","mitgliedstaaten","mitgliedstaaten","regierungskonferenz","union","amsterdam","währung","agenda","tampere","mitgliedstaaten","osterweiterung","polen","mitgliedstaaten","erweiterung","europas","konvent","union","eu","eu","union","union","mitgliedstaaten","rumänien","kommission","mitgliedstaaten","eu","eu","lissabon","union","eu","eu","kommission","union","kommission","mitgliedstaaten","kommission","abkommen","abkommen","ceta","union","union","eu","europas","brexit","brexit","abkommen","mitgliedstaaten","mitgliedstaaten","mitgliedstaaten","europas"
"7","abkommen","frankreich","erklärung","saargebiet","vertrag","vertrag","saargebiet","staaten","van","französischen","saarlandes","ewg","frankreich","vertrag","margulies","brüsseler","ministerrat","gemeinsamen","parlaments","wirtschaftsgemeinschaft","bundesregierung","fusion","krise","gemeinsamen","brüssel","grossbritannien","brüssel","mitgliedstaaten","rat","gipfelkonferenz","zusammenarbeit","union","wirtschafts","ewg","wirtschafts","länder","entwicklungsländer","entwicklungshilfe","usa","amerikanischen","vereinigten","tindemans","europa","vereinigten","vereinigten","europäische","vereinigten","europas","griechenland","vereinigten","welt","vereinigten","stahlindustrie","beitritt","usa","akte","mitgliedstaaten","eg","mitgliedstaaten","union","staaten","europas","usa","eg","frankreich","binnenmarkt","eg","binnenmarktes","europas","europas","union","union","währungsunion","eg","union","schweiz","maastricht","maastricht","währungsunion","regierungskonferenz","wirtschafts","mitgliedstaaten","europol","euro","union","euro","mitgliedstaaten","grundrechtecharta","mitgliedstaaten","erweiterung","nizza","europas","kopenhagen","europas","regierungskonferenz","europas","kommission","eu","frankreich","verfassung","kommission","mitgliedstaaten","vertrag","kommission","mitgliedstaaten","eu","mitgliedstaaten","mitgliedstaaten","kommission","mitgliedstaaten","kommission","mitgliedstaaten","eu","europas","kommission","union","abkommen","ttip","eu","macron","kommission","grossbritannien","grossbritannien","brexit","ratspräsidentschaft","ratspräsidentschaft","europas","moldau"
"8","saar","deutschland","amerikanischen","staaten","auswärtigen","markt","deutschland","markt","deutschen","saarländischen","europäischen","sechs","europa","staaten","lücker","europäische","gemeinsamen","vertrages","wirtschaftsgemeinschaft","kommission","ministerrat","brüssel","brüssel","verhandlungen","beitritt","europäische","gemeinschaften","frankreich","frankreich","europa","integration","ewg","brüssel","konferenz","gemeinschaften","strauss","zusammenarbeit","amerikanischen","einigung","konferenz","versammlung","frankreich","welt","parlament","iwf","washington","währungssystems","rat","beitritt","olympische","amerikanischen","usa","frankreich","vereinigten","europa","europa","europas","mitgliedstaaten","europas","staaten","gipfel","spanien","mitgliedstaaten","union","staaten","deutschfranzösischen","mitgliedstaaten","union","antarktis","dimension","europas","parlaments","eg","nationalen","währungsunion","vertrag","mitgliedstaaten","gemeinschaft","mitgliedstaaten","währung","nationalen","vertrag","wirtschafts","währungsunion","wirtschafts","gipfel","erweiterung","eu","charta","osterweiterung","ungarn","staaten","erweiterung","mitgliedstaaten","eu","mitgliedstaaten","europas","mitgliedstaaten","europas","kommission","eu","ratspräsidentschaft","eu","mitgliedstaaten","sis","kommission","island","irland","griechenland","eu","esm","eu","rat","mitgliedstaaten","ceta","griechische","ttip","eu","mitgliedstaaten","verhandlungen","mitgliedstaaten","europas","frankreich","europas","europas","europas","staaten","staaten"
"9","frankreich","europäischen","auswärtigen","mommer","alliierten","mommer","deutschen","freihandelszone","frankreich","verhandlungen","französischen","saarland","verhandlungen","gemeinsamen","bundesregierung","beschlüsse","kommission","mitgliedstaaten","europäische","gemeinsamen","ewgkommission","ewg","verhandlungen","wirtschaftsgemeinschaft","kommission","frankreich","frankreich","handelspolitik","kommission","frankreich","gemeinschaften","gemeinschaften","französischen","wirtschafts","mitgliedstaaten","staaten","vereinigten","mitgliedstaaten","europas","kommission","amerikanischen","partner","amerikanischen","welt","konferenz","amerikanische","europas","vereinigten","amerikanischen","usa","zusammenarbeit","amerikanischen","regierungen","nato","amerikanischen","eg","frankreich","rat","einigung","nationalen","usa","portugal","staaten","mitgliedstaaten","george","binnenmarktes","gipfel","europas","europäischer","mitgliedstaaten","parlament","nationale","wirtschafts","mitgliedstaaten","maastrichter","mitgliedstaaten","europas","mitgliedstaaten","präsidentschaft","maastricht","eu","wirtschafts","amsterdam","europol","bundeskanzler","eu","eu","helsinki","erweiterung","vertrag","laeken","eu","konvent","eu","europas","erweiterung","mitgliedstaaten","europas","verfassung","europas","beitritt","türkei","türkei","lissabon","vertrag","parlament","rat","europäischer","europas","efsf","eu","staaten","kommission","staaten","mitgliedstaaten","eu","kommission","grossbritannien","ttip","europas","frankreich","abkommen","mitgliedstaaten","mitgliedstaaten","kommission","kommission","kommission","konferenz"
"10","bundesregierung","abkommen","verhandlungen","verhandlungen","verhandlungen","verhandlungen","französische","europa","vertrages","europäische","eingliederung","gemeinschaft","kommission","wirtschaftsgemeinschaft","zusammenarbeit","kommission","beschlüsse","verhandlungen","parlament","nationalen","parlament","ministerrat","wirtschaftsgemeinschaft","europa","gemeinschaften","gemeinschaften","kommission","verhandlungen","gemeinschaften","konferenz","haag","politischen","mitgliedstaaten","währungsunion","währungsunion","zusammenarbeit","staaten","frankreich","amerikanischen","neun","vietnam","regierungen","europäische","amerikanischen","zusammenarbeit","sondergeneralversammlung","stabilität","nationalen","griechenlands","komitee","europas","maastricht","amerikanischen","genf","stahlindustrie","bündnis","gemeinsamen","europas","nationalen","frankreich","spanien","frankreich","nationalen","einheitlichen","marshall","europas","binnenmarktes","frankreich","kommission","staaten","europäisches","parlament","mitgliedstaaten","währungsunion","eg","europas","integration","europas","brüssel","wirtschafts","vertrag","eu","mitgliedstaaten","währung","europas","präsidentschaft","helsinki","europas","grundrechtecharta","bundeskanzler","europas","kommission","frankreich","türkei","mitgliedstaaten","kommission","verfassung","verfassungsvertrag","mitgliedstaaten","brüssel","mitgliedstaaten","europas","reformvertrag","irland","brüssel","mitgliedstaaten","kommission","griechenland","staaten","europäischer","mitgliedstaaten","europas","bundeskanzlerin","bundeskanzlerin","irland","ceta","eu","griechenland","kommission","brexit","staaten","staaten","vertrag","kommission","solidarität","staaten","brexit","kommission"
