"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","millionen","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","bundeswirtschaftsminister","bauwirtschaft","kohle","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","wirtschaft","kohle","wirtschaft","kohle","schiller","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","schiller","bundesbank","schiller","schiller","schiller","schiller","inflation","bundesbank","stabilitätspolitik","inflation","strauss","aufschwung","wirtschaft","strauss","investitionen","wirtschaft","wirtschaft","wachstum","arbeitslosigkeit","wirtschaft","biedenkopf","wirtschaft","bundesbank","wirtschaft","arbeitslosigkeit","investitionszulage","investitionen","wirtschaft","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","banken","ddr","ddr","marktwirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","politik","arbeitsplätze","deutschland","mittelstand","mittelstand","mittelstand","deutschland","deutschland","deutschland","deutschland","deutschland","deutschland","deutschland","deutschland","deutschland","aufschwung","aufschwung","aufschwung","krise","krise","krise","krise","krise","krise","wachstum","deutschland","mittelstand","europa","investitionen","investitionen","wirtschaft","unternehmen","investitionen","portugal","unternehmen","unternehmen","unternehmen","wirtschaft","unternehmen","unternehmen","unternehmen","wirtschaft"
"2","wirtschaft","milliarden","millionen","milliarden","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","deist","winter","bundeswirtschaftsminister","kohle","wirtschaft","aufwertung","massnahmen","wirtschaft","wirtschaft","bundeswirtschaftsminister","marktwirtschaft","massnahmen","kurlbaum","massnahmen","wirtschaft","schmücker","stabilität","kohle","investitionen","massnahmen","schiller","wirtschaft","schiller","stabilität","bundesbank","wirtschaft","wirtschaft","wirtschaft","inflation","inflation","bundesbank","inflation","wirtschaft","strauss","wirtschaft","wirtschaft","wachstum","investitionen","wirtschaft","wachstum","arbeitslosigkeit","wachstum","kiep","wirtschaft","zinsen","wirtschaft","wettbewerbsfähigkeit","wirtschaft","arbeitslosigkeit","investitionen","arbeitslosigkeit","wirtschaft","wirtschaft","investitionen","arbeitslosigkeit","arbeitsplätze","wirtschaft","arbeitsplätze","wachstum","wirtschaftspolitik","unternehmen","marktwirtschaft","marktwirtschaft","ddr","marktwirtschaft","investitionen","unternehmen","solidarpakt","arbeitsplätze","arbeitsplätze","wirtschaft","unternehmen","deutschland","arbeitslosigkeit","unternehmen","arbeitslosigkeit","deutschland","wirtschaft","unternehmen","unternehmen","unternehmen","deutschland","deutschland","prozent","wachstum","unternehmen","wachstum","unternehmen","wachstum","wachstum","arbeitsplätze","unternehmen","wachstum","unternehmen","deutschland","unternehmen","wirtschaft","unternehmen","wachstum","wachstum","handwerk","deutschland","krise","europa","deutschland","deutschland","wachstum","wachstum","investitionen","deutschland","unternehmen","deutschland","wirtschaft","wirtschaft","wirtschaft","unternehmen","wirtschaft","wirtschaft","wirtschaft","unternehmen"
"3","milliarden","millionen","milliarden","bundeswirtschaftsminister","milliarden","investitionen","bergbau","deist","wirtschaft","wirtschaft","deist","bergbau","konjunktur","bundeswirtschaftsminister","kurlbaum","erhard","kohle","kohle","massnahmen","bundesregierung","wirtschaft","bergbau","schiller","wirtschaft","wachstum","bundeswirtschaftsminister","schiller","bundeswirtschaftsminister","bundeswirtschaftsminister","aufwertung","wirtschaft","bundesbank","stabilität","stabilität","bundesbank","strauss","stabilitätspolitik","strauss","strauss","bundesbank","friderichs","investitionen","aufschwung","arbeitslosigkeit","investitionen","wachstum","marktwirtschaft","wirtschaft","wachstum","wirtschaft","arbeitslosigkeit","zinsen","investitionen","investitionen","investitionen","arbeitslosigkeit","investitionen","wirtschaft","arbeitsplätze","zinsen","investitionen","arbeitsplätze","unternehmen","investitionen","wirtschaftspolitik","investitionen","arbeitslosigkeit","wachstum","wirtschaft","währungsunion","staatsvertrag","wirtschaft","arbeitsplätze","unternehmen","osten","unternehmen","unternehmen","lafontaine","rexrodt","wirtschaft","arbeitslosigkeit","deutschland","deutschland","deutschland","politik","politik","deutschland","deutschland","politik","prozent","prozent","deutschland","mittelstand","wachstum","steuerreform","prozent","prozent","unternehmen","wachstum","wachstum","unternehmen","glos","mehr","deutschland","mittelstand","arbeitsplätze","brüderle","brüderle","brüderle","wachstum","europa","krise","wachstum","investitionen","deutschland","deutschland","deutschland","forschungsförderung","deutschland","merkel","deutschland","investitionen","marktwirtschaft","investitionen","krise","arbeitsplätze","krise","mittelstand"
"4","lastenausgleich","wirtschaftspolitik","dm","millionen","investitionen","massnahmen","kohle","erhard","kohle","bundeswirtschaftsminister","bergbau","heizölsteuer","wirtschaftspolitik","massnahmen","soziale","deist","deist","wirtschaftspolitik","investitionen","konjunkturpolitik","massnahmen","bundesregierung","schmücker","bundesbank","wirtschaftspolitik","ruhr","massnahmen","schiller","massnahmen","bundesbank","stabilität","wirtschaft","wirtschaft","inflation","strauss","jahr","stabilität","bundesbank","stabilitätspolitik","wirtschaft","arbeitslosigkeit","aufschwung","rezession","wachstum","arbeitslosigkeit","arbeitslosigkeit","nachfrage","politik","wirtschaftspolitik","wirtschaftspolitik","leistungsbilanzdefizit","kiep","bundesbank","bundesbank","wirtschaft","arbeitsplätze","unternehmen","unternehmen","unternehmen","wachstum","arbeitsplätze","politik","arbeitsplätze","apel","arbeitsplätze","wirtschaftspolitik","investitionen","wirtschaft","fusion","unternehmen","lafontaine","roth","investitionen","marktwirtschaft","investitionen","arbeitsplätze","wachstum","arbeitslosigkeit","unternehmen","deutschland","wirtschaft","unternehmen","arbeitslosigkeit","politik","unternehmen","unternehmen","arbeitsplätze","wachstum","bundeskanzler","wachstum","wachstum","wachstum","unternehmen","prozent","prozent","mittelstand","unternehmen","arbeitsplätze","politik","arbeitsplätze","land","wachstum","wachstum","arbeitsplätze","unternehmen","marktwirtschaft","merkel","aufschwung","aufschwung","schulden","deutschland","wachstum","schulden","wirtschaft","wirtschaft","prozent","prozent","steuerliche","wirtschaft","investitionen","mittelstand","deutschland","mittelstand","arbeitsplätze","arbeitsplätze","krise","arbeitsplätze","krise"
"5","dm","bundeswirtschaftsminister","mittel","öffentlichen","wirtschaftspolitik","milliarden","deist","wirtschaftspolitik","bergbau","entwicklung","entwicklung","erhard","deist","entwicklung","entwicklung","wirtschaftspolitik","massnahmen","deist","preise","preise","bergbau","millionen","gutachten","stabilität","bundesbank","schiller","wirtschaftspolitik","wirtschaftspolitik","aufwertung","bundeswirtschaftsminister","massnahmen","stoltenberg","müllerhermann","rezession","stabilität","rezession","stabilitätsabgabe","bundesfinanzminister","stabilität","friderichs","bundesbank","arbeitslosigkeit","investitionen","marktwirtschaft","strauss","jahreswirtschaftsbericht","biedenkopf","investitionen","sachverständigenrat","arbeitslosigkeit","lambsdorff","arbeitslosigkeit","arbeitslosigkeit","investitionszulage","arbeitslosigkeit","lambsdorff","arbeitsplätze","lambsdorff","investitionen","protektionismus","unternehmen","wirtschaft","wirtschaftspolitik","finanzpolitik","investitionen","wachstum","arbeitsplätze","arbeitsplätze","bank","wirtschafts","investitionen","unternehmen","unternehmen","arbeitsplätze","wirtschaftspolitik","einheit","deutschland","unternehmen","wirtschaftspolitik","arbeitslosigkeit","unternehmen","politik","politik","unternehmen","prozent","arbeitslosigkeit","bundeskanzler","wirtschaft","arbeitsplätze","wirtschaft","wirtschaft","arbeitsplätze","prozent","mittelstand","vorziehen","wachstum","arbeitsplätze","prozent","bundeskanzler","land","arbeitsplätze","deutschland","arbeitsplätze","mehr","bundeskanzlerin","wirtschaft","politik","deutschland","mittelstand","europa","schulden","schulden","steinbrück","unternehmen","mittelstand","unternehmen","unternehmen","investitionen","mittelstand","wirtschaft","siemens","land","altmaier","altmaier","investitionen","altmaier","marktwirtschaft","arbeitsplätze"
"6","mittel","eisen","gewerblichen","unternehmungen","währung","bundesregierung","öffentlichen","entwicklung","hellwig","deist","wirtschaft","wirtschaft","heizölsteuer","wirtschaftspolitik","problem","preise","bergbau","bergbau","erhard","wirtschaftspolitik","bundeswirtschaftsminister","arendt","bergbau","kohle","schiller","strukturpolitik","ruhr","bundesbank","wirtschaftspolitik","müllerhermann","aufwertung","müllerhermann","aufwertung","preissteigerungen","inflation","bundesbank","massnahmen","lambsdorff","lambsdorff","arbeitslosigkeit","investitionen","rezession","arbeitslosigkeit","strauss","marktwirtschaft","wirtschaftspolitik","jahreswirtschaftsbericht","inflation","politik","investitionen","wirtschaftspolitik","lambsdorff","lambsdorff","arbeitsplätze","gemeinschaftsinitiative","unternehmen","lambsdorff","arbeitsplätze","lambsdorff","investitionen","wachstum","finanzpolitik","roth","politik","roth","wirtschaft","finanzpolitik","roth","wachstum","bundesrepublik","einheit","wirtschaftspolitik","einheit","einheit","einheit","rezession","wirtschaftspolitik","wirtschaftspolitik","deutschland","scharping","politik","wirtschaft","mehr","wirtschaft","arbeitsmarkt","wirtschaftspolitik","mehr","arbeitslosigkeit","arbeitslosigkeit","unternehmen","steuerreform","unternehmen","wirtschaft","politik","politik","land","bundeskanzler","arbeitslosigkeit","prozent","mehr","mehr","bürokratie","politik","wachstum","marktwirtschaft","wirtschaftskrise","deutschland","merkel","wachstum","politik","mittelstand","politik","politik","wachstum","europa","europa","mittelstand","prozent","prozent","land","investitionen","mittelstand","forschungsförderung","mittelstand","altmaier","deutschland","investitionen","transformation"
"7","arbeitslosigkeit","investitionen","sozialen","investitionen","massnahmen","deist","entwicklung","hellwig","wirtschaftspolitik","wirtschaftspolitik","zoll","heizöl","erhard","konjunkturpolitik","aufwertung","entwicklung","millionen","wirtschaftsbericht","entwicklung","investitionen","steinkohlenbergbau","kohle","bundeswirtschaftsminister","kuponsteuer","massnahmen","bergbau","saar","aufwertung","bundesbank","jahreswirtschaftsbericht","konjunktur","inflation","freigabe","bundesbank","müllerhermann","stabilität","narjes","konjunkturpolitik","ehrenberg","lambsdorff","september","bundesbank","unternehmen","wirtschaftspolitik","friderichs","strukturpolitik","investitionen","konjunktur","vollbeschäftigung","marktwirtschaft","investitionen","japan","matthöfer","lambsdorff","unternehmen","politik","graf","wachstum","wirtschaftspolitik","wirtschaftspolitik","bangemann","wachstum","politik","unternehmen","unternehmen","unternehmen","wirtschaftspolitik","unternehmen","wettbewerb","wirtschaft","wirtschafts","investitionen","ddr","betriebe","solidarpakt","deutschland","arbeitslosigkeit","rexrodt","wachstum","mittelstand","lafontaine","wachstum","investitionen","mehr","arbeitslosigkeit","lafontaine","wachstum","politik","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","clement","wirtschaft","unternehmen","arbeitsplätze","mittelstand","müntefering","land","mittelstand","aufschwung","arbeitsplätze","prozent","prozent","investitionen","mittelstand","unternehmen","land","deutschland","rösler","merkel","griechenland","europa","mittelstand","unternehmen","wirtschaft","wachstum","europa","wachstum","politik","prozent","marktwirtschaft","startups","deutschland","brauchen","marktwirtschaft","deutschland","wachstum"
"8","vermögen","öffentlichen","kapitalmarkt","wirtschaftspolitik","öffentlichen","konjunktur","milliarden","investitionen","entwicklung","bauarbeiter","feierschichten","deist","investitionen","konjunktur","bundeswirtschaftsminister","löhne","wirtschaftspolitik","massnahmen","bundeswirtschaftsminister","nachfrage","bundesregierung","entwicklung","massnahmen","bundeswirtschaftsminister","investitionen","massnahmen","rezession","aussenwirtschaftlichen","stabilität","wirtschaftspolitik","wirtschaftspolitik","bundeswirtschaftsminister","massnahmen","vollbeschäftigung","wirtschafts","vollbeschäftigung","konjunkturzuschlag","preise","friderichs","ehrenberg","lambsdorff","inflation","wirtschaftspolitik","lambsdorff","wirtschaftspolitik","bundeswirtschaftsminister","arbeitslosigkeit","nachfrage","lambsdorff","staatsverschuldung","bundesbank","investitionen","graf","zinsen","arbeitsplätze","zinsen","zinsen","zinsen","stoltenberg","stoltenberg","wirtschaftspolitik","zinsen","bangemann","wirtschaft","wachstum","bangemann","unternehmen","investitionen","haussmann","haussmann","wirtschaft","arbeitsplätze","wachstum","jahreswirtschaftsbericht","arbeitsplätze","osten","lafontaine","deutschland","politik","wirtschaftspolitik","wachstum","mehr","prozent","bundeskanzler","bundeskanzler","deutschland","arbeitsmarkt","prozent","wachstum","politik","politik","wirtschaft","politik","land","merz","reformen","politik","mittelstand","unternehmen","beschäftigung","politik","bürokratieabbau","land","politik","deutschland","bundeskanzlerin","wirtschaft","wirtschaft","wirtschaft","eurobonds","griechenland","mittelstand","merkel","krise","prozent","iwf","europa","mittelstand","gabriel","unternehmen","politik","altmaier","deutschland","industrie","staat","automobilindustrie","mittelstand","marktwirtschaft"
"9","dmark","dm","marktwirtschaft","wirtschaftspolitischen","volkswirtschaft","bergbau","bundesregierung","volkswirtschaft","kohlenbergbau","hellwig","marktwirtschaft","entwicklung","massnahmen","dmark","wettbewerb","kurlbaum","entwicklung","entwicklung","wettbewerb","wirtschaftsbericht","investitionen","unternehmen","preise","wachstum","bundeswirtschaftsminister","saar","kohle","rezession","konjunktur","massnahmen","bundeswirtschaftsminister","konjunkturpolitik","dienstag","aufwertung","wirtschaftspolitik","arbeitslosigkeit","stabilitätsprogramm","friderichs","graf","graf","rezession","friderichs","bundesrepublik","bundeswirtschaftsminister","nachfrage","marktwirtschaft","sachverständigenrat","bundesbank","marktwirtschaft","zinsen","wettbewerbsfähigkeit","arbeitsplätze","kiep","kiep","bundesbank","graf","bundesbank","roth","wachstum","politik","roth","arbeitsmarkt","wachstum","mehr","mehr","politik","politik","finanzpolitik","marktwirtschaft","wirtschaftlichen","steuererhöhungen","währungsunion","wirtschaftspolitik","wirtschaftspolitik","wachstum","investitionen","investitionen","politik","arbeitslosigkeit","rexrodt","mehr","beschäftigung","wirtschaft","rexrodt","lafontaine","mehr","arbeitslosigkeit","bundeskanzler","mittelstand","arbeitsplätze","wirtschaftspolitik","politik","land","arbeitsplätze","land","wirtschaft","opel","land","mehr","politik","mittelstand","wirtschaft","wirtschaft","wirtschaft","glos","steuersenkungen","bundeskanzlerin","politik","politik","wirtschaft","politik","merkel","unternehmen","prozent","gabriel","politik","gabriel","wirtschaft","europa","prozent","marktwirtschaft","forschungsförderung","steuerliche","rezession","marktwirtschaft","wachstum","wohlstand","investitionen"
"10","währungsreform","gewerblichen","wirtschaftspolitischen","erhard","konjunkturpolitik","bank","bank","massnahmen","behörde","konjunktur","wirtschaftspolitik","massnahmen","wettbewerb","preise","konzentration","konjunktur","investitionen","bundesregierung","zuwachs","bundeswirtschaftsminister","entwicklung","kurlbaum","stabilität","wirtschaftspolitik","aktion","investitionen","bundeswirtschaftsminister","stabilität","rezession","stabilität","wachstum","preissteigerungen","bundesregierung","inflationäre","jahr","mehr","strauss","massnahmen","öffentlichen","wirtschaftspolitik","milliarden","müllerhermann","bundeskanzler","friderichs","bundesbank","lambsdorff","lambsdorff","biedenkopf","investitionen","vollbeschäftigung","graf","ausland","gestern","unternehmen","politik","gewerkschaften","roth","finanzpolitik","aufschwung","arbeitsplätze","politik","unternehmen","mehr","stoltenberg","bangemann","finanzpolitik","mehr","mehr","arbeitsplätze","wachstum","währungsunion","wirtschafts","finanzpolitik","sanierung","ostdeutschland","bundeskanzler","bundeskanzler","aufschwung","mehr","politik","beschäftigung","lafontaine","lohnnebenkosten","lafontaine","mehr","mittelstand","wirtschaft","arbeitsmarkt","mehr","arbeitsmarkt","unternehmen","arbeitsmarkt","mehr","mehr","strukturreformen","mehr","merz","mehr","merkel","bürokratie","koalition","mehr","menschen","nokia","steuersenkungen","wachstum","staat","unternehmen","arbeitsplätze","merkel","wirtschaft","opel","krise","politik","land","griechenland","land","mittleren","land","arbeitsplätze","damen","portugal","investitionen","investieren","unternehmer","investitionen","brauchen","deutschland"
