"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ja","ja","ja","ja","sagen","ja","sagen","sagen","ja","schon","müssen","sagen","müssen","sagen","gar","müssen","sagen","müssen","müssen","müssen","müssen","ganz","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","ganz","müssen","müssen","müssen","müssen","müssen","müssen","immer","mehr","mehr","überstunden","wählernachfragen","armenrecht","prozesskostenhilfe","unmittelbarer","anbieter","eingeschaltet","spenden","beratungsstelle","kriegsgräber","kampagne","zonen","antiamerikanisch","esterwegen","architektur","basf","formaldehyd","emslandlager","fremdenverkehr","schwöre","deg","condor","guernica","kumulation","salzgitter","tourismus","praklaseismos","fremdenverkehr","film","tourismus","banken","behinderten","banken","banken","banken","tourismus","tourismus","raucher","banken","unternehmen","wolf","tourismus","expo","tourismus","tourismus","post","wettbewerb","ladenöffnungszeiten","handwerk","tourismus","wettbewerb","sparkassen","unternehmen","offenlegung","ministererlaubnis","unternehmen","unternehmen","wettbewerb","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","finanztransaktionsteuer","ezb","banken","bafin","ezb"
"2","sagen","gar","müssen","dinge","müssen","müssen","dinge","ja","sagen","sagen","schon","müssen","sagen","müssen","sagen","sagen","möchte","sagen","sagen","sagen","sagen","sagen","ganz","sagen","ganz","ganz","sagen","ganz","mehr","ganz","ganz","glaube","sollten","ganz","sollten","schon","sollten","mehr","sollten","mehr","immer","einfach","sicher","müssen","klose","cbesoldung","notar","prozesskostenhilfe","rechtsberatung","gansel","störfallverordnung","investitionsstau","beratungsstelle","postverkehr","volksbund","industriepolitischen","lehnt","beckoberdorf","gelände","mahnmal","formaldehyd","rundfunkrat","dokumentations","tourismus","helfe","zwischenfrage","brd","deg","verkehrswert","ag","gedenkstätte","ag","tourismus","margarethenhütte","bundesprüfstelle","versicherungen","behinderte","verbraucher","dzt","schuldner","einzelhandel","börse","nichtraucher","unternehmen","vermögensbildung","unternehmen","tourismuswirtschaft","banken","ladenschluss","expo","tourismus","unternehmen","einzelhandel","handwerksordnung","handwerk","bafin","unternehmen","regulierungsbehörde","unternehmen","unternehmen","hedgefonds","telekom","unternehmen","unternehmen","unternehmen","unternehmen","regulierung","bank","finanztransaktionsteuer","bank","aufsicht","regulierung","aufsicht","bankenunion","bank","schick","bank","bank","verbraucher","banken","verbraucher","kredite","bank","griechenland","bafin","bafin","wirecard","zinsen"
"3","schon","dinge","sagen","sagen","dinge","dinge","ja","ganz","schon","müssen","ja","schon","ganz","gar","natürlich","immer","sollten","mehr","immer","schon","ganz","müssen","sagen","mehr","sagen","sollten","ganz","sollten","ganz","sollten","glaube","ganz","glaube","schon","problem","heute","gar","sollten","problem","einfach","problem","mehr","problem","immer","droht","mehr","kartoffeln","beschäftigungsstellen","anwalt","mitspracherecht","teilnehmer","investiert","anbieter","zentrale","pflege","herhalten","märz","osthofen","lager","geschäftsordnung","vorwort","krebserzeugend","informationszentrums","urlaub","wahr","politiker","briefs","caretta","ernsthaftigkeit","preussag","urlaub","unternehmens","fremdenverkehrs","grossdubrau","film","medien","nichtbehinderten","gläubiger","tourismus","gläubiger","ladenöffnungszeiten","branche","rauchen","tourismus","kammern","margareta","volksfeste","holzmann","branche","post","ag","schauerte","post","anlage","verbraucher","kunden","schleswigholstein","verbraucher","aktionäre","basel","bafin","reits","kfw","kfw","bank","sparkassen","finanzmärkte","krise","bank","regulierung","basel","aufsicht","bankenaufsicht","steuerzahler","bankenunion","einlagensicherung","bausparkassen","bafin","bank","kunden","einlagensicherung","bank","ezb","ezb","zentralbank","verbraucher","esm","zentralbank"
"4","dinge","sagen","dinge","müssen","leute","sagen","müssen","müssen","müssen","gar","ganz","ganz","schon","immer","müssen","gar","müssen","möchte","ganz","möchte","möchte","schon","sollten","ganz","natürlich","sagen","schon","vielleicht","vielleicht","glaube","gibt","natürlich","natürlich","natürlich","schon","sagen","problem","schon","mehr","sollten","einfach","etwa","müssen","dafür","institut","geschäft","gross","herr","beratungshilfe","per","zügiger","müller","vorwand","zusatzfrage","volksbundes","atomwaffenfreien","eindringlichen","babenhausen","erinnerung","abgeordneten","auflage","einstufung","arbeitsschutz","fremdenverkehrs","gott","zwecke","legion","tourismus","antrag","gedenkstätte","hadamar","verkauf","touristischen","filme","fremdenverkehr","film","behinderter","rabattgesetzes","girokonto","gerichtsvollzieher","öffnungszeiten","banken","doss","wolf","wettbewerb","hinsken","tourismusbranche","unternehmen","burgbacher","zugabeverordnung","unternehmen","trinkgeldbesteuerung","uhr","post","wettbewerb","unternehmen","kunden","wettbewerb","gmbh","banken","sparkassen","wettbewerb","post","banken","krise","landesbanken","krise","finanzmärkte","anleger","markt","finanzaufsicht","bank","bank","schick","steuerzahler","bank","kunden","verbraucher","kunden","verbraucherinnen","bankenunion","risiken","griechenland","zinsen","urteil","wirecard","banken","griechenland"
"5","gar","ganz","ganz","kommt","ja","schon","leute","mehr","dinge","ja","immer","dinge","gar","tun","schon","natürlich","ganz","vielleicht","möchte","ganz","schon","natürlich","mehr","natürlich","mehr","mehr","mehr","möchte","glaube","gibt","natürlich","sollten","heute","gibt","ganz","gar","ganz","nämlich","immer","ganz","sagen","schon","sagen","dinge","sicher","binden","nachwachsenden","prozesskosten","rechtspfleger","verfolgte","minister","personalintensität","diederich","hauptfeststellung","kriegsgräberfürsorge","steinkohle","region","heiterkeit","dokumentations","apparaten","spikes","entwicklungshilfereferenten","pfalz","fremdenverkehrswirtschaft","bundesminister","unechten","herr","dalyanbucht","nichtbanken","gedenk","fremdenverkehrs","prakla","touristische","filmförderung","aktionsplan","landesmedienanstalten","steen","behinderte","wettbewerb","kunden","verbraucher","unternehmen","banken","transparenz","produktivkapital","brähmig","wolf","bundesdruckerei","brähmig","unternehmen","wettbewerb","hinsken","verbraucher","uhr","regulierung","girokonto","wettbewerb","schauerte","hauptversammlung","erpsondervermögen","regulierung","airbus","banken","bank","estate","bank","unternehmen","hre","bankenabgabe","finanzmärkte","bank","finanzmärkte","steuerzahler","fonds","ratingagenturen","aufsicht","verbraucher","schick","bafin","bafin","bank","verbraucher","euro","bargeld","wirecard","verbraucherinnen","anleger","verbraucher"
"6","müssen","müssen","schon","mehr","ganz","wirklich","gar","tun","ganz","ganz","mehr","gar","immer","schon","ganz","vielleicht","gar","sollten","vielleicht","mehr","natürlich","immer","dinge","sollten","schon","natürlich","sollten","mehr","schon","mehr","schon","sagen","ganz","sollten","gar","wer","schon","gar","schon","immer","mehr","immer","schon","angesetzt","freitag","wasser","staat","wärme","langner","programmen","tausenden","diäten","gefängnissen","behinderungen","gräber","regierungserklärung","jahr","interpretieren","dokumentation","deutschlandfunks","krebserzeugend","deutschlandfunks","papier","bundesregierung","nachgewiesen","betten","reduzieren","region","sonderregelung","dokumentationsstätte","fremdenverkehr","hannover","objekte","ag","schriften","bundesprüfstelle","flensburger","rabattgesetz","fremdenverkehr","bank","kunden","saibold","girokonto","hinsken","jens","tourismus","brähmig","bank","unternehmen","branche","tourismuswirtschaft","markt","samstag","unternehmen","uwg","regulierungsbehörde","banken","tourismus","transparenz","wettbewerb","wettbewerb","reit","marktwirtschaft","landesbanken","hypo","ratingagenturen","bank","finanztransaktionsteuer","schick","krise","bafin","bankenaufsicht","zypern","aufsicht","aufsicht","bafin","konto","aufsicht","aufsichtsrat","verbraucherschutz","kredite","finanzkrise","commerzbank","banken","bundesbank","schuldner","haftung","hauptversammlung"
"7","ganz","schon","gar","ganz","natürlich","mehr","schon","schon","gar","sollten","gar","möchte","mehr","mehr","dinge","mehr","dinge","dinge","sollten","wirklich","vielleicht","eigentlich","schon","glaube","möchte","möchte","glaube","natürlich","sagen","wissen","sollten","schon","mehr","problem","sagen","problem","natürlich","dinge","ganz","schon","ganz","funktioniert","gehört","weniger","schon","weniger","lautet","vollzug","schöfberger","gefährlich","verkehrspolitik","details","parlamentarischen","ddr","gräbern","lambsdorff","hebung","stationierung","emslandlager","igel","windelen","erdefunkstelle","aktionskomitee","werbung","herr","projektes","gott","nationalparks","begründungen","drütte","deserteure","schlumberger","hotels","fernsehen","medien","filme","behindertengerechte","insolvenzrecht","bury","versicherung","ladenschlussgesetz","finanzplatz","sauer","bury","fusionskontrolle","gastgewerbe","schaustellergewerbe","tourismus","einzelhandel","wettbewerb","branche","wettbewerbsrecht","tourismus","ag","bürokratieabbau","wassertourismus","regulierungsbehörde","kartellamt","hedgefonds","berninger","bundeskartellamt","markt","manager","wettbewerb","kfw","wettbewerb","ratingagenturen","regulierung","unternehmen","unternehmen","iii","hochfrequenzhandel","regulierung","regulierung","dispozinsen","steuerzahler","steuerzahler","kleinanleger","verbraucherinnen","kredite","handwerker","ezb","fusion","kredite","euro","bank","scholz","verbraucherinnen"
"8","vielleicht","mehr","immer","schon","wirklich","leute","mehr","leute","immer","möchte","sagen","mehr","tun","möchte","ja","ganz","natürlich","ganz","natürlich","natürlich","gar","geht","natürlich","schon","sollten","entwicklungshilfe","möchte","schon","möchte","natürlich","sagen","problem","möchte","sagen","natürlich","gut","immer","natürlich","sagen","problem","sollten","ungeheuer","wirklich","ja","häufig","bekommen","pro","überstunden","amtsgericht","ausgegangen","droge","zusatzfrage","grundvoraussetzung","böhm","deutsche","kalkül","unglaublich","gewohnheitsrecht","landesregierung","satt","herr","rundfunkrats","esterwegen","touristischen","fremdenverkehr","herr","zwischenfrage","dalyan","zahlreiche","kz","salzgitter","bundeshaushaltsordnung","gaststätten","hermsdorf","fremdenverkehrs","schriften","behinderungen","insolvenzordnung","hotel","zwangsvollstreckung","uhr","tourismuspolitik","nichtraucherschutz","beteiligungen","gwb","antrag","branche","fusion","mosdorf","rabattgesetz","hinsken","staffelt","schauerte","tätigkeiten","branche","verbraucher","bürokratieabbau","zeitungen","rechtsform","bank","mitbestimmung","unternehmens","markt","krise","bafin","bafin","schick","unternehmen","krise","schick","regulierung","steuerzahler","sparkassen","kapitalmarkt","schick","fonds","girokonto","risiken","schick","bank","kunden","einlagensicherung","steuerzahler","euro","staatsfinanzierung","ezb","anlegerschutz","inflation"
"9","glaube","kommt","kommt","vielleicht","schon","kommt","ganz","immer","mehr","dinge","dinge","bekommen","dinge","dinge","tun","möchte","mehr","gar","mehr","vielleicht","immer","unsere","dingen","immer","glaube","schon","vielleicht","glaube","sollten","schon","möchte","heute","wissen","vielleicht","gibt","jahren","gibt","dingen","gar","kommt","nämlich","nämlich","nämlich","problem","thema","vergütet","vorwiegend","ministerialbürokratie","rechtsuchenden","negativ","wurbs","behindert","rotterdam","reise","gebiete","kabinettssitzung","problem","vogt","niedersächsischen","fester","einstufung","bitte","emsland","dzt","dr","gebote","ursachen","friedensforschungszentrum","notaren","schnur","ag","veräusserung","touristen","erlasse","touristischen","konzentration","behindertengerecht","dslbank","urlaub","beteiligungen","einzelhändler","tourismuswirtschaft","wald","margareta","wolf","frankfurt","unternehmen","mosdorf","hinsken","burgbacher","brähmig","biergärten","öffnungszeiten","hinsken","handwerksordnung","tourismuswirtschaft","privaten","post","aussengastronomie","mittelstand","telekom","kfw","transparenz","aufsichtsrat","finanzmärkte","kredite","hedgefonds","markt","finanzkrise","honorarberatung","sparkassen","reguliert","finanzmärkte","bafin","fonds","versicherungen","gläubiger","regulierung","produkte","instrumente","risiken","griechenland","targetsalden","sparer","unabhängigkeit","zinsen","finanzaufsicht","aktionäre"
"10","leute","vielleicht","leute","kommen","immer","ganz","wirklich","gar","leute","mehr","tun","wirklich","natürlich","ganz","mehr","wissen","geld","schon","gibt","immer","gibt","möchte","möchte","entwicklungshilfe","vielleicht","glaube","gibt","gibt","natürlich","tun","wissen","mehr","menschen","heute","mehr","natürlich","mehr","problem","gibt","ja","eigentlich","sollten","mehr","etwa","kosten","verbände","stimmabgabe","streitwert","anwaltschaft","vielmehr","gar","mühe","einfordern","herr","kriege","zonen","wertpapieren","boenisch","niedersächsische","gestalt","unverständnis","draussen","zielvorstellung","schwarzgastronomie","umbenennung","überfordert","minister","baskischen","schlüssigkeitsprüfung","ehemaligen","saibold","bund","arbeitsplätze","abgabe","rechtssprache","beteiligungen","reisenden","bank","bank","mittelständischen","ladenschlussgesetzes","touristischen","unternehmen","finanzmarktförderungsgesetz","marktwirtschaft","hotellerie","burgbacher","philipp","gewerbe","hinsken","mosdorf","kartellamt","ag","meisterbrief","uhr","tourismus","mittelständische","markt","wettbewerb","marktwirtschaft","bundesnetzagentur","post","ag","gmbh","aufsicht","bankenaufsicht","kredite","bankenabgabe","fonds","finanztransaktionsteuer","unternehmen","zypern","girokonto","grauen","kunden","anleger","schick","anleger","boni","restschuldversicherung","steuerzahler","bundesbank","verbraucher","hauptversammlung","banken","schulden","wirtschaftsprüfer","hauptversammlungen"
