"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","ausschuss","antrag","ausschuss","antrag","antrag","gesetz","gesetzentwurf","gesetzentwurf","vorlage","vorlage","cducsufraktion","beamten","vorlage","beamten","beamten","beamten","beamten","beamten","gscheidle","beamten","gscheidle","beamten","beamten","dienst","dienst","beamten","beamten","dienst","schriftsteller","benda","dienstes","genscher","bundesgrenzschutz","genscher","genscher","genscher","genscher","sport","bundesgrenzschutz","dienst","öffentlichen","maihofer","teilzeitbeschäftigung","höcherl","dienst","beamten","bundesinnenminister","beamten","datenschutz","nebentätigkeit","asylbewerber","ausländer","asylbewerber","bundesinnenminister","ausländer","volkszählung","bundesinnenminister","kultur","volkszählung","volkszählung","daten","flüchtlinge","volkszählung","datenschutz","datenschutz","aussiedler","ausländer","ausländer","juden","akten","unterlagen","asylbewerber","asylbewerber","asylbewerber","flüchtlinge","ausländer","ausländer","innenminister","ausländer","kanther","ausländer","staatsangehörigkeit","kanther","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","integration","zuwanderung","zuwanderung","zuwanderung","zuwanderung","schily","sicherheit","schily","schily","staatsangehörigkeit","schäuble","sicherheit","integration","integration","integration","integration","waffen","integration","integration","roma","migranten","roma","flüchtlinge","integration","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","menschen","familiennachzug","migration","flüchtlinge","flüchtlinge","grenze","griechenland","deutschland","menschen"
"2","ausschuss","ausschuss","antrag","ausschuss","antrag","ausschuss","fraktion","verabschiedung","wasserhaushaltsgesetz","gesetz","gesetzentwurf","lesung","anhebung","dienst","entschliessung","weihnachtsgeld","dienst","dienst","dienst","dienst","beamten","dienst","beamten","dienst","dienst","dienstes","beamten","dienstes","vergütungsgruppe","beamten","innern","genscher","wagner","innern","bundesgrenzschutzes","polizei","innern","innern","innern","sports","beamten","öffentlichen","dienstes","verfassungsschutz","beamten","innern","beamten","datenschutz","baum","polizei","bundesbeauftragten","dienst","bundesamt","integration","ausländer","dienst","datenschutz","bundesinnenminister","film","datenschutz","datenschutz","datenschutz","polizei","asyl","daten","zimmermann","ausländer","ausländer","aussiedler","verfassungsschutz","innern","unterlagen","akten","schengener","asylrecht","ausländer","ausländer","ausländern","kanther","ausländer","kanther","ausländer","flüchtlinge","kanther","ausländer","integration","zuwanderung","asyl","npd","zuwanderung","schily","schily","schily","zuwanderungsgesetz","bundesinnenminister","bundesinnenminister","bundesinnenminister","bundesinnenminister","schily","sicherheit","terrorismus","schäuble","schäuble","integrationspolitik","schäuble","polizei","griechenland","bundespolizei","flüchtlinge","deutschland","deutschland","residenzpflicht","deutschland","staatsbürgerschaft","flüchtlingen","flüchtlingen","menschen","integration","integration","flüchtlinge","menschen","flüchtlinge","menschen","migration","griechenland","griechischen","migration","geflüchteten"
"3","fraktion","gesetzentwurf","fraktion","geschäftsordnung","fraktion","vorlage","vorschusszahlung","fraktion","fraktion","materie","ausschüssen","verabschiedet","gesetzentwurf","kühlthau","kühlthau","kommission","dienstes","dienstes","dienstes","dienstes","rechnungsprüfung","öffentlichen","dienst","dienstes","gscheidle","beamten","öffentlichen","dienst","besoldungsgruppe","dienstes","genscher","verbrechensbekämpfung","besoldung","dienstes","genscher","meinung","dienst","sports","dienst","dienst","bundesgrenzschutzes","sport","dienst","traube","dienst","bundeskriminalamt","verfassungsschutz","sicherheitsbehörden","beamten","bundesgrenzschutz","polizei","beamten","asylrecht","ausländern","datenschutz","baum","bundesinnenminister","daten","innenminister","kunst","daten","polizei","datenschutz","polizei","gesetze","volkszählung","datenschutzbeauftragten","datenschutz","polizei","schäuble","daten","köppe","asylbewerber","asylrecht","flüchtlinge","asylrecht","asylbewerber","staatsangehörigkeit","staatsangehörigkeit","kanther","staatsangehörigkeit","flüchtlinge","innenminister","ausländer","aussiedler","staatsbürgerschaft","flüchtlinge","marschewski","zuwanderung","marschewski","bundesinnenminister","sicherheit","bosbach","ausländer","sicherheit","schily","sicherheit","sicherheitsbehörden","bundesinnenminister","polizei","antiterrordatei","flüchtlinge","bundespolizei","zuwanderung","zuwanderung","integration","flüchtlinge","migranten","zuwanderung","staatsangehörigkeit","integration","asylbewerber","flüchtlinge","flüchtlingen","deutschland","menschen","flüchtlingen","menschen","menschen","afghanistan","flüchtlinge","pakt","migration","migranten","integration","deutschland","asyl","ukraine"
"4","regierung","fraktion","drucksache","vorlage","vorlage","ausschüsse","ausschuss","gesetzentwurf","vorlage","vorlage","cducsufraktion","gewerbeordnung","kühlthau","einfachen","matzner","bundesregierung","harmonisierungsnovelle","wuermeling","kommission","doppelversorgung","dienst","dienstes","öffentlichen","öffentlichen","innenausschuss","bundesgrenzschutz","innenausschuss","schmittvockenhausen","angestellten","wagner","beamten","innern","öffentlichen","öffentlichen","sicherheit","bundesgrenzschutz","dkp","sport","dienstes","öffentlichen","innern","bewerber","mandat","bundesinnenminister","öffentlichen","spranger","öffentlichen","baum","bgs","bundesinnenminister","datenschutzes","asylbewerber","asyl","ausländischen","asylverfahren","ausländer","kühbacher","datenschutz","ausländer","personalausweis","schäfer","hirsch","bürger","innenminister","bürger","datenschutzbeauftragten","zimmermann","zimmermann","penner","ausländern","gerster","gerster","stasi","flüchtlinge","ausländer","asyl","bürgerkriegsflüchtlinge","einbürgerung","flüchtlinge","flüchtlinge","sonntagwolgast","innenminister","marschewski","staatsbürgerschaft","zuwanderung","schily","ausländer","ausländer","marschewski","flüchtlinge","sicherheit","beckstein","sicherheit","integration","innenminister","zuwanderung","integration","strobl","integration","integration","datei","winkler","sicherheit","migranten","terrorismus","thw","staatsangehörigkeit","deutschland","deutschland","integration","zuwanderung","deutschland","zuwanderer","staatsangehörigkeit","menschen","deutschland","integration","flüchtlingen","flüchtlingen","zuwanderung","migration","migranten","integration","menschen","flüchtlinge","migranten","migranten","flüchtlinge"
"5","anträge","vorlage","entschliessung","antrags","anträge","fraktion","gesetzentwurf","ausschuss","ausschuss","ausschuss","mittelstandsfragen","gesetz","innenausschuss","vorlage","dienst","vorschuss","gscheidle","matzner","gscheidle","schmittvockenhausen","schmittvockenhausen","innenausschuss","dienstes","fortbildung","dienstes","benda","brück","innenausschuss","öffentlichen","öffentlichen","dienstes","bundeskriminalamt","beamten","dkp","innern","dkp","beamten","sportförderung","beamten","maihofer","wahlrecht","maihofer","gehobenen","innern","beamte","bundesinnenminister","verfassungstreue","bundesinnenminister","datenschutz","daten","spranger","beamte","dregger","ausländerpolitik","asylrecht","innenminister","verfassungsschutz","ausländer","zimmermann","ausländer","mikrozensus","daten","sicherheit","asylbewerber","schmidtbott","daten","baumann","innern","staatsangehörigkeit","innern","dienste","verfassungsschutz","ausländer","asylverfahren","asyl","staatsangehörigkeit","jelpke","schmalzjacobsen","abschiebung","sonntagwolgast","integration","schmalzjacobsen","staatsangehörigkeit","flüchtlinge","spätaussiedler","ausländer","bundesinnenminister","card","innenminister","deutschland","marschewski","uhl","zuwanderungsgesetz","staatsangehörigkeit","zuwanderungsgesetz","flughafen","zuwanderungsgesetz","terrorismus","innenminister","winkler","sicherheitsbehörden","sicherheit","waffen","schäuble","bka","sicherheit","migranten","zuwanderung","sinti","integrationskurse","sinti","integration","sprache","deutschland","asylbewerber","asylbewerber","kommen","herkunftsstaaten","land","deutschland","bamf","bamf","staatsangehörigkeit","staatsangehörigkeit","migranten","flüchtlinge","ausländerzentralregister","integration"
"6","bundesregierung","bundesregierung","anträge","fraktion","drucksache","beraten","gesetz","präsident","gesetz","lesung","verabschiedung","verabschieden","fraktion","fraktion","verbesserungen","dienst","versorgungsempfänger","gscheidle","antrag","versorgungsempfänger","weihnachtszuwendungen","gräber","innenausschuss","beamte","beamtenschaft","angestellte","dienstes","besoldungsgruppe","dienstes","genscher","öffentlichen","beamten","innenausschuss","polizei","länder","tübingen","länder","öffentlichen","beamte","bewerber","dienst","beamten","entschädigung","dienst","dsb","beamten","dregger","innenausschuss","innern","asylbewerber","innern","innern","verfahren","türken","einbürgerung","hirsch","datenschutzbeauftragten","zimmermann","volkszählung","ausweis","zimmermann","ausländischen","hirsch","hirsch","hirsch","polizei","daten","innenminister","schengener","gerster","akten","aufarbeitung","aufarbeitung","asyl","asylrechts","flüchtlinge","innenminister","ausländerbeauftragten","schmalzjacobsen","schmalzjacobsen","schmalzjacobsen","sonntagwolgast","integration","integration","integration","doppelte","innenminister","deutschland","extremismus","rechtsextremismus","ausländer","integration","integration","schily","digitalfunk","integration","terrorismus","polizei","datei","bundesinnenminister","integration","innenminister","bundesinnenminister","terrorismus","flüchtlinge","schäuble","sicherheit","deutsch","flüchtlingen","türkischen","migration","asylbewerberleistungsgesetz","staatsangehörigkeit","optionspflicht","staatsangehörigkeit","zuwanderung","migration","land","deutschland","familiennachzug","land","menschen","asylbewerber","deutschland","migration","moria","flüchtlinge","registrierung"
"7","drucksache","bundestag","bundestag","drucksache","plenum","verabschiedung","herren","geschäftsordnung","materie","entwurf","gesetz","antrag","vorlage","cducsufraktion","gesetzentwurf","weihnachtsgeldes","besoldung","beamtenschaft","duisdorf","bundesbeamtengesetzes","zivilbeschäftigten","anpassung","brück","orchester","besoldung","angestellten","stufe","öffentlichen","iii","innern","schäfer","dienst","dienst","dienst","polizei","sicherheit","polizei","dienst","öffentlichen","innern","polizei","mitgliedschaft","beamten","innenminister","innern","innenminister","bewerber","innenminister","spranger","spranger","dienst","bundesinnenminister","innern","baum","ausländerfeindlichkeit","beamten","beamten","schäfer","datenschutz","daten","bürger","verfassungsschutz","verfassungsschutz","ströbele","verfassungsschutz","speicherung","polizei","waffenschmidt","schäuble","datenschutz","neusel","stasi","gerster","zuwanderung","zuwanderung","schengener","ausländerinnen","jelpke","schengener","asylbewerber","ausländern","marschewski","staatsbürgerschaft","rassismus","einwanderungsland","staatsangehörigkeitsrecht","rüttgers","rüttgers","bundesinnenminister","ausländischer","innenminister","innenminister","strobl","deutschland","bundesgrenzschutz","innenminister","innenminister","informationen","sicherheitsbehörden","innenminister","schäuble","pass","sicherheitsbehörden","winkler","staatsangehörigkeit","migranten","veit","integrationskurse","zwangsheirat","flüchtlinge","flüchtlinge","roma","aufenthaltsgesetz","asylbewerber","migration","asyl","deutschland","einstufung","staatsbürgerschaft","abschiebungen","integration","familiennachzug","asyl","personen","griechischen","migration","menschen","polen"
"8","bundestag","überweisen","fraktionen","anträge","gesetzentwurf","hohen","anträge","antrag","bundeswasserstrassen","beweissicherung","antrag","cducsufraktion","lesung","anhebung","beamten","antrag","bundesregierung","schmittvockenhausen","beamtenrechts","gesetzentwurf","beamte","beamtenbesoldung","kommission","schmittvockenhausen","beamte","innern","schmittvockenhausen","besoldungsneuregelungsgesetz","dienst","schäfer","beamte","sofortprogramm","gehobenen","nienberge","inneren","bund","sicherheit","evers","bundesinnenminister","bewerbers","vereinbarung","sports","abgeordneten","dienstes","dienstes","maihofer","beamte","datenschutzes","bundesgrenzschutzes","baum","tätigkeitsbericht","nebentätigkeiten","unbegründet","gerster","ausländern","ausländerpolitik","ausländerpolitik","angaben","ausländischen","hirsch","erhebungen","ausländer","zevis","zimmermann","datenschutz","datenschutzbeauftragte","ausländern","polizei","innern","übersiedler","schäuble","schäuble","ausländerfeindlichkeit","abkommen","politisch","einbürgerung","ulla","staatsbürgerschaft","asylbewerber","innenausschuss","marschewski","zurückkehren","bürgerkriegsflüchtlinge","sonntagwolgast","flüchtlinge","zuwanderung","integration","schily","schily","ausländer","integration","versammlungsrecht","bundesinnenminister","grindel","zuwanderung","bosbach","koschyk","stokar","stadler","schily","polizei","bundesinnenminister","integrationsplan","böhmer","migranten","sicherheitsbehörden","asylverfahren","staatsangehörigkeit","integration","türkei","willkommenskultur","zuwanderung","wolff","frontex","roma","integration","asyl","sicheren","migration","migration","zuwanderung","integration","einwanderung","seehofer","deutschland","menschen","integration","migration"
"9","gesetz","überweisung","lesung","deckung","überweisen","präsident","vorschusszahlungen","vorlage","gülich","fraktion","handwerker","fraktion","ausschuss","reichsnährstandes","fraktion","besoldung","bund","erhöhung","besoldung","öffentlichen","öffentlichen","besoldung","besoldungsordnung","besoldungsgruppe","miessner","beamte","besoldungsneuregelungsgesetzes","verbesserungen","besoldungsneuregelungsgesetz","günzburg","dienst","kriminalpolizei","innern","innenausschuss","innenminister","ersten","inneren","minister","innenausschuss","bundesinnenminister","wahlkreise","dienstes","berger","öffentlichen","maihofer","schleyer","dienstes","innern","bundesgrenzschutz","dienst","dregger","öffentlichen","flüchtlinge","asylbewerber","ausländerbehörden","asylrechts","ausländern","innenminister","ausländerpolitik","fälschungssicheren","sicherheitsbehörden","zimmermann","gesetze","volkszählung","staat","innenminister","innern","spranger","ausländern","verfassungsschutzes","hirsch","staatssicherheit","flüchtlinge","genfer","seiters","asylrechts","abschiebung","lebenden","ausländergesetzes","einbürgerung","flüchtlinge","ausländern","lebenden","marschewski","land","kinder","jelpke","green","ausländer","schily","bosbach","inneren","terrorismus","kemper","bundeskriminalamt","luftsicherheitsgesetz","sicherheitsbehörden","innenministerkonferenz","koschyk","fussballweltmeisterschaft","daten","migranten","pkk","flüchtlinge","bundesinnenminister","winnenden","grindel","waffen","veit","türkische","fachkräfte","flüchtlingen","flüchtlingen","migration","optionspflicht","kommunen","asylverfahren","deutschland","abschiebungen","integration","migranten","asyl","deutschland","ausländer","menschen","inseln","staatsbürgerschaft","kommunen"
"10","frage","drucksache","herren","gesetzentwurf","anliegen","damen","beraten","lesung","verabschieden","verabschiedung","schmücker","vorgelegt","beamten","mittleren","entschliessungsantrag","weihnachten","bundesbeamten","besoldung","schmittvockenhausen","beamte","höcherl","sachverständigenrat","besoldungsreform","verwaltung","öffentlichen","innenausschuss","verbesserungen","besoldung","ii","erhöhung","künstler","dienstes","genscher","altreifen","beamten","besoldungsrechts","dienstes","bund","polizei","sportkonferenz","länder","grundordnung","angehörigen","verfassungsschutzes","bundesgrenzschutz","dienst","bundesverfassungsgerichts","beamte","riedl","innenausschuss","datenschutzbeauftragten","baum","baum","datenschutz","schöfberger","beamte","zirndorf","ausländerpolitik","beamten","ausländern","datenschutzbeauftragten","sicherheitsbehörden","personalausweis","sicherheit","boykott","bürger","datenverarbeitung","asylbewerber","einbürgerung","daten","informationen","sed","archive","grundgesetzes","deutschland","zuwanderung","ausländern","ausländergesetz","innenminister","ausländergesetzes","cornelie","integration","ausländern","doppelte","vertriebenen","westerwelle","flüchtlingen","flüchtlinge","menschen","familienbericht","verfassungsschutz","terrorismus","deutschland","asyl","umzug","polizei","polizei","sicherheit","türkische","terrorismus","innenminister","migration","terrorismus","wolff","sicherheit","wolff","wolff","ausländer","asylbewerber","wolff","kosovo","asylrecht","menschen","beck","beck","einwanderung","kommunen","asyl","staatsangehörigkeit","einwanderung","subsidiär","flüchtlingen","zuwanderung","zuwanderung","inseln","lesbos","ausländerzentralregisters","ukrainischen"
