"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wohnungsbau","wohnungsbau","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungsbau","wohnungsbau","wohnungen","wohnungen","wohnungsbau","wohnungen","wohnungsbau","baulandpreise","wohnungen","raumordnung","wohnungen","raumordnung","wohnungen","städtebau","städtebau","städtebau","wohnungen","wohnungswesen","münchen","wohnungsbau","münchen","wohnungsbau","wohnungsbau","gemeinde","städtebau","städtebau","geförderten","städtebau","städtebau","bauwesen","raumordnung","wohnungsbau","jahn","wohnungsbau","wohngeld","gebäude","jahn","jahn","wohnungen","wohnungen","wohnungen","wohnungsbau","wohnungen","wohnungen","wohnungen","mieter","mieter","mieter","jahn","mieter","bauwirtschaft","wohngeld","wohnungen","heimat","mieter","berlin","berlin","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","töpfer","wohnungsbau","städte","wohngeld","kommunen","wohnungsunternehmen","mieter","wohnungsbau","kommunen","kommunen","kommunen","kommunen","kommunen","de","kommunen","ro","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","wohnungen","wohnungsbau","wohnraum","mieter","wohnungen","wohnungen","mieter","mieter","mieter","wohnungen"
"2","wohnungen","wohnungen","wohnungen","mieter","luftschutzes","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungen","wohnungen","wohnungsbau","wohnungsbau","brecht","wohnungsbau","wohnungen","bauland","jacobi","städtebau","jacobi","wohnungswesen","wohnungswesen","wohnungswesen","wohnungswesen","wohnungswesen","wohnungsbau","städtebau","städtebau","notar","städtebau","wohnungen","wohnungen","städtebau","wohnungsbau","wohnungswesen","vw","raumordnung","eigentum","städtebau","städtebau","wohnungen","eigentum","modernisierung","wohnungen","jahn","steuerliche","wohnungsbau","sperling","wohnungsbau","wohnungsbau","jahn","jahn","wohnungsbau","wohnungsbau","wohnungen","mietrecht","staffelmiete","wohnungsbau","jahn","novelle","wohnungsbau","mieter","mieter","heimat","berliner","wohnungen","berlin","wohnungsbau","berlin","wohnungsbau","wohnungsbau","mieten","wohnungsbau","mieter","wohnungsbau","wohnungsbau","wohnungsbau","wohnungsbau","mieter","wohnungsbau","mieter","wohngeld","bauwesen","sozialen","wohnungen","wohnungsbau","wohngeld","städte","wohnungen","wohnungen","gemeinden","wohnungsbau","gemeinden","gemeinden","gemeinden","dat","gemeinden","kommunen","kommunalen","kommunalen","städte","bonn","kommunalen","städte","unterkunft","kommunalen","gewerbesteuer","gewerbesteuer","städtebauförderung","mieter","mieter","mieter","genossenschaften","mietpreisbremse","mietpreisbremse","mietpreisbremse","wohnraum","wohnungen","mietpreisbremse","wohnungen","bauen","wohnungen","grundsteuer","wohnraum","mieterinnen","mieterinnen","mietendeckel","bauen"
"3","handwerk","eigentum","schichten","miete","luftschutzmassnahmen","einkommen","sozialen","mittel","brecht","mittel","brecht","wohnung","mieter","wohnungen","wohnungsbaugesetzes","raumordnung","wohnungen","wohnung","lücke","mieter","städtebau","städtebau","bucher","wohnungen","jacobi","städtebau","lauritzen","hamburg","gebühren","wohnungswesen","sozialen","wohnungswesen","wohnungen","wohnungswesen","ravens","gefördert","bauwesen","raumordnung","raumordnung","bauwesen","sozialen","gemeinde","mieter","familien","erhaltung","wohnungen","städtebau","raumordnung","mieter","jahn","wohnungen","wohnungsbau","mieter","gemeinden","wohnungsbau","wohnungen","wohnungen","waltemathe","wohngeld","schneider","wohnungen","heimat","wohnungen","neuen","mieter","stadt","wohngeld","berlin","wohnungsbau","mieter","mieter","wohnungsbau","berlin","raumordnung","mieter","mieter","seifert","schwaetzer","wohnungsbau","mieter","raumordnung","wohnungsbau","raumordnung","städtebauförderung","kommunen","mieter","wohnungsbau","stadt","mietrecht","mieter","kommunalen","wohnungen","eigenheimzulage","stadtumbau","baukultur","kommunen","kommunalen","ko","bundeshaushaltsordnung","städte","gemeinden","städte","wahlrecht","gemeinden","kommunalen","städte","kommunalen","kommunalen","mieter","energetische","gemeinden","wohnungen","mieter","städte","wohnungen","wohngeld","mieter","wohnungsbau","mieter","wohnraum","wohnungen","mietpreisbremse","wohnen","mieten","mietpreisbremse","wohnungen","mieterinnen","wohnen"
"4","sozialen","familien","mittel","wohnung","luftschutz","wohnung","wohnungsbaus","stierle","aussiedler","familien","länder","mieter","brecht","bundesbaugesetz","einkommen","bau","raumordnung","wohnungsbau","mieter","wohnungswesen","jacobi","raumordnung","jacobi","bucher","raumordnung","wohnung","wohnungen","mieter","wohnungsunternehmen","wohnungen","städtebau","sozialen","wohnungswesen","wohnungen","wohnungsbau","gesundheitlicher","eigentum","bauwesen","haack","schneider","jahn","bundesbaugesetz","wohnungen","wohnungsbau","gemeinden","energieeinsparung","wohnungen","wohnungsbau","wohnung","raumordnung","wohnung","raumordnung","wohnung","sperling","vermieter","wohnungsbau","vermieter","kansy","miete","baugesetzbuch","schneider","jahn","neuen","wohnungen","mietpreisbindung","mieter","mieter","wohnung","senat","wohngeld","sozialen","wohngeld","wohnraum","wohnungsbau","seifert","mieten","wohnung","irmgard","töpfer","förderung","eichstädtbohlig","eichstädtbohlig","städtebau","töpfer","gemeinden","kansy","gemeinden","wohnungen","vermieter","vermieter","städte","kansy","kommunalen","kommunalen","eigenheimzulage","un","städte","ar","städte","kommunale","wohngeld","wohnungen","kosten","kommunalen","städte","gemeinden","gemeinden","gemeinden","gemeinden","kommunalen","vermieter","energetische","wohnungen","wohnen","wohnraum","bund","wohnungsbau","wohnraum","wohnungsbau","städten","mietpreisbremse","wohnraum","wohnraum","mietpreisbremse","kommunen","vermieter","wohnungen","wohnraum"
"5","handwerks","mittel","wohnung","wohnungsbau","wohnungen","geringem","jacobi","gebaut","wohnung","brecht","bundeswohnungsbauminister","mieten","wohnung","miet","miet","lücke","bundesbaugesetzes","mieter","wohnungswesen","raumordnung","lücke","jacobi","meermann","berlin","lauritzen","wohnungswesen","wohnungsbau","wohnungswesen","beurkundung","lauritzen","wohnungswesen","städtebau","eigentümer","ravens","erpenbeck","mieters","wohnungsbau","schneider","wohnungsbau","mieter","eigentum","raumordnung","sozialen","wohnung","privatisierung","wohnungsbau","mieter","städtebau","sozialen","städtebau","haack","bauwesen","städten","jahn","mietrecht","schneider","jahn","müntefering","wohnungsbau","städtebau","bauwirtschaft","wohngeld","dgb","dgb","mieten","städtebau","berliner","sozialen","berliner","sozialen","wohnung","mieter","mieten","wohnung","wohnung","schwaetzer","sozialen","bundesministerin","wohngeld","töpfer","städtebau","töpfer","bauen","wohngeld","mieter","eichstädtbohlig","wohnungen","kommunen","sozialen","kommunen","bauwirtschaft","städte","gewerbesteuerumlage","gewerbesteuer","städte","is","gewerbesteuereinnahmen","le","definieren","gewerbesteuer","innenentwicklung","immobilienwirtschaft","bund","städten","bedarfsgemeinschaften","kommunale","bund","städte","städte","gemeinden","kommunalen","vermieter","wohnraum","mieter","mieter","wohnungen","wohnungen","mietpreisbremse","kommunen","sozialen","wohnungsbau","mieten","mieten","wohnen","miete","wohnen","mieten","mieter"
"6","mittel","gebaut","bau","mieterhöhung","zivilen","sozialen","bundeswohnungsbauminister","sozialen","länder","jungen","mittel","wohnraumbewirtschaftung","baulandsteuer","lücke","lastenbeihilfen","brecht","städtebau","mieten","kündigung","städtebau","wohnungen","wohnungsbau","städten","jacobi","wohnungsbau","städte","sozialen","wohnungen","jacobi","wohnungsbau","lauritzen","mieter","städtebauförderungsgesetz","erpenbeck","wohnungen","wohnung","haack","wohnungsbau","schneider","haack","wohnung","schneider","gemeinden","wohngeldes","eigentum","städtebau","städte","bauwesen","jahn","bauwesen","wohnungspolitik","städtebau","sozialen","städtebau","mieten","conradi","mietrecht","wohnungen","mieten","raumordnung","jahn","wohnungsbau","neue","baugesetzbuch","wohnungen","wohnungsbau","gemeinnützigen","schneider","wohngeld","wohnung","mieten","städtebau","wohnungsmarkt","wohnungspolitik","schwaetzer","seifert","mieter","mieter","wohnungspolitik","bauen","töpfer","braun","braun","wohnungen","innenstädte","wohnungen","stadt","eichstädtbohlig","wohnungsbau","mietrecht","kommunale","stadt","städte","städte","kommunalen","ok","gewerbesteuer","rp","einbeziehung","stadt","kommunalen","städten","bedarfsgemeinschaften","wohngeld","bundesbeteiligung","wahlrecht","städte","unterkunft","sanierung","städtebauförderung","bund","sanierung","bund","wohnungen","wohnen","wohnen","wohnen","bauen","wohnraum","mieter","grunderwerbsteuer","wohnungsbau","wohnung","mieter","wohnungen","innenstädte","mietspiegel","mieterinnen"
"7","wohnung","sozialen","sozialen","mieten","bau","wohnungsnot","hypotheken","millionen","zuwanderer","länder","familien","sozialen","mieten","familien","brecht","wohnungswesen","wohnungsbau","raumordnung","jacobi","wohnung","wohnungsbau","wohnung","baier","verlagsgesellschaft","wohnungen","düsseldorf","wohnung","lauritzen","raumordnung","riedl","erpenbeck","lauritzen","grundstücke","sozialen","wohnung","kündigungsschutz","vogel","eigentumsordnung","mieter","vermieter","wohnungsbaus","eigentums","wohngeld","ravens","städte","raumordnung","stadt","aussenbereich","einkommensgrenzen","wohnungspolitik","fehlbelegungsabgabe","wohnung","bauland","raumordnung","wohnung","wohnung","wohnungsbau","städtebau","wohnungen","sauermilch","sozialen","raumordnung","mietern","neue","städtebauförderung","gemeinnützigen","wohnungsunternehmen","mieter","wohnungsmarkt","wohnungspolitik","wohnungsnot","bauwesen","wohnung","bauwesen","altschulden","bundesministerin","mieten","wohnungspolitik","mieten","wohnung","bauwesen","sozialen","wohnungen","städtebau","wohngeld","wohngeldnovelle","städte","kansy","kommunen","sozialen","stadt","eigenheimzulage","bauwirtschaft","gewerbesteuerumlage","gewerbesteuer","wi","eigenheimzulage","lle","finanziellen","bund","städten","kommunalen","wohngeld","mieter","wohnungslosigkeit","sanierung","unterkunft","bund","energetische","sanierung","bima","städte","mieterinnen","wohnung","bund","städtebauförderung","gemeinden","wohnen","wohnen","sozialwohnungen","wohnen","mieterinnen","kommunen","wohnungsbau","vermieter","wohnung","wohnraum","wohnungsbau"
"8","wohnungsbaues","wohnung","wohnungsbaus","kostenvergleichsmiete","seeleute","wohnungsuchenden","finanzierung","mitteln","mittel","wohnungsbaugesetzes","förderung","miete","sozialen","sozialen","miete","städtebau","grundstücke","städtebau","wohnung","wohnungsbau","mieten","sozialen","wohngeld","bergerheise","sozialklausel","mieter","jacobi","stadt","gebührenbefreiung","eigentümer","wohnungsbauminister","mieten","erpenbeck","sozialwohnungen","münchen","meermann","mieter","eigentums","vermieter","bundesbaugesetz","ravens","städtebau","städtebau","sozialen","städtebau","mieter","haack","jahn","städtebau","mieter","wohnungsmarkt","hauser","jahn","grundstücke","jahn","waltemathe","wohnung","mieter","schneider","bauwesen","mieter","bauwesen","eigentümer","schneider","mietrecht","berliner","oesterleschwerin","wohnungsnot","mieten","berlin","heimat","wohnung","berliner","städtebau","mieten","irmgard","einkommensgrenzen","ministerin","wohnung","wohneigentum","wohngeld","mieter","gemeinden","warnick","städten","franziska","sozialen","städten","wohngeld","grossmann","wohnungen","gemeinden","gewerbesteuer","wohnungen","eichstädtbohlig","nich","stadt","fm","gemeinden","städten","stadt","gemeinden","gemeinden","kommunale","bund","mieter","kommunale","kommunale","vermieter","kosten","städte","kommunalen","wohnen","städtebauförderung","mieten","kommunalen","städte","sozialen","städte","wohnung","mieten","vermieter","mieter","mietendeckel","mieten","mieten","wohnen","vorkaufsrecht"
"9","wohnungsbaus","lücke","finanzierung","hausbesitzer","lücke","mittel","preusker","wohnungsbaugesetz","czaja","bau","ländern","brecht","wohnraumbewirtschaftung","lastenbeihilfen","sozialen","jacobi","wohnungswesen","wohnungswesen","vermieter","wohnungsbaugesetz","köln","familien","raumordnung","weissen","mieter","lauritzen","wohnungsbaues","städte","amtsgerichte","czaja","wohnungsbaus","erpenbeck","gemeinden","mieter","mieter","erworben","wohnung","mick","wohnungen","jahn","städtebau","wohnungsbau","ravens","mieten","boden","steuerlichen","städtebaupolitik","wohnen","sozialwohnungen","schneider","nachfrage","mieter","mietrecht","bauland","berlin","sozial","wohngeld","wohngeld","bauwesen","conradi","raumordnung","wohnung","zöpel","städtebau","bundesgebiet","raumordnung","stadt","wohnungspolitik","wohnung","mieten","städtebau","raumordnung","grundstücke","mieten","städtebau","städtebau","einkommen","sozialen","städtebau","eichstädtbohlig","braun","städtebau","baugesetzbuch","raumordnung","kansy","grossmann","kommunalen","wohnungsbau","verkauf","bauwirtschaft","selbstverwaltung","bauwirtschaft","gemeindefinanzreform","kommunale","stadtumbau","gemeinden","gewerbesteuerumlage","är","soziale","gemeinden","wohnungen","stadtentwicklung","wohnungen","kommune","stadt","stadt","stadt","kosten","städten","bund","wohnungen","genossenschaften","wohnung","wohnungsbau","städte","mieter","mietpreisbremse","wohnung","mieterinnen","städte","mieter","bauen","wohnungsbau","berlin","wohnen","wohnraum","kommunen","kommunen"
"10","miete","wohnungsbaugesetz","öffentlichen","mietbeihilfen","sozialen","wohnungsbaugesetz","wohnungsbaues","dm","sozialen","wohnungsbaues","wohnungsbaus","wohnungszwangswirtschaft","vorkaufsrecht","bundesbaugesetzes","wohnung","baier","grundsteuer","sozialen","mietrecht","vermieter","sozialen","gemeinden","köln","köln","raumordnungsbericht","jacobi","wohnungsbaus","apel","beglaubigung","sanierung","mieten","wohnungsbaus","sanierung","städtebauförderungsgesetz","eigentum","absoluten","wohnungseigentümer","wohngeldgesetzes","sozialen","wohnung","bauwesen","gemeinden","mieten","wohnungspolitik","baudenkmäler","haack","schneider","sozialen","bindungen","haack","sozialen","sperling","wohnungsmarkt","haack","bestand","wohngeld","mietwohnungen","abteilungsleiter","sozialen","städtebauförderungsgesetz","bauwesen","städtebau","jahn","eigentümer","wohnung","schneider","mieten","städtebau","wohnungspolitik","gemeinden","müntefering","sozialen","sozialen","schwaetzer","raumordnung","wohnung","ilja","gemeinden","wohnungswirtschaft","braun","wohnungsbau","wohnungspolitik","klaus","bauwesen","wohnungsbau","städtebauförderung","eichstädtbohlig","sozialen","wohnungsunternehmen","achim","bundesbaugesellschaft","stadtumbau","städten","programm","mieter","för","stadtumbau","en","werbe","heimgesetz","nutzer","kommunale","zensus","stadt","gemeinden","vermieter","mieter","stadt","kommunalen","wohnungen","grundsicherung","bund","kommunalen","mieten","gemeinden","städte","kommunalen","bezahlbaren","bauen","bauen","sozialen","wohnen","städtebauförderung","bauen","bauen","berlin","bauen","innenstädte"
