"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","beratung","drucksache","beratung","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","beratung","ausschuss","ausschuss","beratung","ausschuss","drucksache","drucksache","beratung","drucksache","beratung","beratung","drucksache","beratung","beratung","ausschuss","ausschuss","beratung","ausschuss","beratung","beratung","drucksache","drucksache","drucksache","beratung","ausschuss","drucksache","beratung","ausschuss","drucksache","drucksache","ausschuss","ausschuss","ausschuss","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","seeleute","masern","virus","pandemie","pandemie","impfpflicht"
"2","beratung","beratung","beratung","drucksache","drucksache","beratung","drucksache","beratung","drucksache","beratung","beratung","beratung","drucksache","beratung","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","beratung","drucksache","berichterstatter","drucksache","berichterstatter","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","rates","drucksache","beratung","beratung","beratung","rates","rates","rates","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","ausschuss","beratung","drucksache","ausschuss","beratung","beratung","ausschuss","drucksache","beratung","drucksache","drucksache","beratung","drucksache","drucksache","beratung","drucksache","ausschuss","beratung","drucksache","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","beratung","drucksache","drucksache","ausschuss","ausschuss","beratung","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","abgeordneten","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","drucksache","drucksache","überweisung","aussprache","überweisung","aussprache","überweisung","aussprache","drucksache","drucksache","ausschüsse","überweisung","ausschuss","geimpft","pandemie","virus","impfen","impfen"
"3","nr","drucksache","drucksache","beratung","beratung","ausschuss","beratung","berichterstatter","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","bericht","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","ausschuss","berichterstatter","drucksache","berichterstatter","drucksache","berichterstatter","enthaltungen","beratung","beratung","beratung","beratung","rates","beratung","verordnung","ausschuss","ausschuss","berichterstatter","berichterstatter","rates","ausschuss","verordnung","verordnung","ewg","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","drucksache","beratung","drucksache","drucksache","ausschuss","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","beratung","drucksache","drucksache","ausschuss","ausschuss","beratung","beratung","beratung","drucksache","beratung","ausschuss","ausschuss","beratung","beratung","beratung","drucksache","beratung","drucksache","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","aussprache","überweisungsvorschlag","abgeordneter","beratung","überweisungsvorschlag","überweisungsvorschlag","drucksache","drucksache","drucksache","drucksache","überweisung","überweisungsvorschlag","beratung","abgeordneter","drucksache","aussprache","überweisung","aussprache","überweisung","aussprache","aussprache","überweisung","steuergeldverschwendung","recht","impfung","krise","impfen","geimpft","impfung"
"4","drucksachen","überweisung","punkt","berichterstatter","punkt","berichterstatter","tagesordnung","ausschuss","punkt","tagesordnung","rufe","tagesordnung","eingebrachten","eingebrachten","ausschusses","beratung","ausschuss","ausschuss","ausschuss","enthaltungen","ausschuss","enthaltungen","berichterstatter","ausschuss","ausschuss","ausschuss","tagesordnung","enthaltungen","berichterstatter","tagesordnung","berichterstatter","rates","berichterstatter","beratung","ausschuss","rates","berichterstatter","verordnung","ausschuss","ausschuss","ausschuss","berichterstatter","ewg","comment","ausschuss","berichterstatter","eingebrachten","tagesordnung","tagesordnung","berichterstatter","tagesordnung","drucksachen","gesetzes","drucksachen","aussprache","aussprache","beschlussempfehlung","tagesordnung","aussprache","aussprache","aussprache","aussprache","aussprache","beschlussempfehlung","tagesordnung","fraktion","fraktion","fraktion","fraktion","beschlussempfehlung","fraktion","aussprache","überweisungsvorschlag","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","aussprache","überweisungsvorschlag","überweisungsvorschlag","aussprache","aussprache","eingebrachten","abgeordneten","aussprache","aussprache","überweisungsvorschlag","überweisungsvorschlag","aussprache","aussprache","abgeordneter","überweisungsvorschlag","beratung","beratung","überweisungsvorschlag","abgeordneter","fcomment","abgeordneter","fcomment","fcomment","überweisung","aussprache","überweisung","überweisung","beratung","überweisung","drucksache","überweisungsvorschlag","drucksache","überweisungsvorschlag","überweisungsvorschlag","überweisung","abgeordneter","grünen","saarland","impfen","massnahmen","massnahmen","lage","pandemie"
"5","punkt","punkt","berichterstatter","ausschusses","tagesordnung","punkt","punkt","punkt","überweisung","entwurfs","tagesordnung","punkt","tagesordnung","tagesordnung","enthaltungen","tagesordnung","tagesordnung","tagesordnung","ausschusses","ausschuss","enthaltungen","ausschusses","gegenprobe","ausschusses","ausschusses","enthaltungen","ausschuss","gegenprobe","tagesordnung","ausschuss","gegenprobe","ausschuss","tagesordnung","verordnung","berichterstatter","ewg","rates","ewg","tagesordnung","rates","ewg","rates","ausschuss","ewg","verordnung","tagesordnung","entwurfs","berichterstatter","eingebrachten","eingebrachten","einverstanden","tagesordnung","ältestenrates","berichterstatter","beschlussempfehlung","überweisungsvorschlag","aussprache","antrag","tagesordnung","tagesordnung","tagesordnung","beschlussempfehlung","tagesordnung","fraktion","aussprache","aussprache","überweisungsvorschlag","tagesordnung","überweisungsvorschlag","entwurfs","beschlussempfehlung","überweisungsvorschlag","entwurfs","eingebrachten","überweisungsvorschlag","überweisungsvorschlag","eingebrachten","drucksachen","aussprache","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","drucksachen","überweisungsvorschlag","aussprache","beschlussempfehlung","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","eingebrachten","überweisungsvorschlag","überweisungsvorschlag","aussprache","aussprache","überweisungsvorschlag","überweisungsvorschlag","abgeordneten","beratung","fcomment","überweisungsvorschlag","abgeordneter","beratung","beratung","überweisungsvorschlag","aussprache","beratung","fcomment","drucksache","beratung","abgeordneter","abgeordneten","ausschüsse","ausschüsse","drucksache","überweisungsvorschlag","drucksache","beratung","überweisungsvorschlag","tagesordnung","mitverlegung","schliesse","impfungen","lage","impfstoff","massnahmen","virus"
"6","ausschusses","rufe","tagesordnung","rufe","berichterstatter","tagesordnung","aussprache","tagesordnung","tagesordnung","überweisung","eingebrachten","überweisung","punkt","punkt","punkt","punkt","ausschusses","rufe","enthaltungen","punkt","tagesordnung","ausschuss","enthaltungen","punkt","enthaltungen","ausschusses","enthaltungen","tagesordnung","gegenprobe","verordnung","tagesordnung","verordnung","ausschuss","ausschuss","rates","nr","eingebrachten","beratung","eingebrachten","eingebrachten","verordnung","ewg","comment","ausschuss","comment","beschlussempfehlung","comment","entwurfs","berichterstatter","tagesordnung","überweisungsvorschlag","beschlussempfehlung","entwurfs","beschlussempfehlung","tagesordnung","gesetzes","drucksachen","aussprache","ältestenrat","ältestenrat","beschlussempfehlung","tagesordnung","beschlussempfehlung","drucksachen","fraktion","überweisungsvorschlag","tagesordnung","aussprache","aussprache","fraktion","drucksachen","tagesordnung","aussprache","drucksachen","eingebrachten","entwurfs","entwurfs","berichterstattung","antrags","aussprache","fraktion","fraktion","fraktion","eingebrachten","berichterstattung","fraktion","entwurfs","aussprache","fcomment","fcomment","beschlussempfehlung","abgeordneter","fcomment","fcomment","entwurfs","fcomment","fcomment","abgeordneten","aussprache","fcomment","aussprache","fcomment","fcomment","fcomment","abgeordneten","beratung","überweisung","abgeordneter","aussprache","abgeordneter","abgeordneten","abgeordneten","drucksache","beratung","interfraktionell","interfraktionell","interfraktionell","tagesordnung","überweisung","beratung","antrag","tagesordnung","colmar","impfpflicht","app","schnelltests","virus","geimpft"
"7","tagesordnung","entwurfs","überweisung","punkt","überweisung","entwurfs","gesetzes","ausschusses","entwurfs","punkt","punkt","eingebrachten","berichterstatter","entwurfs","berichterstatter","gewünscht","punkt","enthaltungen","rufe","tagesordnung","ausschusses","gegenprobe","punkt","eingebrachten","tagesordnung","gegenprobe","gegenprobe","ausschuss","ausschuss","rates","ausschuss","eingebrachten","eingebrachten","ewg","verordnung","ausschuss","tagesordnung","überwiesen","entwurfs","tagesordnung","berichterstatter","verordnung","berichts","beratung","berichts","entwurfs","berichterstatter","beschlussempfehlung","entwurfs","entwurfs","eingebrachten","ausschusses","eingebrachten","tagesordnung","drucksachen","tagesordnung","tagesordnung","geschäftsordnung","eingebrachten","überweisungsvorschlag","ältestenrat","fraktion","fraktion","aussprache","geschäftsordnung","tagesordnung","aussprache","beschlussempfehlung","tagesordnung","eingebrachten","berichterstatter","drucksachen","eingebrachten","aussprache","drucksachen","eingebrachten","überweisungsvorschlag","eingebrachten","drucksachen","eingebrachten","aussprache","aussprache","drucksachen","entwurfs","eingebrachten","federführendcomment","eingebrachten","abgeordneten","überweisung","beschlussempfehlung","aussprache","beschlussempfehlung","überweisung","abgeordneten","fcomment","abgeordneten","abgeordneten","fcomment","weiterer","überweisung","abgeordneter","aussprache","fraktion","aussprache","abgeordneter","fcomment","beratung","überweisung","abgeordneten","fcomment","abgeordneter","interfraktionell","weiterer","überweisungsvorschlag","überweisungsvorschlag","aufgeführten","aufgeführten","aufgeführten","interfraktionell","zp","weiterer","landauf","marktöffnung","infektionskrankheiten","gesundheit","tests","inzidenz","impfungen"
"8","berichterstatter","tagesordnung","entwurfs","bericht","entwurfs","bericht","überweisung","gewünscht","rufe","rufe","berichterstatter","gewünscht","rufe","enthaltungen","tagesordnung","berichterstatter","eingebrachten","punkt","gewünscht","gewünscht","gewünscht","bericht","beschlossen","tagesordnung","gegenprobe","tagesordnung","ausschusses","eingebrachten","eingebrachten","eingebrachten","gesetzes","berichterstatter","entwurfs","berichterstatter","tagesordnung","berichts","entwurfs","berichts","gesetzes","ewg","berichts","tagesordnung","überwiesen","berichts","überwiesen","überweisungsvorschlag","tagesordnung","eingebrachten","beschlussempfehlung","geschäftsordnung","aussprache","ältestenrat","überweisungsvorschlag","gewünscht","berichterstatter","entwurfs","gesetzes","ältestenrat","überweisungsvorschlag","beschlussempfehlung","eingebrachten","ältestenrat","beschlossen","tagesordnung","antrags","antrags","geschäftsordnung","überweisungsvorschlag","beschlussempfehlung","drucksachen","eingebrachten","antrags","gesetzes","beschlussempfehlung","aussprache","aussprache","berichterstattung","tagesordnungspunkt","beschlussempfehlung","entwurfs","drucksachen","drucksachen","aussprache","fraktion","entwurfs","entwurfs","gesetzes","tagesordnungspunkt","beschlussempfehlung","abgeordneter","entwurfs","überweisungsvorschlag","abgeordneten","überweisung","eingebrachten","abgeordneter","abgeordneter","abgeordneter","überweisungsvorschlag","entwurfs","fraktion","abgeordneten","aussprache","abgeordneten","überweisung","weiterer","abgeordneten","abgeordneten","abgeordneter","abgeordneten","aussprache","aufgeführten","zp","interfraktionell","aufgeführten","ausschüsse","beratung","beratung","tagesordnung","ausschüsse","vorgeschlagen","berichts","reform","pd","corona","testen","epidemischen","massnahmen"
"9","drucksache","berichterstatter","rufe","tagesordnung","rufe","ausschusses","berichterstatter","bericht","beschlossen","eingebrachten","entwurfs","rufe","enthaltungen","rufe","ausschuss","enthaltungen","berichterstatter","ausschusses","tagesordnung","gegenprobe","gegenprobe","berichterstatter","handzeichen","wer","drucksachen","eingebrachten","entwurfs","entwurfs","entwurfs","punkt","enthaltungen","tagesordnung","gegenprobe","tagesordnung","eingebrachten","überwiesen","verordnung","berichterstatter","ausschusses","verordnung","tagesordnung","eingebrachten","beratung","überwiesen","beratung","ältestenrates","überweisungsvorschlag","überweisungsvorschlag","ältestenrates","drucksachen","ältestenrates","gewünscht","aussprache","ausschusses","ältestenrat","eingebrachten","entwurfs","beschlossen","beschlussempfehlung","eingebrachten","fraktion","berichterstatter","ältestenrat","berichterstatter","antrag","beschlussempfehlung","eingebrachten","geschäftsordnung","drucksachen","berichterstatter","gesetzes","beschlussempfehlung","tagesordnungspunkt","entwurfs","entwurfs","tagesordnungspunkt","aussprache","entwurfs","entwurfs","gesetzes","antrags","eingebrachten","abgeordneten","gesetzes","ausschusscomment","eingebrachten","federführendcomment","fcomment","eingebrachten","überweisung","abgeordneter","entwurfs","tagesordnungspunkt","eingebrachten","überweisung","überweisung","überweisung","überweisung","fcomment","beschlossen","abgeordneten","fraktion","abgeordneten","überweisung","aussprache","überweisung","abgeordneter","aussprache","beratung","interfraktionell","fcomment","ausschüsse","interfraktionell","aufgeführten","beschlossen","beschlossen","ausschüsse","beschlossen","weiterer","weiterer","beschlossen","überwiesen","beider","impfschutz","wochen","lockdown","grundrechte","herbst"
"10","rufe","gesetzes","gesetzes","überweisung","gesetzes","überweisung","ausschusses","entwurfs","eingebrachten","gesetzes","ausschusses","entwurfs","gesetzes","überweisung","eingebrachten","eingebrachten","entwurfs","berichterstatter","beschlossen","ausschusses","entwurfs","punkt","ausschusses","drucksachen","verordnung","rufe","eingebrachten","punkt","gesetzes","entwurfs","eingebrachten","überwiesen","gesetzes","berichts","überwiesen","schreiben","gesetzes","beschlussfassung","drucksachen","entwurfs","überwiesen","berichts","beschlussfassung","rat","beschlussfassung","eingebrachten","gesetzes","beschlossen","überweisungsvorschlag","beschlussempfehlung","ältestenrat","beschlossen","tagesordnung","aussprache","ausschusses","ältestenrates","berichterstatter","fraktionen","entwurfs","ältestenrates","entwurfs","drucksachen","drucksachen","ausschusses","beschlossen","ältestenrat","entwurfs","ältestenrat","ältestenrates","aussprache","entwurfs","tagesordnungspunkt","tagesordnung","berichterstattung","tagesordnungspunkt","drucksachen","tagesordnungspunkt","abgeordneten","eingebrachten","drucksachen","eingebrachten","entwurfs","eingebrachten","drucksachen","fraktion","tagesordnungspunkt","tagesordnungspunkt","entwurfs","tagesordnungspunkt","abgeordneten","abgeordneten","gesetzes","rufe","abgeordneter","tagesordnungspunkt","entwurfs","eingebrachten","weiterer","fraktion","ausschüsse","überweisung","weiterer","überweisung","weiterer","fraktion","fraktion","interfraktionell","weiterer","interfraktionell","weiterer","weiterer","weiterer","ausschüsse","abgeordneten","tagesordnung","tagesordnung","tagesordnung","interfraktionell","aufgeführten","tagesordnung","minuten","vorgesehen","forderungsteil","impflücken","coronavirus","impfstoffe","impfstoff","impfstoffe"
