"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","politik","deutschen","wahlen","soldaten","wehrpflicht","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","verteidigung","bundeswehr","bundeswehr","verteidigung","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","verteidigung","bundeswehr","verteidigung","bundeswehr","verteidigung","bundeswehr","verteidigung","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","apel","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr"
"2","volk","deutschen","deutschlands","deutschen","streitkräfte","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","strauss","verteidigung","verteidigung","strauss","soldaten","verteidigung","verteidigung","hassel","wehrbeauftragten","verteidigung","bundeswehr","bundeswehr","verteidigung","verteidigung","verteidigung","verteidigung","soldaten","verteidigung","bundeswehr","weissbuch","berkhan","soldaten","bundeswehr","verteidigung","kriegsdienstverweigerer","bundeswehr","verteidigung","verteidigung","verteidigung","verteidigung","wörner","soldaten","leber","soldaten","leber","verteidigung","verteidigung","bundeswehr","soldaten","wörner","soldaten","würzbach","soldaten","bundeswehr","streitkräfte","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","zivildienst","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten"
"3","volkes","volkes","politik","volkes","wehrmacht","bundeswehr","wehrpflicht","wehrpflichtigen","verteidigung","merten","truppe","verteidigung","zivilen","strauss","verteidigung","verteidigung","strauss","soldaten","bundeswehr","soldaten","hassel","gumbel","hassel","hassel","soldaten","schultz","soldaten","verteidigung","soldaten","berkhan","soldaten","bundeswehr","verteidigung","berkhan","soldaten","truppe","berkhan","soldaten","soldaten","soldaten","soldaten","soldaten","wörner","wörner","verteidigung","verteidigung","soldaten","soldaten","soldaten","verteidigung","soldaten","wörner","verteidigung","verteidigung","wehrbeauftragten","bundeswehr","verteidigung","wehrbeauftragten","verteidigung","wörner","verteidigung","verteidigung","verteidigung","verteidigung","zeitsoldaten","wörner","ramstein","verteidigung","verteidigung","verteidigung","soldaten","streitkräfte","streitkräfte","verteidigung","verteidigung","somalia","wehrpflicht","urteil","verteidigung","einsatz","mörder","wehrpflicht","einsatz","rühe","rühe","verteidigung","scharping","scharping","scharping","verteidigung","verteidigung","scharping","einsatz","soldatinnen","wehrpflicht","wehrpflicht","soldatinnen","führung","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","wehrpflicht","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen"
"4","politik","volk","volk","demokratischen","militärischen","verteidigung","truppe","verteidigungsminister","strauss","verteidigung","strauss","soldaten","militärischen","schmidt","soldaten","erler","bundeswehr","hassel","soldaten","verteidigung","soldaten","soldaten","gumbel","soldaten","schultz","soldaten","schultz","schultz","führung","soldaten","verteidigung","soldaten","truppe","soldaten","berkhan","ersatzdienst","soldaten","berkhan","berkhan","wehrstruktur","wehrbeauftragten","verteidigung","leber","verteidigung","nato","neutronenwaffe","führung","führung","nato","wörner","apel","verteidigung","soldaten","apel","apel","verteidigung","wörner","würzbach","würzbach","verteidigung","wörner","wörner","wörner","dienst","fliegen","verteidigung","scholz","tiefflug","streitkräfte","streitkräfte","wehrdienst","verteidigung","verteidigung","militärische","rühe","einsatz","somalia","einsatz","rühe","jugoslawien","militärischen","bosnien","albanien","eurofighter","einsatz","verteidigungsminister","verteidigungsminister","wehrpflicht","wehrpflicht","scharping","scharping","verteidigung","verteidigung","einsatz","soldatinnen","soldatinnen","wehrpflicht","meads","einsatz","einsatz","weissbuch","einsatz","wehrpflicht","führung","einsatz","einsatz","einsatz","soldatinnen","wehrpflicht","einsatz","einsatz","drohnen","minister","dienst","einsatz","dienst","einsatz","dienst","ministerin","ministerin","truppe","ministerin","nato","ministerin","militärseelsorge","truppe","reservisten","sondervermögen"
"5","adenauer","wahlen","volkes","deutsche","freiwilligengesetz","wehrmacht","verteidigung","iller","verteidigungsminister","strauss","verteidigung","bundesverteidigungsminister","strauss","waffen","verteidigungsausschuss","schmückle","wehrsold","erler","hopf","truppe","wienand","hassel","soldaten","gumbel","verteidigungsausschuss","streitkräfte","adorno","verteidigungsausschuss","wehrbeauftragten","wehrbeauftragten","verteidigungsminister","klepsch","militärischen","neubiberg","wehrpflichtigen","zivildienst","wörner","wörner","nato","berkhan","sanitätsoffiziere","nato","verteidigung","verteidigungsminister","warschauer","waffen","wehrbeauftragten","militärischen","militärischen","weissbuch","verteidigung","apel","waffen","wehrbeauftragten","verteidigung","wörner","verteidigungsminister","verteidigung","general","würzbach","würzbach","dienst","wehrpflichtigen","würzbach","würzbach","wehrbeauftragten","verteidigung","wimmer","tiefflug","wehrbeauftragten","monate","stoltenberg","stoltenberg","streitkräfte","streitkräfte","einsätze","einsatz","einsätze","volker","frieden","ostslawonien","streitkräfte","verteidigung","flugzeug","gelöbnis","einsatz","breuer","wehrbeauftragten","munition","wehrpflicht","verteidigungsminister","wehrbeauftragten","soldatinnen","wehrbeauftragten","einsatz","einsatz","verteidigung","wehrbeauftragten","struck","einsätze","einsatz","wehrbeauftragten","einsatz","dienst","führung","wittstock","wehrpflicht","einsatz","guttenberg","verteidigung","dienst","de","drohnen","einsatz","ministerin","wehrbeauftragten","leyen","einsatz","leyen","franco","material","nato","dienst","dienst","dienst","wehrpflicht","dienst","truppe"
"6","westdeutschland","amerikanischen","unseres","politik","soldat","armee","berufssoldaten","verteidigung","schmidt","bundesgrenzschutz","landesverteidigung","jahrgänge","merten","bundesverteidigungsminister","bundesverteidigungsminister","verteidigungsausschuss","jungen","zivilen","truppe","wehrbeauftragte","truppe","truppe","wienand","wienand","wehrbeauftragten","wehrpflichtigen","berkhan","wehrpflichtigen","schultz","wehrpflichtigen","berkhan","offiziere","berkhan","uniform","wehrbeauftragten","helmut","damm","streitkräfte","bündnis","verfügungsbereitschaft","truppe","leber","wehrbeauftragten","soldaten","wörner","nato","militärischen","wörner","mittelstreckenwaffen","kampfgruppen","würzbach","wehrbeauftragten","wörner","verteidigungsminister","minister","jung","streitkräfte","wehrpflichtigen","wörner","kiessling","offiziere","streitkräfte","verlängerung","wörner","alliierten","mittelmeer","wehrbeauftragten","dienst","stoltenberg","militärischen","zivildienstleistenden","reduzierung","reduzierung","militärischen","militärischen","entscheidung","rühe","vereinten","tiefflüge","bosnien","verteidigung","militärischen","rühe","gelöbnis","streitkräfte","breuer","streitkräfte","verteidigung","verteidigung","schulte","einsatz","verteidigungsminister","verteidigungsminister","bericht","einsätze","verteidigung","einsatz","soldatinnen","verteidigung","wehrbeauftragten","einsätze","amtshilfe","jung","einsatz","dienst","wehrbeauftragten","guttenberg","minister","minister","mad","streitkräfte","einsatz","hawk","wehrbeauftragten","dienst","attraktivität","streitkräfte","wehrbeauftragten","personal","führung","ministerin","leyen","truppe","truppe","wehrbeauftragten","dienst","drohnen","unsere"
"7","deutsche","deutsche","bevölkerung","amerikanischen","verteidigungsminister","eid","wehrpflichtigen","offiziere","bundesverteidigungsminister","verteidigungsausschuss","bundesverteidigungsminister","erfassung","bundesverteidigungsminister","nato","wehrsold","militärischen","soldat","verteidigungsausschuss","militärischen","hassel","wehrbeauftragten","mitteilungen","piloten","militärischen","truppe","militärischen","hase","truppe","adorno","führung","klepsch","zimmermann","verteidigungsminister","einsatz","disziplin","eh","verteidigungsausschuss","horn","weissbuch","bündnis","führung","schmidt","truppe","generale","militärischen","soldaten","wörner","nato","militärische","wehrbeauftragten","tornado","verteidigungsminister","sicherheitspolitik","wehrpflichtigen","tornado","verteidigungsminister","würzbach","heistermann","kiessling","general","wehrbeauftragten","wehrbeauftragten","wehrgerechtigkeit","streitkräfte","arbeitslosigkeit","würzbach","verteidigungsminister","tiefflüge","militärischen","stoltenberg","streitkräfte","zivilen","zivilen","rühe","heide","vereinten","verteidigung","nationen","einsatz","dayton","ehrenschutz","verteidigung","bosnien","streitkräfte","bosnien","streitkräfte","verteidigung","streitkräfte","streitkräfte","standorte","gebb","streitkräfte","struck","verteidigung","mad","einsätze","einsätze","einsatz","verteidigungsminister","streitkräfte","auslandseinsätze","afghanistan","minister","wehrpflicht","afghanistan","streitkräfte","afghanistan","guttenberg","einsatz","dienst","attraktivität","dat","einsatz","einsätze","leyen","königshaus","ministerin","vertrauenspersonen","trendwende","truppe","nato","ausrüstung","einsatzbereitschaft","nato","nato","drohnen","sicherheitsüberprüfung","ausrüstung"
"8","amerikanischen","sowjetunion","krieges","volk","freiwilligen","militärischen","militärischen","wehrpflicht","planung","bundesverteidigungsminister","militärischen","abiturienten","landesverteidigung","zivilen","kliesing","wehrpflichtigen","bundesverteidigungsminister","waffen","militärische","verteidigungsausschuss","gumbel","streitkräfte","verteidigungsausschuss","verteidigungsausschuss","militärischen","nato","verteidigungsausschuss","streitkräfte","verteidigungsausschuss","schultz","damm","verteidigungsminister","führung","verteidigungsminister","truppe","humor","militärischen","wehrbeauftragten","wörner","wehrbeauftragten","nato","waffen","weissbuch","nato","wehrpflichtigen","verteidigungsminister","streitkräfte","apel","waffen","führung","sicherheitspolitik","würzbach","militärische","streitkräfte","wehrbeauftragte","verteidigungsausschuss","beschaffung","wehrbeauftragte","verteidigungsminister","verteidigungsminister","streitkräfte","wehrpflichtigen","wehrpflicht","wehrpflichtigen","übergangsgebührnisse","heistermann","piloten","götte","militärische","ramstein","zivildienstes","wimmer","heistermann","stoltenberg","militärische","rühe","vereinten","bundesverfassungsgericht","streitkräfte","militärischen","gelöbnis","rühe","streitkräfte","verteidigung","trittin","schulte","wehrpflicht","wehrbeauftragte","nolting","verteidigungsminister","wehrbeauftragten","soldatinnen","einsätze","eingaben","verteidigung","streitkräfte","verteidigungsminister","wittstock","streitkräfte","verteidigung","sicherheitspolitik","einsätze","afghanistan","verteidigung","minister","jugendoffiziere","verteidigung","verteidigung","dienst","minister","betreuungskommunikation","dienst","maizière","streitkräfte","drohnen","ausrüstung","einsätze","ausrüstung","einsatz","leyen","unsere","verteidigung","sicherheitspolitik","einsatz","wehrbeauftragte","ministerin","reservistinnen","nato"
"9","regierung","deutschlands","demokratischen","deutschlands","regierungserklärung","streitkräfte","schmidt","befehl","personalgutachterausschuss","waffen","schmidt","militärischen","soldaten","soldaten","merten","monate","verteidigungsausschuss","bundesverteidigungsminister","lahr","unteroffiziere","verteidigungsausschuss","führung","luftwaffe","truppe","adorno","verteidigungsausschuss","streitkräfte","berkhan","inneren","hoogen","zimmermann","pawelczyk","nato","militärische","streitkräfte","entlassen","wehrstruktur","wehrstruktur","militärischen","streitkräfte","kriegsdienstverweigerer","verteidigungsminister","nato","zivildienst","bündnis","streitkräfte","wehrbeauftragte","wehrbeauftragten","bündnisses","apel","nato","streitkräfte","wehrpflichtigen","wörner","streitkräfte","dienst","minister","streitkräfte","mad","wehrbeauftragten","verteidigungsausschuss","armee","wehrbeauftragten","verteidigungsminister","luftwaffe","golf","streitkräfte","militärischen","reservisten","verteidigungsminister","wehrpflicht","standorte","beamten","einsatz","verteidigungsminister","nationen","streitkräfte","juli","minen","krieg","wehrbeauftragte","einsatz","militärischen","kolbow","wehrpflicht","beer","beer","marienfeld","breuer","bayreuth","schulte","gebb","streitkräfte","ehrbeauftragten","struck","auslandseinsätze","struck","ausbildung","kosovo","bericht","afghanistan","ehrenmal","auslandseinsätze","innere","verteidigung","armee","truppe","streitkräfte","afghanistan","zivilen","reform","streitkräfte","de","neuausrichtung","fähigkeiten","leyen","ausrüstung","ausstattung","korvetten","dienst","dienst","dienst","unsere","einsatzbereitschaft","einsatz","streitkräfte","ksk","sicherheit"
"10","demokratischen","demokratischen","deutsche","zeitung","manöver","erler","verteidigungsminister","truppe","waffen","bundesgrenzschutzes","verteidigungsminister","zivilen","bevölkerungsschutz","kliesing","zivilen","truppe","militärischen","bevölkerungsschutz","langenwinkel","nagold","führung","uniform","starfighter","luftwaffe","petersen","adorno","wehrpflichtige","wehrdienst","militärischen","verteidigungsminister","weissbuches","wehrpflichtigen","zimmermann","amerikanischen","führung","anerkannten","streitkräfte","truppe","leber","wörner","bündnis","verteidigungspolitik","militärischen","wehrpflicht","verteidigungsausschuss","militärischen","generalinspekteur","kampfgruppen","nachrüstung","militärische","verteidigungsminister","luftwaffe","nato","truppe","untersuchungsausschuss","jungen","dienstag","truppe","minister","mad","verteidigungsminister","verteidigungsminister","streitkräfte","militärischen","arbeitslosenbeihilfe","wehrpflichtigen","wehrbeauftragte","streitkräfte","alliierten","bundeswehrplanung","dienst","liegenschaften","kolbow","verteidigungsminister","volker","humanitären","wehrpflichtigen","entscheidung","militärischen","verteidigung","frieden","dayton","albanischen","verteidigungsminister","untersuchungsausschuss","scharping","verteidigungshaushalt","truppe","dienst","brigitte","nolting","einsatz","wehrpflicht","streitkräfte","minister","verteidigungsminister","streitkräfte","coesfeld","nolting","einsätzen","verteidigung","bericht","einsätze","inneren","einsätze","nva","wehrbeauftragten","dienst","verteidigungsminister","streitkräfte","beamten","un","neuausrichtung","königshaus","ausrüstung","einsatz","armee","bartels","material","ausrüstung","ausrüstung","truppe","wehrbeauftragten","beschaffung","bartels","nato","truppe","zeitenwende"
